game,2010,14,20101212,201012120pit,cin,"Cincinnati Bengals",7,pit,"Pittsburgh Steelers",23
team,201012120pit,cin,First Downs,14,,,,,,
team,201012120pit,pit,First Downs,18,,,,,,
team,201012120pit,cin,Rush-Yds-TDs,14-34-0,,,,,,
team,201012120pit,pit,Rush-Yds-TDs,27-123-0,,,,,,
team,201012120pit,cin,Cmp-Att-Yd-TD-INT,20-32-178-1-3,,,,,,
team,201012120pit,pit,Cmp-Att-Yd-TD-INT,21-33-258-0-0,,,,,,
team,201012120pit,cin,Sacked-Yards,3-22,,,,,,
team,201012120pit,pit,Sacked-Yards,4-27,,,,,,
team,201012120pit,cin,Net Pass Yards,156,,,,,,
team,201012120pit,pit,Net Pass Yards,231,,,,,,
team,201012120pit,cin,Total Yards,190,,,,,,
team,201012120pit,pit,Total Yards,354,,,,,,
team,201012120pit,cin,Fumbles-Lost,0-0,,,,,,
team,201012120pit,pit,Fumbles-Lost,1-0,,,,,,
team,201012120pit,cin,Turnovers,3,,,,,,
team,201012120pit,pit,Turnovers,0,,,,,,
team,201012120pit,cin,Penalties-Yards,4-25,,,,,,
team,201012120pit,pit,Penalties-Yards,9-89,,,,,,
team,201012120pit,cin,Third Down Conv.,2-8,,,,,,
team,201012120pit,pit,Third Down Conv.,7-15,,,,,,
team,201012120pit,cin,Fourth Down Conv.,1-1,,,,,,
team,201012120pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201012120pit,cin,Time of Possession,25:29,,,,,,
team,201012120pit,pit,Time of Possession,34:31,,,,,,
player,201012120pit,cin,PalmCa00,pass_cmp,20,,,,,
player,201012120pit,cin,PalmCa00,pass_att,32,,,,,
player,201012120pit,cin,PalmCa00,pass_yds,178,,,,,
player,201012120pit,cin,PalmCa00,pass_td,1,,,,,
player,201012120pit,cin,PalmCa00,pass_int,3,,,,,
player,201012120pit,cin,PalmCa00,pass_sacked,3,,,,,
player,201012120pit,cin,PalmCa00,pass_sacked_yds,22,,,,,
player,201012120pit,cin,PalmCa00,pass_long,24,,,,,
player,201012120pit,cin,PalmCa00,pass_rating,48.7,,,,,
player,201012120pit,cin,PalmCa00,rush_att,2,,,,,
player,201012120pit,cin,PalmCa00,rush_yds,0,,,,,
player,201012120pit,cin,PalmCa00,rush_td,0,,,,,
player,201012120pit,cin,PalmCa00,rush_long,1,,,,,
player,201012120pit,cin,PalmCa00,targets,0,,,,,
player,201012120pit,cin,PalmCa00,rec,0,,,,,
player,201012120pit,cin,PalmCa00,rec_yds,0,,,,,
player,201012120pit,cin,PalmCa00,rec_td,0,,,,,
player,201012120pit,cin,PalmCa00,rec_long,0,,,,,
player,201012120pit,cin,PalmCa00,fumbles,0,,,,,
player,201012120pit,cin,PalmCa00,fumbles_lost,,,,,,
