game,2010,5,20101011,201010110nyj,min,"Minnesota Vikings",20,nyj,"New York Jets",29
team,201010110nyj,min,First Downs,16,,,,,,
team,201010110nyj,nyj,First Downs,20,,,,,,
team,201010110nyj,min,Rush-Yds-TDs,24-96-0,,,,,,
team,201010110nyj,nyj,Rush-Yds-TDs,32-155-1,,,,,,
team,201010110nyj,min,Cmp-Att-Yd-TD-INT,14-34-264-3-1,,,,,,
team,201010110nyj,nyj,Cmp-Att-Yd-TD-INT,21-44-191-0-0,,,,,,
team,201010110nyj,min,Sacked-Yards,4-24,,,,,,
team,201010110nyj,nyj,Sacked-Yards,2-18,,,,,,
team,201010110nyj,min,Net Pass Yards,240,,,,,,
team,201010110nyj,nyj,Net Pass Yards,173,,,,,,
team,201010110nyj,min,Total Yards,336,,,,,,
team,201010110nyj,nyj,Total Yards,328,,,,,,
team,201010110nyj,min,Fumbles-Lost,3-2,,,,,,
team,201010110nyj,nyj,Fumbles-Lost,1-0,,,,,,
team,201010110nyj,min,Turnovers,3,,,,,,
team,201010110nyj,nyj,Turnovers,0,,,,,,
team,201010110nyj,min,Penalties-Yards,8-51,,,,,,
team,201010110nyj,nyj,Penalties-Yards,6-55,,,,,,
team,201010110nyj,min,Third Down Conv.,7-15,,,,,,
team,201010110nyj,nyj,Third Down Conv.,5-17,,,,,,
team,201010110nyj,min,Fourth Down Conv.,0-0,,,,,,
team,201010110nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201010110nyj,min,Time of Possession,26:05,,,,,,
team,201010110nyj,nyj,Time of Possession,33:55,,,,,,
player,201010110nyj,min,FavrBr00,pass_cmp,14,,,,,
player,201010110nyj,min,FavrBr00,pass_att,34,,,,,
player,201010110nyj,min,FavrBr00,pass_yds,264,,,,,
player,201010110nyj,min,FavrBr00,pass_td,3,,,,,
player,201010110nyj,min,FavrBr00,pass_int,1,,,,,
player,201010110nyj,min,FavrBr00,pass_sacked,4,,,,,
