game,2010,2,20100919,201009190clt,nyg,"New York Giants",14,clt,"Indianapolis Colts",38
team,201009190clt,nyg,First Downs,13,,,,,,
team,201009190clt,clt,First Downs,24,,,,,,
team,201009190clt,nyg,Rush-Yds-TDs,25-120-0,,,,,,
team,201009190clt,clt,Rush-Yds-TDs,43-160-1,,,,,,
team,201009190clt,nyg,Cmp-Att-Yd-TD-INT,13-24-161-2-1,,,,,,
team,201009190clt,clt,Cmp-Att-Yd-TD-INT,20-26-255-3-0,,,,,,
team,201009190clt,nyg,Sacked-Yards,4-24,,,,,,
team,201009190clt,clt,Sacked-Yards,1-5,,,,,,
team,201009190clt,nyg,Net Pass Yards,137,,,,,,
team,201009190clt,clt,Net Pass Yards,250,,,,,,
team,201009190clt,nyg,Total Yards,257,,,,,,
team,201009190clt,clt,Total Yards,410,,,,,,
team,201009190clt,nyg,Fumbles-Lost,3-2,,,,,,
team,201009190clt,clt,Fumbles-Lost,3-1,,,,,,
team,201009190clt,nyg,Turnovers,3,,,,,,
team,201009190clt,clt,Turnovers,1,,,,,,
team,201009190clt,nyg,Penalties-Yards,3-25,,,,,,
team,201009190clt,clt,Penalties-Yards,6-55,,,,,,
team,201009190clt,nyg,Third Down Conv.,3-11,,,,,,
team,201009190clt,clt,Third Down Conv.,4-11,,,,,,
team,201009190clt,nyg,Fourth Down Conv.,0-1,,,,,,
team,201009190clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201009190clt,nyg,Time of Possession,24:54,,,,,,
team,201009190clt,clt,Time of Possession,35:06,,,,,,
player,201009190clt,nyg,MannEl00,pass_cmp,13,,,,,
player,201009190clt,nyg,MannEl00,pass_att,24,,,,,
player,201009190clt,nyg,MannEl00,pass_yds,161,,,,,
player,201009190clt,nyg,MannEl00,pass_td,2,,,,,
player,201009190clt,nyg,MannEl00,pass_int,1,,,,,
player,201009190clt,nyg,MannEl00,pass_sacked,4,,,,,
player,201009190clt,nyg,MannEl00,pass_sacked_yds,24,,,,,
player,201009190clt,nyg,MannEl00,pass_long,54,,,,,
player,201009190clt,nyg,MannEl00,pass_rating,85.6,,,,,
player,201009190clt,nyg,MannEl00,rush_att,1,,,,,
player,201009190clt,nyg,MannEl00,rush_yds,6,,,,,
player,201009190clt,nyg,MannEl00,rush_td,0,,,,,
player,201009190clt,nyg,MannEl00,rush_long,6,,,,,
player,201009190clt,nyg,MannEl00,targets,0,,,,,
player,201009190clt,nyg,MannEl00,rec,0,,,,,
player,201009190clt,nyg,MannEl00,rec_yds,0,,,,,
player,201009190clt,nyg,MannEl00,rec_td,0,,,,,
player,201009190clt,nyg,MannEl00,rec_long,0,,,,,
player,201009190clt,nyg,MannEl00,fumbles,3,,,,,
player,201009190clt,nyg,MannEl00,fumbles_lost,2,,,,,
player,201009190clt,nyg,BradAh00,pass_cmp,0,,,,,
player,201009190clt,nyg,BradAh00,pass_att,0,,,,,
player,201009190clt,nyg,BradAh00,pass_yds,0,,,,,
player,201009190clt,nyg,BradAh00,pass_td,0,,,,,
player,201009190clt,nyg,BradAh00,pass_int,0,,,,,
player,201009190clt,nyg,BradAh00,pass_sacked,,,,,,
player,201009190clt,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201009190clt,nyg,BradAh00,pass_long,0,,,,,
player,201009190clt,nyg,BradAh00,pass_rating,,,,,,
player,201009190clt,nyg,BradAh00,rush_att,17,,,,,
player,201009190clt,nyg,BradAh00,rush_yds,89,,,,,
player,201009190clt,nyg,BradAh00,rush_td,0,,,,,
player,201009190clt,nyg,BradAh00,rush_long,12,,,,,
player,201009190clt,nyg,BradAh00,targets,1,,,,,
player,201009190clt,nyg,BradAh00,rec,0,,,,,
player,201009190clt,nyg,BradAh00,rec_yds,0,,,,,
player,201009190clt,nyg,BradAh00,rec_td,0,,,,,
player,201009190clt,nyg,BradAh00,rec_long,0,,,,,
player,201009190clt,nyg,BradAh00,fumbles,0,,,,,
player,201009190clt,nyg,BradAh00,fumbles_lost,,,,,,
player,201009190clt,nyg,WareDa00,pass_cmp,0,,,,,
player,201009190clt,nyg,WareDa00,pass_att,0,,,,,
player,201009190clt,nyg,WareDa00,pass_yds,0,,,,,
player,201009190clt,nyg,WareDa00,pass_td,0,,,,,
player,201009190clt,nyg,WareDa00,pass_int,0,,,,,
player,201009190clt,nyg,WareDa00,pass_sacked,,,,,,
player,201009190clt,nyg,WareDa00,pass_sacked_yds,,,,,,
player,201009190clt,nyg,WareDa00,pass_long,0,,,,,
player,201009190clt,nyg,WareDa00,pass_rating,,,,,,
player,201009190clt,nyg,WareDa00,rush_att,2,,,,,
player,201009190clt,nyg,WareDa00,rush_yds,15,,,,,
player,201009190clt,nyg,WareDa00,rush_td,0,,,,,
player,201009190clt,nyg,WareDa00,rush_long,14,,,,,
player,201009190clt,nyg,WareDa00,targets,1,,,,,
player,201009190clt,nyg,WareDa00,rec,1,,,,,
player,201009190clt,nyg,WareDa00,rec_yds,5,,,,,
player,201009190clt,nyg,WareDa00,rec_td,0,,,,,
player,201009190clt,nyg,WareDa00,rec_long,5,,,,,
player,201009190clt,nyg,WareDa00,fumbles,0,,,,,
player,201009190clt,nyg,WareDa00,fumbles_lost,,,,,,
player,201009190clt,nyg,JacoBr00,pass_cmp,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_att,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_yds,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_td,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_int,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_sacked,,,,,,
player,201009190clt,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201009190clt,nyg,JacoBr00,pass_long,0,,,,,
player,201009190clt,nyg,JacoBr00,pass_rating,,,,,,
player,201009190clt,nyg,JacoBr00,rush_att,4,,,,,
player,201009190clt,nyg,JacoBr00,rush_yds,8,,,,,
player,201009190clt,nyg,JacoBr00,rush_td,0,,,,,
player,201009190clt,nyg,JacoBr00,rush_long,5,,,,,
player,201009190clt,nyg,JacoBr00,targets,0,,,,,
player,201009190clt,nyg,JacoBr00,rec,0,,,,,
player,201009190clt,nyg,JacoBr00,rec_yds,0,,,,,
player,201009190clt,nyg,JacoBr00,rec_td,0,,,,,
player,201009190clt,nyg,JacoBr00,rec_long,0,,,,,
player,201009190clt,nyg,JacoBr00,fumbles,0,,,,,
player,201009190clt,nyg,JacoBr00,fumbles_lost,,,,,,
player,201009190clt,nyg,MannMa01,pass_cmp,0,,,,,
player,201009190clt,nyg,MannMa01,pass_att,0,,,,,
player,201009190clt,nyg,MannMa01,pass_yds,0,,,,,
player,201009190clt,nyg,MannMa01,pass_td,0,,,,,
player,201009190clt,nyg,MannMa01,pass_int,0,,,,,
player,201009190clt,nyg,MannMa01,pass_sacked,,,,,,
player,201009190clt,nyg,MannMa01,pass_sacked_yds,,,,,,
player,201009190clt,nyg,MannMa01,pass_long,0,,,,,
player,201009190clt,nyg,MannMa01,pass_rating,,,,,,
player,201009190clt,nyg,MannMa01,rush_att,1,,,,,
player,201009190clt,nyg,MannMa01,rush_yds,2,,,,,
player,201009190clt,nyg,MannMa01,rush_td,0,,,,,
player,201009190clt,nyg,MannMa01,rush_long,2,,,,,
player,201009190clt,nyg,MannMa01,targets,6,,,,,
player,201009190clt,nyg,MannMa01,rec,4,,,,,
player,201009190clt,nyg,MannMa01,rec_yds,75,,,,,
player,201009190clt,nyg,MannMa01,rec_td,1,,,,,
player,201009190clt,nyg,MannMa01,rec_long,54,,,,,
player,201009190clt,nyg,MannMa01,fumbles,0,,,,,
player,201009190clt,nyg,MannMa01,fumbles_lost,,,,,,
player,201009190clt,nyg,NickHa01,pass_cmp,0,,,,,
player,201009190clt,nyg,NickHa01,pass_att,0,,,,,
player,201009190clt,nyg,NickHa01,pass_yds,0,,,,,
player,201009190clt,nyg,NickHa01,pass_td,0,,,,,
player,201009190clt,nyg,NickHa01,pass_int,0,,,,,
player,201009190clt,nyg,NickHa01,pass_sacked,,,,,,
player,201009190clt,nyg,NickHa01,pass_sacked_yds,,,,,,
player,201009190clt,nyg,NickHa01,pass_long,0,,,,,
player,201009190clt,nyg,NickHa01,pass_rating,,,,,,
player,201009190clt,nyg,NickHa01,rush_att,0,,,,,
player,201009190clt,nyg,NickHa01,rush_yds,0,,,,,
player,201009190clt,nyg,NickHa01,rush_td,0,,,,,
player,201009190clt,nyg,NickHa01,rush_long,0,,,,,
player,201009190clt,nyg,NickHa01,targets,5,,,,,
player,201009190clt,nyg,NickHa01,rec,2,,,,,
player,201009190clt,nyg,NickHa01,rec_yds,38,,,,,
player,201009190clt,nyg,NickHa01,rec_td,1,,,,,
player,201009190clt,nyg,NickHa01,rec_long,31,,,,,
player,201009190clt,nyg,NickHa01,fumbles,0,,,,,
player,201009190clt,nyg,NickHa01,fumbles_lost,,,,,,
player,201009190clt,nyg,SmitSt02,pass_cmp,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_att,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_yds,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_td,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_int,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_sacked,,,,,,
player,201009190clt,nyg,SmitSt02,pass_sacked_yds,,,,,,
player,201009190clt,nyg,SmitSt02,pass_long,0,,,,,
player,201009190clt,nyg,SmitSt02,pass_rating,,,,,,
player,201009190clt,nyg,SmitSt02,rush_att,0,,,,,
player,201009190clt,nyg,SmitSt02,rush_yds,0,,,,,
player,201009190clt,nyg,SmitSt02,rush_td,0,,,,,
player,201009190clt,nyg,SmitSt02,rush_long,0,,,,,
player,201009190clt,nyg,SmitSt02,targets,9,,,,,
player,201009190clt,nyg,SmitSt02,rec,4,,,,,
player,201009190clt,nyg,SmitSt02,rec_yds,35,,,,,
