game,2010,11,20101121,201011210ram,atl,"Atlanta Falcons",34,ram,"St. Louis Rams",17
team,201011210ram,atl,First Downs,24,,,,,,
team,201011210ram,ram,First Downs,15,,,,,,
team,201011210ram,atl,Rush-Yds-TDs,31-138-1,,,,,,
team,201011210ram,ram,Rush-Yds-TDs,12-71-0,,,,,,
team,201011210ram,atl,Cmp-Att-Yd-TD-INT,26-39-253-2-0,,,,,,
team,201011210ram,ram,Cmp-Att-Yd-TD-INT,27-42-233-2-1,,,,,,
team,201011210ram,atl,Sacked-Yards,0-0,,,,,,
team,201011210ram,ram,Sacked-Yards,0-0,,,,,,
team,201011210ram,atl,Net Pass Yards,253,,,,,,
team,201011210ram,ram,Net Pass Yards,233,,,,,,
team,201011210ram,atl,Total Yards,391,,,,,,
team,201011210ram,ram,Total Yards,304,,,,,,
team,201011210ram,atl,Fumbles-Lost,0-0,,,,,,
team,201011210ram,ram,Fumbles-Lost,0-0,,,,,,
team,201011210ram,atl,Turnovers,0,,,,,,
team,201011210ram,ram,Turnovers,1,,,,,,
team,201011210ram,atl,Penalties-Yards,3-30,,,,,,
team,201011210ram,ram,Penalties-Yards,7-54,,,,,,
team,201011210ram,atl,Third Down Conv.,9-17,,,,,,
team,201011210ram,ram,Third Down Conv.,1-10,,,,,,
team,201011210ram,atl,Fourth Down Conv.,0-0,,,,,,
team,201011210ram,ram,Fourth Down Conv.,1-2,,,,,,
team,201011210ram,atl,Time of Possession,35:55,,,,,,
team,201011210ram,ram,Time of Possession,24:05,,,,,,
player,201011210ram,atl,RyanMa00,pass_cmp,26,,,,,
player,201011210ram,atl,RyanMa00,pass_att,39,,,,,
player,201011210ram,atl,RyanMa00,pass_yds,253,,,,,
player,201011210ram,atl,RyanMa00,pass_td,2,,,,,
player,201011210ram,atl,RyanMa00,pass_int,0,,,,,
player,201011210ram,atl,RyanMa00,pass_sacked,0,,,,,
player,201011210ram,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201011210ram,atl,RyanMa00,pass_long,26,,,,,
player,201011210ram,atl,RyanMa00,pass_rating,101.8,,,,,
player,201011210ram,atl,RyanMa00,rush_att,1,,,,,
player,201011210ram,atl,RyanMa00,rush_yds,8,,,,,
player,201011210ram,atl,RyanMa00,rush_td,0,,,,,
player,201011210ram,atl,RyanMa00,rush_long,8,,,,,
player,201011210ram,atl,RyanMa00,targets,0,,,,,
player,201011210ram,atl,RyanMa00,rec,0,,,,,
player,201011210ram,atl,RyanMa00,rec_yds,0,,,,,
player,201011210ram,atl,RyanMa00,rec_td,0,,,,,
player,201011210ram,atl,RyanMa00,rec_long,0,,,,,
player,201011210ram,atl,RyanMa00,fumbles,0,,,,,
player,201011210ram,atl,RyanMa00,fumbles_lost,,,,,,
player,201011210ram,atl,TurnMi00,pass_cmp,0,,,,,
player,201011210ram,atl,TurnMi00,pass_att,0,,,,,
player,201011210ram,atl,TurnMi00,pass_yds,0,,,,,
player,201011210ram,atl,TurnMi00,pass_td,0,,,,,
player,201011210ram,atl,TurnMi00,pass_int,0,,,,,
player,201011210ram,atl,TurnMi00,pass_sacked,,,,,,
player,201011210ram,atl,TurnMi00,pass_sacked_yds,,,,,,
player,201011210ram,atl,TurnMi00,pass_long,0,,,,,
player,201011210ram,atl,TurnMi00,pass_rating,,,,,,
player,201011210ram,atl,TurnMi00,rush_att,28,,,,,
player,201011210ram,atl,TurnMi00,rush_yds,131,,,,,
player,201011210ram,atl,TurnMi00,rush_td,1,,,,,
player,201011210ram,atl,TurnMi00,rush_long,39,,,,,
player,201011210ram,atl,TurnMi00,targets,1,,,,,
player,201011210ram,atl,TurnMi00,rec,1,,,,,
player,201011210ram,atl,TurnMi00,rec_yds,-4,,,,,
player,201011210ram,atl,TurnMi00,rec_td,0,,,,,
player,201011210ram,atl,TurnMi00,rec_long,-4,,,,,
player,201011210ram,atl,TurnMi00,fumbles,0,,,,,
player,201011210ram,atl,TurnMi00,fumbles_lost,,,,,,
player,201011210ram,atl,SnelJa00,pass_cmp,0,,,,,
player,201011210ram,atl,SnelJa00,pass_att,0,,,,,
player,201011210ram,atl,SnelJa00,pass_yds,0,,,,,
player,201011210ram,atl,SnelJa00,pass_td,0,,,,,
player,201011210ram,atl,SnelJa00,pass_int,0,,,,,
player,201011210ram,atl,SnelJa00,pass_sacked,,,,,,
player,201011210ram,atl,SnelJa00,pass_sacked_yds,,,,,,
player,201011210ram,atl,SnelJa00,pass_long,0,,,,,
player,201011210ram,atl,SnelJa00,pass_rating,,,,,,
player,201011210ram,atl,SnelJa00,rush_att,1,,,,,
player,201011210ram,atl,SnelJa00,rush_yds,2,,,,,
player,201011210ram,atl,SnelJa00,rush_td,0,,,,,
player,201011210ram,atl,SnelJa00,rush_long,2,,,,,
player,201011210ram,atl,SnelJa00,targets,3,,,,,
player,201011210ram,atl,SnelJa00,rec,3,,,,,
player,201011210ram,atl,SnelJa00,rec_yds,26,,,,,
player,201011210ram,atl,SnelJa00,rec_td,0,,,,,
player,201011210ram,atl,SnelJa00,rec_long,15,,,,,
player,201011210ram,atl,SnelJa00,fumbles,0,,,,,
player,201011210ram,atl,SnelJa00,fumbles_lost,,,,,,
player,201011210ram,atl,WhitRo00,pass_cmp,0,,,,,
player,201011210ram,atl,WhitRo00,pass_att,0,,,,,
player,201011210ram,atl,WhitRo00,pass_yds,0,,,,,
player,201011210ram,atl,WhitRo00,pass_td,0,,,,,
player,201011210ram,atl,WhitRo00,pass_int,0,,,,,
player,201011210ram,atl,WhitRo00,pass_sacked,,,,,,
player,201011210ram,atl,WhitRo00,pass_sacked_yds,,,,,,
player,201011210ram,atl,WhitRo00,pass_long,0,,,,,
player,201011210ram,atl,WhitRo00,pass_rating,,,,,,
player,201011210ram,atl,WhitRo00,rush_att,0,,,,,
player,201011210ram,atl,WhitRo00,rush_yds,0,,,,,
player,201011210ram,atl,WhitRo00,rush_td,0,,,,,
player,201011210ram,atl,WhitRo00,rush_long,0,,,,,
player,201011210ram,atl,WhitRo00,targets,11,,,,,
player,201011210ram,atl,WhitRo00,rec,9,,,,,
player,201011210ram,atl,WhitRo00,rec_yds,83,,,,,
player,201011210ram,atl,WhitRo00,rec_td,0,,,,,
player,201011210ram,atl,WhitRo00,rec_long,26,,,,,
player,201011210ram,atl,WhitRo00,fumbles,0,,,,,
player,201011210ram,atl,WhitRo00,fumbles_lost,,,,,,
player,201011210ram,atl,JenkMi00,pass_cmp,0,,,,,
player,201011210ram,atl,JenkMi00,pass_att,0,,,,,
player,201011210ram,atl,JenkMi00,pass_yds,0,,,,,
player,201011210ram,atl,JenkMi00,pass_td,0,,,,,
player,201011210ram,atl,JenkMi00,pass_int,0,,,,,
player,201011210ram,atl,JenkMi00,pass_sacked,,,,,,
player,201011210ram,atl,JenkMi00,pass_sacked_yds,,,,,,
player,201011210ram,atl,JenkMi00,pass_long,0,,,,,
player,201011210ram,atl,JenkMi00,pass_rating,,,,,,
player,201011210ram,atl,JenkMi00,rush_att,0,,,,,
player,201011210ram,atl,JenkMi00,rush_yds,0,,,,,
player,201011210ram,atl,JenkMi00,rush_td,0,,,,,
player,201011210ram,atl,JenkMi00,rush_long,0,,,,,
player,201011210ram,atl,JenkMi00,targets,8,,,,,
player,201011210ram,atl,JenkMi00,rec,5,,,,,
player,201011210ram,atl,JenkMi00,rec_yds,58,,,,,
player,201011210ram,atl,JenkMi00,rec_td,0,,,,,
player,201011210ram,atl,JenkMi00,rec_long,19,,,,,
player,201011210ram,atl,JenkMi00,fumbles,0,,,,,
player,201011210ram,atl,JenkMi00,fumbles_lost,,,,,,
player,201011210ram,atl,GonzTo00,pass_cmp,0,,,,,
player,201011210ram,atl,GonzTo00,pass_att,0,,,,,
player,201011210ram,atl,GonzTo00,pass_yds,0,,,,,
player,201011210ram,atl,GonzTo00,pass_td,0,,,,,
player,201011210ram,atl,GonzTo00,pass_int,0,,,,,
player,201011210ram,atl,GonzTo00,pass_sacked,,,,,,
