game,2010,7,20101024,201010240car,sfo,"San Francisco 49ers",20,car,"Carolina Panthers",23
team,201010240car,sfo,First Downs,15,,,,,,
team,201010240car,car,First Downs,22,,,,,,
team,201010240car,sfo,Rush-Yds-TDs,22-99-0,,,,,,
team,201010240car,car,Rush-Yds-TDs,34-76-0,,,,,,
team,201010240car,sfo,Cmp-Att-Yd-TD-INT,14-32-196-1-1,,,,,,
team,201010240car,car,Cmp-Att-Yd-TD-INT,28-41-308-2-1,,,,,,
team,201010240car,sfo,Sacked-Yards,2-13,,,,,,
team,201010240car,car,Sacked-Yards,1-5,,,,,,
team,201010240car,sfo,Net Pass Yards,183,,,,,,
team,201010240car,car,Net Pass Yards,303,,,,,,
team,201010240car,sfo,Total Yards,282,,,,,,
team,201010240car,car,Total Yards,379,,,,,,
team,201010240car,sfo,Fumbles-Lost,0-0,,,,,,
team,201010240car,car,Fumbles-Lost,3-2,,,,,,
team,201010240car,sfo,Turnovers,1,,,,,,
team,201010240car,car,Turnovers,3,,,,,,
team,201010240car,sfo,Penalties-Yards,11-81,,,,,,
team,201010240car,car,Penalties-Yards,4-35,,,,,,
team,201010240car,sfo,Third Down Conv.,4-13,,,,,,
team,201010240car,car,Third Down Conv.,7-15,,,,,,
team,201010240car,sfo,Fourth Down Conv.,0-0,,,,,,
team,201010240car,car,Fourth Down Conv.,0-1,,,,,,
team,201010240car,sfo,Time of Possession,23:55,,,,,,
team,201010240car,car,Time of Possession,36:05,,,,,,
player,201010240car,sfo,SmitAl03,pass_cmp,9,,,,,
player,201010240car,sfo,SmitAl03,pass_att,19,,,,,
player,201010240car,sfo,SmitAl03,pass_yds,129,,,,,
player,201010240car,sfo,SmitAl03,pass_td,1,,,,,
player,201010240car,sfo,SmitAl03,pass_int,0,,,,,
player,201010240car,sfo,SmitAl03,pass_sacked,1,,,,,
player,201010240car,sfo,SmitAl03,pass_sacked_yds,8,,,,,
player,201010240car,sfo,SmitAl03,pass_long,53,,,,,
player,201010240car,sfo,SmitAl03,pass_rating,87.4,,,,,
player,201010240car,sfo,SmitAl03,rush_att,0,,,,,
player,201010240car,sfo,SmitAl03,rush_yds,0,,,,,
player,201010240car,sfo,SmitAl03,rush_td,0,,,,,
player,201010240car,sfo,SmitAl03,rush_long,0,,,,,
player,201010240car,sfo,SmitAl03,targets,0,,,,,
player,201010240car,sfo,SmitAl03,rec,0,,,,,
player,201010240car,sfo,SmitAl03,rec_yds,0,,,,,
player,201010240car,sfo,SmitAl03,rec_td,0,,,,,
player,201010240car,sfo,SmitAl03,rec_long,0,,,,,
player,201010240car,sfo,SmitAl03,fumbles,0,,,,,
player,201010240car,sfo,SmitAl03,fumbles_lost,,,,,,
player,201010240car,sfo,CarrDa00,pass_cmp,5,,,,,
player,201010240car,sfo,CarrDa00,pass_att,13,,,,,
player,201010240car,sfo,CarrDa00,pass_yds,67,,,,,
player,201010240car,sfo,CarrDa00,pass_td,0,,,,,
player,201010240car,sfo,CarrDa00,pass_int,1,,,,,
player,201010240car,sfo,CarrDa00,pass_sacked,1,,,,,
player,201010240car,sfo,CarrDa00,pass_sacked_yds,5,,,,,
player,201010240car,sfo,CarrDa00,pass_long,22,,,,,
player,201010240car,sfo,CarrDa00,pass_rating,23.6,,,,,
player,201010240car,sfo,CarrDa00,rush_att,0,,,,,
player,201010240car,sfo,CarrDa00,rush_yds,0,,,,,
player,201010240car,sfo,CarrDa00,rush_td,0,,,,,
player,201010240car,sfo,CarrDa00,rush_long,0,,,,,
player,201010240car,sfo,CarrDa00,targets,0,,,,,
player,201010240car,sfo,CarrDa00,rec,0,,,,,
player,201010240car,sfo,CarrDa00,rec_yds,0,,,,,
player,201010240car,sfo,CarrDa00,rec_td,0,,,,,
player,201010240car,sfo,CarrDa00,rec_long,0,,,,,
player,201010240car,sfo,CarrDa00,fumbles,0,,,,,
player,201010240car,sfo,CarrDa00,fumbles_lost,,,,,,
player,201010240car,sfo,GoreFr00,pass_cmp,0,,,,,
player,201010240car,sfo,GoreFr00,pass_att,0,,,,,
player,201010240car,sfo,GoreFr00,pass_yds,0,,,,,
player,201010240car,sfo,GoreFr00,pass_td,0,,,,,
player,201010240car,sfo,GoreFr00,pass_int,0,,,,,
player,201010240car,sfo,GoreFr00,pass_sacked,,,,,,
player,201010240car,sfo,GoreFr00,pass_sacked_yds,,,,,,
player,201010240car,sfo,GoreFr00,pass_long,0,,,,,
player,201010240car,sfo,GoreFr00,pass_rating,,,,,,
player,201010240car,sfo,GoreFr00,rush_att,19,,,,,
player,201010240car,sfo,GoreFr00,rush_yds,102,,,,,
player,201010240car,sfo,GoreFr00,rush_td,0,,,,,
player,201010240car,sfo,GoreFr00,rush_long,20,,,,,
player,201010240car,sfo,GoreFr00,targets,8,,,,,
player,201010240car,sfo,GoreFr00,rec,4,,,,,
player,201010240car,sfo,GoreFr00,rec_yds,57,,,,,
player,201010240car,sfo,GoreFr00,rec_td,0,,,,,
player,201010240car,sfo,GoreFr00,rec_long,22,,,,,
player,201010240car,sfo,GoreFr00,fumbles,0,,,,,
player,201010240car,sfo,GoreFr00,fumbles_lost,,,,,,
player,201010240car,sfo,MorgJo00,pass_cmp,0,,,,,
player,201010240car,sfo,MorgJo00,pass_att,0,,,,,
player,201010240car,sfo,MorgJo00,pass_yds,0,,,,,
player,201010240car,sfo,MorgJo00,pass_td,0,,,,,
player,201010240car,sfo,MorgJo00,pass_int,0,,,,,
player,201010240car,sfo,MorgJo00,pass_sacked,,,,,,
player,201010240car,sfo,MorgJo00,pass_sacked_yds,,,,,,
player,201010240car,sfo,MorgJo00,pass_long,0,,,,,
player,201010240car,sfo,MorgJo00,pass_rating,,,,,,
player,201010240car,sfo,MorgJo00,rush_att,1,,,,,
player,201010240car,sfo,MorgJo00,rush_yds,4,,,,,
player,201010240car,sfo,MorgJo00,rush_td,0,,,,,
player,201010240car,sfo,MorgJo00,rush_long,4,,,,,
player,201010240car,sfo,MorgJo00,targets,5,,,,,
player,201010240car,sfo,MorgJo00,rec,2,,,,,
player,201010240car,sfo,MorgJo00,rec_yds,34,,,,,
player,201010240car,sfo,MorgJo00,rec_td,0,,,,,
player,201010240car,sfo,MorgJo00,rec_long,22,,,,,
player,201010240car,sfo,MorgJo00,fumbles,0,,,,,
