game,2010,7,20101024,201010240sdg,nwe,"New England Patriots",23,sdg,"San Diego Chargers",20
team,201010240sdg,nwe,First Downs,15,,,,,,
team,201010240sdg,sdg,First Downs,23,,,,,,
team,201010240sdg,nwe,Rush-Yds-TDs,22-51-1,,,,,,
team,201010240sdg,sdg,Rush-Yds-TDs,19-38-1,,,,,,
team,201010240sdg,nwe,Cmp-Att-Yd-TD-INT,19-32-159-1-0,,,,,,
team,201010240sdg,sdg,Cmp-Att-Yd-TD-INT,34-50-336-1-1,,,,,,
team,201010240sdg,nwe,Sacked-Yards,4-31,,,,,,
team,201010240sdg,sdg,Sacked-Yards,2-11,,,,,,
team,201010240sdg,nwe,Net Pass Yards,128,,,,,,
team,201010240sdg,sdg,Net Pass Yards,325,,,,,,
team,201010240sdg,nwe,Total Yards,179,,,,,,
team,201010240sdg,sdg,Total Yards,363,,,,,,
team,201010240sdg,nwe,Fumbles-Lost,0-0,,,,,,
team,201010240sdg,sdg,Fumbles-Lost,4-3,,,,,,
team,201010240sdg,nwe,Turnovers,0,,,,,,
team,201010240sdg,sdg,Turnovers,4,,,,,,
team,201010240sdg,nwe,Penalties-Yards,7-51,,,,,,
team,201010240sdg,sdg,Penalties-Yards,6-69,,,,,,
team,201010240sdg,nwe,Third Down Conv.,3-12,,,,,,
team,201010240sdg,sdg,Third Down Conv.,7-15,,,,,,
team,201010240sdg,nwe,Fourth Down Conv.,1-2,,,,,,
team,201010240sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201010240sdg,nwe,Time of Possession,25:35,,,,,,
team,201010240sdg,sdg,Time of Possession,34:25,,,,,,
player,201010240sdg,nwe,BradTo00,pass_cmp,19,,,,,
player,201010240sdg,nwe,BradTo00,pass_att,32,,,,,
player,201010240sdg,nwe,BradTo00,pass_yds,159,,,,,
player,201010240sdg,nwe,BradTo00,pass_td,1,,,,,
player,201010240sdg,nwe,BradTo00,pass_int,0,,,,,
player,201010240sdg,nwe,BradTo00,pass_sacked,4,,,,,
player,201010240sdg,nwe,BradTo00,pass_sacked_yds,31,,,,,
player,201010240sdg,nwe,BradTo00,pass_long,24,,,,,
player,201010240sdg,nwe,BradTo00,pass_rating,82.7,,,,,
player,201010240sdg,nwe,BradTo00,rush_att,2,,,,,
player,201010240sdg,nwe,BradTo00,rush_yds,1,,,,,
player,201010240sdg,nwe,BradTo00,rush_td,0,,,,,
player,201010240sdg,nwe,BradTo00,rush_long,2,,,,,
player,201010240sdg,nwe,BradTo00,targets,0,,,,,
player,201010240sdg,nwe,BradTo00,rec,0,,,,,
player,201010240sdg,nwe,BradTo00,rec_yds,0,,,,,
player,201010240sdg,nwe,BradTo00,rec_td,0,,,,,
player,201010240sdg,nwe,BradTo00,rec_long,0,,,,,
player,201010240sdg,nwe,BradTo00,fumbles,0,,,,,
player,201010240sdg,nwe,BradTo00,fumbles_lost,,,,,,
player,201010240sdg,nwe,WoodDa02,pass_cmp,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_att,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_yds,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_td,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_int,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_sacked,,,,,,
player,201010240sdg,nwe,WoodDa02,pass_sacked_yds,,,,,,
player,201010240sdg,nwe,WoodDa02,pass_long,0,,,,,
player,201010240sdg,nwe,WoodDa02,pass_rating,,,,,,
player,201010240sdg,nwe,WoodDa02,rush_att,8,,,,,
player,201010240sdg,nwe,WoodDa02,rush_yds,24,,,,,
player,201010240sdg,nwe,WoodDa02,rush_td,0,,,,,
player,201010240sdg,nwe,WoodDa02,rush_long,7,,,,,
player,201010240sdg,nwe,WoodDa02,targets,3,,,,,
player,201010240sdg,nwe,WoodDa02,rec,3,,,,,
player,201010240sdg,nwe,WoodDa02,rec_yds,28,,,,,
player,201010240sdg,nwe,WoodDa02,rec_td,0,,,,,
player,201010240sdg,nwe,WoodDa02,rec_long,16,,,,,
player,201010240sdg,nwe,WoodDa02,fumbles,0,,,,,
player,201010240sdg,nwe,WoodDa02,fumbles_lost,,,,,,
player,201010240sdg,nwe,GreeBe00,pass_cmp,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_att,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_yds,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_td,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_int,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_sacked,,,,,,
player,201010240sdg,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201010240sdg,nwe,GreeBe00,pass_long,0,,,,,
player,201010240sdg,nwe,GreeBe00,pass_rating,,,,,,
player,201010240sdg,nwe,GreeBe00,rush_att,11,,,,,
player,201010240sdg,nwe,GreeBe00,rush_yds,24,,,,,
