game,2010,10,20101114,201011140clt,cin,"Cincinnati Bengals",17,clt,"Indianapolis Colts",23
team,201011140clt,cin,First Downs,19,,,,,,
team,201011140clt,clt,First Downs,16,,,,,,
team,201011140clt,cin,Rush-Yds-TDs,20-72-0,,,,,,
team,201011140clt,clt,Rush-Yds-TDs,22-76-1,,,,,,
team,201011140clt,cin,Cmp-Att-Yd-TD-INT,31-42-292-2-3,,,,,,
team,201011140clt,clt,Cmp-Att-Yd-TD-INT,20-36-185-0-0,,,,,,
team,201011140clt,cin,Sacked-Yards,3-23,,,,,,
team,201011140clt,clt,Sacked-Yards,2-5,,,,,,
team,201011140clt,cin,Net Pass Yards,269,,,,,,
team,201011140clt,clt,Net Pass Yards,180,,,,,,
team,201011140clt,cin,Total Yards,341,,,,,,
team,201011140clt,clt,Total Yards,256,,,,,,
team,201011140clt,cin,Fumbles-Lost,2-2,,,,,,
team,201011140clt,clt,Fumbles-Lost,0-0,,,,,,
team,201011140clt,cin,Turnovers,5,,,,,,
team,201011140clt,clt,Turnovers,0,,,,,,
team,201011140clt,cin,Penalties-Yards,4-38,,,,,,
team,201011140clt,clt,Penalties-Yards,5-45,,,,,,
team,201011140clt,cin,Third Down Conv.,5-13,,,,,,
team,201011140clt,clt,Third Down Conv.,5-14,,,,,,
team,201011140clt,cin,Fourth Down Conv.,1-1,,,,,,
team,201011140clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201011140clt,cin,Time of Possession,34:11,,,,,,
team,201011140clt,clt,Time of Possession,25:49,,,,,,
player,201011140clt,cin,PalmCa00,pass_cmp,31,,,,,
player,201011140clt,cin,PalmCa00,pass_att,42,,,,,
player,201011140clt,cin,PalmCa00,pass_yds,292,,,,,
player,201011140clt,cin,PalmCa00,pass_td,2,,,,,
player,201011140clt,cin,PalmCa00,pass_int,3,,,,,
player,201011140clt,cin,PalmCa00,pass_sacked,3,,,,,
player,201011140clt,cin,PalmCa00,pass_sacked_yds,23,,,,,
player,201011140clt,cin,PalmCa00,pass_long,25,,,,,
player,201011140clt,cin,PalmCa00,pass_rating,78.7,,,,,
player,201011140clt,cin,PalmCa00,rush_att,0,,,,,
player,201011140clt,cin,PalmCa00,rush_yds,0,,,,,
player,201011140clt,cin,PalmCa00,rush_td,0,,,,,
player,201011140clt,cin,PalmCa00,rush_long,0,,,,,
player,201011140clt,cin,PalmCa00,targets,0,,,,,
player,201011140clt,cin,PalmCa00,rec,0,,,,,
player,201011140clt,cin,PalmCa00,rec_yds,0,,,,,
player,201011140clt,cin,PalmCa00,rec_td,0,,,,,
player,201011140clt,cin,PalmCa00,rec_long,0,,,,,
player,201011140clt,cin,PalmCa00,fumbles,0,,,,,
player,201011140clt,cin,PalmCa00,fumbles_lost,,,,,,
player,201011140clt,cin,LeonBr00,pass_cmp,0,,,,,
player,201011140clt,cin,LeonBr00,pass_att,0,,,,,
player,201011140clt,cin,LeonBr00,pass_yds,0,,,,,
player,201011140clt,cin,LeonBr00,pass_td,0,,,,,
player,201011140clt,cin,LeonBr00,pass_int,0,,,,,
player,201011140clt,cin,LeonBr00,pass_sacked,,,,,,
player,201011140clt,cin,LeonBr00,pass_sacked_yds,,,,,,
player,201011140clt,cin,LeonBr00,pass_long,0,,,,,
player,201011140clt,cin,LeonBr00,pass_rating,,,,,,
player,201011140clt,cin,LeonBr00,rush_att,1,,,,,
player,201011140clt,cin,LeonBr00,rush_yds,42,,,,,
player,201011140clt,cin,LeonBr00,rush_td,0,,,,,
player,201011140clt,cin,LeonBr00,rush_long,42,,,,,
player,201011140clt,cin,LeonBr00,targets,2,,,,,
player,201011140clt,cin,LeonBr00,rec,2,,,,,
player,201011140clt,cin,LeonBr00,rec_yds,8,,,,,
player,201011140clt,cin,LeonBr00,rec_td,0,,,,,
player,201011140clt,cin,LeonBr00,rec_long,5,,,,,
player,201011140clt,cin,LeonBr00,fumbles,0,,,,,
player,201011140clt,cin,LeonBr00,fumbles_lost,,,,,,
player,201011140clt,cin,BensCe00,pass_cmp,0,,,,,
player,201011140clt,cin,BensCe00,pass_att,0,,,,,
player,201011140clt,cin,BensCe00,pass_yds,0,,,,,
player,201011140clt,cin,BensCe00,pass_td,0,,,,,
player,201011140clt,cin,BensCe00,pass_int,0,,,,,
player,201011140clt,cin,BensCe00,pass_sacked,,,,,,
player,201011140clt,cin,BensCe00,pass_sacked_yds,,,,,,
player,201011140clt,cin,BensCe00,pass_long,0,,,,,
player,201011140clt,cin,BensCe00,pass_rating,,,,,,
player,201011140clt,cin,BensCe00,rush_att,14,,,,,
player,201011140clt,cin,BensCe00,rush_yds,24,,,,,
player,201011140clt,cin,BensCe00,rush_td,0,,,,,
player,201011140clt,cin,BensCe00,rush_long,6,,,,,
player,201011140clt,cin,BensCe00,targets,5,,,,,
player,201011140clt,cin,BensCe00,rec,5,,,,,
player,201011140clt,cin,BensCe00,rec_yds,27,,,,,
player,201011140clt,cin,BensCe00,rec_td,0,,,,,
player,201011140clt,cin,BensCe00,rec_long,8,,,,,
player,201011140clt,cin,BensCe00,fumbles,1,,,,,
player,201011140clt,cin,BensCe00,fumbles_lost,1,,,,,
player,201011140clt,cin,ScotBe00,pass_cmp,0,,,,,
player,201011140clt,cin,ScotBe00,pass_att,0,,,,,
player,201011140clt,cin,ScotBe00,pass_yds,0,,,,,
player,201011140clt,cin,ScotBe00,pass_td,0,,,,,
player,201011140clt,cin,ScotBe00,pass_int,0,,,,,
player,201011140clt,cin,ScotBe00,pass_sacked,,,,,,
player,201011140clt,cin,ScotBe00,pass_sacked_yds,,,,,,
player,201011140clt,cin,ScotBe00,pass_long,0,,,,,
player,201011140clt,cin,ScotBe00,pass_rating,,,,,,
player,201011140clt,cin,ScotBe00,rush_att,4,,,,,
player,201011140clt,cin,ScotBe00,rush_yds,8,,,,,
player,201011140clt,cin,ScotBe00,rush_td,0,,,,,
player,201011140clt,cin,ScotBe00,rush_long,7,,,,,
player,201011140clt,cin,ScotBe00,targets,0,,,,,
player,201011140clt,cin,ScotBe00,rec,0,,,,,
player,201011140clt,cin,ScotBe00,rec_yds,0,,,,,
player,201011140clt,cin,ScotBe00,rec_td,0,,,,,
player,201011140clt,cin,ScotBe00,rec_long,0,,,,,
player,201011140clt,cin,ScotBe00,fumbles,0,,,,,
player,201011140clt,cin,ScotBe00,fumbles_lost,,,,,,
player,201011140clt,cin,JohnCh01,pass_cmp,0,,,,,
player,201011140clt,cin,JohnCh01,pass_att,0,,,,,
player,201011140clt,cin,JohnCh01,pass_yds,0,,,,,
player,201011140clt,cin,JohnCh01,pass_td,0,,,,,
player,201011140clt,cin,JohnCh01,pass_int,0,,,,,
player,201011140clt,cin,JohnCh01,pass_sacked,0,,,,,
player,201011140clt,cin,JohnCh01,pass_sacked_yds,0,,,,,
player,201011140clt,cin,JohnCh01,pass_long,0,,,,,
player,201011140clt,cin,JohnCh01,pass_rating,,,,,,
player,201011140clt,cin,JohnCh01,rush_att,0,,,,,
player,201011140clt,cin,JohnCh01,rush_yds,0,,,,,
player,201011140clt,cin,JohnCh01,rush_td,0,,,,,
player,201011140clt,cin,JohnCh01,rush_long,0,,,,,
player,201011140clt,cin,JohnCh01,targets,13,,,,,
player,201011140clt,cin,JohnCh01,rec,7,,,,,
player,201011140clt,cin,JohnCh01,rec_yds,86,,,,,
player,201011140clt,cin,JohnCh01,rec_td,1,,,,,
player,201011140clt,cin,JohnCh01,rec_long,25,,,,,
player,201011140clt,cin,JohnCh01,fumbles,0,,,,,
player,201011140clt,cin,JohnCh01,fumbles_lost,,,,,,
player,201011140clt,cin,GresJe00,pass_cmp,0,,,,,
player,201011140clt,cin,GresJe00,pass_att,0,,,,,
player,201011140clt,cin,GresJe00,pass_yds,0,,,,,
player,201011140clt,cin,GresJe00,pass_td,0,,,,,
player,201011140clt,cin,GresJe00,pass_int,0,,,,,
player,201011140clt,cin,GresJe00,pass_sacked,,,,,,
player,201011140clt,cin,GresJe00,pass_sacked_yds,,,,,,
player,201011140clt,cin,GresJe00,pass_long,0,,,,,
player,201011140clt,cin,GresJe00,pass_rating,,,,,,
player,201011140clt,cin,GresJe00,rush_att,0,,,,,
player,201011140clt,cin,GresJe00,rush_yds,0,,,,,
player,201011140clt,cin,GresJe00,rush_td,0,,,,,
player,201011140clt,cin,GresJe00,rush_long,0,,,,,
player,201011140clt,cin,GresJe00,targets,10,,,,,
player,201011140clt,cin,GresJe00,rec,9,,,,,
player,201011140clt,cin,GresJe00,rec_yds,85,,,,,
player,201011140clt,cin,GresJe00,rec_td,1,,,,,
player,201011140clt,cin,GresJe00,rec_long,19,,,,,
player,201011140clt,cin,GresJe00,fumbles,1,,,,,
player,201011140clt,cin,GresJe00,fumbles_lost,1,,,,,
player,201011140clt,cin,OwenTe00,pass_cmp,0,,,,,
player,201011140clt,cin,OwenTe00,pass_att,0,,,,,
player,201011140clt,cin,OwenTe00,pass_yds,0,,,,,
player,201011140clt,cin,OwenTe00,pass_td,0,,,,,
player,201011140clt,cin,OwenTe00,pass_int,0,,,,,
player,201011140clt,cin,OwenTe00,pass_sacked,,,,,,
player,201011140clt,cin,OwenTe00,pass_sacked_yds,,,,,,
player,201011140clt,cin,OwenTe00,pass_long,0,,,,,
player,201011140clt,cin,OwenTe00,pass_rating,,,,,,
player,201011140clt,cin,OwenTe00,rush_att,0,,,,,
player,201011140clt,cin,OwenTe00,rush_yds,0,,,,,
player,201011140clt,cin,OwenTe00,rush_td,0,,,,,
player,201011140clt,cin,OwenTe00,rush_long,0,,,,,
player,201011140clt,cin,OwenTe00,targets,8,,,,,
player,201011140clt,cin,OwenTe00,rec,4,,,,,
player,201011140clt,cin,OwenTe00,rec_yds,64,,,,,
player,201011140clt,cin,OwenTe00,rec_td,0,,,,,
player,201011140clt,cin,OwenTe00,rec_long,23,,,,,
player,201011140clt,cin,OwenTe00,fumbles,0,,,,,
player,201011140clt,cin,OwenTe00,fumbles_lost,,,,,,
player,201011140clt,cin,ShipJo00,pass_cmp,0,,,,,
player,201011140clt,cin,ShipJo00,pass_att,0,,,,,
player,201011140clt,cin,ShipJo00,pass_yds,0,,,,,
player,201011140clt,cin,ShipJo00,pass_td,0,,,,,
player,201011140clt,cin,ShipJo00,pass_int,0,,,,,
player,201011140clt,cin,ShipJo00,pass_sacked,,,,,,
player,201011140clt,cin,ShipJo00,pass_sacked_yds,,,,,,
player,201011140clt,cin,ShipJo00,pass_long,0,,,,,
player,201011140clt,cin,ShipJo00,pass_rating,,,,,,
player,201011140clt,cin,ShipJo00,rush_att,0,,,,,
player,201011140clt,cin,ShipJo00,rush_yds,0,,,,,
player,201011140clt,cin,ShipJo00,rush_td,0,,,,,
player,201011140clt,cin,ShipJo00,rush_long,0,,,,,
player,201011140clt,cin,ShipJo00,targets,2,,,,,
player,201011140clt,cin,ShipJo00,rec,2,,,,,
player,201011140clt,cin,ShipJo00,rec_yds,13,,,,,
player,201011140clt,cin,ShipJo00,rec_td,0,,,,,
player,201011140clt,cin,ShipJo00,rec_long,10,,,,,
player,201011140clt,cin,ShipJo00,fumbles,0,,,,,
player,201011140clt,cin,ShipJo00,fumbles_lost,,,,,,
player,201011140clt,cin,KellRe00,pass_cmp,0,,,,,
player,201011140clt,cin,KellRe00,pass_att,0,,,,,
player,201011140clt,cin,KellRe00,pass_yds,0,,,,,
player,201011140clt,cin,KellRe00,pass_td,0,,,,,
player,201011140clt,cin,KellRe00,pass_int,0,,,,,
player,201011140clt,cin,KellRe00,pass_sacked,,,,,,
player,201011140clt,cin,KellRe00,pass_sacked_yds,,,,,,
player,201011140clt,cin,KellRe00,pass_long,0,,,,,
player,201011140clt,cin,KellRe00,pass_rating,,,,,,
player,201011140clt,cin,KellRe00,rush_att,0,,,,,
player,201011140clt,cin,KellRe00,rush_yds,0,,,,,
player,201011140clt,cin,KellRe00,rush_td,0,,,,,
player,201011140clt,cin,KellRe00,rush_long,0,,,,,
player,201011140clt,cin,KellRe00,targets,2,,,,,
player,201011140clt,cin,KellRe00,rec,2,,,,,
player,201011140clt,cin,KellRe00,rec_yds,9,,,,,
player,201011140clt,cin,KellRe00,rec_td,0,,,,,
player,201011140clt,cin,KellRe00,rec_long,5,,,,,
player,201011140clt,cin,KellRe00,fumbles,0,,,,,
player,201011140clt,cin,KellRe00,fumbles_lost,,,,,,
player,201011140clt,cin,CaldAn00,pass_cmp,0,,,,,
player,201011140clt,cin,CaldAn00,pass_att,0,,,,,
player,201011140clt,cin,CaldAn00,pass_yds,0,,,,,
player,201011140clt,cin,CaldAn00,pass_td,0,,,,,
player,201011140clt,cin,CaldAn00,pass_int,0,,,,,
player,201011140clt,cin,CaldAn00,pass_sacked,,,,,,
player,201011140clt,cin,CaldAn00,pass_sacked_yds,,,,,,
player,201011140clt,cin,CaldAn00,pass_long,0,,,,,
player,201011140clt,cin,CaldAn00,pass_rating,,,,,,
player,201011140clt,cin,CaldAn00,rush_att,1,,,,,
player,201011140clt,cin,CaldAn00,rush_yds,-2,,,,,
player,201011140clt,cin,CaldAn00,rush_td,0,,,,,
player,201011140clt,cin,CaldAn00,rush_long,-2,,,,,
player,201011140clt,cin,CaldAn00,targets,0,,,,,
player,201011140clt,cin,CaldAn00,rec,0,,,,,
