game,2010,8,20101031,201010310det,was,"Washington Redskins",25,det,"Detroit Lions",37
team,201010310det,was,First Downs,13,,,,,,
team,201010310det,det,First Downs,19,,,,,,
team,201010310det,was,Rush-Yds-TDs,19-80-1,,,,,,
team,201010310det,det,Rush-Yds-TDs,25-102-0,,,,,,
team,201010310det,was,Cmp-Att-Yd-TD-INT,21-37-254-1-1,,,,,,
team,201010310det,det,Cmp-Att-Yd-TD-INT,26-45-212-4-1,,,,,,
team,201010310det,was,Sacked-Yards,7-59,,,,,,
team,201010310det,det,Sacked-Yards,1-10,,,,,,
team,201010310det,was,Net Pass Yards,195,,,,,,
team,201010310det,det,Net Pass Yards,202,,,,,,
team,201010310det,was,Total Yards,275,,,,,,
team,201010310det,det,Total Yards,304,,,,,,
team,201010310det,was,Fumbles-Lost,3-1,,,,,,
team,201010310det,det,Fumbles-Lost,1-1,,,,,,
team,201010310det,was,Turnovers,2,,,,,,
team,201010310det,det,Turnovers,2,,,,,,
team,201010310det,was,Penalties-Yards,10-77,,,,,,
team,201010310det,det,Penalties-Yards,7-65,,,,,,
team,201010310det,was,Third Down Conv.,2-14,,,,,,
team,201010310det,det,Third Down Conv.,4-17,,,,,,
team,201010310det,was,Fourth Down Conv.,1-2,,,,,,
team,201010310det,det,Fourth Down Conv.,1-1,,,,,,
team,201010310det,was,Time of Possession,27:50,,,,,,
team,201010310det,det,Time of Possession,32:10,,,,,,
player,201010310det,was,McNaDo00,pass_cmp,17,,,,,
player,201010310det,was,McNaDo00,pass_att,30,,,,,
player,201010310det,was,McNaDo00,pass_yds,210,,,,,
player,201010310det,was,McNaDo00,pass_td,1,,,,,
player,201010310det,was,McNaDo00,pass_int,1,,,,,
player,201010310det,was,McNaDo00,pass_sacked,6,,,,,
player,201010310det,was,McNaDo00,pass_sacked_yds,46,,,,,
player,201010310det,was,McNaDo00,pass_long,50,,,,,
player,201010310det,was,McNaDo00,pass_rating,75.7,,,,,
player,201010310det,was,McNaDo00,rush_att,4,,,,,
player,201010310det,was,McNaDo00,rush_yds,45,,,,,
player,201010310det,was,McNaDo00,rush_td,0,,,,,
player,201010310det,was,McNaDo00,rush_long,36,,,,,
player,201010310det,was,McNaDo00,targets,0,,,,,
player,201010310det,was,McNaDo00,rec,0,,,,,
player,201010310det,was,McNaDo00,rec_yds,0,,,,,
player,201010310det,was,McNaDo00,rec_td,0,,,,,
player,201010310det,was,McNaDo00,rec_long,0,,,,,
player,201010310det,was,McNaDo00,fumbles,1,,,,,
player,201010310det,was,McNaDo00,fumbles_lost,0,,,,,
player,201010310det,was,GrosRe00,pass_cmp,4,,,,,
player,201010310det,was,GrosRe00,pass_att,7,,,,,
player,201010310det,was,GrosRe00,pass_yds,44,,,,,
player,201010310det,was,GrosRe00,pass_td,0,,,,,
player,201010310det,was,GrosRe00,pass_int,0,,,,,
player,201010310det,was,GrosRe00,pass_sacked,1,,,,,
player,201010310det,was,GrosRe00,pass_sacked_yds,13,,,,,
player,201010310det,was,GrosRe00,pass_long,18,,,,,
player,201010310det,was,GrosRe00,pass_rating,75.9,,,,,
player,201010310det,was,GrosRe00,rush_att,0,,,,,
player,201010310det,was,GrosRe00,rush_yds,0,,,,,
player,201010310det,was,GrosRe00,rush_td,0,,,,,
player,201010310det,was,GrosRe00,rush_long,0,,,,,
player,201010310det,was,GrosRe00,targets,0,,,,,
player,201010310det,was,GrosRe00,rec,0,,,,,
player,201010310det,was,GrosRe00,rec_yds,0,,,,,
player,201010310det,was,GrosRe00,rec_td,0,,,,,
player,201010310det,was,GrosRe00,rec_long,0,,,,,
player,201010310det,was,GrosRe00,fumbles,1,,,,,
