game,2010,8,20101031,201010310nor,pit,"Pittsburgh Steelers",10,nor,"New Orleans Saints",20
team,201010310nor,pit,First Downs,13,,,,,,
team,201010310nor,nor,First Downs,19,,,,,,
team,201010310nor,pit,Rush-Yds-TDs,21-108-1,,,,,,
team,201010310nor,nor,Rush-Yds-TDs,21-30-0,,,,,,
team,201010310nor,pit,Cmp-Att-Yd-TD-INT,17-28-195-0-1,,,,,,
team,201010310nor,nor,Cmp-Att-Yd-TD-INT,34-44-305-2-1,,,,,,
team,201010310nor,pit,Sacked-Yards,3-24,,,,,,
team,201010310nor,nor,Sacked-Yards,2-17,,,,,,
team,201010310nor,pit,Net Pass Yards,171,,,,,,
team,201010310nor,nor,Net Pass Yards,288,,,,,,
team,201010310nor,pit,Total Yards,279,,,,,,
team,201010310nor,nor,Total Yards,318,,,,,,
team,201010310nor,pit,Fumbles-Lost,2-1,,,,,,
team,201010310nor,nor,Fumbles-Lost,1-1,,,,,,
team,201010310nor,pit,Turnovers,2,,,,,,
team,201010310nor,nor,Turnovers,2,,,,,,
team,201010310nor,pit,Penalties-Yards,4-38,,,,,,
team,201010310nor,nor,Penalties-Yards,3-35,,,,,,
team,201010310nor,pit,Third Down Conv.,3-10,,,,,,
team,201010310nor,nor,Third Down Conv.,7-16,,,,,,
team,201010310nor,pit,Fourth Down Conv.,0-1,,,,,,
team,201010310nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201010310nor,pit,Time of Possession,25:54,,,,,,
team,201010310nor,nor,Time of Possession,34:06,,,,,,
player,201010310nor,pit,RoetBe00,pass_cmp,17,,,,,
player,201010310nor,pit,RoetBe00,pass_att,28,,,,,
player,201010310nor,pit,RoetBe00,pass_yds,195,,,,,
player,201010310nor,pit,RoetBe00,pass_td,0,,,,,
player,201010310nor,pit,RoetBe00,pass_int,1,,,,,
player,201010310nor,pit,RoetBe00,pass_sacked,3,,,,,
player,201010310nor,pit,RoetBe00,pass_sacked_yds,24,,,,,
player,201010310nor,pit,RoetBe00,pass_long,25,,,,,
player,201010310nor,pit,RoetBe00,pass_rating,66.8,,,,,
player,201010310nor,pit,RoetBe00,rush_att,1,,,,,
player,201010310nor,pit,RoetBe00,rush_yds,-1,,,,,
player,201010310nor,pit,RoetBe00,rush_td,0,,,,,
player,201010310nor,pit,RoetBe00,rush_long,-1,,,,,
player,201010310nor,pit,RoetBe00,targets,0,,,,,
player,201010310nor,pit,RoetBe00,rec,0,,,,,
player,201010310nor,pit,RoetBe00,rec_yds,0,,,,,
player,201010310nor,pit,RoetBe00,rec_td,0,,,,,
player,201010310nor,pit,RoetBe00,rec_long,0,,,,,
player,201010310nor,pit,RoetBe00,fumbles,0,,,,,
player,201010310nor,pit,RoetBe00,fumbles_lost,,,,,,
player,201010310nor,pit,MendRa00,pass_cmp,0,,,,,
player,201010310nor,pit,MendRa00,pass_att,0,,,,,
player,201010310nor,pit,MendRa00,pass_yds,0,,,,,
player,201010310nor,pit,MendRa00,pass_td,0,,,,,
player,201010310nor,pit,MendRa00,pass_int,0,,,,,
player,201010310nor,pit,MendRa00,pass_sacked,,,,,,
player,201010310nor,pit,MendRa00,pass_sacked_yds,,,,,,
player,201010310nor,pit,MendRa00,pass_long,0,,,,,
player,201010310nor,pit,MendRa00,pass_rating,,,,,,
player,201010310nor,pit,MendRa00,rush_att,15,,,,,
player,201010310nor,pit,MendRa00,rush_yds,71,,,,,
player,201010310nor,pit,MendRa00,rush_td,1,,,,,
player,201010310nor,pit,MendRa00,rush_long,38,,,,,
player,201010310nor,pit,MendRa00,targets,3,,,,,
player,201010310nor,pit,MendRa00,rec,2,,,,,
player,201010310nor,pit,MendRa00,rec_yds,14,,,,,
player,201010310nor,pit,MendRa00,rec_td,0,,,,,
player,201010310nor,pit,MendRa00,rec_long,9,,,,,
player,201010310nor,pit,MendRa00,fumbles,0,,,,,
player,201010310nor,pit,MendRa00,fumbles_lost,,,,,,
player,201010310nor,pit,MoorMe00,pass_cmp,0,,,,,
player,201010310nor,pit,MoorMe00,pass_att,0,,,,,
player,201010310nor,pit,MoorMe00,pass_yds,0,,,,,
player,201010310nor,pit,MoorMe00,pass_td,0,,,,,
player,201010310nor,pit,MoorMe00,pass_int,0,,,,,
player,201010310nor,pit,MoorMe00,pass_sacked,,,,,,
player,201010310nor,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201010310nor,pit,MoorMe00,pass_long,0,,,,,
player,201010310nor,pit,MoorMe00,pass_rating,,,,,,
player,201010310nor,pit,MoorMe00,rush_att,2,,,,,
player,201010310nor,pit,MoorMe00,rush_yds,19,,,,,
player,201010310nor,pit,MoorMe00,rush_td,0,,,,,
player,201010310nor,pit,MoorMe00,rush_long,18,,,,,
player,201010310nor,pit,MoorMe00,targets,1,,,,,
player,201010310nor,pit,MoorMe00,rec,0,,,,,
player,201010310nor,pit,MoorMe00,rec_yds,0,,,,,
player,201010310nor,pit,MoorMe00,rec_td,0,,,,,
player,201010310nor,pit,MoorMe00,rec_long,0,,,,,
player,201010310nor,pit,MoorMe00,fumbles,0,,,,,
player,201010310nor,pit,MoorMe00,fumbles_lost,,,,,,
player,201010310nor,pit,RedmIs20,pass_cmp,0,,,,,
player,201010310nor,pit,RedmIs20,pass_att,0,,,,,
player,201010310nor,pit,RedmIs20,pass_yds,0,,,,,
player,201010310nor,pit,RedmIs20,pass_td,0,,,,,
player,201010310nor,pit,RedmIs20,pass_int,0,,,,,
player,201010310nor,pit,RedmIs20,pass_sacked,,,,,,
player,201010310nor,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201010310nor,pit,RedmIs20,pass_long,0,,,,,
player,201010310nor,pit,RedmIs20,pass_rating,,,,,,
player,201010310nor,pit,RedmIs20,rush_att,3,,,,,
player,201010310nor,pit,RedmIs20,rush_yds,19,,,,,
player,201010310nor,pit,RedmIs20,rush_td,0,,,,,
player,201010310nor,pit,RedmIs20,rush_long,15,,,,,
player,201010310nor,pit,RedmIs20,targets,0,,,,,
player,201010310nor,pit,RedmIs20,rec,0,,,,,
player,201010310nor,pit,RedmIs20,rec_yds,0,,,,,
player,201010310nor,pit,RedmIs20,rec_td,0,,,,,
player,201010310nor,pit,RedmIs20,rec_long,0,,,,,
player,201010310nor,pit,RedmIs20,fumbles,0,,,,,
player,201010310nor,pit,RedmIs20,fumbles_lost,,,,,,
player,201010310nor,pit,WallMi00,pass_cmp,0,,,,,
player,201010310nor,pit,WallMi00,pass_att,0,,,,,
player,201010310nor,pit,WallMi00,pass_yds,0,,,,,
player,201010310nor,pit,WallMi00,pass_td,0,,,,,
player,201010310nor,pit,WallMi00,pass_int,0,,,,,
player,201010310nor,pit,WallMi00,pass_sacked,,,,,,
player,201010310nor,pit,WallMi00,pass_sacked_yds,,,,,,
player,201010310nor,pit,WallMi00,pass_long,0,,,,,
player,201010310nor,pit,WallMi00,pass_rating,,,,,,
player,201010310nor,pit,WallMi00,rush_att,0,,,,,
player,201010310nor,pit,WallMi00,rush_yds,0,,,,,
player,201010310nor,pit,WallMi00,rush_td,0,,,,,
player,201010310nor,pit,WallMi00,rush_long,0,,,,,
player,201010310nor,pit,WallMi00,targets,4,,,,,
player,201010310nor,pit,WallMi00,rec,3,,,,,
player,201010310nor,pit,WallMi00,rec_yds,43,,,,,
player,201010310nor,pit,WallMi00,rec_td,0,,,,,
player,201010310nor,pit,WallMi00,rec_long,21,,,,,
player,201010310nor,pit,WallMi00,fumbles,0,,,,,
player,201010310nor,pit,WallMi00,fumbles_lost,,,,,,
player,201010310nor,pit,MillHe00,pass_cmp,0,,,,,
player,201010310nor,pit,MillHe00,pass_att,0,,,,,
player,201010310nor,pit,MillHe00,pass_yds,0,,,,,
player,201010310nor,pit,MillHe00,pass_td,0,,,,,
player,201010310nor,pit,MillHe00,pass_int,0,,,,,
player,201010310nor,pit,MillHe00,pass_sacked,,,,,,
player,201010310nor,pit,MillHe00,pass_sacked_yds,,,,,,
player,201010310nor,pit,MillHe00,pass_long,0,,,,,
player,201010310nor,pit,MillHe00,pass_rating,,,,,,
player,201010310nor,pit,MillHe00,rush_att,0,,,,,
player,201010310nor,pit,MillHe00,rush_yds,0,,,,,
player,201010310nor,pit,MillHe00,rush_td,0,,,,,
player,201010310nor,pit,MillHe00,rush_long,0,,,,,
player,201010310nor,pit,MillHe00,targets,2,,,,,
player,201010310nor,pit,MillHe00,rec,2,,,,,
player,201010310nor,pit,MillHe00,rec_yds,39,,,,,
player,201010310nor,pit,MillHe00,rec_td,0,,,,,
player,201010310nor,pit,MillHe00,rec_long,25,,,,,
player,201010310nor,pit,MillHe00,fumbles,1,,,,,
player,201010310nor,pit,MillHe00,fumbles_lost,1,,,,,
player,201010310nor,pit,RandAn00,pass_cmp,0,,,,,
player,201010310nor,pit,RandAn00,pass_att,0,,,,,
player,201010310nor,pit,RandAn00,pass_yds,0,,,,,
player,201010310nor,pit,RandAn00,pass_td,0,,,,,
player,201010310nor,pit,RandAn00,pass_int,0,,,,,
player,201010310nor,pit,RandAn00,pass_sacked,0,,,,,
player,201010310nor,pit,RandAn00,pass_sacked_yds,,,,,,
player,201010310nor,pit,RandAn00,pass_long,0,,,,,
player,201010310nor,pit,RandAn00,pass_rating,,,,,,
player,201010310nor,pit,RandAn00,rush_att,0,,,,,
player,201010310nor,pit,RandAn00,rush_yds,0,,,,,
player,201010310nor,pit,RandAn00,rush_td,0,,,,,
player,201010310nor,pit,RandAn00,rush_long,0,,,,,
player,201010310nor,pit,RandAn00,targets,6,,,,,
player,201010310nor,pit,RandAn00,rec,3,,,,,
player,201010310nor,pit,RandAn00,rec_yds,33,,,,,
player,201010310nor,pit,RandAn00,rec_td,0,,,,,
player,201010310nor,pit,RandAn00,rec_long,13,,,,,
player,201010310nor,pit,RandAn00,fumbles,0,,,,,
player,201010310nor,pit,RandAn00,fumbles_lost,,,,,,
player,201010310nor,pit,SpaeMa00,pass_cmp,0,,,,,
