game,2010,10,20101114,201011140den,kan,"Kansas City Chiefs",29,den,"Denver Broncos",49
team,201011140den,kan,First Downs,30,,,,,,
team,201011140den,den,First Downs,25,,,,,,
team,201011140den,kan,Rush-Yds-TDs,22-51-0,,,,,,
team,201011140den,den,Rush-Yds-TDs,31-153-1,,,,,,
team,201011140den,kan,Cmp-Att-Yd-TD-INT,33-53-469-4-0,,,,,,
team,201011140den,den,Cmp-Att-Yd-TD-INT,23-35-299-5-0,,,,,,
team,201011140den,kan,Sacked-Yards,4-36,,,,,,
team,201011140den,den,Sacked-Yards,0-0,,,,,,
team,201011140den,kan,Net Pass Yards,433,,,,,,
team,201011140den,den,Net Pass Yards,299,,,,,,
team,201011140den,kan,Total Yards,484,,,,,,
team,201011140den,den,Total Yards,452,,,,,,
team,201011140den,kan,Fumbles-Lost,3-1,,,,,,
team,201011140den,den,Fumbles-Lost,0-0,,,,,,
team,201011140den,kan,Turnovers,1,,,,,,
team,201011140den,den,Turnovers,0,,,,,,
team,201011140den,kan,Penalties-Yards,6-40,,,,,,
team,201011140den,den,Penalties-Yards,3-28,,,,,,
team,201011140den,kan,Third Down Conv.,5-13,,,,,,
team,201011140den,den,Third Down Conv.,6-10,,,,,,
team,201011140den,kan,Fourth Down Conv.,2-4,,,,,,
team,201011140den,den,Fourth Down Conv.,0-1,,,,,,
team,201011140den,kan,Time of Possession,31:51,,,,,,
team,201011140den,den,Time of Possession,28:09,,,,,,
player,201011140den,kan,CassMa00,pass_cmp,33,,,,,
player,201011140den,kan,CassMa00,pass_att,53,,,,,
player,201011140den,kan,CassMa00,pass_yds,469,,,,,
player,201011140den,kan,CassMa00,pass_td,4,,,,,
player,201011140den,kan,CassMa00,pass_int,0,,,,,
player,201011140den,kan,CassMa00,pass_sacked,4,,,,,
player,201011140den,kan,CassMa00,pass_sacked_yds,36,,,,,
player,201011140den,kan,CassMa00,pass_long,38,,,,,
player,201011140den,kan,CassMa00,pass_rating,116.0,,,,,
player,201011140den,kan,CassMa00,rush_att,2,,,,,
player,201011140den,kan,CassMa00,rush_yds,3,,,,,
player,201011140den,kan,CassMa00,rush_td,0,,,,,
player,201011140den,kan,CassMa00,rush_long,3,,,,,
player,201011140den,kan,CassMa00,targets,0,,,,,
player,201011140den,kan,CassMa00,rec,0,,,,,
player,201011140den,kan,CassMa00,rec_yds,0,,,,,
player,201011140den,kan,CassMa00,rec_td,0,,,,,
player,201011140den,kan,CassMa00,rec_long,0,,,,,
player,201011140den,kan,CassMa00,fumbles,1,,,,,
player,201011140den,kan,CassMa00,fumbles_lost,1,,,,,
player,201011140den,kan,CharJa00,pass_cmp,0,,,,,
player,201011140den,kan,CharJa00,pass_att,0,,,,,
player,201011140den,kan,CharJa00,pass_yds,0,,,,,
player,201011140den,kan,CharJa00,pass_td,0,,,,,
player,201011140den,kan,CharJa00,pass_int,0,,,,,
player,201011140den,kan,CharJa00,pass_sacked,,,,,,
player,201011140den,kan,CharJa00,pass_sacked_yds,,,,,,
player,201011140den,kan,CharJa00,pass_long,0,,,,,
player,201011140den,kan,CharJa00,pass_rating,,,,,,
player,201011140den,kan,CharJa00,rush_att,14,,,,,
player,201011140den,kan,CharJa00,rush_yds,41,,,,,
player,201011140den,kan,CharJa00,rush_td,0,,,,,
player,201011140den,kan,CharJa00,rush_long,7,,,,,
player,201011140den,kan,CharJa00,targets,9,,,,,
player,201011140den,kan,CharJa00,rec,5,,,,,
player,201011140den,kan,CharJa00,rec_yds,80,,,,,
player,201011140den,kan,CharJa00,rec_td,1,,,,,
player,201011140den,kan,CharJa00,rec_long,24,,,,,
player,201011140den,kan,CharJa00,fumbles,1,,,,,
player,201011140den,kan,CharJa00,fumbles_lost,0,,,,,
player,201011140den,kan,BattJa00,pass_cmp,0,,,,,
player,201011140den,kan,BattJa00,pass_att,0,,,,,
player,201011140den,kan,BattJa00,pass_yds,0,,,,,
player,201011140den,kan,BattJa00,pass_td,0,,,,,
player,201011140den,kan,BattJa00,pass_int,0,,,,,
player,201011140den,kan,BattJa00,pass_sacked,,,,,,
player,201011140den,kan,BattJa00,pass_sacked_yds,,,,,,
player,201011140den,kan,BattJa00,pass_long,0,,,,,
player,201011140den,kan,BattJa00,pass_rating,,,,,,
player,201011140den,kan,BattJa00,rush_att,2,,,,,
player,201011140den,kan,BattJa00,rush_yds,4,,,,,
player,201011140den,kan,BattJa00,rush_td,0,,,,,
player,201011140den,kan,BattJa00,rush_long,4,,,,,
player,201011140den,kan,BattJa00,targets,0,,,,,
player,201011140den,kan,BattJa00,rec,0,,,,,
player,201011140den,kan,BattJa00,rec_yds,0,,,,,
player,201011140den,kan,BattJa00,rec_td,0,,,,,
player,201011140den,kan,BattJa00,rec_long,0,,,,,
player,201011140den,kan,BattJa00,fumbles,0,,,,,
player,201011140den,kan,BattJa00,fumbles_lost,,,,,,
player,201011140den,kan,JoneTh00,pass_cmp,0,,,,,
player,201011140den,kan,JoneTh00,pass_att,0,,,,,
player,201011140den,kan,JoneTh00,pass_yds,0,,,,,
