game,2010,12,20101128,201011280atl,gnb,"Green Bay Packers",17,atl,"Atlanta Falcons",20
team,201011280atl,gnb,First Downs,22,,,,,,
team,201011280atl,atl,First Downs,19,,,,,,
team,201011280atl,gnb,Rush-Yds-TDs,23-77-1,,,,,,
team,201011280atl,atl,Rush-Yds-TDs,27-117-1,,,,,,
team,201011280atl,gnb,Cmp-Att-Yd-TD-INT,26-35-344-1-0,,,,,,
team,201011280atl,atl,Cmp-Att-Yd-TD-INT,24-28-197-1-0,,,,,,
team,201011280atl,gnb,Sacked-Yards,1-3,,,,,,
team,201011280atl,atl,Sacked-Yards,2-20,,,,,,
team,201011280atl,gnb,Net Pass Yards,341,,,,,,
team,201011280atl,atl,Net Pass Yards,177,,,,,,
team,201011280atl,gnb,Total Yards,418,,,,,,
team,201011280atl,atl,Total Yards,294,,,,,,
team,201011280atl,gnb,Fumbles-Lost,4-1,,,,,,
team,201011280atl,atl,Fumbles-Lost,1-0,,,,,,
team,201011280atl,gnb,Turnovers,1,,,,,,
team,201011280atl,atl,Turnovers,0,,,,,,
team,201011280atl,gnb,Penalties-Yards,8-66,,,,,,
team,201011280atl,atl,Penalties-Yards,4-50,,,,,,
team,201011280atl,gnb,Third Down Conv.,4-11,,,,,,
team,201011280atl,atl,Third Down Conv.,4-12,,,,,,
team,201011280atl,gnb,Fourth Down Conv.,2-3,,,,,,
team,201011280atl,atl,Fourth Down Conv.,2-2,,,,,,
team,201011280atl,gnb,Time of Possession,28:20,,,,,,
team,201011280atl,atl,Time of Possession,31:40,,,,,,
player,201011280atl,gnb,RodgAa00,pass_cmp,26,,,,,
player,201011280atl,gnb,RodgAa00,pass_att,35,,,,,
player,201011280atl,gnb,RodgAa00,pass_yds,344,,,,,
player,201011280atl,gnb,RodgAa00,pass_td,1,,,,,
player,201011280atl,gnb,RodgAa00,pass_int,0,,,,,
player,201011280atl,gnb,RodgAa00,pass_sacked,1,,,,,
player,201011280atl,gnb,RodgAa00,pass_sacked_yds,3,,,,,
player,201011280atl,gnb,RodgAa00,pass_long,35,,,,,
player,201011280atl,gnb,RodgAa00,pass_rating,114.5,,,,,
player,201011280atl,gnb,RodgAa00,rush_att,12,,,,,
player,201011280atl,gnb,RodgAa00,rush_yds,51,,,,,
player,201011280atl,gnb,RodgAa00,rush_td,1,,,,,
player,201011280atl,gnb,RodgAa00,rush_long,11,,,,,
player,201011280atl,gnb,RodgAa00,targets,0,,,,,
player,201011280atl,gnb,RodgAa00,rec,0,,,,,
player,201011280atl,gnb,RodgAa00,rec_yds,0,,,,,
player,201011280atl,gnb,RodgAa00,rec_td,0,,,,,
player,201011280atl,gnb,RodgAa00,rec_long,0,,,,,
player,201011280atl,gnb,RodgAa00,fumbles,2,,,,,
player,201011280atl,gnb,RodgAa00,fumbles_lost,1,,,,,
player,201011280atl,gnb,JackBr00,pass_cmp,0,,,,,
player,201011280atl,gnb,JackBr00,pass_att,0,,,,,
player,201011280atl,gnb,JackBr00,pass_yds,0,,,,,
player,201011280atl,gnb,JackBr00,pass_td,0,,,,,
player,201011280atl,gnb,JackBr00,pass_int,0,,,,,
player,201011280atl,gnb,JackBr00,pass_sacked,,,,,,
player,201011280atl,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201011280atl,gnb,JackBr00,pass_long,0,,,,,
player,201011280atl,gnb,JackBr00,pass_rating,,,,,,
player,201011280atl,gnb,JackBr00,rush_att,10,,,,,
player,201011280atl,gnb,JackBr00,rush_yds,26,,,,,
player,201011280atl,gnb,JackBr00,rush_td,0,,,,,
player,201011280atl,gnb,JackBr00,rush_long,12,,,,,
player,201011280atl,gnb,JackBr00,targets,4,,,,,
player,201011280atl,gnb,JackBr00,rec,3,,,,,
player,201011280atl,gnb,JackBr00,rec_yds,10,,,,,
player,201011280atl,gnb,JackBr00,rec_td,0,,,,,
player,201011280atl,gnb,JackBr00,rec_long,9,,,,,
player,201011280atl,gnb,JackBr00,fumbles,0,,,,,
player,201011280atl,gnb,JackBr00,fumbles_lost,,,,,,
player,201011280atl,gnb,JennGr00,pass_cmp,0,,,,,
player,201011280atl,gnb,JennGr00,pass_att,0,,,,,
player,201011280atl,gnb,JennGr00,pass_yds,0,,,,,
player,201011280atl,gnb,JennGr00,pass_td,0,,,,,
