game,2010,7,20101024,201010240oti,phi,"Philadelphia Eagles",19,oti,"Tennessee Titans",37
player,201010240oti,phi,AvanJa00,pass_cmp,0,,,,,
player,201010240oti,phi,AvanJa00,pass_att,0,,,,,
player,201010240oti,phi,AvanJa00,pass_yds,0,,,,,
player,201010240oti,phi,AvanJa00,pass_td,0,,,,,
player,201010240oti,phi,AvanJa00,pass_int,0,,,,,
player,201010240oti,phi,AvanJa00,pass_sacked,,,,,,
player,201010240oti,phi,AvanJa00,pass_sacked_yds,,,,,,
player,201010240oti,phi,AvanJa00,pass_long,0,,,,,
player,201010240oti,phi,AvanJa00,pass_rating,,,,,,
player,201010240oti,phi,AvanJa00,rush_att,0,,,,,
player,201010240oti,phi,AvanJa00,rush_yds,0,,,,,
player,201010240oti,phi,AvanJa00,rush_td,0,,,,,
player,201010240oti,phi,AvanJa00,rush_long,0,,,,,
player,201010240oti,phi,AvanJa00,targets,8,,,,,
player,201010240oti,phi,AvanJa00,rec,6,,,,,
player,201010240oti,phi,AvanJa00,rec_yds,60,,,,,
player,201010240oti,phi,AvanJa00,rec_td,0,,,,,
player,201010240oti,phi,AvanJa00,rec_long,16,,,,,
player,201010240oti,phi,AvanJa00,fumbles,0,,,,,
player,201010240oti,phi,AvanJa00,fumbles_lost,,,,,,
player,201010240oti,phi,CoopRi00,pass_cmp,0,,,,,
player,201010240oti,phi,CoopRi00,pass_att,0,,,,,
player,201010240oti,phi,CoopRi00,pass_yds,0,,,,,
player,201010240oti,phi,CoopRi00,pass_td,0,,,,,
player,201010240oti,phi,CoopRi00,pass_int,0,,,,,
player,201010240oti,phi,CoopRi00,pass_sacked,,,,,,
player,201010240oti,phi,CoopRi00,pass_sacked_yds,,,,,,
player,201010240oti,phi,CoopRi00,pass_long,0,,,,,
player,201010240oti,phi,CoopRi00,pass_rating,,,,,,
player,201010240oti,phi,CoopRi00,rush_att,0,,,,,
player,201010240oti,phi,CoopRi00,rush_yds,0,,,,,
player,201010240oti,phi,CoopRi00,rush_td,0,,,,,
player,201010240oti,phi,CoopRi00,rush_long,0,,,,,
player,201010240oti,phi,CoopRi00,targets,6,,,,,
player,201010240oti,phi,CoopRi00,rec,3,,,,,
player,201010240oti,phi,CoopRi00,rec_yds,51,,,,,
player,201010240oti,phi,CoopRi00,rec_td,1,,,,,
player,201010240oti,phi,CoopRi00,rec_long,37,,,,,
player,201010240oti,phi,CoopRi00,fumbles,0,,,,,
player,201010240oti,phi,CoopRi00,fumbles_lost,,,,,,
player,201010240oti,phi,CeleBr00,pass_cmp,0,,,,,
player,201010240oti,phi,CeleBr00,pass_att,0,,,,,
player,201010240oti,phi,CeleBr00,pass_yds,0,,,,,
player,201010240oti,phi,CeleBr00,pass_td,0,,,,,
player,201010240oti,phi,CeleBr00,pass_int,0,,,,,
player,201010240oti,phi,CeleBr00,pass_sacked,,,,,,
player,201010240oti,phi,CeleBr00,pass_sacked_yds,,,,,,
player,201010240oti,phi,CeleBr00,pass_long,0,,,,,
player,201010240oti,phi,CeleBr00,pass_rating,,,,,,
player,201010240oti,phi,CeleBr00,rush_att,0,,,,,
player,201010240oti,phi,CeleBr00,rush_yds,0,,,,,
player,201010240oti,phi,CeleBr00,rush_td,0,,,,,
player,201010240oti,phi,CeleBr00,rush_long,0,,,,,
player,201010240oti,phi,CeleBr00,targets,5,,,,,
player,201010240oti,phi,CeleBr00,rec,2,,,,,
player,201010240oti,phi,CeleBr00,rec_yds,8,,,,,
player,201010240oti,phi,CeleBr00,rec_td,0,,,,,
player,201010240oti,phi,CeleBr00,rec_long,4,,,,,
player,201010240oti,phi,CeleBr00,fumbles,0,,,,,
player,201010240oti,phi,CeleBr00,fumbles_lost,,,,,,
player,201010240oti,phi,SchmOw00,pass_cmp,0,,,,,
player,201010240oti,phi,SchmOw00,pass_att,0,,,,,
player,201010240oti,phi,SchmOw00,pass_yds,0,,,,,
player,201010240oti,phi,SchmOw00,pass_td,0,,,,,
player,201010240oti,phi,SchmOw00,pass_int,0,,,,,
player,201010240oti,phi,SchmOw00,pass_sacked,,,,,,
player,201010240oti,phi,SchmOw00,pass_sacked_yds,,,,,,
player,201010240oti,phi,SchmOw00,pass_long,0,,,,,
player,201010240oti,phi,SchmOw00,pass_rating,,,,,,
player,201010240oti,phi,SchmOw00,rush_att,0,,,,,
player,201010240oti,phi,SchmOw00,rush_yds,0,,,,,
player,201010240oti,phi,SchmOw00,rush_td,0,,,,,
player,201010240oti,phi,SchmOw00,rush_long,0,,,,,
player,201010240oti,phi,SchmOw00,targets,3,,,,,
player,201010240oti,phi,SchmOw00,rec,2,,,,,
player,201010240oti,phi,SchmOw00,rec_yds,6,,,,,
player,201010240oti,phi,SchmOw00,rec_td,0,,,,,
player,201010240oti,phi,SchmOw00,rec_long,3,,,,,
player,201010240oti,phi,SchmOw00,fumbles,0,,,,,
player,201010240oti,phi,SchmOw00,fumbles_lost,,,,,,
player,201010240oti,phi,MillGa01,pass_cmp,0,,,,,
player,201010240oti,phi,MillGa01,pass_att,0,,,,,
player,201010240oti,phi,MillGa01,pass_yds,0,,,,,
player,201010240oti,phi,MillGa01,pass_td,0,,,,,
player,201010240oti,phi,MillGa01,pass_int,0,,,,,
player,201010240oti,phi,MillGa01,pass_sacked,,,,,,
player,201010240oti,phi,MillGa01,pass_sacked_yds,,,,,,
player,201010240oti,phi,MillGa01,pass_long,0,,,,,
player,201010240oti,phi,MillGa01,pass_rating,,,,,,
player,201010240oti,phi,MillGa01,rush_att,0,,,,,
player,201010240oti,phi,MillGa01,rush_yds,0,,,,,
player,201010240oti,phi,MillGa01,rush_td,0,,,,,
player,201010240oti,phi,MillGa01,rush_long,0,,,,,
player,201010240oti,phi,MillGa01,targets,1,,,,,
player,201010240oti,phi,MillGa01,rec,1,,,,,
player,201010240oti,phi,MillGa01,rec_yds,5,,,,,
player,201010240oti,phi,MillGa01,rec_td,0,,,,,
player,201010240oti,phi,MillGa01,rec_long,5,,,,,
player,201010240oti,phi,MillGa01,fumbles,0,,,,,
player,201010240oti,phi,MillGa01,fumbles_lost,,,,,,
player,201010240oti,oti,CollKe00,pass_cmp,17,,,,,
player,201010240oti,oti,CollKe00,pass_att,31,,,,,
player,201010240oti,oti,CollKe00,pass_yds,276,,,,,
player,201010240oti,oti,CollKe00,pass_td,3,,,,,
player,201010240oti,oti,CollKe00,pass_int,2,,,,,
player,201010240oti,oti,CollKe00,pass_sacked,3,,,,,
player,201010240oti,oti,CollKe00,pass_sacked_yds,23,,,,,
player,201010240oti,oti,CollKe00,pass_long,80,,,,,
player,201010240oti,oti,CollKe00,pass_rating,90.3,,,,,
player,201010240oti,oti,CollKe00,rush_att,0,,,,,
player,201010240oti,oti,CollKe00,rush_yds,0,,,,,
player,201010240oti,oti,CollKe00,rush_td,0,,,,,
player,201010240oti,oti,CollKe00,rush_long,0,,,,,
player,201010240oti,oti,CollKe00,targets,0,,,,,
player,201010240oti,oti,CollKe00,rec,0,,,,,
player,201010240oti,oti,CollKe00,rec_yds,0,,,,,
player,201010240oti,oti,CollKe00,rec_td,0,,,,,
player,201010240oti,oti,CollKe00,rec_long,0,,,,,
player,201010240oti,oti,CollKe00,fumbles,1,,,,,
player,201010240oti,oti,CollKe00,fumbles_lost,1,,,,,
player,201010240oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201010240oti,oti,JohnCh04,pass_att,0,,,,,
player,201010240oti,oti,JohnCh04,pass_yds,0,,,,,
player,201010240oti,oti,JohnCh04,pass_td,0,,,,,
player,201010240oti,oti,JohnCh04,pass_int,0,,,,,
player,201010240oti,oti,JohnCh04,pass_sacked,,,,,,
player,201010240oti,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201010240oti,oti,JohnCh04,pass_long,0,,,,,
player,201010240oti,oti,JohnCh04,pass_rating,,,,,,
player,201010240oti,oti,JohnCh04,rush_att,24,,,,,
player,201010240oti,oti,JohnCh04,rush_yds,66,,,,,
player,201010240oti,oti,JohnCh04,rush_td,0,,,,,
player,201010240oti,oti,JohnCh04,rush_long,12,,,,,
player,201010240oti,oti,JohnCh04,targets,4,,,,,
player,201010240oti,oti,JohnCh04,rec,2,,,,,
player,201010240oti,oti,JohnCh04,rec_yds,7,,,,,
player,201010240oti,oti,JohnCh04,rec_td,0,,,,,
player,201010240oti,oti,JohnCh04,rec_long,4,,,,,
player,201010240oti,oti,JohnCh04,fumbles,0,,,,,
player,201010240oti,oti,JohnCh04,fumbles_lost,,,,,,
player,201010240oti,oti,RingJa00,pass_cmp,0,,,,,
player,201010240oti,oti,RingJa00,pass_att,0,,,,,
player,201010240oti,oti,RingJa00,pass_yds,0,,,,,
player,201010240oti,oti,RingJa00,pass_td,0,,,,,
player,201010240oti,oti,RingJa00,pass_int,0,,,,,
player,201010240oti,oti,RingJa00,pass_sacked,,,,,,
player,201010240oti,oti,RingJa00,pass_sacked_yds,,,,,,
player,201010240oti,oti,RingJa00,pass_long,0,,,,,
player,201010240oti,oti,RingJa00,pass_rating,,,,,,
player,201010240oti,oti,RingJa00,rush_att,2,,,,,
player,201010240oti,oti,RingJa00,rush_yds,9,,,,,
player,201010240oti,oti,RingJa00,rush_td,0,,,,,
player,201010240oti,oti,RingJa00,rush_long,5,,,,,
player,201010240oti,oti,RingJa00,targets,0,,,,,
player,201010240oti,oti,RingJa00,rec,0,,,,,
player,201010240oti,oti,RingJa00,rec_yds,0,,,,,
player,201010240oti,oti,RingJa00,rec_td,0,,,,,
player,201010240oti,oti,RingJa00,rec_long,0,,,,,
player,201010240oti,oti,RingJa00,fumbles,0,,,,,
player,201010240oti,oti,RingJa00,fumbles_lost,,,,,,
player,201010240oti,oti,BritKe00,pass_cmp,0,,,,,
player,201010240oti,oti,BritKe00,pass_att,0,,,,,
player,201010240oti,oti,BritKe00,pass_yds,0,,,,,
player,201010240oti,oti,BritKe00,pass_td,0,,,,,
player,201010240oti,oti,BritKe00,pass_int,0,,,,,
player,201010240oti,oti,BritKe00,pass_sacked,,,,,,
player,201010240oti,oti,BritKe00,pass_sacked_yds,,,,,,
player,201010240oti,oti,BritKe00,pass_long,0,,,,,
player,201010240oti,oti,BritKe00,pass_rating,,,,,,
player,201010240oti,oti,BritKe00,rush_att,0,,,,,
player,201010240oti,oti,BritKe00,rush_yds,0,,,,,
player,201010240oti,oti,BritKe00,rush_td,0,,,,,
player,201010240oti,oti,BritKe00,rush_long,0,,,,,
player,201010240oti,oti,BritKe00,targets,10,,,,,
player,201010240oti,oti,BritKe00,rec,7,,,,,
player,201010240oti,oti,BritKe00,rec_yds,225,,,,,
player,201010240oti,oti,BritKe00,rec_td,3,,,,,
player,201010240oti,oti,BritKe00,rec_long,80,,,,,
player,201010240oti,oti,BritKe00,fumbles,0,,,,,
