game,2010,17,20110102,201101020sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",16
team,201101020sea,ram,First Downs,10,,,,,,
team,201101020sea,sea,First Downs,19,,,,,,
team,201101020sea,ram,Rush-Yds-TDs,15-47-0,,,,,,
team,201101020sea,sea,Rush-Yds-TDs,35-141-0,,,,,,
team,201101020sea,ram,Cmp-Att-Yd-TD-INT,19-36-155-0-1,,,,,,
team,201101020sea,sea,Cmp-Att-Yd-TD-INT,22-36-192-1-0,,,,,,
team,201101020sea,ram,Sacked-Yards,3-18,,,,,,
team,201101020sea,sea,Sacked-Yards,0-0,,,,,,
team,201101020sea,ram,Net Pass Yards,137,,,,,,
team,201101020sea,sea,Net Pass Yards,192,,,,,,
team,201101020sea,ram,Total Yards,184,,,,,,
team,201101020sea,sea,Total Yards,333,,,,,,
team,201101020sea,ram,Fumbles-Lost,1-0,,,,,,
team,201101020sea,sea,Fumbles-Lost,2-1,,,,,,
team,201101020sea,ram,Turnovers,1,,,,,,
team,201101020sea,sea,Turnovers,1,,,,,,
team,201101020sea,ram,Penalties-Yards,6-46,,,,,,
team,201101020sea,sea,Penalties-Yards,7-70,,,,,,
team,201101020sea,ram,Third Down Conv.,2-14,,,,,,
team,201101020sea,sea,Third Down Conv.,4-15,,,,,,
team,201101020sea,ram,Fourth Down Conv.,0-1,,,,,,
team,201101020sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201101020sea,ram,Time of Possession,25:15,,,,,,
team,201101020sea,sea,Time of Possession,34:45,,,,,,
player,201101020sea,ram,BradSa00,pass_cmp,19,,,,,
player,201101020sea,ram,BradSa00,pass_att,36,,,,,
player,201101020sea,ram,BradSa00,pass_yds,155,,,,,
player,201101020sea,ram,BradSa00,pass_td,0,,,,,
player,201101020sea,ram,BradSa00,pass_int,1,,,,,
player,201101020sea,ram,BradSa00,pass_sacked,3,,,,,
player,201101020sea,ram,BradSa00,pass_sacked_yds,18,,,,,
player,201101020sea,ram,BradSa00,pass_long,20,,,,,
player,201101020sea,ram,BradSa00,pass_rating,52.4,,,,,
player,201101020sea,ram,BradSa00,rush_att,0,,,,,
player,201101020sea,ram,BradSa00,rush_yds,0,,,,,
player,201101020sea,ram,BradSa00,rush_td,0,,,,,
player,201101020sea,ram,BradSa00,rush_long,0,,,,,
player,201101020sea,ram,BradSa00,targets,0,,,,,
player,201101020sea,ram,BradSa00,rec,0,,,,,
player,201101020sea,ram,BradSa00,rec_yds,0,,,,,
player,201101020sea,ram,BradSa00,rec_td,0,,,,,
player,201101020sea,ram,BradSa00,rec_long,0,,,,,
player,201101020sea,ram,BradSa00,fumbles,1,,,,,
