game,2010,16,20101226,201012260ram,sfo,"San Francisco 49ers",17,ram,"St. Louis Rams",25
team,201012260ram,sfo,First Downs,12,,,,,,
team,201012260ram,ram,First Downs,19,,,,,,
team,201012260ram,sfo,Rush-Yds-TDs,21-85-0,,,,,,
team,201012260ram,ram,Rush-Yds-TDs,28-60-1,,,,,,
team,201012260ram,sfo,Cmp-Att-Yd-TD-INT,17-34-273-1-1,,,,,,
team,201012260ram,ram,Cmp-Att-Yd-TD-INT,28-37-292-1-0,,,,,,
team,201012260ram,sfo,Sacked-Yards,4-27,,,,,,
team,201012260ram,ram,Sacked-Yards,1-17,,,,,,
team,201012260ram,sfo,Net Pass Yards,246,,,,,,
team,201012260ram,ram,Net Pass Yards,275,,,,,,
team,201012260ram,sfo,Total Yards,331,,,,,,
team,201012260ram,ram,Total Yards,335,,,,,,
team,201012260ram,sfo,Fumbles-Lost,5-1,,,,,,
team,201012260ram,ram,Fumbles-Lost,2-1,,,,,,
team,201012260ram,sfo,Turnovers,2,,,,,,
team,201012260ram,ram,Turnovers,1,,,,,,
team,201012260ram,sfo,Penalties-Yards,8-87,,,,,,
team,201012260ram,ram,Penalties-Yards,5-41,,,,,,
team,201012260ram,sfo,Third Down Conv.,4-16,,,,,,
team,201012260ram,ram,Third Down Conv.,4-14,,,,,,
team,201012260ram,sfo,Fourth Down Conv.,1-1,,,,,,
team,201012260ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201012260ram,sfo,Time of Possession,26:52,,,,,,
team,201012260ram,ram,Time of Possession,33:08,,,,,,
player,201012260ram,sfo,SmitTr02,pass_cmp,7,,,,,
player,201012260ram,sfo,SmitTr02,pass_att,19,,,,,
player,201012260ram,sfo,SmitTr02,pass_yds,153,,,,,
player,201012260ram,sfo,SmitTr02,pass_td,1,,,,,
player,201012260ram,sfo,SmitTr02,pass_int,1,,,,,
player,201012260ram,sfo,SmitTr02,pass_sacked,2,,,,,
player,201012260ram,sfo,SmitTr02,pass_sacked_yds,23,,,,,
player,201012260ram,sfo,SmitTr02,pass_long,60,,,,,
player,201012260ram,sfo,SmitTr02,pass_rating,62.0,,,,,
player,201012260ram,sfo,SmitTr02,rush_att,5,,,,,
player,201012260ram,sfo,SmitTr02,rush_yds,28,,,,,
player,201012260ram,sfo,SmitTr02,rush_td,0,,,,,
player,201012260ram,sfo,SmitTr02,rush_long,14,,,,,
player,201012260ram,sfo,SmitTr02,targets,0,,,,,
player,201012260ram,sfo,SmitTr02,rec,0,,,,,
player,201012260ram,sfo,SmitTr02,rec_yds,0,,,,,
player,201012260ram,sfo,SmitTr02,rec_td,0,,,,,
player,201012260ram,sfo,SmitTr02,rec_long,0,,,,,
