game,2010,3,20100926,201009260nyg,oti,"Tennessee Titans",29,nyg,"New York Giants",10
team,201009260nyg,oti,First Downs,17,,,,,,
team,201009260nyg,nyg,First Downs,26,,,,,,
team,201009260nyg,oti,Rush-Yds-TDs,41-161-2,,,,,,
team,201009260nyg,nyg,Rush-Yds-TDs,20-107-1,,,,,,
team,201009260nyg,oti,Cmp-Att-Yd-TD-INT,10-16-118-1-0,,,,,,
team,201009260nyg,nyg,Cmp-Att-Yd-TD-INT,34-48-386-0-2,,,,,,
team,201009260nyg,oti,Sacked-Yards,1-8,,,,,,
team,201009260nyg,nyg,Sacked-Yards,2-22,,,,,,
team,201009260nyg,oti,Net Pass Yards,110,,,,,,
team,201009260nyg,nyg,Net Pass Yards,364,,,,,,
team,201009260nyg,oti,Total Yards,271,,,,,,
team,201009260nyg,nyg,Total Yards,471,,,,,,
team,201009260nyg,oti,Fumbles-Lost,0-0,,,,,,
team,201009260nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201009260nyg,oti,Turnovers,0,,,,,,
team,201009260nyg,nyg,Turnovers,3,,,,,,
team,201009260nyg,oti,Penalties-Yards,8-80,,,,,,
team,201009260nyg,nyg,Penalties-Yards,11-86,,,,,,
team,201009260nyg,oti,Third Down Conv.,6-13,,,,,,
team,201009260nyg,nyg,Third Down Conv.,6-12,,,,,,
team,201009260nyg,oti,Fourth Down Conv.,0-0,,,,,,
team,201009260nyg,nyg,Fourth Down Conv.,0-2,,,,,,
team,201009260nyg,oti,Time of Possession,28:22,,,,,,
team,201009260nyg,nyg,Time of Possession,31:38,,,,,,
player,201009260nyg,oti,YounVi00,pass_cmp,10,,,,,
player,201009260nyg,oti,YounVi00,pass_att,16,,,,,
player,201009260nyg,oti,YounVi00,pass_yds,118,,,,,
player,201009260nyg,oti,YounVi00,pass_td,1,,,,,
player,201009260nyg,oti,YounVi00,pass_int,0,,,,,
player,201009260nyg,oti,YounVi00,pass_sacked,1,,,,,
player,201009260nyg,oti,YounVi00,pass_sacked_yds,8,,,,,
player,201009260nyg,oti,YounVi00,pass_long,17,,,,,
player,201009260nyg,oti,YounVi00,pass_rating,105.7,,,,,
player,201009260nyg,oti,YounVi00,rush_att,3,,,,,
player,201009260nyg,oti,YounVi00,rush_yds,6,,,,,
player,201009260nyg,oti,YounVi00,rush_td,0,,,,,
player,201009260nyg,oti,YounVi00,rush_long,4,,,,,
player,201009260nyg,oti,YounVi00,targets,0,,,,,
player,201009260nyg,oti,YounVi00,rec,0,,,,,
player,201009260nyg,oti,YounVi00,rec_yds,0,,,,,
player,201009260nyg,oti,YounVi00,rec_td,0,,,,,
player,201009260nyg,oti,YounVi00,rec_long,0,,,,,
player,201009260nyg,oti,YounVi00,fumbles,0,,,,,
player,201009260nyg,oti,YounVi00,fumbles_lost,,,,,,
player,201009260nyg,oti,JohnCh04,pass_cmp,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_att,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_yds,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_td,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_int,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_sacked,,,,,,
player,201009260nyg,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201009260nyg,oti,JohnCh04,pass_long,0,,,,,
player,201009260nyg,oti,JohnCh04,pass_rating,,,,,,
player,201009260nyg,oti,JohnCh04,rush_att,32,,,,,
player,201009260nyg,oti,JohnCh04,rush_yds,125,,,,,
player,201009260nyg,oti,JohnCh04,rush_td,2,,,,,
player,201009260nyg,oti,JohnCh04,rush_long,42,,,,,
player,201009260nyg,oti,JohnCh04,targets,1,,,,,
player,201009260nyg,oti,JohnCh04,rec,0,,,,,
player,201009260nyg,oti,JohnCh04,rec_yds,0,,,,,
player,201009260nyg,oti,JohnCh04,rec_td,0,,,,,
player,201009260nyg,oti,JohnCh04,rec_long,0,,,,,
player,201009260nyg,oti,JohnCh04,fumbles,0,,,,,
player,201009260nyg,oti,JohnCh04,fumbles_lost,,,,,,
player,201009260nyg,oti,RingJa00,pass_cmp,0,,,,,
player,201009260nyg,oti,RingJa00,pass_att,0,,,,,
player,201009260nyg,oti,RingJa00,pass_yds,0,,,,,
player,201009260nyg,oti,RingJa00,pass_td,0,,,,,
player,201009260nyg,oti,RingJa00,pass_int,0,,,,,
player,201009260nyg,oti,RingJa00,pass_sacked,,,,,,
player,201009260nyg,oti,RingJa00,pass_sacked_yds,,,,,,
player,201009260nyg,oti,RingJa00,pass_long,0,,,,,
player,201009260nyg,oti,RingJa00,pass_rating,,,,,,
player,201009260nyg,oti,RingJa00,rush_att,6,,,,,
player,201009260nyg,oti,RingJa00,rush_yds,30,,,,,
player,201009260nyg,oti,RingJa00,rush_td,0,,,,,
player,201009260nyg,oti,RingJa00,rush_long,17,,,,,
player,201009260nyg,oti,RingJa00,targets,0,,,,,
player,201009260nyg,oti,RingJa00,rec,0,,,,,
player,201009260nyg,oti,RingJa00,rec_yds,0,,,,,
player,201009260nyg,oti,RingJa00,rec_td,0,,,,,
player,201009260nyg,oti,RingJa00,rec_long,0,,,,,
player,201009260nyg,oti,RingJa00,fumbles,0,,,,,
player,201009260nyg,oti,RingJa00,fumbles_lost,,,,,,
player,201009260nyg,oti,GageJu00,pass_cmp,0,,,,,
player,201009260nyg,oti,GageJu00,pass_att,0,,,,,
player,201009260nyg,oti,GageJu00,pass_yds,0,,,,,
player,201009260nyg,oti,GageJu00,pass_td,0,,,,,
player,201009260nyg,oti,GageJu00,pass_int,0,,,,,
player,201009260nyg,oti,GageJu00,pass_sacked,,,,,,
player,201009260nyg,oti,GageJu00,pass_sacked_yds,,,,,,
player,201009260nyg,oti,GageJu00,pass_long,0,,,,,
player,201009260nyg,oti,GageJu00,pass_rating,,,,,,
player,201009260nyg,oti,GageJu00,rush_att,0,,,,,
player,201009260nyg,oti,GageJu00,rush_yds,0,,,,,
player,201009260nyg,oti,GageJu00,rush_td,0,,,,,
player,201009260nyg,oti,GageJu00,rush_long,0,,,,,
player,201009260nyg,oti,GageJu00,targets,4,,,,,
player,201009260nyg,oti,GageJu00,rec,3,,,,,
player,201009260nyg,oti,GageJu00,rec_yds,39,,,,,
player,201009260nyg,oti,GageJu00,rec_td,0,,,,,
player,201009260nyg,oti,GageJu00,rec_long,15,,,,,
player,201009260nyg,oti,GageJu00,fumbles,0,,,,,
player,201009260nyg,oti,GageJu00,fumbles_lost,,,,,,
player,201009260nyg,oti,WashNa00,pass_cmp,0,,,,,
player,201009260nyg,oti,WashNa00,pass_att,0,,,,,
player,201009260nyg,oti,WashNa00,pass_yds,0,,,,,
player,201009260nyg,oti,WashNa00,pass_td,0,,,,,
player,201009260nyg,oti,WashNa00,pass_int,0,,,,,
