game,2010,3,20100926,201009260den,clt,"Indianapolis Colts",27,den,"Denver Broncos",13
team,201009260den,clt,First Downs,18,,,,,,
team,201009260den,den,First Downs,23,,,,,,
team,201009260den,clt,Rush-Yds-TDs,22-40-0,,,,,,
team,201009260den,den,Rush-Yds-TDs,18-47-0,,,,,,
team,201009260den,clt,Cmp-Att-Yd-TD-INT,27-43-325-3-0,,,,,,
team,201009260den,den,Cmp-Att-Yd-TD-INT,37-57-476-1-1,,,,,,
team,201009260den,clt,Sacked-Yards,0-0,,,,,,
team,201009260den,den,Sacked-Yards,1-4,,,,,,
team,201009260den,clt,Net Pass Yards,325,,,,,,
team,201009260den,den,Net Pass Yards,472,,,,,,
team,201009260den,clt,Total Yards,365,,,,,,
team,201009260den,den,Total Yards,519,,,,,,
team,201009260den,clt,Fumbles-Lost,1-0,,,,,,
team,201009260den,den,Fumbles-Lost,3-1,,,,,,
team,201009260den,clt,Turnovers,0,,,,,,
team,201009260den,den,Turnovers,2,,,,,,
team,201009260den,clt,Penalties-Yards,4-27,,,,,,
team,201009260den,den,Penalties-Yards,6-60,,,,,,
team,201009260den,clt,Third Down Conv.,6-14,,,,,,
team,201009260den,den,Third Down Conv.,5-15,,,,,,
team,201009260den,clt,Fourth Down Conv.,0-0,,,,,,
team,201009260den,den,Fourth Down Conv.,1-4,,,,,,
team,201009260den,clt,Time of Possession,30:08,,,,,,
team,201009260den,den,Time of Possession,29:52,,,,,,
player,201009260den,clt,MannPe00,pass_cmp,27,,,,,
player,201009260den,clt,MannPe00,pass_att,43,,,,,
player,201009260den,clt,MannPe00,pass_yds,325,,,,,
player,201009260den,clt,MannPe00,pass_td,3,,,,,
player,201009260den,clt,MannPe00,pass_int,0,,,,,
player,201009260den,clt,MannPe00,pass_sacked,0,,,,,
player,201009260den,clt,MannPe00,pass_sacked_yds,0,,,,,
player,201009260den,clt,MannPe00,pass_long,48,,,,,
player,201009260den,clt,MannPe00,pass_rating,109.2,,,,,
player,201009260den,clt,MannPe00,rush_att,2,,,,,
player,201009260den,clt,MannPe00,rush_yds,-1,,,,,
player,201009260den,clt,MannPe00,rush_td,0,,,,,
player,201009260den,clt,MannPe00,rush_long,0,,,,,
player,201009260den,clt,MannPe00,targets,0,,,,,
player,201009260den,clt,MannPe00,rec,0,,,,,
