game,2010,1,20100912,201009120phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",20
team,201009120phi,gnb,First Downs,22,,,,,,
team,201009120phi,phi,First Downs,16,,,,,,
team,201009120phi,gnb,Rush-Yds-TDs,33-132-1,,,,,,
team,201009120phi,phi,Rush-Yds-TDs,20-149-1,,,,,,
team,201009120phi,gnb,Cmp-Att-Yd-TD-INT,19-31-188-2-2,,,,,,
team,201009120phi,phi,Cmp-Att-Yd-TD-INT,21-34-199-1-0,,,,,,
team,201009120phi,gnb,Sacked-Yards,3-21,,,,,,
team,201009120phi,phi,Sacked-Yards,6-28,,,,,,
team,201009120phi,gnb,Net Pass Yards,167,,,,,,
team,201009120phi,phi,Net Pass Yards,171,,,,,,
team,201009120phi,gnb,Total Yards,299,,,,,,
team,201009120phi,phi,Total Yards,320,,,,,,
team,201009120phi,gnb,Fumbles-Lost,0-0,,,,,,
team,201009120phi,phi,Fumbles-Lost,3-1,,,,,,
team,201009120phi,gnb,Turnovers,2,,,,,,
team,201009120phi,phi,Turnovers,1,,,,,,
team,201009120phi,gnb,Penalties-Yards,2-15,,,,,,
team,201009120phi,phi,Penalties-Yards,10-80,,,,,,
team,201009120phi,gnb,Third Down Conv.,6-14,,,,,,
team,201009120phi,phi,Third Down Conv.,5-13,,,,,,
team,201009120phi,gnb,Fourth Down Conv.,0-0,,,,,,
team,201009120phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201009120phi,gnb,Time of Possession,31:55,,,,,,
team,201009120phi,phi,Time of Possession,28:05,,,,,,
player,201009120phi,gnb,RodgAa00,pass_cmp,19,,,,,
player,201009120phi,gnb,RodgAa00,pass_att,31,,,,,
player,201009120phi,gnb,RodgAa00,pass_yds,188,,,,,
player,201009120phi,gnb,RodgAa00,pass_td,2,,,,,
player,201009120phi,gnb,RodgAa00,pass_int,2,,,,,
player,201009120phi,gnb,RodgAa00,pass_sacked,3,,,,,
player,201009120phi,gnb,RodgAa00,pass_sacked_yds,21,,,,,
player,201009120phi,gnb,RodgAa00,pass_long,32,,,,,
player,201009120phi,gnb,RodgAa00,pass_rating,73.1,,,,,
player,201009120phi,gnb,RodgAa00,rush_att,5,,,,,
player,201009120phi,gnb,RodgAa00,rush_yds,9,,,,,
player,201009120phi,gnb,RodgAa00,rush_td,0,,,,,
player,201009120phi,gnb,RodgAa00,rush_long,7,,,,,
player,201009120phi,gnb,RodgAa00,targets,0,,,,,
player,201009120phi,gnb,RodgAa00,rec,0,,,,,
player,201009120phi,gnb,RodgAa00,rec_yds,0,,,,,
player,201009120phi,gnb,RodgAa00,rec_td,0,,,,,
player,201009120phi,gnb,RodgAa00,rec_long,0,,,,,
player,201009120phi,gnb,RodgAa00,fumbles,0,,,,,
player,201009120phi,gnb,RodgAa00,fumbles_lost,,,,,,
player,201009120phi,gnb,JackBr00,pass_cmp,0,,,,,
player,201009120phi,gnb,JackBr00,pass_att,0,,,,,
player,201009120phi,gnb,JackBr00,pass_yds,0,,,,,
player,201009120phi,gnb,JackBr00,pass_td,0,,,,,
player,201009120phi,gnb,JackBr00,pass_int,0,,,,,
player,201009120phi,gnb,JackBr00,pass_sacked,,,,,,
player,201009120phi,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201009120phi,gnb,JackBr00,pass_long,0,,,,,
player,201009120phi,gnb,JackBr00,pass_rating,,,,,,
player,201009120phi,gnb,JackBr00,rush_att,18,,,,,
player,201009120phi,gnb,JackBr00,rush_yds,63,,,,,
player,201009120phi,gnb,JackBr00,rush_td,0,,,,,
player,201009120phi,gnb,JackBr00,rush_long,18,,,,,
