game,2010,2,20100919,201009190atl,crd,"Arizona Cardinals",7,atl,"Atlanta Falcons",41
team,201009190atl,crd,First Downs,11,,,,,,
team,201009190atl,atl,First Downs,33,,,,,,
team,201009190atl,crd,Rush-Yds-TDs,13-118-1,,,,,,
team,201009190atl,atl,Rush-Yds-TDs,45-221-2,,,,,,
team,201009190atl,crd,Cmp-Att-Yd-TD-INT,18-33-164-0-3,,,,,,
team,201009190atl,atl,Cmp-Att-Yd-TD-INT,21-32-225-3-0,,,,,,
team,201009190atl,crd,Sacked-Yards,2-15,,,,,,
team,201009190atl,atl,Sacked-Yards,1-2,,,,,,
team,201009190atl,crd,Net Pass Yards,149,,,,,,
team,201009190atl,atl,Net Pass Yards,223,,,,,,
team,201009190atl,crd,Total Yards,267,,,,,,
team,201009190atl,atl,Total Yards,444,,,,,,
team,201009190atl,crd,Fumbles-Lost,1-0,,,,,,
team,201009190atl,atl,Fumbles-Lost,1-1,,,,,,
team,201009190atl,crd,Turnovers,3,,,,,,
team,201009190atl,atl,Turnovers,1,,,,,,
team,201009190atl,crd,Penalties-Yards,10-109,,,,,,
team,201009190atl,atl,Penalties-Yards,6-75,,,,,,
team,201009190atl,crd,Third Down Conv.,0-8,,,,,,
team,201009190atl,atl,Third Down Conv.,11-17,,,,,,
team,201009190atl,crd,Fourth Down Conv.,0-1,,,,,,
team,201009190atl,atl,Fourth Down Conv.,1-2,,,,,,
team,201009190atl,crd,Time of Possession,20:47,,,,,,
team,201009190atl,atl,Time of Possession,39:13,,,,,,
player,201009190atl,crd,AndeDe00,pass_cmp,17,,,,,
player,201009190atl,crd,AndeDe00,pass_att,31,,,,,
player,201009190atl,crd,AndeDe00,pass_yds,161,,,,,
player,201009190atl,crd,AndeDe00,pass_td,0,,,,,
player,201009190atl,crd,AndeDe00,pass_int,2,,,,,
player,201009190atl,crd,AndeDe00,pass_sacked,2,,,,,
player,201009190atl,crd,AndeDe00,pass_sacked_yds,15,,,,,
player,201009190atl,crd,AndeDe00,pass_long,29,,,,,
player,201009190atl,crd,AndeDe00,pass_rating,42.5,,,,,
player,201009190atl,crd,AndeDe00,rush_att,0,,,,,
player,201009190atl,crd,AndeDe00,rush_yds,0,,,,,
player,201009190atl,crd,AndeDe00,rush_td,0,,,,,
player,201009190atl,crd,AndeDe00,rush_long,0,,,,,
player,201009190atl,crd,AndeDe00,targets,0,,,,,
player,201009190atl,crd,AndeDe00,rec,0,,,,,
player,201009190atl,crd,AndeDe00,rec_yds,0,,,,,
player,201009190atl,crd,AndeDe00,rec_td,0,,,,,
player,201009190atl,crd,AndeDe00,rec_long,0,,,,,
player,201009190atl,crd,AndeDe00,fumbles,1,,,,,
player,201009190atl,crd,AndeDe00,fumbles_lost,0,,,,,
player,201009190atl,crd,HallMa00,pass_cmp,1,,,,,
player,201009190atl,crd,HallMa00,pass_att,2,,,,,
player,201009190atl,crd,HallMa00,pass_yds,3,,,,,
player,201009190atl,crd,HallMa00,pass_td,0,,,,,
player,201009190atl,crd,HallMa00,pass_int,1,,,,,
player,201009190atl,crd,HallMa00,pass_sacked,0,,,,,
player,201009190atl,crd,HallMa00,pass_sacked_yds,0,,,,,
player,201009190atl,crd,HallMa00,pass_long,3,,,,,
player,201009190atl,crd,HallMa00,pass_rating,16.7,,,,,
player,201009190atl,crd,HallMa00,rush_att,0,,,,,
player,201009190atl,crd,HallMa00,rush_yds,0,,,,,
player,201009190atl,crd,HallMa00,rush_td,0,,,,,
player,201009190atl,crd,HallMa00,rush_long,0,,,,,
