game,2010,9,20101108,201011080cin,pit,"Pittsburgh Steelers",27,cin,"Cincinnati Bengals",21
team,201011080cin,pit,First Downs,14,,,,,,
team,201011080cin,cin,First Downs,18,,,,,,
team,201011080cin,pit,Rush-Yds-TDs,32-121-1,,,,,,
team,201011080cin,cin,Rush-Yds-TDs,18-54-1,,,,,,
team,201011080cin,pit,Cmp-Att-Yd-TD-INT,18-28-202-2-1,,,,,,
team,201011080cin,cin,Cmp-Att-Yd-TD-INT,22-36-248-2-1,,,,,,
team,201011080cin,pit,Sacked-Yards,1-9,,,,,,
team,201011080cin,cin,Sacked-Yards,4-30,,,,,,
team,201011080cin,pit,Net Pass Yards,193,,,,,,
team,201011080cin,cin,Net Pass Yards,218,,,,,,
team,201011080cin,pit,Total Yards,314,,,,,,
team,201011080cin,cin,Total Yards,272,,,,,,
team,201011080cin,pit,Fumbles-Lost,2-1,,,,,,
team,201011080cin,cin,Fumbles-Lost,2-1,,,,,,
team,201011080cin,pit,Turnovers,2,,,,,,
team,201011080cin,cin,Turnovers,2,,,,,,
team,201011080cin,pit,Penalties-Yards,7-73,,,,,,
team,201011080cin,cin,Penalties-Yards,3-30,,,,,,
team,201011080cin,pit,Third Down Conv.,6-14,,,,,,
team,201011080cin,cin,Third Down Conv.,3-12,,,,,,
team,201011080cin,pit,Fourth Down Conv.,0-0,,,,,,
team,201011080cin,cin,Fourth Down Conv.,0-1,,,,,,
team,201011080cin,pit,Time of Possession,32:19,,,,,,
team,201011080cin,cin,Time of Possession,27:41,,,,,,
player,201011080cin,pit,RoetBe00,pass_cmp,17,,,,,
player,201011080cin,pit,RoetBe00,pass_att,27,,,,,
player,201011080cin,pit,RoetBe00,pass_yds,163,,,,,
player,201011080cin,pit,RoetBe00,pass_td,1,,,,,
player,201011080cin,pit,RoetBe00,pass_int,1,,,,,
player,201011080cin,pit,RoetBe00,pass_sacked,1,,,,,
player,201011080cin,pit,RoetBe00,pass_sacked_yds,9,,,,,
player,201011080cin,pit,RoetBe00,pass_long,35,,,,,
player,201011080cin,pit,RoetBe00,pass_rating,76.6,,,,,
player,201011080cin,pit,RoetBe00,rush_att,5,,,,,
player,201011080cin,pit,RoetBe00,rush_yds,13,,,,,
player,201011080cin,pit,RoetBe00,rush_td,0,,,,,
player,201011080cin,pit,RoetBe00,rush_long,12,,,,,
player,201011080cin,pit,RoetBe00,targets,0,,,,,
player,201011080cin,pit,RoetBe00,rec,0,,,,,
player,201011080cin,pit,RoetBe00,rec_yds,0,,,,,
player,201011080cin,pit,RoetBe00,rec_td,0,,,,,
player,201011080cin,pit,RoetBe00,rec_long,0,,,,,
player,201011080cin,pit,RoetBe00,fumbles,0,,,,,
player,201011080cin,pit,RoetBe00,fumbles_lost,,,,,,
player,201011080cin,pit,RandAn00,pass_cmp,1,,,,,
player,201011080cin,pit,RandAn00,pass_att,1,,,,,
player,201011080cin,pit,RandAn00,pass_yds,39,,,,,
player,201011080cin,pit,RandAn00,pass_td,1,,,,,
player,201011080cin,pit,RandAn00,pass_int,0,,,,,
player,201011080cin,pit,RandAn00,pass_sacked,0,,,,,
player,201011080cin,pit,RandAn00,pass_sacked_yds,0,,,,,
player,201011080cin,pit,RandAn00,pass_long,39,,,,,
player,201011080cin,pit,RandAn00,pass_rating,158.3,,,,,
player,201011080cin,pit,RandAn00,rush_att,1,,,,,
player,201011080cin,pit,RandAn00,rush_yds,2,,,,,
player,201011080cin,pit,RandAn00,rush_td,0,,,,,
player,201011080cin,pit,RandAn00,rush_long,2,,,,,
player,201011080cin,pit,RandAn00,targets,3,,,,,
player,201011080cin,pit,RandAn00,rec,1,,,,,
player,201011080cin,pit,RandAn00,rec_yds,10,,,,,
player,201011080cin,pit,RandAn00,rec_td,0,,,,,
player,201011080cin,pit,RandAn00,rec_long,10,,,,,
player,201011080cin,pit,RandAn00,fumbles,0,,,,,
player,201011080cin,pit,RandAn00,fumbles_lost,,,,,,
player,201011080cin,pit,MendRa00,pass_cmp,0,,,,,
player,201011080cin,pit,MendRa00,pass_att,0,,,,,
player,201011080cin,pit,MendRa00,pass_yds,0,,,,,
player,201011080cin,pit,MendRa00,pass_td,0,,,,,
player,201011080cin,pit,MendRa00,pass_int,0,,,,,
player,201011080cin,pit,MendRa00,pass_sacked,,,,,,
player,201011080cin,pit,MendRa00,pass_sacked_yds,,,,,,
player,201011080cin,pit,MendRa00,pass_long,0,,,,,
player,201011080cin,pit,MendRa00,pass_rating,,,,,,
player,201011080cin,pit,MendRa00,rush_att,22,,,,,
player,201011080cin,pit,MendRa00,rush_yds,99,,,,,
player,201011080cin,pit,MendRa00,rush_td,1,,,,,
player,201011080cin,pit,MendRa00,rush_long,22,,,,,
player,201011080cin,pit,MendRa00,targets,3,,,,,
player,201011080cin,pit,MendRa00,rec,3,,,,,
player,201011080cin,pit,MendRa00,rec_yds,31,,,,,
player,201011080cin,pit,MendRa00,rec_td,0,,,,,
player,201011080cin,pit,MendRa00,rec_long,17,,,,,
player,201011080cin,pit,MendRa00,fumbles,0,,,,,
player,201011080cin,pit,MendRa00,fumbles_lost,,,,,,
player,201011080cin,pit,MoorMe00,pass_cmp,0,,,,,
player,201011080cin,pit,MoorMe00,pass_att,0,,,,,
player,201011080cin,pit,MoorMe00,pass_yds,0,,,,,
player,201011080cin,pit,MoorMe00,pass_td,0,,,,,
player,201011080cin,pit,MoorMe00,pass_int,0,,,,,
player,201011080cin,pit,MoorMe00,pass_sacked,,,,,,
player,201011080cin,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201011080cin,pit,MoorMe00,pass_long,0,,,,,
player,201011080cin,pit,MoorMe00,pass_rating,,,,,,
player,201011080cin,pit,MoorMe00,rush_att,2,,,,,
player,201011080cin,pit,MoorMe00,rush_yds,5,,,,,
player,201011080cin,pit,MoorMe00,rush_td,0,,,,,
player,201011080cin,pit,MoorMe00,rush_long,3,,,,,
player,201011080cin,pit,MoorMe00,targets,2,,,,,
player,201011080cin,pit,MoorMe00,rec,2,,,,,
player,201011080cin,pit,MoorMe00,rec_yds,8,,,,,
player,201011080cin,pit,MoorMe00,rec_td,0,,,,,
player,201011080cin,pit,MoorMe00,rec_long,5,,,,,
player,201011080cin,pit,MoorMe00,fumbles,0,,,,,
player,201011080cin,pit,MoorMe00,fumbles_lost,,,,,,
player,201011080cin,pit,RedmIs20,pass_cmp,0,,,,,
player,201011080cin,pit,RedmIs20,pass_att,0,,,,,
player,201011080cin,pit,RedmIs20,pass_yds,0,,,,,
player,201011080cin,pit,RedmIs20,pass_td,0,,,,,
player,201011080cin,pit,RedmIs20,pass_int,0,,,,,
player,201011080cin,pit,RedmIs20,pass_sacked,,,,,,
player,201011080cin,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201011080cin,pit,RedmIs20,pass_long,0,,,,,
player,201011080cin,pit,RedmIs20,pass_rating,,,,,,
player,201011080cin,pit,RedmIs20,rush_att,2,,,,,
player,201011080cin,pit,RedmIs20,rush_yds,2,,,,,
player,201011080cin,pit,RedmIs20,rush_td,0,,,,,
player,201011080cin,pit,RedmIs20,rush_long,1,,,,,
player,201011080cin,pit,RedmIs20,targets,0,,,,,
player,201011080cin,pit,RedmIs20,rec,0,,,,,
player,201011080cin,pit,RedmIs20,rec_yds,0,,,,,
player,201011080cin,pit,RedmIs20,rec_td,0,,,,,
player,201011080cin,pit,RedmIs20,rec_long,0,,,,,
player,201011080cin,pit,RedmIs20,fumbles,0,,,,,
player,201011080cin,pit,RedmIs20,fumbles_lost,,,,,,
player,201011080cin,pit,WallMi00,pass_cmp,0,,,,,
player,201011080cin,pit,WallMi00,pass_att,0,,,,,
player,201011080cin,pit,WallMi00,pass_yds,0,,,,,
player,201011080cin,pit,WallMi00,pass_td,0,,,,,
player,201011080cin,pit,WallMi00,pass_int,0,,,,,
player,201011080cin,pit,WallMi00,pass_sacked,,,,,,
player,201011080cin,pit,WallMi00,pass_sacked_yds,,,,,,
player,201011080cin,pit,WallMi00,pass_long,0,,,,,
player,201011080cin,pit,WallMi00,pass_rating,,,,,,
player,201011080cin,pit,WallMi00,rush_att,0,,,,,
player,201011080cin,pit,WallMi00,rush_yds,0,,,,,
player,201011080cin,pit,WallMi00,rush_td,0,,,,,
player,201011080cin,pit,WallMi00,rush_long,0,,,,,
player,201011080cin,pit,WallMi00,targets,7,,,,,
player,201011080cin,pit,WallMi00,rec,5,,,,,
player,201011080cin,pit,WallMi00,rec_yds,110,,,,,
player,201011080cin,pit,WallMi00,rec_td,1,,,,,
player,201011080cin,pit,WallMi00,rec_long,39,,,,,
player,201011080cin,pit,WallMi00,fumbles,1,,,,,
player,201011080cin,pit,WallMi00,fumbles_lost,0,,,,,
player,201011080cin,pit,MillHe00,pass_cmp,0,,,,,
player,201011080cin,pit,MillHe00,pass_att,0,,,,,
player,201011080cin,pit,MillHe00,pass_yds,0,,,,,
player,201011080cin,pit,MillHe00,pass_td,0,,,,,
player,201011080cin,pit,MillHe00,pass_int,0,,,,,
player,201011080cin,pit,MillHe00,pass_sacked,,,,,,
player,201011080cin,pit,MillHe00,pass_sacked_yds,,,,,,
player,201011080cin,pit,MillHe00,pass_long,0,,,,,
player,201011080cin,pit,MillHe00,pass_rating,,,,,,
player,201011080cin,pit,MillHe00,rush_att,0,,,,,
player,201011080cin,pit,MillHe00,rush_yds,0,,,,,
player,201011080cin,pit,MillHe00,rush_td,0,,,,,
player,201011080cin,pit,MillHe00,rush_long,0,,,,,
player,201011080cin,pit,MillHe00,targets,5,,,,,
player,201011080cin,pit,MillHe00,rec,3,,,,,
player,201011080cin,pit,MillHe00,rec_yds,21,,,,,
player,201011080cin,pit,MillHe00,rec_td,0,,,,,
player,201011080cin,pit,MillHe00,rec_long,9,,,,,
player,201011080cin,pit,MillHe00,fumbles,0,,,,,
player,201011080cin,pit,MillHe00,fumbles_lost,,,,,,
player,201011080cin,pit,SpaeMa00,pass_cmp,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_att,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_yds,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_td,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_int,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_sacked,,,,,,
player,201011080cin,pit,SpaeMa00,pass_sacked_yds,,,,,,
player,201011080cin,pit,SpaeMa00,pass_long,0,,,,,
player,201011080cin,pit,SpaeMa00,pass_rating,,,,,,
player,201011080cin,pit,SpaeMa00,rush_att,0,,,,,
player,201011080cin,pit,SpaeMa00,rush_yds,0,,,,,
player,201011080cin,pit,SpaeMa00,rush_td,0,,,,,
player,201011080cin,pit,SpaeMa00,rush_long,0,,,,,
player,201011080cin,pit,SpaeMa00,targets,1,,,,,
player,201011080cin,pit,SpaeMa00,rec,1,,,,,
player,201011080cin,pit,SpaeMa00,rec_yds,12,,,,,
player,201011080cin,pit,SpaeMa00,rec_td,0,,,,,
player,201011080cin,pit,SpaeMa00,rec_long,12,,,,,
player,201011080cin,pit,SpaeMa00,fumbles,0,,,,,
player,201011080cin,pit,SpaeMa00,fumbles_lost,,,,,,
player,201011080cin,pit,WardHi00,pass_cmp,0,,,,,
player,201011080cin,pit,WardHi00,pass_att,0,,,,,
player,201011080cin,pit,WardHi00,pass_yds,0,,,,,
player,201011080cin,pit,WardHi00,pass_td,0,,,,,
player,201011080cin,pit,WardHi00,pass_int,0,,,,,
player,201011080cin,pit,WardHi00,pass_sacked,,,,,,
player,201011080cin,pit,WardHi00,pass_sacked_yds,,,,,,
player,201011080cin,pit,WardHi00,pass_long,0,,,,,
player,201011080cin,pit,WardHi00,pass_rating,,,,,,
player,201011080cin,pit,WardHi00,rush_att,0,,,,,
player,201011080cin,pit,WardHi00,rush_yds,0,,,,,
player,201011080cin,pit,WardHi00,rush_td,0,,,,,
player,201011080cin,pit,WardHi00,rush_long,0,,,,,
player,201011080cin,pit,WardHi00,targets,6,,,,,
player,201011080cin,pit,WardHi00,rec,3,,,,,
player,201011080cin,pit,WardHi00,rec_yds,10,,,,,
player,201011080cin,pit,WardHi00,rec_td,1,,,,,
player,201011080cin,pit,WardHi00,rec_long,8,,,,,
player,201011080cin,pit,WardHi00,fumbles,1,,,,,
player,201011080cin,pit,WardHi00,fumbles_lost,1,,,,,
player,201011080cin,cin,PalmCa00,pass_cmp,22,,,,,
player,201011080cin,cin,PalmCa00,pass_att,36,,,,,
player,201011080cin,cin,PalmCa00,pass_yds,248,,,,,
player,201011080cin,cin,PalmCa00,pass_td,2,,,,,
player,201011080cin,cin,PalmCa00,pass_int,1,,,,,
player,201011080cin,cin,PalmCa00,pass_sacked,4,,,,,
