game,2010,2,20100919,201009190rai,ram,"St. Louis Rams",14,rai,"Oakland Raiders",16
team,201009190rai,ram,First Downs,16,,,,,,
team,201009190rai,rai,First Downs,25,,,,,,
team,201009190rai,ram,Rush-Yds-TDs,21-75-0,,,,,,
team,201009190rai,rai,Rush-Yds-TDs,40-173-0,,,,,,
team,201009190rai,ram,Cmp-Att-Yd-TD-INT,14-25-167-2-1,,,,,,
team,201009190rai,rai,Cmp-Att-Yd-TD-INT,19-36-249-1-2,,,,,,
team,201009190rai,ram,Sacked-Yards,3-32,,,,,,
team,201009190rai,rai,Sacked-Yards,2-18,,,,,,
team,201009190rai,ram,Net Pass Yards,135,,,,,,
team,201009190rai,rai,Net Pass Yards,231,,,,,,
team,201009190rai,ram,Total Yards,210,,,,,,
team,201009190rai,rai,Total Yards,404,,,,,,
team,201009190rai,ram,Fumbles-Lost,0-0,,,,,,
team,201009190rai,rai,Fumbles-Lost,3-0,,,,,,
team,201009190rai,ram,Turnovers,1,,,,,,
team,201009190rai,rai,Turnovers,2,,,,,,
team,201009190rai,ram,Penalties-Yards,8-92,,,,,,
team,201009190rai,rai,Penalties-Yards,12-90,,,,,,
team,201009190rai,ram,Third Down Conv.,2-10,,,,,,
team,201009190rai,rai,Third Down Conv.,7-17,,,,,,
team,201009190rai,ram,Fourth Down Conv.,0-0,,,,,,
team,201009190rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201009190rai,ram,Time of Possession,23:11,,,,,,
team,201009190rai,rai,Time of Possession,36:49,,,,,,
player,201009190rai,ram,BradSa00,pass_cmp,14,,,,,
player,201009190rai,ram,BradSa00,pass_att,25,,,,,
player,201009190rai,ram,BradSa00,pass_yds,167,,,,,
player,201009190rai,ram,BradSa00,pass_td,2,,,,,
player,201009190rai,ram,BradSa00,pass_int,1,,,,,
player,201009190rai,ram,BradSa00,pass_sacked,3,,,,,
player,201009190rai,ram,BradSa00,pass_sacked_yds,32,,,,,
player,201009190rai,ram,BradSa00,pass_long,36,,,,,
player,201009190rai,ram,BradSa00,pass_rating,86.6,,,,,
player,201009190rai,ram,BradSa00,rush_att,0,,,,,
player,201009190rai,ram,BradSa00,rush_yds,0,,,,,
player,201009190rai,ram,BradSa00,rush_td,0,,,,,
player,201009190rai,ram,BradSa00,rush_long,0,,,,,
player,201009190rai,ram,BradSa00,targets,0,,,,,
player,201009190rai,ram,BradSa00,rec,0,,,,,
player,201009190rai,ram,BradSa00,rec_yds,0,,,,,
player,201009190rai,ram,BradSa00,rec_td,0,,,,,
player,201009190rai,ram,BradSa00,rec_long,0,,,,,
player,201009190rai,ram,BradSa00,fumbles,0,,,,,
player,201009190rai,ram,BradSa00,fumbles_lost,,,,,,
player,201009190rai,ram,JackSt00,pass_cmp,0,,,,,
player,201009190rai,ram,JackSt00,pass_att,0,,,,,
player,201009190rai,ram,JackSt00,pass_yds,0,,,,,
player,201009190rai,ram,JackSt00,pass_td,0,,,,,
player,201009190rai,ram,JackSt00,pass_int,0,,,,,
player,201009190rai,ram,JackSt00,pass_sacked,,,,,,
player,201009190rai,ram,JackSt00,pass_sacked_yds,,,,,,
player,201009190rai,ram,JackSt00,pass_long,0,,,,,
player,201009190rai,ram,JackSt00,pass_rating,,,,,,
player,201009190rai,ram,JackSt00,rush_att,19,,,,,
player,201009190rai,ram,JackSt00,rush_yds,75,,,,,
player,201009190rai,ram,JackSt00,rush_td,0,,,,,
player,201009190rai,ram,JackSt00,rush_long,23,,,,,
player,201009190rai,ram,JackSt00,targets,5,,,,,
player,201009190rai,ram,JackSt00,rec,4,,,,,
player,201009190rai,ram,JackSt00,rec_yds,50,,,,,
player,201009190rai,ram,JackSt00,rec_td,0,,,,,
player,201009190rai,ram,JackSt00,rec_long,24,,,,,
player,201009190rai,ram,JackSt00,fumbles,0,,,,,
player,201009190rai,ram,JackSt00,fumbles_lost,,,,,,
player,201009190rai,ram,AmenDa00,pass_cmp,0,,,,,
player,201009190rai,ram,AmenDa00,pass_att,0,,,,,
player,201009190rai,ram,AmenDa00,pass_yds,0,,,,,
player,201009190rai,ram,AmenDa00,pass_td,0,,,,,
player,201009190rai,ram,AmenDa00,pass_int,0,,,,,
player,201009190rai,ram,AmenDa00,pass_sacked,,,,,,
player,201009190rai,ram,AmenDa00,pass_sacked_yds,,,,,,
player,201009190rai,ram,AmenDa00,pass_long,0,,,,,
player,201009190rai,ram,AmenDa00,pass_rating,,,,,,
player,201009190rai,ram,AmenDa00,rush_att,0,,,,,
player,201009190rai,ram,AmenDa00,rush_yds,0,,,,,
player,201009190rai,ram,AmenDa00,rush_td,0,,,,,
player,201009190rai,ram,AmenDa00,rush_long,0,,,,,
player,201009190rai,ram,AmenDa00,targets,7,,,,,
player,201009190rai,ram,AmenDa00,rec,4,,,,,
player,201009190rai,ram,AmenDa00,rec_yds,39,,,,,
player,201009190rai,ram,AmenDa00,rec_td,0,,,,,
player,201009190rai,ram,AmenDa00,rec_long,16,,,,,
player,201009190rai,ram,AmenDa00,fumbles,0,,,,,
player,201009190rai,ram,AmenDa00,fumbles_lost,,,,,,
player,201009190rai,ram,FellDa00,pass_cmp,0,,,,,
player,201009190rai,ram,FellDa00,pass_att,0,,,,,
player,201009190rai,ram,FellDa00,pass_yds,0,,,,,
player,201009190rai,ram,FellDa00,pass_td,0,,,,,
