game,2010,6,20101017,201010170sfo,rai,"Oakland Raiders",9,sfo,"San Francisco 49ers",17
team,201010170sfo,rai,First Downs,10,,,,,,
team,201010170sfo,sfo,First Downs,17,,,,,,
team,201010170sfo,rai,Rush-Yds-TDs,30-110-0,,,,,,
team,201010170sfo,sfo,Rush-Yds-TDs,31-158-0,,,,,,
team,201010170sfo,rai,Cmp-Att-Yd-TD-INT,8-21-83-0-2,,,,,,
team,201010170sfo,sfo,Cmp-Att-Yd-TD-INT,16-33-196-2-0,,,,,,
team,201010170sfo,rai,Sacked-Yards,2-14,,,,,,
team,201010170sfo,sfo,Sacked-Yards,2-5,,,,,,
team,201010170sfo,rai,Net Pass Yards,69,,,,,,
team,201010170sfo,sfo,Net Pass Yards,191,,,,,,
team,201010170sfo,rai,Total Yards,179,,,,,,
team,201010170sfo,sfo,Total Yards,349,,,,,,
team,201010170sfo,rai,Fumbles-Lost,2-0,,,,,,
team,201010170sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201010170sfo,rai,Turnovers,2,,,,,,
team,201010170sfo,sfo,Turnovers,0,,,,,,
team,201010170sfo,rai,Penalties-Yards,8-60,,,,,,
team,201010170sfo,sfo,Penalties-Yards,11-143,,,,,,
team,201010170sfo,rai,Third Down Conv.,5-15,,,,,,
team,201010170sfo,sfo,Third Down Conv.,7-17,,,,,,
team,201010170sfo,rai,Fourth Down Conv.,0-0,,,,,,
team,201010170sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201010170sfo,rai,Time of Possession,26:39,,,,,,
team,201010170sfo,sfo,Time of Possession,33:21,,,,,,
player,201010170sfo,rai,CampJa00,pass_cmp,8,,,,,
player,201010170sfo,rai,CampJa00,pass_att,21,,,,,
player,201010170sfo,rai,CampJa00,pass_yds,83,,,,,
player,201010170sfo,rai,CampJa00,pass_td,0,,,,,
player,201010170sfo,rai,CampJa00,pass_int,2,,,,,
player,201010170sfo,rai,CampJa00,pass_sacked,2,,,,,
player,201010170sfo,rai,CampJa00,pass_sacked_yds,14,,,,,
player,201010170sfo,rai,CampJa00,pass_long,26,,,,,
player,201010170sfo,rai,CampJa00,pass_rating,10.7,,,,,
player,201010170sfo,rai,CampJa00,rush_att,7,,,,,
player,201010170sfo,rai,CampJa00,rush_yds,21,,,,,
player,201010170sfo,rai,CampJa00,rush_td,0,,,,,
player,201010170sfo,rai,CampJa00,rush_long,9,,,,,
player,201010170sfo,rai,CampJa00,targets,0,,,,,
player,201010170sfo,rai,CampJa00,rec,0,,,,,
player,201010170sfo,rai,CampJa00,rec_yds,0,,,,,
player,201010170sfo,rai,CampJa00,rec_td,0,,,,,
player,201010170sfo,rai,CampJa00,rec_long,0,,,,,
player,201010170sfo,rai,CampJa00,fumbles,1,,,,,
player,201010170sfo,rai,CampJa00,fumbles_lost,0,,,,,
player,201010170sfo,rai,BushMi00,pass_cmp,0,,,,,
player,201010170sfo,rai,BushMi00,pass_att,0,,,,,
player,201010170sfo,rai,BushMi00,pass_yds,0,,,,,
player,201010170sfo,rai,BushMi00,pass_td,0,,,,,
player,201010170sfo,rai,BushMi00,pass_int,0,,,,,
player,201010170sfo,rai,BushMi00,pass_sacked,,,,,,
player,201010170sfo,rai,BushMi00,pass_sacked_yds,,,,,,
player,201010170sfo,rai,BushMi00,pass_long,0,,,,,
player,201010170sfo,rai,BushMi00,pass_rating,,,,,,
player,201010170sfo,rai,BushMi00,rush_att,20,,,,,
player,201010170sfo,rai,BushMi00,rush_yds,47,,,,,
player,201010170sfo,rai,BushMi00,rush_td,0,,,,,
player,201010170sfo,rai,BushMi00,rush_long,5,,,,,
player,201010170sfo,rai,BushMi00,targets,3,,,,,
player,201010170sfo,rai,BushMi00,rec,2,,,,,
player,201010170sfo,rai,BushMi00,rec_yds,12,,,,,
player,201010170sfo,rai,BushMi00,rec_td,0,,,,,
player,201010170sfo,rai,BushMi00,rec_long,7,,,,,
player,201010170sfo,rai,BushMi00,fumbles,0,,,,,
player,201010170sfo,rai,BushMi00,fumbles_lost,,,,,,
player,201010170sfo,rai,MurpLo00,pass_cmp,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_att,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_yds,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_td,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_int,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_sacked,,,,,,
player,201010170sfo,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201010170sfo,rai,MurpLo00,pass_long,0,,,,,
player,201010170sfo,rai,MurpLo00,pass_rating,,,,,,
player,201010170sfo,rai,MurpLo00,rush_att,1,,,,,
player,201010170sfo,rai,MurpLo00,rush_yds,43,,,,,
player,201010170sfo,rai,MurpLo00,rush_td,0,,,,,
player,201010170sfo,rai,MurpLo00,rush_long,43,,,,,
player,201010170sfo,rai,MurpLo00,targets,5,,,,,
player,201010170sfo,rai,MurpLo00,rec,1,,,,,
player,201010170sfo,rai,MurpLo00,rec_yds,4,,,,,
player,201010170sfo,rai,MurpLo00,rec_td,0,,,,,
player,201010170sfo,rai,MurpLo00,rec_long,4,,,,,
player,201010170sfo,rai,MurpLo00,fumbles,1,,,,,
player,201010170sfo,rai,MurpLo00,fumbles_lost,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_cmp,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_att,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_yds,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_td,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_int,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_sacked,,,,,,
player,201010170sfo,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201010170sfo,rai,ReecMa00,pass_long,0,,,,,
player,201010170sfo,rai,ReecMa00,pass_rating,,,,,,
player,201010170sfo,rai,ReecMa00,rush_att,1,,,,,
player,201010170sfo,rai,ReecMa00,rush_yds,2,,,,,
player,201010170sfo,rai,ReecMa00,rush_td,0,,,,,
player,201010170sfo,rai,ReecMa00,rush_long,2,,,,,
player,201010170sfo,rai,ReecMa00,targets,1,,,,,
player,201010170sfo,rai,ReecMa00,rec,0,,,,,
player,201010170sfo,rai,ReecMa00,rec_yds,0,,,,,
player,201010170sfo,rai,ReecMa00,rec_td,0,,,,,
player,201010170sfo,rai,ReecMa00,rec_long,0,,,,,
player,201010170sfo,rai,ReecMa00,fumbles,0,,,,,
player,201010170sfo,rai,ReecMa00,fumbles_lost,,,,,,
player,201010170sfo,rai,MillZa01,pass_cmp,0,,,,,
player,201010170sfo,rai,MillZa01,pass_att,0,,,,,
player,201010170sfo,rai,MillZa01,pass_yds,0,,,,,
player,201010170sfo,rai,MillZa01,pass_td,0,,,,,
player,201010170sfo,rai,MillZa01,pass_int,0,,,,,
player,201010170sfo,rai,MillZa01,pass_sacked,,,,,,
player,201010170sfo,rai,MillZa01,pass_sacked_yds,,,,,,
player,201010170sfo,rai,MillZa01,pass_long,0,,,,,
player,201010170sfo,rai,MillZa01,pass_rating,,,,,,
player,201010170sfo,rai,MillZa01,rush_att,0,,,,,
player,201010170sfo,rai,MillZa01,rush_yds,0,,,,,
player,201010170sfo,rai,MillZa01,rush_td,0,,,,,
player,201010170sfo,rai,MillZa01,rush_long,0,,,,,
player,201010170sfo,rai,MillZa01,targets,4,,,,,
player,201010170sfo,rai,MillZa01,rec,2,,,,,
player,201010170sfo,rai,MillZa01,rec_yds,48,,,,,
player,201010170sfo,rai,MillZa01,rec_td,0,,,,,
player,201010170sfo,rai,MillZa01,rec_long,26,,,,,
player,201010170sfo,rai,MillZa01,fumbles,0,,,,,
player,201010170sfo,rai,MillZa01,fumbles_lost,,,,,,
player,201010170sfo,rai,HeywDa00,pass_cmp,0,,,,,
player,201010170sfo,rai,HeywDa00,pass_att,0,,,,,
player,201010170sfo,rai,HeywDa00,pass_yds,0,,,,,
player,201010170sfo,rai,HeywDa00,pass_td,0,,,,,
player,201010170sfo,rai,HeywDa00,pass_int,0,,,,,
player,201010170sfo,rai,HeywDa00,pass_sacked,,,,,,
