game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,rai,FordJa01,pass_sacked,,,,,,
player,201010240den,rai,FordJa01,pass_sacked_yds,,,,,,
player,201010240den,rai,FordJa01,pass_long,0,,,,,
player,201010240den,rai,FordJa01,pass_rating,,,,,,
player,201010240den,rai,FordJa01,rush_att,2,,,,,
player,201010240den,rai,FordJa01,rush_yds,29,,,,,
player,201010240den,rai,FordJa01,rush_td,0,,,,,
player,201010240den,rai,FordJa01,rush_long,23,,,,,
player,201010240den,rai,FordJa01,targets,3,,,,,
player,201010240den,rai,FordJa01,rec,2,,,,,
player,201010240den,rai,FordJa01,rec_yds,15,,,,,
player,201010240den,rai,FordJa01,rec_td,0,,,,,
player,201010240den,rai,FordJa01,rec_long,9,,,,,
player,201010240den,rai,FordJa01,fumbles,0,,,,,
player,201010240den,rai,FordJa01,fumbles_lost,,,,,,
player,201010240den,rai,CartRo01,pass_cmp,0,,,,,
player,201010240den,rai,CartRo01,pass_att,0,,,,,
player,201010240den,rai,CartRo01,pass_yds,0,,,,,
player,201010240den,rai,CartRo01,pass_td,0,,,,,
player,201010240den,rai,CartRo01,pass_int,0,,,,,
player,201010240den,rai,CartRo01,pass_sacked,,,,,,
player,201010240den,rai,CartRo01,pass_sacked_yds,,,,,,
player,201010240den,rai,CartRo01,pass_long,0,,,,,
player,201010240den,rai,CartRo01,pass_rating,,,,,,
player,201010240den,rai,CartRo01,rush_att,5,,,,,
player,201010240den,rai,CartRo01,rush_yds,17,,,,,
player,201010240den,rai,CartRo01,rush_td,0,,,,,
player,201010240den,rai,CartRo01,rush_long,10,,,,,
player,201010240den,rai,CartRo01,targets,0,,,,,
player,201010240den,rai,CartRo01,rec,0,,,,,
player,201010240den,rai,CartRo01,rec_yds,0,,,,,
player,201010240den,rai,CartRo01,rec_td,0,,,,,
player,201010240den,rai,CartRo01,rec_long,0,,,,,
player,201010240den,rai,CartRo01,fumbles,0,,,,,
player,201010240den,rai,CartRo01,fumbles_lost,,,,,,
player,201010240den,rai,BollKy00,pass_cmp,0,,,,,
player,201010240den,rai,BollKy00,pass_att,0,,,,,
player,201010240den,rai,BollKy00,pass_yds,0,,,,,
player,201010240den,rai,BollKy00,pass_td,0,,,,,
player,201010240den,rai,BollKy00,pass_int,0,,,,,
player,201010240den,rai,BollKy00,pass_sacked,,,,,,
player,201010240den,rai,BollKy00,pass_sacked_yds,,,,,,
player,201010240den,rai,BollKy00,pass_long,0,,,,,
player,201010240den,rai,BollKy00,pass_rating,,,,,,
player,201010240den,rai,BollKy00,rush_att,6,,,,,
player,201010240den,rai,BollKy00,rush_yds,11,,,,,
player,201010240den,rai,BollKy00,rush_td,0,,,,,
player,201010240den,rai,BollKy00,rush_long,15,,,,,
player,201010240den,rai,BollKy00,targets,0,,,,,
player,201010240den,rai,BollKy00,rec,0,,,,,
player,201010240den,rai,BollKy00,rec_yds,0,,,,,
player,201010240den,rai,BollKy00,rec_td,0,,,,,
player,201010240den,rai,BollKy00,rec_long,0,,,,,
player,201010240den,rai,BollKy00,fumbles,1,,,,,
player,201010240den,rai,BollKy00,fumbles_lost,0,,,,,
player,201010240den,rai,MillZa01,pass_cmp,0,,,,,
player,201010240den,rai,MillZa01,pass_att,0,,,,,
player,201010240den,rai,MillZa01,pass_yds,0,,,,,
player,201010240den,rai,MillZa01,pass_td,0,,,,,
player,201010240den,rai,MillZa01,pass_int,0,,,,,
player,201010240den,rai,MillZa01,pass_sacked,,,,,,
player,201010240den,rai,MillZa01,pass_sacked_yds,,,,,,
player,201010240den,rai,MillZa01,pass_long,0,,,,,
player,201010240den,rai,MillZa01,pass_rating,,,,,,
