game,2010,8,20101031,201010310nwe,min,"Minnesota Vikings",18,nwe,"New England Patriots",28
team,201010310nwe,min,First Downs,23,,,,,,
team,201010310nwe,nwe,First Downs,18,,,,,,
team,201010310nwe,min,Rush-Yds-TDs,28-125-1,,,,,,
team,201010310nwe,nwe,Rush-Yds-TDs,27-122-3,,,,,,
team,201010310nwe,min,Cmp-Att-Yd-TD-INT,26-38-295-1-1,,,,,,
team,201010310nwe,nwe,Cmp-Att-Yd-TD-INT,16-27-240-1-0,,,,,,
team,201010310nwe,min,Sacked-Yards,1-10,,,,,,
team,201010310nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201010310nwe,min,Net Pass Yards,285,,,,,,
team,201010310nwe,nwe,Net Pass Yards,240,,,,,,
team,201010310nwe,min,Total Yards,410,,,,,,
team,201010310nwe,nwe,Total Yards,362,,,,,,
team,201010310nwe,min,Fumbles-Lost,0-0,,,,,,
team,201010310nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201010310nwe,min,Turnovers,1,,,,,,
team,201010310nwe,nwe,Turnovers,0,,,,,,
team,201010310nwe,min,Penalties-Yards,5-35,,,,,,
team,201010310nwe,nwe,Penalties-Yards,6-47,,,,,,
team,201010310nwe,min,Third Down Conv.,4-11,,,,,,
team,201010310nwe,nwe,Third Down Conv.,6-11,,,,,,
team,201010310nwe,min,Fourth Down Conv.,1-2,,,,,,
team,201010310nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201010310nwe,min,Time of Possession,35:08,,,,,,
team,201010310nwe,nwe,Time of Possession,24:52,,,,,,
player,201010310nwe,min,FavrBr00,pass_cmp,22,,,,,
player,201010310nwe,min,FavrBr00,pass_att,32,,,,,
player,201010310nwe,min,FavrBr00,pass_yds,259,,,,,
player,201010310nwe,min,FavrBr00,pass_td,0,,,,,
player,201010310nwe,min,FavrBr00,pass_int,1,,,,,
player,201010310nwe,min,FavrBr00,pass_sacked,0,,,,,
player,201010310nwe,min,FavrBr00,pass_sacked_yds,0,,,,,
player,201010310nwe,min,FavrBr00,pass_long,30,,,,,
player,201010310nwe,min,FavrBr00,pass_rating,80.1,,,,,
player,201010310nwe,min,FavrBr00,rush_att,0,,,,,
player,201010310nwe,min,FavrBr00,rush_yds,0,,,,,
player,201010310nwe,min,FavrBr00,rush_td,0,,,,,
player,201010310nwe,min,FavrBr00,rush_long,0,,,,,
player,201010310nwe,min,FavrBr00,targets,0,,,,,
player,201010310nwe,min,FavrBr00,rec,0,,,,,
player,201010310nwe,min,FavrBr00,rec_yds,0,,,,,
player,201010310nwe,min,FavrBr00,rec_td,0,,,,,
player,201010310nwe,min,FavrBr00,rec_long,0,,,,,
player,201010310nwe,min,FavrBr00,fumbles,0,,,,,
player,201010310nwe,min,FavrBr00,fumbles_lost,,,,,,
player,201010310nwe,min,JackTa00,pass_cmp,4,,,,,
player,201010310nwe,min,JackTa00,pass_att,6,,,,,
player,201010310nwe,min,JackTa00,pass_yds,36,,,,,
player,201010310nwe,min,JackTa00,pass_td,1,,,,,
player,201010310nwe,min,JackTa00,pass_int,0,,,,,
player,201010310nwe,min,JackTa00,pass_sacked,1,,,,,
player,201010310nwe,min,JackTa00,pass_sacked_yds,10,,,,,
player,201010310nwe,min,JackTa00,pass_long,23,,,,,
player,201010310nwe,min,JackTa00,pass_rating,122.2,,,,,
player,201010310nwe,min,JackTa00,rush_att,1,,,,,
player,201010310nwe,min,JackTa00,rush_yds,33,,,,,
player,201010310nwe,min,JackTa00,rush_td,0,,,,,
player,201010310nwe,min,JackTa00,rush_long,33,,,,,
player,201010310nwe,min,JackTa00,targets,0,,,,,
player,201010310nwe,min,JackTa00,rec,0,,,,,
player,201010310nwe,min,JackTa00,rec_yds,0,,,,,
player,201010310nwe,min,JackTa00,rec_td,0,,,,,
player,201010310nwe,min,JackTa00,rec_long,0,,,,,
player,201010310nwe,min,JackTa00,fumbles,0,,,,,
player,201010310nwe,min,JackTa00,fumbles_lost,,,,,,
player,201010310nwe,min,PeteAd01,pass_cmp,0,,,,,
player,201010310nwe,min,PeteAd01,pass_att,0,,,,,
player,201010310nwe,min,PeteAd01,pass_yds,0,,,,,
player,201010310nwe,min,PeteAd01,pass_td,0,,,,,
player,201010310nwe,min,PeteAd01,pass_int,0,,,,,
player,201010310nwe,min,PeteAd01,pass_sacked,,,,,,
player,201010310nwe,min,PeteAd01,pass_sacked_yds,,,,,,
player,201010310nwe,min,PeteAd01,pass_long,0,,,,,
player,201010310nwe,min,PeteAd01,pass_rating,,,,,,
player,201010310nwe,min,PeteAd01,rush_att,25,,,,,
player,201010310nwe,min,PeteAd01,rush_yds,92,,,,,
player,201010310nwe,min,PeteAd01,rush_td,1,,,,,
player,201010310nwe,min,PeteAd01,rush_long,9,,,,,
player,201010310nwe,min,PeteAd01,targets,6,,,,,
player,201010310nwe,min,PeteAd01,rec,5,,,,,
player,201010310nwe,min,PeteAd01,rec_yds,50,,,,,
player,201010310nwe,min,PeteAd01,rec_td,0,,,,,
player,201010310nwe,min,PeteAd01,rec_long,25,,,,,
player,201010310nwe,min,PeteAd01,fumbles,0,,,,,
player,201010310nwe,min,PeteAd01,fumbles_lost,,,,,,
player,201010310nwe,min,HarvPe00,pass_cmp,0,,,,,
player,201010310nwe,min,HarvPe00,pass_att,0,,,,,
player,201010310nwe,min,HarvPe00,pass_yds,0,,,,,
player,201010310nwe,min,HarvPe00,pass_td,0,,,,,
player,201010310nwe,min,HarvPe00,pass_int,0,,,,,
player,201010310nwe,min,HarvPe00,pass_sacked,,,,,,
player,201010310nwe,min,HarvPe00,pass_sacked_yds,,,,,,
player,201010310nwe,min,HarvPe00,pass_long,0,,,,,
player,201010310nwe,min,HarvPe00,pass_rating,,,,,,
player,201010310nwe,min,HarvPe00,rush_att,0,,,,,
player,201010310nwe,min,HarvPe00,rush_yds,0,,,,,
player,201010310nwe,min,HarvPe00,rush_td,0,,,,,
player,201010310nwe,min,HarvPe00,rush_long,0,,,,,
player,201010310nwe,min,HarvPe00,targets,8,,,,,
player,201010310nwe,min,HarvPe00,rec,6,,,,,
player,201010310nwe,min,HarvPe00,rec_yds,104,,,,,
player,201010310nwe,min,HarvPe00,rec_td,0,,,,,
player,201010310nwe,min,HarvPe00,rec_long,30,,,,,
player,201010310nwe,min,HarvPe00,fumbles,0,,,,,
player,201010310nwe,min,HarvPe00,fumbles_lost,,,,,,
player,201010310nwe,min,GerhTo00,pass_cmp,0,,,,,
player,201010310nwe,min,GerhTo00,pass_att,0,,,,,
player,201010310nwe,min,GerhTo00,pass_yds,0,,,,,
player,201010310nwe,min,GerhTo00,pass_td,0,,,,,
player,201010310nwe,min,GerhTo00,pass_int,0,,,,,
player,201010310nwe,min,GerhTo00,pass_sacked,,,,,,
player,201010310nwe,min,GerhTo00,pass_sacked_yds,,,,,,
player,201010310nwe,min,GerhTo00,pass_long,0,,,,,
player,201010310nwe,min,GerhTo00,pass_rating,,,,,,
player,201010310nwe,min,GerhTo00,rush_att,2,,,,,
player,201010310nwe,min,GerhTo00,rush_yds,0,,,,,
player,201010310nwe,min,GerhTo00,rush_td,0,,,,,
player,201010310nwe,min,GerhTo00,rush_long,0,,,,,
player,201010310nwe,min,GerhTo00,targets,5,,,,,
player,201010310nwe,min,GerhTo00,rec,5,,,,,
player,201010310nwe,min,GerhTo00,rec_yds,67,,,,,
player,201010310nwe,min,GerhTo00,rec_td,0,,,,,
player,201010310nwe,min,GerhTo00,rec_long,23,,,,,
player,201010310nwe,min,GerhTo00,fumbles,0,,,,,
player,201010310nwe,min,GerhTo00,fumbles_lost,,,,,,
player,201010310nwe,min,ShiaVi00,pass_cmp,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_att,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_yds,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_td,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_int,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_sacked,,,,,,
player,201010310nwe,min,ShiaVi00,pass_sacked_yds,,,,,,
player,201010310nwe,min,ShiaVi00,pass_long,0,,,,,
player,201010310nwe,min,ShiaVi00,pass_rating,,,,,,
player,201010310nwe,min,ShiaVi00,rush_att,0,,,,,
player,201010310nwe,min,ShiaVi00,rush_yds,0,,,,,
player,201010310nwe,min,ShiaVi00,rush_td,0,,,,,
player,201010310nwe,min,ShiaVi00,rush_long,0,,,,,
player,201010310nwe,min,ShiaVi00,targets,5,,,,,
player,201010310nwe,min,ShiaVi00,rec,4,,,,,
player,201010310nwe,min,ShiaVi00,rec_yds,38,,,,,
player,201010310nwe,min,ShiaVi00,rec_td,0,,,,,
player,201010310nwe,min,ShiaVi00,rec_long,17,,,,,
player,201010310nwe,min,ShiaVi00,fumbles,0,,,,,
player,201010310nwe,min,ShiaVi00,fumbles_lost,,,,,,
player,201010310nwe,min,BerrBe00,pass_cmp,0,,,,,
player,201010310nwe,min,BerrBe00,pass_att,0,,,,,
player,201010310nwe,min,BerrBe00,pass_yds,0,,,,,
player,201010310nwe,min,BerrBe00,pass_td,0,,,,,
player,201010310nwe,min,BerrBe00,pass_int,0,,,,,
player,201010310nwe,min,BerrBe00,pass_sacked,,,,,,
player,201010310nwe,min,BerrBe00,pass_sacked_yds,,,,,,
player,201010310nwe,min,BerrBe00,pass_long,0,,,,,
player,201010310nwe,min,BerrBe00,pass_rating,,,,,,
player,201010310nwe,min,BerrBe00,rush_att,0,,,,,
player,201010310nwe,min,BerrBe00,rush_yds,0,,,,,
player,201010310nwe,min,BerrBe00,rush_td,0,,,,,
player,201010310nwe,min,BerrBe00,rush_long,0,,,,,
player,201010310nwe,min,BerrBe00,targets,4,,,,,
player,201010310nwe,min,BerrBe00,rec,2,,,,,
player,201010310nwe,min,BerrBe00,rec_yds,15,,,,,
player,201010310nwe,min,BerrBe00,rec_td,0,,,,,
player,201010310nwe,min,BerrBe00,rec_long,9,,,,,
player,201010310nwe,min,BerrBe00,fumbles,0,,,,,
