game,2010,16,20101226,201012260rai,clt,"Indianapolis Colts",31,rai,"Oakland Raiders",26
team,201012260rai,clt,First Downs,27,,,,,,
team,201012260rai,rai,First Downs,16,,,,,,
team,201012260rai,clt,Rush-Yds-TDs,39-191-1,,,,,,
team,201012260rai,rai,Rush-Yds-TDs,20-80-0,,,,,,
team,201012260rai,clt,Cmp-Att-Yd-TD-INT,16-30-179-3-2,,,,,,
team,201012260rai,rai,Cmp-Att-Yd-TD-INT,29-42-231-1-0,,,,,,
team,201012260rai,clt,Sacked-Yards,0-0,,,,,,
team,201012260rai,rai,Sacked-Yards,3-21,,,,,,
team,201012260rai,clt,Net Pass Yards,179,,,,,,
team,201012260rai,rai,Net Pass Yards,210,,,,,,
team,201012260rai,clt,Total Yards,370,,,,,,
team,201012260rai,rai,Total Yards,290,,,,,,
team,201012260rai,clt,Fumbles-Lost,0-0,,,,,,
team,201012260rai,rai,Fumbles-Lost,1-0,,,,,,
team,201012260rai,clt,Turnovers,2,,,,,,
team,201012260rai,rai,Turnovers,0,,,,,,
team,201012260rai,clt,Penalties-Yards,4-42,,,,,,
team,201012260rai,rai,Penalties-Yards,10-116,,,,,,
team,201012260rai,clt,Third Down Conv.,4-11,,,,,,
team,201012260rai,rai,Third Down Conv.,4-15,,,,,,
team,201012260rai,clt,Fourth Down Conv.,0-0,,,,,,
team,201012260rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201012260rai,clt,Time of Possession,29:59,,,,,,
team,201012260rai,rai,Time of Possession,30:01,,,,,,
player,201012260rai,clt,MannPe00,pass_cmp,16,,,,,
player,201012260rai,clt,MannPe00,pass_att,30,,,,,
player,201012260rai,clt,MannPe00,pass_yds,179,,,,,
player,201012260rai,clt,MannPe00,pass_td,3,,,,,
player,201012260rai,clt,MannPe00,pass_int,2,,,,,
player,201012260rai,clt,MannPe00,pass_sacked,0,,,,,
player,201012260rai,clt,MannPe00,pass_sacked_yds,0,,,,,
player,201012260rai,clt,MannPe00,pass_long,20,,,,,
player,201012260rai,clt,MannPe00,pass_rating,76.9,,,,,
player,201012260rai,clt,MannPe00,rush_att,3,,,,,
player,201012260rai,clt,MannPe00,rush_yds,25,,,,,
player,201012260rai,clt,MannPe00,rush_td,0,,,,,
player,201012260rai,clt,MannPe00,rush_long,27,,,,,
player,201012260rai,clt,MannPe00,targets,0,,,,,
player,201012260rai,clt,MannPe00,rec,0,,,,,
player,201012260rai,clt,MannPe00,rec_yds,0,,,,,
player,201012260rai,clt,MannPe00,rec_td,0,,,,,
player,201012260rai,clt,MannPe00,rec_long,0,,,,,
player,201012260rai,clt,MannPe00,fumbles,0,,,,,
player,201012260rai,clt,MannPe00,fumbles_lost,,,,,,
player,201012260rai,clt,RhodDo00,pass_cmp,0,,,,,
player,201012260rai,clt,RhodDo00,pass_att,0,,,,,
player,201012260rai,clt,RhodDo00,pass_yds,0,,,,,
player,201012260rai,clt,RhodDo00,pass_td,0,,,,,
player,201012260rai,clt,RhodDo00,pass_int,0,,,,,
player,201012260rai,clt,RhodDo00,pass_sacked,,,,,,
player,201012260rai,clt,RhodDo00,pass_sacked_yds,,,,,,
player,201012260rai,clt,RhodDo00,pass_long,0,,,,,
player,201012260rai,clt,RhodDo00,pass_rating,,,,,,
player,201012260rai,clt,RhodDo00,rush_att,17,,,,,
player,201012260rai,clt,RhodDo00,rush_yds,98,,,,,
player,201012260rai,clt,RhodDo00,rush_td,0,,,,,
player,201012260rai,clt,RhodDo00,rush_long,15,,,,,
player,201012260rai,clt,RhodDo00,targets,1,,,,,
player,201012260rai,clt,RhodDo00,rec,0,,,,,
player,201012260rai,clt,RhodDo00,rec_yds,0,,,,,
player,201012260rai,clt,RhodDo00,rec_td,0,,,,,
player,201012260rai,clt,RhodDo00,rec_long,0,,,,,
player,201012260rai,clt,RhodDo00,fumbles,0,,,,,
player,201012260rai,clt,RhodDo00,fumbles_lost,,,,,,
player,201012260rai,clt,AddaJo00,pass_cmp,0,,,,,
player,201012260rai,clt,AddaJo00,pass_att,0,,,,,
player,201012260rai,clt,AddaJo00,pass_yds,0,,,,,
player,201012260rai,clt,AddaJo00,pass_td,0,,,,,
player,201012260rai,clt,AddaJo00,pass_int,0,,,,,
player,201012260rai,clt,AddaJo00,pass_sacked,,,,,,
player,201012260rai,clt,AddaJo00,pass_sacked_yds,,,,,,
player,201012260rai,clt,AddaJo00,pass_long,0,,,,,
player,201012260rai,clt,AddaJo00,pass_rating,,,,,,
player,201012260rai,clt,AddaJo00,rush_att,12,,,,,
player,201012260rai,clt,AddaJo00,rush_yds,45,,,,,
player,201012260rai,clt,AddaJo00,rush_td,1,,,,,
player,201012260rai,clt,AddaJo00,rush_long,18,,,,,
player,201012260rai,clt,AddaJo00,targets,1,,,,,
player,201012260rai,clt,AddaJo00,rec,1,,,,,
player,201012260rai,clt,AddaJo00,rec_yds,6,,,,,
player,201012260rai,clt,AddaJo00,rec_td,0,,,,,
player,201012260rai,clt,AddaJo00,rec_long,6,,,,,
player,201012260rai,clt,AddaJo00,fumbles,0,,,,,
player,201012260rai,clt,AddaJo00,fumbles_lost,,,,,,
player,201012260rai,clt,BrowDo00,pass_cmp,0,,,,,
player,201012260rai,clt,BrowDo00,pass_att,0,,,,,
player,201012260rai,clt,BrowDo00,pass_yds,0,,,,,
player,201012260rai,clt,BrowDo00,pass_td,0,,,,,
player,201012260rai,clt,BrowDo00,pass_int,0,,,,,
player,201012260rai,clt,BrowDo00,pass_sacked,,,,,,
player,201012260rai,clt,BrowDo00,pass_sacked_yds,,,,,,
player,201012260rai,clt,BrowDo00,pass_long,0,,,,,
player,201012260rai,clt,BrowDo00,pass_rating,,,,,,
player,201012260rai,clt,BrowDo00,rush_att,6,,,,,
player,201012260rai,clt,BrowDo00,rush_yds,28,,,,,
player,201012260rai,clt,BrowDo00,rush_td,0,,,,,
player,201012260rai,clt,BrowDo00,rush_long,12,,,,,
player,201012260rai,clt,BrowDo00,targets,0,,,,,
player,201012260rai,clt,BrowDo00,rec,0,,,,,
player,201012260rai,clt,BrowDo00,rec_yds,0,,,,,
player,201012260rai,clt,BrowDo00,rec_td,0,,,,,
player,201012260rai,clt,BrowDo00,rec_long,0,,,,,
player,201012260rai,clt,BrowDo00,fumbles,0,,,,,
player,201012260rai,clt,BrowDo00,fumbles_lost,,,,,,
player,201012260rai,clt,TammJa00,pass_cmp,0,,,,,
player,201012260rai,clt,TammJa00,pass_att,0,,,,,
player,201012260rai,clt,TammJa00,pass_yds,0,,,,,
player,201012260rai,clt,TammJa00,pass_td,0,,,,,
player,201012260rai,clt,TammJa00,pass_int,0,,,,,
player,201012260rai,clt,TammJa00,pass_sacked,,,,,,
player,201012260rai,clt,TammJa00,pass_sacked_yds,,,,,,
player,201012260rai,clt,TammJa00,pass_long,0,,,,,
player,201012260rai,clt,TammJa00,pass_rating,,,,,,
player,201012260rai,clt,TammJa00,rush_att,0,,,,,
player,201012260rai,clt,TammJa00,rush_yds,0,,,,,
player,201012260rai,clt,TammJa00,rush_td,0,,,,,
player,201012260rai,clt,TammJa00,rush_long,0,,,,,
player,201012260rai,clt,TammJa00,targets,9,,,,,
player,201012260rai,clt,TammJa00,rec,7,,,,,
player,201012260rai,clt,TammJa00,rec_yds,78,,,,,
player,201012260rai,clt,TammJa00,rec_td,1,,,,,
player,201012260rai,clt,TammJa00,rec_long,18,,,,,
player,201012260rai,clt,TammJa00,fumbles,0,,,,,
player,201012260rai,clt,TammJa00,fumbles_lost,,,,,,
player,201012260rai,clt,WaynRe00,pass_cmp,0,,,,,
player,201012260rai,clt,WaynRe00,pass_att,0,,,,,
player,201012260rai,clt,WaynRe00,pass_yds,0,,,,,
player,201012260rai,clt,WaynRe00,pass_td,0,,,,,
player,201012260rai,clt,WaynRe00,pass_int,0,,,,,
player,201012260rai,clt,WaynRe00,pass_sacked,,,,,,
player,201012260rai,clt,WaynRe00,pass_sacked_yds,,,,,,
player,201012260rai,clt,WaynRe00,pass_long,0,,,,,
player,201012260rai,clt,WaynRe00,pass_rating,,,,,,
player,201012260rai,clt,WaynRe00,rush_att,0,,,,,
player,201012260rai,clt,WaynRe00,rush_yds,0,,,,,
player,201012260rai,clt,WaynRe00,rush_td,0,,,,,
player,201012260rai,clt,WaynRe00,rush_long,0,,,,,
player,201012260rai,clt,WaynRe00,targets,6,,,,,
player,201012260rai,clt,WaynRe00,rec,3,,,,,
player,201012260rai,clt,WaynRe00,rec_yds,40,,,,,
player,201012260rai,clt,WaynRe00,rec_td,0,,,,,
player,201012260rai,clt,WaynRe00,rec_long,20,,,,,
player,201012260rai,clt,WaynRe00,fumbles,0,,,,,
player,201012260rai,clt,WaynRe00,fumbles_lost,,,,,,
player,201012260rai,clt,WhitBl00,pass_cmp,0,,,,,
player,201012260rai,clt,WhitBl00,pass_att,0,,,,,
player,201012260rai,clt,WhitBl00,pass_yds,0,,,,,
player,201012260rai,clt,WhitBl00,pass_td,0,,,,,
player,201012260rai,clt,WhitBl00,pass_int,0,,,,,
player,201012260rai,clt,WhitBl00,pass_sacked,,,,,,
player,201012260rai,clt,WhitBl00,pass_sacked_yds,,,,,,
player,201012260rai,clt,WhitBl00,pass_long,0,,,,,
player,201012260rai,clt,WhitBl00,pass_rating,,,,,,
player,201012260rai,clt,WhitBl00,rush_att,0,,,,,
player,201012260rai,clt,WhitBl00,rush_yds,0,,,,,
player,201012260rai,clt,WhitBl00,rush_td,0,,,,,
player,201012260rai,clt,WhitBl00,rush_long,0,,,,,
player,201012260rai,clt,WhitBl00,targets,5,,,,,
player,201012260rai,clt,WhitBl00,rec,2,,,,,
player,201012260rai,clt,WhitBl00,rec_yds,20,,,,,
player,201012260rai,clt,WhitBl00,rec_td,1,,,,,
player,201012260rai,clt,WhitBl00,rec_long,16,,,,,
player,201012260rai,clt,WhitBl00,fumbles,0,,,,,
player,201012260rai,clt,WhitBl00,fumbles_lost,,,,,,
player,201012260rai,clt,GarcPi00,pass_cmp,0,,,,,
player,201012260rai,clt,GarcPi00,pass_att,0,,,,,
player,201012260rai,clt,GarcPi00,pass_yds,0,,,,,
player,201012260rai,clt,GarcPi00,pass_td,0,,,,,
player,201012260rai,clt,GarcPi00,pass_int,0,,,,,
player,201012260rai,clt,GarcPi00,pass_sacked,,,,,,
player,201012260rai,clt,GarcPi00,pass_sacked_yds,,,,,,
player,201012260rai,clt,GarcPi00,pass_long,0,,,,,
player,201012260rai,clt,GarcPi00,pass_rating,,,,,,
player,201012260rai,clt,GarcPi00,rush_att,1,,,,,
player,201012260rai,clt,GarcPi00,rush_yds,-5,,,,,
player,201012260rai,clt,GarcPi00,rush_td,0,,,,,
player,201012260rai,clt,GarcPi00,rush_long,-5,,,,,
player,201012260rai,clt,GarcPi00,targets,8,,,,,
player,201012260rai,clt,GarcPi00,rec,3,,,,,
player,201012260rai,clt,GarcPi00,rec_yds,35,,,,,
player,201012260rai,clt,GarcPi00,rec_td,1,,,,,
player,201012260rai,clt,GarcPi00,rec_long,19,,,,,
player,201012260rai,clt,GarcPi00,fumbles,0,,,,,
player,201012260rai,clt,GarcPi00,fumbles_lost,,,,,,
