game,2010,11,20101121,201011210nyj,htx,"Houston Texans",27,nyj,"New York Jets",30
team,201011210nyj,htx,First Downs,17,,,,,,
team,201011210nyj,nyj,First Downs,22,,,,,,
team,201011210nyj,htx,Rush-Yds-TDs,26-97-2,,,,,,
team,201011210nyj,nyj,Rush-Yds-TDs,31-103-0,,,,,,
team,201011210nyj,htx,Cmp-Att-Yd-TD-INT,19-33-254-1-0,,,,,,
team,201011210nyj,nyj,Cmp-Att-Yd-TD-INT,22-38-315-3-1,,,,,,
team,201011210nyj,htx,Sacked-Yards,1-8,,,,,,
team,201011210nyj,nyj,Sacked-Yards,3-17,,,,,,
team,201011210nyj,htx,Net Pass Yards,246,,,,,,
team,201011210nyj,nyj,Net Pass Yards,298,,,,,,
team,201011210nyj,htx,Total Yards,343,,,,,,
team,201011210nyj,nyj,Total Yards,401,,,,,,
team,201011210nyj,htx,Fumbles-Lost,1-1,,,,,,
team,201011210nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201011210nyj,htx,Turnovers,1,,,,,,
team,201011210nyj,nyj,Turnovers,2,,,,,,
team,201011210nyj,htx,Penalties-Yards,3-25,,,,,,
team,201011210nyj,nyj,Penalties-Yards,4-39,,,,,,
team,201011210nyj,htx,Third Down Conv.,4-12,,,,,,
team,201011210nyj,nyj,Third Down Conv.,7-15,,,,,,
team,201011210nyj,htx,Fourth Down Conv.,0-0,,,,,,
team,201011210nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201011210nyj,htx,Time of Possession,25:41,,,,,,
team,201011210nyj,nyj,Time of Possession,34:19,,,,,,
player,201011210nyj,htx,SchaMa00,pass_cmp,19,,,,,
player,201011210nyj,htx,SchaMa00,pass_att,33,,,,,
player,201011210nyj,htx,SchaMa00,pass_yds,254,,,,,
player,201011210nyj,htx,SchaMa00,pass_td,1,,,,,
player,201011210nyj,htx,SchaMa00,pass_int,0,,,,,
player,201011210nyj,htx,SchaMa00,pass_sacked,1,,,,,
player,201011210nyj,htx,SchaMa00,pass_sacked_yds,8,,,,,
player,201011210nyj,htx,SchaMa00,pass_long,43,,,,,
player,201011210nyj,htx,SchaMa00,pass_rating,92.2,,,,,
player,201011210nyj,htx,SchaMa00,rush_att,1,,,,,
player,201011210nyj,htx,SchaMa00,rush_yds,3,,,,,
player,201011210nyj,htx,SchaMa00,rush_td,0,,,,,
player,201011210nyj,htx,SchaMa00,rush_long,3,,,,,
player,201011210nyj,htx,SchaMa00,targets,0,,,,,
player,201011210nyj,htx,SchaMa00,rec,0,,,,,
player,201011210nyj,htx,SchaMa00,rec_yds,0,,,,,
player,201011210nyj,htx,SchaMa00,rec_td,0,,,,,
player,201011210nyj,htx,SchaMa00,rec_long,0,,,,,
player,201011210nyj,htx,SchaMa00,fumbles,0,,,,,
player,201011210nyj,htx,SchaMa00,fumbles_lost,,,,,,
player,201011210nyj,htx,FostAr00,pass_cmp,0,,,,,
player,201011210nyj,htx,FostAr00,pass_att,0,,,,,
player,201011210nyj,htx,FostAr00,pass_yds,0,,,,,
player,201011210nyj,htx,FostAr00,pass_td,0,,,,,
player,201011210nyj,htx,FostAr00,pass_int,0,,,,,
player,201011210nyj,htx,FostAr00,pass_sacked,,,,,,
player,201011210nyj,htx,FostAr00,pass_sacked_yds,,,,,,
player,201011210nyj,htx,FostAr00,pass_long,0,,,,,
player,201011210nyj,htx,FostAr00,pass_rating,,,,,,
player,201011210nyj,htx,FostAr00,rush_att,22,,,,,
player,201011210nyj,htx,FostAr00,rush_yds,84,,,,,
player,201011210nyj,htx,FostAr00,rush_td,2,,,,,
player,201011210nyj,htx,FostAr00,rush_long,19,,,,,
player,201011210nyj,htx,FostAr00,targets,7,,,,,
player,201011210nyj,htx,FostAr00,rec,6,,,,,
player,201011210nyj,htx,FostAr00,rec_yds,59,,,,,
player,201011210nyj,htx,FostAr00,rec_td,0,,,,,
player,201011210nyj,htx,FostAr00,rec_long,20,,,,,
player,201011210nyj,htx,FostAr00,fumbles,1,,,,,
player,201011210nyj,htx,FostAr00,fumbles_lost,1,,,,,
player,201011210nyj,htx,JoneJa03,pass_cmp,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_att,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_yds,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_td,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_int,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_sacked,,,,,,
player,201011210nyj,htx,JoneJa03,pass_sacked_yds,,,,,,
player,201011210nyj,htx,JoneJa03,pass_long,0,,,,,
player,201011210nyj,htx,JoneJa03,pass_rating,,,,,,
player,201011210nyj,htx,JoneJa03,rush_att,1,,,,,
player,201011210nyj,htx,JoneJa03,rush_yds,10,,,,,
player,201011210nyj,htx,JoneJa03,rush_td,0,,,,,
player,201011210nyj,htx,JoneJa03,rush_long,10,,,,,
player,201011210nyj,htx,JoneJa03,targets,2,,,,,
player,201011210nyj,htx,JoneJa03,rec,0,,,,,
player,201011210nyj,htx,JoneJa03,rec_yds,0,,,,,
player,201011210nyj,htx,JoneJa03,rec_td,0,,,,,
player,201011210nyj,htx,JoneJa03,rec_long,0,,,,,
player,201011210nyj,htx,JoneJa03,fumbles,0,,,,,
