game,2010,3,20100926,201009260jax,phi,"Philadelphia Eagles",28,jax,"Jacksonville Jaguars",3
team,201009260jax,phi,First Downs,15,,,,,,
team,201009260jax,jax,First Downs,16,,,,,,
team,201009260jax,phi,Rush-Yds-TDs,21-106-1,,,,,,
team,201009260jax,jax,Rush-Yds-TDs,32-139-0,,,,,,
team,201009260jax,phi,Cmp-Att-Yd-TD-INT,17-31-291-3-0,,,,,,
team,201009260jax,jax,Cmp-Att-Yd-TD-INT,13-30-105-0-1,,,,,,
team,201009260jax,phi,Sacked-Yards,3-24,,,,,,
team,201009260jax,jax,Sacked-Yards,7-53,,,,,,
team,201009260jax,phi,Net Pass Yards,267,,,,,,
team,201009260jax,jax,Net Pass Yards,52,,,,,,
team,201009260jax,phi,Total Yards,373,,,,,,
team,201009260jax,jax,Total Yards,191,,,,,,
team,201009260jax,phi,Fumbles-Lost,0-0,,,,,,
team,201009260jax,jax,Fumbles-Lost,1-0,,,,,,
team,201009260jax,phi,Turnovers,0,,,,,,
team,201009260jax,jax,Turnovers,1,,,,,,
team,201009260jax,phi,Penalties-Yards,7-84,,,,,,
team,201009260jax,jax,Penalties-Yards,4-67,,,,,,
team,201009260jax,phi,Third Down Conv.,5-13,,,,,,
team,201009260jax,jax,Third Down Conv.,5-17,,,,,,
team,201009260jax,phi,Fourth Down Conv.,0-1,,,,,,
team,201009260jax,jax,Fourth Down Conv.,1-2,,,,,,
team,201009260jax,phi,Time of Possession,27:07,,,,,,
team,201009260jax,jax,Time of Possession,32:53,,,,,,
player,201009260jax,phi,VickMi00,pass_cmp,17,,,,,
player,201009260jax,phi,VickMi00,pass_att,31,,,,,
player,201009260jax,phi,VickMi00,pass_yds,291,,,,,
player,201009260jax,phi,VickMi00,pass_td,3,,,,,
player,201009260jax,phi,VickMi00,pass_int,0,,,,,
player,201009260jax,phi,VickMi00,pass_sacked,3,,,,,
player,201009260jax,phi,VickMi00,pass_sacked_yds,24,,,,,
player,201009260jax,phi,VickMi00,pass_long,61,,,,,
player,201009260jax,phi,VickMi00,pass_rating,119.2,,,,,
player,201009260jax,phi,VickMi00,rush_att,4,,,,,
player,201009260jax,phi,VickMi00,rush_yds,30,,,,,
player,201009260jax,phi,VickMi00,rush_td,1,,,,,
player,201009260jax,phi,VickMi00,rush_long,17,,,,,
player,201009260jax,phi,VickMi00,targets,0,,,,,
player,201009260jax,phi,VickMi00,rec,0,,,,,
player,201009260jax,phi,VickMi00,rec_yds,0,,,,,
player,201009260jax,phi,VickMi00,rec_td,0,,,,,
player,201009260jax,phi,VickMi00,rec_long,0,,,,,
player,201009260jax,phi,VickMi00,fumbles,0,,,,,
player,201009260jax,phi,VickMi00,fumbles_lost,,,,,,
player,201009260jax,phi,McCoLe01,pass_cmp,0,,,,,
player,201009260jax,phi,McCoLe01,pass_att,0,,,,,
player,201009260jax,phi,McCoLe01,pass_yds,0,,,,,
player,201009260jax,phi,McCoLe01,pass_td,0,,,,,
player,201009260jax,phi,McCoLe01,pass_int,0,,,,,
player,201009260jax,phi,McCoLe01,pass_sacked,,,,,,
player,201009260jax,phi,McCoLe01,pass_sacked_yds,,,,,,
player,201009260jax,phi,McCoLe01,pass_long,0,,,,,
player,201009260jax,phi,McCoLe01,pass_rating,,,,,,
player,201009260jax,phi,McCoLe01,rush_att,11,,,,,
player,201009260jax,phi,McCoLe01,rush_yds,54,,,,,
player,201009260jax,phi,McCoLe01,rush_td,0,,,,,
player,201009260jax,phi,McCoLe01,rush_long,18,,,,,
player,201009260jax,phi,McCoLe01,targets,4,,,,,
player,201009260jax,phi,McCoLe01,rec,2,,,,,
player,201009260jax,phi,McCoLe01,rec_yds,7,,,,,
player,201009260jax,phi,McCoLe01,rec_td,0,,,,,
player,201009260jax,phi,McCoLe01,rec_long,5,,,,,
player,201009260jax,phi,McCoLe01,fumbles,0,,,,,
player,201009260jax,phi,McCoLe01,fumbles_lost,,,,,,
player,201009260jax,phi,BellMi00,pass_cmp,0,,,,,
player,201009260jax,phi,BellMi00,pass_att,0,,,,,
player,201009260jax,phi,BellMi00,pass_yds,0,,,,,
player,201009260jax,phi,BellMi00,pass_td,0,,,,,
player,201009260jax,phi,BellMi00,pass_int,0,,,,,
player,201009260jax,phi,BellMi00,pass_sacked,,,,,,
player,201009260jax,phi,BellMi00,pass_sacked_yds,,,,,,
player,201009260jax,phi,BellMi00,pass_long,0,,,,,
player,201009260jax,phi,BellMi00,pass_rating,,,,,,
player,201009260jax,phi,BellMi00,rush_att,5,,,,,
player,201009260jax,phi,BellMi00,rush_yds,14,,,,,
player,201009260jax,phi,BellMi00,rush_td,0,,,,,
player,201009260jax,phi,BellMi00,rush_long,9,,,,,
player,201009260jax,phi,BellMi00,targets,0,,,,,
player,201009260jax,phi,BellMi00,rec,0,,,,,
player,201009260jax,phi,BellMi00,rec_yds,0,,,,,
player,201009260jax,phi,BellMi00,rec_td,0,,,,,
player,201009260jax,phi,BellMi00,rec_long,0,,,,,
player,201009260jax,phi,BellMi00,fumbles,0,,,,,
player,201009260jax,phi,BellMi00,fumbles_lost,,,,,,
player,201009260jax,phi,JackDe00,pass_cmp,0,,,,,
