game,2010,16,20101227,201012270atl,nor,"New Orleans Saints",17,atl,"Atlanta Falcons",14
team,201012270atl,nor,First Downs,23,,,,,,
team,201012270atl,atl,First Downs,14,,,,,,
team,201012270atl,nor,Rush-Yds-TDs,24-72-1,,,,,,
team,201012270atl,atl,Rush-Yds-TDs,22-75-0,,,,,,
team,201012270atl,nor,Cmp-Att-Yd-TD-INT,35-49-302-1-2,,,,,,
team,201012270atl,atl,Cmp-Att-Yd-TD-INT,15-29-148-1-0,,,,,,
team,201012270atl,nor,Sacked-Yards,1-6,,,,,,
team,201012270atl,atl,Sacked-Yards,1-8,,,,,,
team,201012270atl,nor,Net Pass Yards,296,,,,,,
team,201012270atl,atl,Net Pass Yards,140,,,,,,
team,201012270atl,nor,Total Yards,368,,,,,,
team,201012270atl,atl,Total Yards,215,,,,,,
team,201012270atl,nor,Fumbles-Lost,0-0,,,,,,
team,201012270atl,atl,Fumbles-Lost,2-2,,,,,,
team,201012270atl,nor,Turnovers,2,,,,,,
team,201012270atl,atl,Turnovers,2,,,,,,
team,201012270atl,nor,Penalties-Yards,8-92,,,,,,
team,201012270atl,atl,Penalties-Yards,1-10,,,,,,
team,201012270atl,nor,Third Down Conv.,8-17,,,,,,
team,201012270atl,atl,Third Down Conv.,3-12,,,,,,
team,201012270atl,nor,Fourth Down Conv.,0-0,,,,,,
team,201012270atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201012270atl,nor,Time of Possession,36:35,,,,,,
team,201012270atl,atl,Time of Possession,23:25,,,,,,
player,201012270atl,nor,BreeDr00,pass_cmp,35,,,,,
player,201012270atl,nor,BreeDr00,pass_att,49,,,,,
player,201012270atl,nor,BreeDr00,pass_yds,302,,,,,
player,201012270atl,nor,BreeDr00,pass_td,1,,,,,
player,201012270atl,nor,BreeDr00,pass_int,2,,,,,
player,201012270atl,nor,BreeDr00,pass_sacked,1,,,,,
player,201012270atl,nor,BreeDr00,pass_sacked_yds,6,,,,,
player,201012270atl,nor,BreeDr00,pass_long,25,,,,,
player,201012270atl,nor,BreeDr00,pass_rating,77.1,,,,,
player,201012270atl,nor,BreeDr00,rush_att,2,,,,,
player,201012270atl,nor,BreeDr00,rush_yds,-2,,,,,
player,201012270atl,nor,BreeDr00,rush_td,0,,,,,
player,201012270atl,nor,BreeDr00,rush_long,-1,,,,,
player,201012270atl,nor,BreeDr00,targets,0,,,,,
player,201012270atl,nor,BreeDr00,rec,0,,,,,
player,201012270atl,nor,BreeDr00,rec_yds,0,,,,,
player,201012270atl,nor,BreeDr00,rec_td,0,,,,,
player,201012270atl,nor,BreeDr00,rec_long,0,,,,,
player,201012270atl,nor,BreeDr00,fumbles,0,,,,,
player,201012270atl,nor,BreeDr00,fumbles_lost,,,,,,
player,201012270atl,nor,ThomPi00,pass_cmp,0,,,,,
player,201012270atl,nor,ThomPi00,pass_att,0,,,,,
player,201012270atl,nor,ThomPi00,pass_yds,0,,,,,
player,201012270atl,nor,ThomPi00,pass_td,0,,,,,
player,201012270atl,nor,ThomPi00,pass_int,0,,,,,
player,201012270atl,nor,ThomPi00,pass_sacked,,,,,,
player,201012270atl,nor,ThomPi00,pass_sacked_yds,,,,,,
player,201012270atl,nor,ThomPi00,pass_long,0,,,,,
player,201012270atl,nor,ThomPi00,pass_rating,,,,,,
player,201012270atl,nor,ThomPi00,rush_att,19,,,,,
player,201012270atl,nor,ThomPi00,rush_yds,63,,,,,
player,201012270atl,nor,ThomPi00,rush_td,1,,,,,
player,201012270atl,nor,ThomPi00,rush_long,16,,,,,
player,201012270atl,nor,ThomPi00,targets,7,,,,,
player,201012270atl,nor,ThomPi00,rec,7,,,,,
player,201012270atl,nor,ThomPi00,rec_yds,39,,,,,
player,201012270atl,nor,ThomPi00,rec_td,0,,,,,
player,201012270atl,nor,ThomPi00,rec_long,22,,,,,
player,201012270atl,nor,ThomPi00,fumbles,0,,,,,
player,201012270atl,nor,ThomPi00,fumbles_lost,,,,,,
player,201012270atl,nor,HendDe00,pass_cmp,0,,,,,
player,201012270atl,nor,HendDe00,pass_att,0,,,,,
player,201012270atl,nor,HendDe00,pass_yds,0,,,,,
player,201012270atl,nor,HendDe00,pass_td,0,,,,,
player,201012270atl,nor,HendDe00,pass_int,0,,,,,
player,201012270atl,nor,HendDe00,pass_sacked,,,,,,
player,201012270atl,nor,HendDe00,pass_sacked_yds,,,,,,
player,201012270atl,nor,HendDe00,pass_long,0,,,,,
player,201012270atl,nor,HendDe00,pass_rating,,,,,,
player,201012270atl,nor,HendDe00,rush_att,1,,,,,
player,201012270atl,nor,HendDe00,rush_yds,9,,,,,
player,201012270atl,nor,HendDe00,rush_td,0,,,,,
player,201012270atl,nor,HendDe00,rush_long,9,,,,,
player,201012270atl,nor,HendDe00,targets,4,,,,,
player,201012270atl,nor,HendDe00,rec,3,,,,,
player,201012270atl,nor,HendDe00,rec_yds,35,,,,,
player,201012270atl,nor,HendDe00,rec_td,0,,,,,
player,201012270atl,nor,HendDe00,rec_long,14,,,,,
player,201012270atl,nor,HendDe00,fumbles,0,,,,,
player,201012270atl,nor,HendDe00,fumbles_lost,,,,,,
player,201012270atl,nor,JoneJu01,pass_cmp,0,,,,,
player,201012270atl,nor,JoneJu01,pass_att,0,,,,,
player,201012270atl,nor,JoneJu01,pass_yds,0,,,,,
player,201012270atl,nor,JoneJu01,pass_td,0,,,,,
player,201012270atl,nor,JoneJu01,pass_int,0,,,,,
player,201012270atl,nor,JoneJu01,pass_sacked,,,,,,
player,201012270atl,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201012270atl,nor,JoneJu01,pass_long,0,,,,,
player,201012270atl,nor,JoneJu01,pass_rating,,,,,,
player,201012270atl,nor,JoneJu01,rush_att,1,,,,,
player,201012270atl,nor,JoneJu01,rush_yds,2,,,,,
player,201012270atl,nor,JoneJu01,rush_td,0,,,,,
player,201012270atl,nor,JoneJu01,rush_long,2,,,,,
player,201012270atl,nor,JoneJu01,targets,0,,,,,
player,201012270atl,nor,JoneJu01,rec,0,,,,,
player,201012270atl,nor,JoneJu01,rec_yds,0,,,,,
player,201012270atl,nor,JoneJu01,rec_td,0,,,,,
player,201012270atl,nor,JoneJu01,rec_long,0,,,,,
player,201012270atl,nor,JoneJu01,fumbles,0,,,,,
player,201012270atl,nor,JoneJu01,fumbles_lost,,,,,,
player,201012270atl,nor,MeacRo00,pass_cmp,0,,,,,
player,201012270atl,nor,MeacRo00,pass_att,0,,,,,
player,201012270atl,nor,MeacRo00,pass_yds,0,,,,,
player,201012270atl,nor,MeacRo00,pass_td,0,,,,,
player,201012270atl,nor,MeacRo00,pass_int,0,,,,,
player,201012270atl,nor,MeacRo00,pass_sacked,,,,,,
player,201012270atl,nor,MeacRo00,pass_sacked_yds,,,,,,
player,201012270atl,nor,MeacRo00,pass_long,0,,,,,
player,201012270atl,nor,MeacRo00,pass_rating,,,,,,
player,201012270atl,nor,MeacRo00,rush_att,0,,,,,
player,201012270atl,nor,MeacRo00,rush_yds,0,,,,,
player,201012270atl,nor,MeacRo00,rush_td,0,,,,,
player,201012270atl,nor,MeacRo00,rush_long,0,,,,,
player,201012270atl,nor,MeacRo00,targets,13,,,,,
player,201012270atl,nor,MeacRo00,rec,10,,,,,
player,201012270atl,nor,MeacRo00,rec_yds,101,,,,,
player,201012270atl,nor,MeacRo00,rec_td,0,,,,,
player,201012270atl,nor,MeacRo00,rec_long,25,,,,,
player,201012270atl,nor,MeacRo00,fumbles,0,,,,,
player,201012270atl,nor,MeacRo00,fumbles_lost,,,,,,
player,201012270atl,nor,MoorLa00,pass_cmp,0,,,,,
player,201012270atl,nor,MoorLa00,pass_att,0,,,,,
player,201012270atl,nor,MoorLa00,pass_yds,0,,,,,
player,201012270atl,nor,MoorLa00,pass_td,0,,,,,
player,201012270atl,nor,MoorLa00,pass_int,0,,,,,
player,201012270atl,nor,MoorLa00,pass_sacked,,,,,,
player,201012270atl,nor,MoorLa00,pass_sacked_yds,,,,,,
player,201012270atl,nor,MoorLa00,pass_long,0,,,,,
player,201012270atl,nor,MoorLa00,pass_rating,,,,,,
player,201012270atl,nor,MoorLa00,rush_att,0,,,,,
player,201012270atl,nor,MoorLa00,rush_yds,0,,,,,
player,201012270atl,nor,MoorLa00,rush_td,0,,,,,
player,201012270atl,nor,MoorLa00,rush_long,0,,,,,
player,201012270atl,nor,MoorLa00,targets,7,,,,,
player,201012270atl,nor,MoorLa00,rec,4,,,,,
player,201012270atl,nor,MoorLa00,rec_yds,48,,,,,
player,201012270atl,nor,MoorLa00,rec_td,0,,,,,
player,201012270atl,nor,MoorLa00,rec_long,18,,,,,
player,201012270atl,nor,MoorLa00,fumbles,0,,,,,
player,201012270atl,nor,MoorLa00,fumbles_lost,,,,,,
player,201012270atl,nor,GrahJi00,pass_cmp,0,,,,,
player,201012270atl,nor,GrahJi00,pass_att,0,,,,,
player,201012270atl,nor,GrahJi00,pass_yds,0,,,,,
player,201012270atl,nor,GrahJi00,pass_td,0,,,,,
player,201012270atl,nor,GrahJi00,pass_int,0,,,,,
player,201012270atl,nor,GrahJi00,pass_sacked,,,,,,
player,201012270atl,nor,GrahJi00,pass_sacked_yds,,,,,,
