game,2010,9,20101107,201011070phi,clt,"Indianapolis Colts",24,phi,"Philadelphia Eagles",26
team,201011070phi,clt,First Downs,27,,,,,,
team,201011070phi,phi,First Downs,19,,,,,,
team,201011070phi,clt,Rush-Yds-TDs,19-62-2,,,,,,
team,201011070phi,phi,Rush-Yds-TDs,31-195-1,,,,,,
team,201011070phi,clt,Cmp-Att-Yd-TD-INT,31-51-294-1-2,,,,,,
team,201011070phi,phi,Cmp-Att-Yd-TD-INT,17-29-218-1-0,,,,,,
team,201011070phi,clt,Sacked-Yards,3-18,,,,,,
team,201011070phi,phi,Sacked-Yards,3-11,,,,,,
team,201011070phi,clt,Net Pass Yards,276,,,,,,
team,201011070phi,phi,Net Pass Yards,207,,,,,,
team,201011070phi,clt,Total Yards,338,,,,,,
team,201011070phi,phi,Total Yards,402,,,,,,
team,201011070phi,clt,Fumbles-Lost,0-0,,,,,,
team,201011070phi,phi,Fumbles-Lost,1-0,,,,,,
team,201011070phi,clt,Turnovers,2,,,,,,
team,201011070phi,phi,Turnovers,0,,,,,,
team,201011070phi,clt,Penalties-Yards,7-59,,,,,,
team,201011070phi,phi,Penalties-Yards,14-125,,,,,,
team,201011070phi,clt,Third Down Conv.,6-14,,,,,,
team,201011070phi,phi,Third Down Conv.,7-15,,,,,,
team,201011070phi,clt,Fourth Down Conv.,0-1,,,,,,
team,201011070phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201011070phi,clt,Time of Possession,28:10,,,,,,
team,201011070phi,phi,Time of Possession,31:50,,,,,,
player,201011070phi,clt,MannPe00,pass_cmp,31,,,,,
player,201011070phi,clt,MannPe00,pass_att,51,,,,,
player,201011070phi,clt,MannPe00,pass_yds,294,,,,,
player,201011070phi,clt,MannPe00,pass_td,1,,,,,
player,201011070phi,clt,MannPe00,pass_int,2,,,,,
player,201011070phi,clt,MannPe00,pass_sacked,3,,,,,
player,201011070phi,clt,MannPe00,pass_sacked_yds,18,,,,,
player,201011070phi,clt,MannPe00,pass_long,33,,,,,
player,201011070phi,clt,MannPe00,pass_rating,67.0,,,,,
player,201011070phi,clt,MannPe00,rush_att,0,,,,,
player,201011070phi,clt,MannPe00,rush_yds,0,,,,,
player,201011070phi,clt,MannPe00,rush_td,0,,,,,
player,201011070phi,clt,MannPe00,rush_long,0,,,,,
player,201011070phi,clt,MannPe00,targets,0,,,,,
player,201011070phi,clt,MannPe00,rec,0,,,,,
player,201011070phi,clt,MannPe00,rec_yds,0,,,,,
player,201011070phi,clt,MannPe00,rec_td,0,,,,,
player,201011070phi,clt,MannPe00,rec_long,0,,,,,
player,201011070phi,clt,MannPe00,fumbles,0,,,,,
player,201011070phi,clt,MannPe00,fumbles_lost,,,,,,
player,201011070phi,clt,BrowDo00,pass_cmp,0,,,,,
player,201011070phi,clt,BrowDo00,pass_att,0,,,,,
player,201011070phi,clt,BrowDo00,pass_yds,0,,,,,
player,201011070phi,clt,BrowDo00,pass_td,0,,,,,
player,201011070phi,clt,BrowDo00,pass_int,0,,,,,
player,201011070phi,clt,BrowDo00,pass_sacked,,,,,,
player,201011070phi,clt,BrowDo00,pass_sacked_yds,,,,,,
player,201011070phi,clt,BrowDo00,pass_long,0,,,,,
player,201011070phi,clt,BrowDo00,pass_rating,,,,,,
player,201011070phi,clt,BrowDo00,rush_att,15,,,,,
player,201011070phi,clt,BrowDo00,rush_yds,50,,,,,
player,201011070phi,clt,BrowDo00,rush_td,0,,,,,
player,201011070phi,clt,BrowDo00,rush_long,9,,,,,
player,201011070phi,clt,BrowDo00,targets,3,,,,,
player,201011070phi,clt,BrowDo00,rec,3,,,,,
player,201011070phi,clt,BrowDo00,rec_yds,47,,,,,
player,201011070phi,clt,BrowDo00,rec_td,0,,,,,
player,201011070phi,clt,BrowDo00,rec_long,20,,,,,
player,201011070phi,clt,BrowDo00,fumbles,0,,,,,
player,201011070phi,clt,BrowDo00,fumbles_lost,,,,,,
player,201011070phi,clt,JameJa00,pass_cmp,0,,,,,
player,201011070phi,clt,JameJa00,pass_att,0,,,,,
player,201011070phi,clt,JameJa00,pass_yds,0,,,,,
player,201011070phi,clt,JameJa00,pass_td,0,,,,,
player,201011070phi,clt,JameJa00,pass_int,0,,,,,
player,201011070phi,clt,JameJa00,pass_sacked,,,,,,
player,201011070phi,clt,JameJa00,pass_sacked_yds,,,,,,
player,201011070phi,clt,JameJa00,pass_long,0,,,,,
player,201011070phi,clt,JameJa00,pass_rating,,,,,,
player,201011070phi,clt,JameJa00,rush_att,4,,,,,
player,201011070phi,clt,JameJa00,rush_yds,12,,,,,
player,201011070phi,clt,JameJa00,rush_td,2,,,,,
player,201011070phi,clt,JameJa00,rush_long,6,,,,,
player,201011070phi,clt,JameJa00,targets,0,,,,,
player,201011070phi,clt,JameJa00,rec,0,,,,,
player,201011070phi,clt,JameJa00,rec_yds,0,,,,,
player,201011070phi,clt,JameJa00,rec_td,0,,,,,
player,201011070phi,clt,JameJa00,rec_long,0,,,,,
player,201011070phi,clt,JameJa00,fumbles,0,,,,,
player,201011070phi,clt,JameJa00,fumbles_lost,0,,,,,
player,201011070phi,clt,TammJa00,pass_cmp,0,,,,,
player,201011070phi,clt,TammJa00,pass_att,0,,,,,
player,201011070phi,clt,TammJa00,pass_yds,0,,,,,
player,201011070phi,clt,TammJa00,pass_td,0,,,,,
player,201011070phi,clt,TammJa00,pass_int,0,,,,,
player,201011070phi,clt,TammJa00,pass_sacked,,,,,,
player,201011070phi,clt,TammJa00,pass_sacked_yds,,,,,,
player,201011070phi,clt,TammJa00,pass_long,0,,,,,
player,201011070phi,clt,TammJa00,pass_rating,,,,,,
player,201011070phi,clt,TammJa00,rush_att,0,,,,,
player,201011070phi,clt,TammJa00,rush_yds,0,,,,,
player,201011070phi,clt,TammJa00,rush_td,0,,,,,
player,201011070phi,clt,TammJa00,rush_long,0,,,,,
player,201011070phi,clt,TammJa00,targets,17,,,,,
player,201011070phi,clt,TammJa00,rec,11,,,,,
player,201011070phi,clt,TammJa00,rec_yds,108,,,,,
player,201011070phi,clt,TammJa00,rec_td,1,,,,,
player,201011070phi,clt,TammJa00,rec_long,22,,,,,
player,201011070phi,clt,TammJa00,fumbles,0,,,,,
player,201011070phi,clt,TammJa00,fumbles_lost,,,,,,
player,201011070phi,clt,WaynRe00,pass_cmp,0,,,,,
player,201011070phi,clt,WaynRe00,pass_att,0,,,,,
player,201011070phi,clt,WaynRe00,pass_yds,0,,,,,
player,201011070phi,clt,WaynRe00,pass_td,0,,,,,
player,201011070phi,clt,WaynRe00,pass_int,0,,,,,
player,201011070phi,clt,WaynRe00,pass_sacked,,,,,,
player,201011070phi,clt,WaynRe00,pass_sacked_yds,,,,,,
player,201011070phi,clt,WaynRe00,pass_long,0,,,,,
player,201011070phi,clt,WaynRe00,pass_rating,,,,,,
player,201011070phi,clt,WaynRe00,rush_att,0,,,,,
player,201011070phi,clt,WaynRe00,rush_yds,0,,,,,
player,201011070phi,clt,WaynRe00,rush_td,0,,,,,
player,201011070phi,clt,WaynRe00,rush_long,0,,,,,
player,201011070phi,clt,WaynRe00,targets,16,,,,,
player,201011070phi,clt,WaynRe00,rec,11,,,,,
player,201011070phi,clt,WaynRe00,rec_yds,83,,,,,
player,201011070phi,clt,WaynRe00,rec_td,0,,,,,
player,201011070phi,clt,WaynRe00,rec_long,18,,,,,
player,201011070phi,clt,WaynRe00,fumbles,0,,,,,
player,201011070phi,clt,WaynRe00,fumbles_lost,,,,,,
player,201011070phi,clt,WhitBl00,pass_cmp,0,,,,,
player,201011070phi,clt,WhitBl00,pass_att,0,,,,,
player,201011070phi,clt,WhitBl00,pass_yds,0,,,,,
player,201011070phi,clt,WhitBl00,pass_td,0,,,,,
player,201011070phi,clt,WhitBl00,pass_int,0,,,,,
player,201011070phi,clt,WhitBl00,pass_sacked,,,,,,
player,201011070phi,clt,WhitBl00,pass_sacked_yds,,,,,,
player,201011070phi,clt,WhitBl00,pass_long,0,,,,,
player,201011070phi,clt,WhitBl00,pass_rating,,,,,,
player,201011070phi,clt,WhitBl00,rush_att,0,,,,,
player,201011070phi,clt,WhitBl00,rush_yds,0,,,,,
player,201011070phi,clt,WhitBl00,rush_td,0,,,,,
player,201011070phi,clt,WhitBl00,rush_long,0,,,,,
player,201011070phi,clt,WhitBl00,targets,5,,,,,
player,201011070phi,clt,WhitBl00,rec,3,,,,,
player,201011070phi,clt,WhitBl00,rec_yds,42,,,,,
player,201011070phi,clt,WhitBl00,rec_td,0,,,,,
player,201011070phi,clt,WhitBl00,rec_long,33,,,,,
player,201011070phi,clt,WhitBl00,fumbles,0,,,,,
player,201011070phi,clt,WhitBl00,fumbles_lost,,,,,,
player,201011070phi,clt,GarcPi00,pass_cmp,0,,,,,
player,201011070phi,clt,GarcPi00,pass_att,0,,,,,
player,201011070phi,clt,GarcPi00,pass_yds,0,,,,,
player,201011070phi,clt,GarcPi00,pass_td,0,,,,,
player,201011070phi,clt,GarcPi00,pass_int,0,,,,,
player,201011070phi,clt,GarcPi00,pass_sacked,,,,,,
player,201011070phi,clt,GarcPi00,pass_sacked_yds,,,,,,
