game,2010,10,20101114,201011140pit,nwe,"New England Patriots",39,pit,"Pittsburgh Steelers",26
team,201011140pit,nwe,First Downs,26,,,,,,
team,201011140pit,pit,First Downs,27,,,,,,
team,201011140pit,nwe,Rush-Yds-TDs,24-103-1,,,,,,
team,201011140pit,pit,Rush-Yds-TDs,16-76-0,,,,,,
team,201011140pit,nwe,Cmp-Att-Yd-TD-INT,30-43-350-3-0,,,,,,
team,201011140pit,pit,Cmp-Att-Yd-TD-INT,30-49-387-3-1,,,,,,
team,201011140pit,nwe,Sacked-Yards,0-0,,,,,,
team,201011140pit,pit,Sacked-Yards,5-38,,,,,,
team,201011140pit,nwe,Net Pass Yards,350,,,,,,
team,201011140pit,pit,Net Pass Yards,349,,,,,,
team,201011140pit,nwe,Total Yards,453,,,,,,
team,201011140pit,pit,Total Yards,425,,,,,,
team,201011140pit,nwe,Fumbles-Lost,0-0,,,,,,
team,201011140pit,pit,Fumbles-Lost,0-0,,,,,,
team,201011140pit,nwe,Turnovers,0,,,,,,
team,201011140pit,pit,Turnovers,1,,,,,,
team,201011140pit,nwe,Penalties-Yards,10-113,,,,,,
team,201011140pit,pit,Penalties-Yards,6-45,,,,,,
team,201011140pit,nwe,Third Down Conv.,3-10,,,,,,
team,201011140pit,pit,Third Down Conv.,5-12,,,,,,
team,201011140pit,nwe,Fourth Down Conv.,0-0,,,,,,
team,201011140pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201011140pit,nwe,Time of Possession,31:28,,,,,,
team,201011140pit,pit,Time of Possession,28:32,,,,,,
player,201011140pit,nwe,BradTo00,pass_cmp,30,,,,,
player,201011140pit,nwe,BradTo00,pass_att,43,,,,,
player,201011140pit,nwe,BradTo00,pass_yds,350,,,,,
player,201011140pit,nwe,BradTo00,pass_td,3,,,,,
player,201011140pit,nwe,BradTo00,pass_int,0,,,,,
player,201011140pit,nwe,BradTo00,pass_sacked,0,,,,,
player,201011140pit,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201011140pit,nwe,BradTo00,pass_long,45,,,,,
player,201011140pit,nwe,BradTo00,pass_rating,117.4,,,,,
player,201011140pit,nwe,BradTo00,rush_att,1,,,,,
player,201011140pit,nwe,BradTo00,rush_yds,3,,,,,
player,201011140pit,nwe,BradTo00,rush_td,0,,,,,
player,201011140pit,nwe,BradTo00,rush_long,3,,,,,
player,201011140pit,nwe,BradTo00,targets,0,,,,,
player,201011140pit,nwe,BradTo00,rec,0,,,,,
player,201011140pit,nwe,BradTo00,rec_yds,0,,,,,
player,201011140pit,nwe,BradTo00,rec_td,0,,,,,
player,201011140pit,nwe,BradTo00,rec_long,0,,,,,
player,201011140pit,nwe,BradTo00,fumbles,0,,,,,
player,201011140pit,nwe,BradTo00,fumbles_lost,,,,,,
player,201011140pit,nwe,GreeBe00,pass_cmp,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_att,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_yds,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_td,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_int,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_sacked,,,,,,
player,201011140pit,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,GreeBe00,pass_long,0,,,,,
player,201011140pit,nwe,GreeBe00,pass_rating,,,,,,
player,201011140pit,nwe,GreeBe00,rush_att,18,,,,,
player,201011140pit,nwe,GreeBe00,rush_yds,87,,,,,
player,201011140pit,nwe,GreeBe00,rush_td,0,,,,,
player,201011140pit,nwe,GreeBe00,rush_long,17,,,,,
player,201011140pit,nwe,GreeBe00,targets,5,,,,,
player,201011140pit,nwe,GreeBe00,rec,4,,,,,
player,201011140pit,nwe,GreeBe00,rec_yds,36,,,,,
player,201011140pit,nwe,GreeBe00,rec_td,0,,,,,
player,201011140pit,nwe,GreeBe00,rec_long,16,,,,,
player,201011140pit,nwe,GreeBe00,fumbles,0,,,,,
player,201011140pit,nwe,GreeBe00,fumbles_lost,,,,,,
player,201011140pit,nwe,WoodDa02,pass_cmp,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_att,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_yds,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_td,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_int,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_sacked,,,,,,
player,201011140pit,nwe,WoodDa02,pass_sacked_yds,,,,,,
player,201011140pit,nwe,WoodDa02,pass_long,0,,,,,
player,201011140pit,nwe,WoodDa02,pass_rating,,,,,,
player,201011140pit,nwe,WoodDa02,rush_att,4,,,,,
player,201011140pit,nwe,WoodDa02,rush_yds,11,,,,,
player,201011140pit,nwe,WoodDa02,rush_td,0,,,,,
player,201011140pit,nwe,WoodDa02,rush_long,5,,,,,
player,201011140pit,nwe,WoodDa02,targets,3,,,,,
player,201011140pit,nwe,WoodDa02,rec,2,,,,,
player,201011140pit,nwe,WoodDa02,rec_yds,22,,,,,
player,201011140pit,nwe,WoodDa02,rec_td,0,,,,,
player,201011140pit,nwe,WoodDa02,rec_long,12,,,,,
player,201011140pit,nwe,WoodDa02,fumbles,0,,,,,
player,201011140pit,nwe,WoodDa02,fumbles_lost,,,,,,
player,201011140pit,nwe,MorrSa00,pass_cmp,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_att,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_yds,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_td,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_int,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_sacked,,,,,,
player,201011140pit,nwe,MorrSa00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,MorrSa00,pass_long,0,,,,,
player,201011140pit,nwe,MorrSa00,pass_rating,,,,,,
player,201011140pit,nwe,MorrSa00,rush_att,1,,,,,
player,201011140pit,nwe,MorrSa00,rush_yds,2,,,,,
player,201011140pit,nwe,MorrSa00,rush_td,0,,,,,
player,201011140pit,nwe,MorrSa00,rush_long,2,,,,,
player,201011140pit,nwe,MorrSa00,targets,2,,,,,
player,201011140pit,nwe,MorrSa00,rec,1,,,,,
player,201011140pit,nwe,MorrSa00,rec_yds,6,,,,,
player,201011140pit,nwe,MorrSa00,rec_td,0,,,,,
player,201011140pit,nwe,MorrSa00,rec_long,6,,,,,
player,201011140pit,nwe,MorrSa00,fumbles,0,,,,,
player,201011140pit,nwe,MorrSa00,fumbles_lost,,,,,,
player,201011140pit,nwe,WelkWe00,pass_cmp,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_att,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_yds,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_td,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_int,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_sacked,,,,,,
player,201011140pit,nwe,WelkWe00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,WelkWe00,pass_long,0,,,,,
player,201011140pit,nwe,WelkWe00,pass_rating,,,,,,
player,201011140pit,nwe,WelkWe00,rush_att,0,,,,,
player,201011140pit,nwe,WelkWe00,rush_yds,0,,,,,
player,201011140pit,nwe,WelkWe00,rush_td,0,,,,,
player,201011140pit,nwe,WelkWe00,rush_long,0,,,,,
player,201011140pit,nwe,WelkWe00,targets,12,,,,,
player,201011140pit,nwe,WelkWe00,rec,8,,,,,
player,201011140pit,nwe,WelkWe00,rec_yds,89,,,,,
player,201011140pit,nwe,WelkWe00,rec_td,0,,,,,
player,201011140pit,nwe,WelkWe00,rec_long,26,,,,,
player,201011140pit,nwe,WelkWe00,fumbles,0,,,,,
player,201011140pit,nwe,WelkWe00,fumbles_lost,,,,,,
player,201011140pit,nwe,GronRo00,pass_cmp,0,,,,,
player,201011140pit,nwe,GronRo00,pass_att,0,,,,,
player,201011140pit,nwe,GronRo00,pass_yds,0,,,,,
player,201011140pit,nwe,GronRo00,pass_td,0,,,,,
player,201011140pit,nwe,GronRo00,pass_int,0,,,,,
player,201011140pit,nwe,GronRo00,pass_sacked,,,,,,
player,201011140pit,nwe,GronRo00,pass_sacked_yds,,,,,,
player,201011140pit,nwe,GronRo00,pass_long,0,,,,,
player,201011140pit,nwe,GronRo00,pass_rating,,,,,,
player,201011140pit,nwe,GronRo00,rush_att,0,,,,,
player,201011140pit,nwe,GronRo00,rush_yds,0,,,,,
player,201011140pit,nwe,GronRo00,rush_td,0,,,,,
player,201011140pit,nwe,GronRo00,rush_long,0,,,,,
player,201011140pit,nwe,GronRo00,targets,5,,,,,
player,201011140pit,nwe,GronRo00,rec,5,,,,,
player,201011140pit,nwe,GronRo00,rec_yds,72,,,,,
player,201011140pit,nwe,GronRo00,rec_td,3,,,,,
