game,2010,14,20101213,201012130htx,rav,"Baltimore Ravens",34,htx,"Houston Texans",28
team,201012130htx,rav,First Downs,19,,,,,,
team,201012130htx,htx,First Downs,28,,,,,,
team,201012130htx,rav,Rush-Yds-TDs,24-63-1,,,,,,
team,201012130htx,htx,Rush-Yds-TDs,22-111-0,,,,,,
team,201012130htx,rav,Cmp-Att-Yd-TD-INT,22-33-235-2-0,,,,,,
team,201012130htx,htx,Cmp-Att-Yd-TD-INT,31-62-393-3-2,,,,,,
team,201012130htx,rav,Sacked-Yards,5-45,,,,,,
team,201012130htx,htx,Sacked-Yards,2-15,,,,,,
team,201012130htx,rav,Net Pass Yards,190,,,,,,
team,201012130htx,htx,Net Pass Yards,378,,,,,,
team,201012130htx,rav,Total Yards,253,,,,,,
team,201012130htx,htx,Total Yards,489,,,,,,
team,201012130htx,rav,Fumbles-Lost,1-0,,,,,,
team,201012130htx,htx,Fumbles-Lost,1-0,,,,,,
team,201012130htx,rav,Turnovers,0,,,,,,
team,201012130htx,htx,Turnovers,2,,,,,,
team,201012130htx,rav,Penalties-Yards,3-15,,,,,,
team,201012130htx,htx,Penalties-Yards,8-51,,,,,,
team,201012130htx,rav,Third Down Conv.,8-15,,,,,,
team,201012130htx,htx,Third Down Conv.,7-18,,,,,,
team,201012130htx,rav,Fourth Down Conv.,0-0,,,,,,
team,201012130htx,htx,Fourth Down Conv.,4-4,,,,,,
team,201012130htx,rav,Time of Possession,31:18,,,,,,
team,201012130htx,htx,Time of Possession,31:47,,,,,,
player,201012130htx,rav,FlacJo00,pass_cmp,22,,,,,
player,201012130htx,rav,FlacJo00,pass_att,33,,,,,
player,201012130htx,rav,FlacJo00,pass_yds,235,,,,,
player,201012130htx,rav,FlacJo00,pass_td,2,,,,,
player,201012130htx,rav,FlacJo00,pass_int,0,,,,,
player,201012130htx,rav,FlacJo00,pass_sacked,5,,,,,
player,201012130htx,rav,FlacJo00,pass_sacked_yds,45,,,,,
player,201012130htx,rav,FlacJo00,pass_long,26,,,,,
player,201012130htx,rav,FlacJo00,pass_rating,107.5,,,,,
player,201012130htx,rav,FlacJo00,rush_att,0,,,,,
player,201012130htx,rav,FlacJo00,rush_yds,0,,,,,
player,201012130htx,rav,FlacJo00,rush_td,0,,,,,
player,201012130htx,rav,FlacJo00,rush_long,0,,,,,
player,201012130htx,rav,FlacJo00,targets,0,,,,,
player,201012130htx,rav,FlacJo00,rec,0,,,,,
player,201012130htx,rav,FlacJo00,rec_yds,0,,,,,
player,201012130htx,rav,FlacJo00,rec_td,0,,,,,
player,201012130htx,rav,FlacJo00,rec_long,0,,,,,
player,201012130htx,rav,FlacJo00,fumbles,1,,,,,
player,201012130htx,rav,FlacJo00,fumbles_lost,0,,,,,
player,201012130htx,rav,RiceRa00,pass_cmp,0,,,,,
player,201012130htx,rav,RiceRa00,pass_att,0,,,,,
player,201012130htx,rav,RiceRa00,pass_yds,0,,,,,
player,201012130htx,rav,RiceRa00,pass_td,0,,,,,
player,201012130htx,rav,RiceRa00,pass_int,0,,,,,
player,201012130htx,rav,RiceRa00,pass_sacked,,,,,,
player,201012130htx,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201012130htx,rav,RiceRa00,pass_long,0,,,,,
player,201012130htx,rav,RiceRa00,pass_rating,,,,,,
player,201012130htx,rav,RiceRa00,rush_att,19,,,,,
player,201012130htx,rav,RiceRa00,rush_yds,54,,,,,
player,201012130htx,rav,RiceRa00,rush_td,0,,,,,
player,201012130htx,rav,RiceRa00,rush_long,16,,,,,
player,201012130htx,rav,RiceRa00,targets,8,,,,,
player,201012130htx,rav,RiceRa00,rec,8,,,,,
player,201012130htx,rav,RiceRa00,rec_yds,66,,,,,
player,201012130htx,rav,RiceRa00,rec_td,0,,,,,
player,201012130htx,rav,RiceRa00,rec_long,18,,,,,
player,201012130htx,rav,RiceRa00,fumbles,0,,,,,
player,201012130htx,rav,RiceRa00,fumbles_lost,,,,,,
player,201012130htx,rav,McGaWi00,pass_cmp,0,,,,,
player,201012130htx,rav,McGaWi00,pass_att,0,,,,,
player,201012130htx,rav,McGaWi00,pass_yds,0,,,,,
player,201012130htx,rav,McGaWi00,pass_td,0,,,,,
player,201012130htx,rav,McGaWi00,pass_int,0,,,,,
player,201012130htx,rav,McGaWi00,pass_sacked,,,,,,
player,201012130htx,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201012130htx,rav,McGaWi00,pass_long,0,,,,,
player,201012130htx,rav,McGaWi00,pass_rating,,,,,,
player,201012130htx,rav,McGaWi00,rush_att,4,,,,,
player,201012130htx,rav,McGaWi00,rush_yds,7,,,,,
player,201012130htx,rav,McGaWi00,rush_td,1,,,,,
player,201012130htx,rav,McGaWi00,rush_long,4,,,,,
player,201012130htx,rav,McGaWi00,targets,0,,,,,
