game,2010,12,20101128,201011280buf,pit,"Pittsburgh Steelers",19,buf,"Buffalo Bills",16
team,201011280buf,pit,First Downs,28,,,,,,
team,201011280buf,buf,First Downs,19,,,,,,
team,201011280buf,pit,Rush-Yds-TDs,45-206-1,,,,,,
team,201011280buf,buf,Rush-Yds-TDs,17-74-0,,,,,,
team,201011280buf,pit,Cmp-Att-Yd-TD-INT,20-33-246-0-0,,,,,,
team,201011280buf,buf,Cmp-Att-Yd-TD-INT,23-45-265-1-1,,,,,,
team,201011280buf,pit,Sacked-Yards,5-26,,,,,,
team,201011280buf,buf,Sacked-Yards,2-10,,,,,,
team,201011280buf,pit,Net Pass Yards,220,,,,,,
team,201011280buf,buf,Net Pass Yards,255,,,,,,
team,201011280buf,pit,Total Yards,426,,,,,,
team,201011280buf,buf,Total Yards,329,,,,,,
team,201011280buf,pit,Fumbles-Lost,1-1,,,,,,
team,201011280buf,buf,Fumbles-Lost,3-1,,,,,,
team,201011280buf,pit,Turnovers,1,,,,,,
team,201011280buf,buf,Turnovers,2,,,,,,
team,201011280buf,pit,Penalties-Yards,10-107,,,,,,
team,201011280buf,buf,Penalties-Yards,4-20,,,,,,
team,201011280buf,pit,Third Down Conv.,12-19,,,,,,
team,201011280buf,buf,Third Down Conv.,4-13,,,,,,
team,201011280buf,pit,Fourth Down Conv.,0-0,,,,,,
team,201011280buf,buf,Fourth Down Conv.,1-1,,,,,,
team,201011280buf,pit,Time of Possession,45:23,,,,,,
team,201011280buf,buf,Time of Possession,27:23,,,,,,
player,201011280buf,pit,RoetBe00,pass_cmp,20,,,,,
player,201011280buf,pit,RoetBe00,pass_att,33,,,,,
player,201011280buf,pit,RoetBe00,pass_yds,246,,,,,
player,201011280buf,pit,RoetBe00,pass_td,0,,,,,
player,201011280buf,pit,RoetBe00,pass_int,0,,,,,
player,201011280buf,pit,RoetBe00,pass_sacked,5,,,,,
player,201011280buf,pit,RoetBe00,pass_sacked_yds,26,,,,,
player,201011280buf,pit,RoetBe00,pass_long,26,,,,,
