game,2010,1,20100912,201009120htx,clt,"Indianapolis Colts",24,htx,"Houston Texans",34
team,201009120htx,clt,First Downs,25,,,,,,
team,201009120htx,htx,First Downs,23,,,,,,
team,201009120htx,clt,Rush-Yds-TDs,10-44-0,,,,,,
team,201009120htx,htx,Rush-Yds-TDs,42-257-3,,,,,,
team,201009120htx,clt,Cmp-Att-Yd-TD-INT,40-57-433-3-0,,,,,,
team,201009120htx,htx,Cmp-Att-Yd-TD-INT,9-17-107-1-1,,,,,,
team,201009120htx,clt,Sacked-Yards,2-14,,,,,,
team,201009120htx,htx,Sacked-Yards,2-9,,,,,,
team,201009120htx,clt,Net Pass Yards,419,,,,,,
team,201009120htx,htx,Net Pass Yards,98,,,,,,
team,201009120htx,clt,Total Yards,463,,,,,,
team,201009120htx,htx,Total Yards,355,,,,,,
team,201009120htx,clt,Fumbles-Lost,1-1,,,,,,
team,201009120htx,htx,Fumbles-Lost,0-0,,,,,,
team,201009120htx,clt,Turnovers,1,,,,,,
team,201009120htx,htx,Turnovers,1,,,,,,
team,201009120htx,clt,Penalties-Yards,5-73,,,,,,
team,201009120htx,htx,Penalties-Yards,7-50,,,,,,
team,201009120htx,clt,Third Down Conv.,4-12,,,,,,
team,201009120htx,htx,Third Down Conv.,6-11,,,,,,
team,201009120htx,clt,Fourth Down Conv.,1-1,,,,,,
team,201009120htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201009120htx,clt,Time of Possession,29:07,,,,,,
team,201009120htx,htx,Time of Possession,30:53,,,,,,
player,201009120htx,clt,MannPe00,pass_cmp,40,,,,,
player,201009120htx,clt,MannPe00,pass_att,57,,,,,
player,201009120htx,clt,MannPe00,pass_yds,433,,,,,
player,201009120htx,clt,MannPe00,pass_td,3,,,,,
player,201009120htx,clt,MannPe00,pass_int,0,,,,,
player,201009120htx,clt,MannPe00,pass_sacked,2,,,,,
player,201009120htx,clt,MannPe00,pass_sacked_yds,14,,,,,
player,201009120htx,clt,MannPe00,pass_long,73,,,,,
player,201009120htx,clt,MannPe00,pass_rating,109.8,,,,,
player,201009120htx,clt,MannPe00,rush_att,0,,,,,
player,201009120htx,clt,MannPe00,rush_yds,0,,,,,
player,201009120htx,clt,MannPe00,rush_td,0,,,,,
player,201009120htx,clt,MannPe00,rush_long,0,,,,,
player,201009120htx,clt,MannPe00,targets,0,,,,,
player,201009120htx,clt,MannPe00,rec,0,,,,,
player,201009120htx,clt,MannPe00,rec_yds,0,,,,,
player,201009120htx,clt,MannPe00,rec_td,0,,,,,
player,201009120htx,clt,MannPe00,rec_long,0,,,,,
player,201009120htx,clt,MannPe00,fumbles,0,,,,,
player,201009120htx,clt,MannPe00,fumbles_lost,,,,,,
player,201009120htx,clt,AddaJo00,pass_cmp,0,,,,,
player,201009120htx,clt,AddaJo00,pass_att,0,,,,,
player,201009120htx,clt,AddaJo00,pass_yds,0,,,,,
player,201009120htx,clt,AddaJo00,pass_td,0,,,,,
player,201009120htx,clt,AddaJo00,pass_int,0,,,,,
player,201009120htx,clt,AddaJo00,pass_sacked,,,,,,
player,201009120htx,clt,AddaJo00,pass_sacked_yds,,,,,,
player,201009120htx,clt,AddaJo00,pass_long,0,,,,,
player,201009120htx,clt,AddaJo00,pass_rating,,,,,,
player,201009120htx,clt,AddaJo00,rush_att,10,,,,,
player,201009120htx,clt,AddaJo00,rush_yds,44,,,,,
player,201009120htx,clt,AddaJo00,rush_td,0,,,,,
player,201009120htx,clt,AddaJo00,rush_long,17,,,,,
player,201009120htx,clt,AddaJo00,targets,6,,,,,
