game,2010,16,20101226,201012260chi,nyj,"New York Jets",34,chi,"Chicago Bears",38
team,201012260chi,nyj,First Downs,24,,,,,,
team,201012260chi,chi,First Downs,16,,,,,,
team,201012260chi,nyj,Rush-Yds-TDs,30-124-2,,,,,,
team,201012260chi,chi,Rush-Yds-TDs,27-120-2,,,,,,
team,201012260chi,nyj,Cmp-Att-Yd-TD-INT,24-38-269-1-1,,,,,,
team,201012260chi,chi,Cmp-Att-Yd-TD-INT,13-25-215-3-1,,,,,,
team,201012260chi,nyj,Sacked-Yards,0-0,,,,,,
team,201012260chi,chi,Sacked-Yards,2-13,,,,,,
team,201012260chi,nyj,Net Pass Yards,269,,,,,,
team,201012260chi,chi,Net Pass Yards,202,,,,,,
team,201012260chi,nyj,Total Yards,393,,,,,,
team,201012260chi,chi,Total Yards,322,,,,,,
team,201012260chi,nyj,Fumbles-Lost,3-1,,,,,,
team,201012260chi,chi,Fumbles-Lost,0-0,,,,,,
team,201012260chi,nyj,Turnovers,2,,,,,,
team,201012260chi,chi,Turnovers,1,,,,,,
team,201012260chi,nyj,Penalties-Yards,3-34,,,,,,
team,201012260chi,chi,Penalties-Yards,6-31,,,,,,
team,201012260chi,nyj,Third Down Conv.,7-14,,,,,,
team,201012260chi,chi,Third Down Conv.,3-9,,,,,,
team,201012260chi,nyj,Fourth Down Conv.,0-1,,,,,,
team,201012260chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201012260chi,nyj,Time of Possession,33:51,,,,,,
team,201012260chi,chi,Time of Possession,26:09,,,,,,
player,201012260chi,nyj,SancMa00,pass_cmp,24,,,,,
player,201012260chi,nyj,SancMa00,pass_att,37,,,,,
player,201012260chi,nyj,SancMa00,pass_yds,269,,,,,
player,201012260chi,nyj,SancMa00,pass_td,1,,,,,
player,201012260chi,nyj,SancMa00,pass_int,1,,,,,
player,201012260chi,nyj,SancMa00,pass_sacked,0,,,,,
player,201012260chi,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201012260chi,nyj,SancMa00,pass_long,26,,,,,
player,201012260chi,nyj,SancMa00,pass_rating,84.2,,,,,
player,201012260chi,nyj,SancMa00,rush_att,0,,,,,
player,201012260chi,nyj,SancMa00,rush_yds,0,,,,,
player,201012260chi,nyj,SancMa00,rush_td,0,,,,,
player,201012260chi,nyj,SancMa00,rush_long,0,,,,,
player,201012260chi,nyj,SancMa00,targets,0,,,,,
player,201012260chi,nyj,SancMa00,rec,0,,,,,
player,201012260chi,nyj,SancMa00,rec_yds,0,,,,,
player,201012260chi,nyj,SancMa00,rec_td,0,,,,,
player,201012260chi,nyj,SancMa00,rec_long,0,,,,,
player,201012260chi,nyj,SancMa00,fumbles,0,,,,,
player,201012260chi,nyj,SancMa00,fumbles_lost,,,,,,
player,201012260chi,nyj,SmitBr01,pass_cmp,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_att,1,,,,,
player,201012260chi,nyj,SmitBr01,pass_yds,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_td,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_int,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_sacked,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_sacked_yds,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_long,0,,,,,
player,201012260chi,nyj,SmitBr01,pass_rating,39.6,,,,,
player,201012260chi,nyj,SmitBr01,rush_att,2,,,,,
player,201012260chi,nyj,SmitBr01,rush_yds,18,,,,,
player,201012260chi,nyj,SmitBr01,rush_td,0,,,,,
player,201012260chi,nyj,SmitBr01,rush_long,12,,,,,
player,201012260chi,nyj,SmitBr01,targets,1,,,,,
player,201012260chi,nyj,SmitBr01,rec,0,,,,,
player,201012260chi,nyj,SmitBr01,rec_yds,0,,,,,
player,201012260chi,nyj,SmitBr01,rec_td,0,,,,,
player,201012260chi,nyj,SmitBr01,rec_long,0,,,,,
player,201012260chi,nyj,SmitBr01,fumbles,0,,,,,
player,201012260chi,nyj,SmitBr01,fumbles_lost,,,,,,
player,201012260chi,nyj,GreeSh00,pass_cmp,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_att,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_yds,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_td,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_int,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_sacked,,,,,,
player,201012260chi,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,GreeSh00,pass_long,0,,,,,
player,201012260chi,nyj,GreeSh00,pass_rating,,,,,,
player,201012260chi,nyj,GreeSh00,rush_att,12,,,,,
player,201012260chi,nyj,GreeSh00,rush_yds,70,,,,,
player,201012260chi,nyj,GreeSh00,rush_td,1,,,,,
player,201012260chi,nyj,GreeSh00,rush_long,18,,,,,
player,201012260chi,nyj,GreeSh00,targets,3,,,,,
player,201012260chi,nyj,GreeSh00,rec,2,,,,,
player,201012260chi,nyj,GreeSh00,rec_yds,14,,,,,
player,201012260chi,nyj,GreeSh00,rec_td,0,,,,,
player,201012260chi,nyj,GreeSh00,rec_long,9,,,,,
player,201012260chi,nyj,GreeSh00,fumbles,0,,,,,
player,201012260chi,nyj,GreeSh00,fumbles_lost,,,,,,
player,201012260chi,nyj,TomlLa00,pass_cmp,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_att,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_yds,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_td,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_int,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_sacked,,,,,,
player,201012260chi,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,TomlLa00,pass_long,0,,,,,
player,201012260chi,nyj,TomlLa00,pass_rating,,,,,,
player,201012260chi,nyj,TomlLa00,rush_att,13,,,,,
player,201012260chi,nyj,TomlLa00,rush_yds,28,,,,,
player,201012260chi,nyj,TomlLa00,rush_td,1,,,,,
player,201012260chi,nyj,TomlLa00,rush_long,8,,,,,
player,201012260chi,nyj,TomlLa00,targets,2,,,,,
player,201012260chi,nyj,TomlLa00,rec,2,,,,,
player,201012260chi,nyj,TomlLa00,rec_yds,14,,,,,
player,201012260chi,nyj,TomlLa00,rec_td,0,,,,,
player,201012260chi,nyj,TomlLa00,rec_long,7,,,,,
player,201012260chi,nyj,TomlLa00,fumbles,1,,,,,
player,201012260chi,nyj,TomlLa00,fumbles_lost,0,,,,,
player,201012260chi,nyj,RichTo00,pass_cmp,0,,,,,
player,201012260chi,nyj,RichTo00,pass_att,0,,,,,
player,201012260chi,nyj,RichTo00,pass_yds,0,,,,,
player,201012260chi,nyj,RichTo00,pass_td,0,,,,,
player,201012260chi,nyj,RichTo00,pass_int,0,,,,,
player,201012260chi,nyj,RichTo00,pass_sacked,,,,,,
player,201012260chi,nyj,RichTo00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,RichTo00,pass_long,0,,,,,
player,201012260chi,nyj,RichTo00,pass_rating,,,,,,
player,201012260chi,nyj,RichTo00,rush_att,2,,,,,
player,201012260chi,nyj,RichTo00,rush_yds,5,,,,,
player,201012260chi,nyj,RichTo00,rush_td,0,,,,,
player,201012260chi,nyj,RichTo00,rush_long,3,,,,,
player,201012260chi,nyj,RichTo00,targets,1,,,,,
player,201012260chi,nyj,RichTo00,rec,1,,,,,
player,201012260chi,nyj,RichTo00,rec_yds,7,,,,,
player,201012260chi,nyj,RichTo00,rec_td,0,,,,,
player,201012260chi,nyj,RichTo00,rec_long,7,,,,,
player,201012260chi,nyj,RichTo00,fumbles,0,,,,,
player,201012260chi,nyj,RichTo00,fumbles_lost,,,,,,
player,201012260chi,nyj,HolmSa00,pass_cmp,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_att,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_yds,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_td,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_int,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_sacked,,,,,,
player,201012260chi,nyj,HolmSa00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,HolmSa00,pass_long,0,,,,,
player,201012260chi,nyj,HolmSa00,pass_rating,,,,,,
player,201012260chi,nyj,HolmSa00,rush_att,1,,,,,
player,201012260chi,nyj,HolmSa00,rush_yds,3,,,,,
player,201012260chi,nyj,HolmSa00,rush_td,0,,,,,
player,201012260chi,nyj,HolmSa00,rush_long,3,,,,,
player,201012260chi,nyj,HolmSa00,targets,8,,,,,
player,201012260chi,nyj,HolmSa00,rec,4,,,,,
player,201012260chi,nyj,HolmSa00,rec_yds,69,,,,,
player,201012260chi,nyj,HolmSa00,rec_td,1,,,,,
player,201012260chi,nyj,HolmSa00,rec_long,23,,,,,
player,201012260chi,nyj,HolmSa00,fumbles,1,,,,,
player,201012260chi,nyj,HolmSa00,fumbles_lost,1,,,,,
player,201012260chi,nyj,KellDu00,pass_cmp,0,,,,,
player,201012260chi,nyj,KellDu00,pass_att,0,,,,,
player,201012260chi,nyj,KellDu00,pass_yds,0,,,,,
player,201012260chi,nyj,KellDu00,pass_td,0,,,,,
player,201012260chi,nyj,KellDu00,pass_int,0,,,,,
player,201012260chi,nyj,KellDu00,pass_sacked,,,,,,
player,201012260chi,nyj,KellDu00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,KellDu00,pass_long,0,,,,,
player,201012260chi,nyj,KellDu00,pass_rating,,,,,,
player,201012260chi,nyj,KellDu00,rush_att,0,,,,,
player,201012260chi,nyj,KellDu00,rush_yds,0,,,,,
player,201012260chi,nyj,KellDu00,rush_td,0,,,,,
player,201012260chi,nyj,KellDu00,rush_long,0,,,,,
player,201012260chi,nyj,KellDu00,targets,9,,,,,
player,201012260chi,nyj,KellDu00,rec,7,,,,,
player,201012260chi,nyj,KellDu00,rec_yds,79,,,,,
player,201012260chi,nyj,KellDu00,rec_td,0,,,,,
player,201012260chi,nyj,KellDu00,rec_long,26,,,,,
player,201012260chi,nyj,KellDu00,fumbles,0,,,,,
player,201012260chi,nyj,KellDu00,fumbles_lost,,,,,,
player,201012260chi,nyj,EdwaBr00,pass_cmp,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_att,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_yds,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_td,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_int,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_sacked,,,,,,
player,201012260chi,nyj,EdwaBr00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,EdwaBr00,pass_long,0,,,,,
player,201012260chi,nyj,EdwaBr00,pass_rating,,,,,,
player,201012260chi,nyj,EdwaBr00,rush_att,0,,,,,
player,201012260chi,nyj,EdwaBr00,rush_yds,0,,,,,
player,201012260chi,nyj,EdwaBr00,rush_td,0,,,,,
player,201012260chi,nyj,EdwaBr00,rush_long,0,,,,,
player,201012260chi,nyj,EdwaBr00,targets,8,,,,,
player,201012260chi,nyj,EdwaBr00,rec,6,,,,,
player,201012260chi,nyj,EdwaBr00,rec_yds,78,,,,,
player,201012260chi,nyj,EdwaBr00,rec_td,0,,,,,
player,201012260chi,nyj,EdwaBr00,rec_long,19,,,,,
player,201012260chi,nyj,EdwaBr00,fumbles,0,,,,,
player,201012260chi,nyj,EdwaBr00,fumbles_lost,,,,,,
player,201012260chi,nyj,CotcJe00,pass_cmp,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_att,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_yds,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_td,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_int,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_sacked,,,,,,
player,201012260chi,nyj,CotcJe00,pass_sacked_yds,,,,,,
player,201012260chi,nyj,CotcJe00,pass_long,0,,,,,
player,201012260chi,nyj,CotcJe00,pass_rating,,,,,,
player,201012260chi,nyj,CotcJe00,rush_att,0,,,,,
player,201012260chi,nyj,CotcJe00,rush_yds,0,,,,,
player,201012260chi,nyj,CotcJe00,rush_td,0,,,,,
player,201012260chi,nyj,CotcJe00,rush_long,0,,,,,
player,201012260chi,nyj,CotcJe00,targets,4,,,,,
player,201012260chi,nyj,CotcJe00,rec,2,,,,,
player,201012260chi,nyj,CotcJe00,rec_yds,8,,,,,
player,201012260chi,nyj,CotcJe00,rec_td,0,,,,,
player,201012260chi,nyj,CotcJe00,rec_long,8,,,,,
