game,2010,12,20101128,201011280rav,tam,"Tampa Bay Buccaneers",10,rav,"Baltimore Ravens",17
team,201011280rav,tam,First Downs,14,,,,,,
team,201011280rav,rav,First Downs,18,,,,,,
team,201011280rav,tam,Rush-Yds-TDs,23-101-0,,,,,,
team,201011280rav,rav,Rush-Yds-TDs,26-92-0,,,,,,
team,201011280rav,tam,Cmp-Att-Yd-TD-INT,17-37-162-1-0,,,,,,
team,201011280rav,rav,Cmp-Att-Yd-TD-INT,25-35-289-2-1,,,,,,
team,201011280rav,tam,Sacked-Yards,0-0,,,,,,
team,201011280rav,rav,Sacked-Yards,4-32,,,,,,
team,201011280rav,tam,Net Pass Yards,162,,,,,,
team,201011280rav,rav,Net Pass Yards,257,,,,,,
team,201011280rav,tam,Total Yards,263,,,,,,
team,201011280rav,rav,Total Yards,349,,,,,,
team,201011280rav,tam,Fumbles-Lost,1-0,,,,,,
team,201011280rav,rav,Fumbles-Lost,1-0,,,,,,
team,201011280rav,tam,Turnovers,0,,,,,,
team,201011280rav,rav,Turnovers,1,,,,,,
team,201011280rav,tam,Penalties-Yards,9-78,,,,,,
team,201011280rav,rav,Penalties-Yards,4-30,,,,,,
team,201011280rav,tam,Third Down Conv.,6-16,,,,,,
team,201011280rav,rav,Third Down Conv.,3-12,,,,,,
team,201011280rav,tam,Fourth Down Conv.,0-0,,,,,,
team,201011280rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201011280rav,tam,Time of Possession,28:58,,,,,,
team,201011280rav,rav,Time of Possession,31:02,,,,,,
player,201011280rav,tam,FreeJo00,pass_cmp,17,,,,,
player,201011280rav,tam,FreeJo00,pass_att,37,,,,,
player,201011280rav,tam,FreeJo00,pass_yds,162,,,,,
player,201011280rav,tam,FreeJo00,pass_td,1,,,,,
player,201011280rav,tam,FreeJo00,pass_int,0,,,,,
player,201011280rav,tam,FreeJo00,pass_sacked,0,,,,,
player,201011280rav,tam,FreeJo00,pass_sacked_yds,0,,,,,
player,201011280rav,tam,FreeJo00,pass_long,30,,,,,
player,201011280rav,tam,FreeJo00,pass_rating,67.6,,,,,
player,201011280rav,tam,FreeJo00,rush_att,6,,,,,
player,201011280rav,tam,FreeJo00,rush_yds,27,,,,,
player,201011280rav,tam,FreeJo00,rush_td,0,,,,,
player,201011280rav,tam,FreeJo00,rush_long,12,,,,,
