game,2010,7,20101024,201010240nor,cle,"Cleveland Browns",30,nor,"New Orleans Saints",17
player,201010240nor,cle,WatsBe00,pass_cmp,0,,,,,
player,201010240nor,cle,WatsBe00,pass_att,0,,,,,
player,201010240nor,cle,WatsBe00,pass_yds,0,,,,,
player,201010240nor,cle,WatsBe00,pass_td,0,,,,,
player,201010240nor,cle,WatsBe00,pass_int,0,,,,,
player,201010240nor,cle,WatsBe00,pass_sacked,,,,,,
player,201010240nor,cle,WatsBe00,pass_sacked_yds,,,,,,
player,201010240nor,cle,WatsBe00,pass_long,0,,,,,
player,201010240nor,cle,WatsBe00,pass_rating,,,,,,
player,201010240nor,cle,WatsBe00,rush_att,0,,,,,
player,201010240nor,cle,WatsBe00,rush_yds,0,,,,,
player,201010240nor,cle,WatsBe00,rush_td,0,,,,,
player,201010240nor,cle,WatsBe00,rush_long,0,,,,,
player,201010240nor,cle,WatsBe00,targets,2,,,,,
player,201010240nor,cle,WatsBe00,rec,1,,,,,
player,201010240nor,cle,WatsBe00,rec_yds,18,,,,,
player,201010240nor,cle,WatsBe00,rec_td,0,,,,,
player,201010240nor,cle,WatsBe00,rec_long,18,,,,,
player,201010240nor,cle,WatsBe00,fumbles,0,,,,,
player,201010240nor,cle,WatsBe00,fumbles_lost,,,,,,
player,201010240nor,cle,StucCh20,pass_cmp,0,,,,,
player,201010240nor,cle,StucCh20,pass_att,0,,,,,
player,201010240nor,cle,StucCh20,pass_yds,0,,,,,
player,201010240nor,cle,StucCh20,pass_td,0,,,,,
player,201010240nor,cle,StucCh20,pass_int,0,,,,,
player,201010240nor,cle,StucCh20,pass_sacked,,,,,,
player,201010240nor,cle,StucCh20,pass_sacked_yds,,,,,,
player,201010240nor,cle,StucCh20,pass_long,0,,,,,
player,201010240nor,cle,StucCh20,pass_rating,,,,,,
player,201010240nor,cle,StucCh20,rush_att,0,,,,,
player,201010240nor,cle,StucCh20,rush_yds,0,,,,,
player,201010240nor,cle,StucCh20,rush_td,0,,,,,
player,201010240nor,cle,StucCh20,rush_long,0,,,,,
player,201010240nor,cle,StucCh20,targets,3,,,,,
player,201010240nor,cle,StucCh20,rec,2,,,,,
player,201010240nor,cle,StucCh20,rec_yds,16,,,,,
player,201010240nor,cle,StucCh20,rec_td,0,,,,,
player,201010240nor,cle,StucCh20,rec_long,13,,,,,
player,201010240nor,cle,StucCh20,fumbles,0,,,,,
player,201010240nor,cle,StucCh20,fumbles_lost,,,,,,
player,201010240nor,cle,CribJo01,pass_cmp,0,,,,,
player,201010240nor,cle,CribJo01,pass_att,0,,,,,
player,201010240nor,cle,CribJo01,pass_yds,0,,,,,
player,201010240nor,cle,CribJo01,pass_td,0,,,,,
player,201010240nor,cle,CribJo01,pass_int,0,,,,,
player,201010240nor,cle,CribJo01,pass_sacked,0,,,,,
player,201010240nor,cle,CribJo01,pass_sacked_yds,,,,,,
player,201010240nor,cle,CribJo01,pass_long,0,,,,,
player,201010240nor,cle,CribJo01,pass_rating,,,,,,
player,201010240nor,cle,CribJo01,rush_att,0,,,,,
player,201010240nor,cle,CribJo01,rush_yds,0,,,,,
player,201010240nor,cle,CribJo01,rush_td,0,,,,,
player,201010240nor,cle,CribJo01,rush_long,0,,,,,
player,201010240nor,cle,CribJo01,targets,1,,,,,
player,201010240nor,cle,CribJo01,rec,1,,,,,
player,201010240nor,cle,CribJo01,rec_yds,10,,,,,
player,201010240nor,cle,CribJo01,rec_td,0,,,,,
player,201010240nor,cle,CribJo01,rec_long,10,,,,,
player,201010240nor,cle,CribJo01,fumbles,1,,,,,
player,201010240nor,cle,CribJo01,fumbles_lost,0,,,,,
player,201010240nor,cle,VickLa00,pass_cmp,0,,,,,
player,201010240nor,cle,VickLa00,pass_att,0,,,,,
player,201010240nor,cle,VickLa00,pass_yds,0,,,,,
player,201010240nor,cle,VickLa00,pass_td,0,,,,,
player,201010240nor,cle,VickLa00,pass_int,0,,,,,
player,201010240nor,cle,VickLa00,pass_sacked,,,,,,
player,201010240nor,cle,VickLa00,pass_sacked_yds,,,,,,
player,201010240nor,cle,VickLa00,pass_long,0,,,,,
player,201010240nor,cle,VickLa00,pass_rating,,,,,,
player,201010240nor,cle,VickLa00,rush_att,0,,,,,
player,201010240nor,cle,VickLa00,rush_yds,0,,,,,
player,201010240nor,cle,VickLa00,rush_td,0,,,,,
player,201010240nor,cle,VickLa00,rush_long,0,,,,,
player,201010240nor,cle,VickLa00,targets,3,,,,,
player,201010240nor,cle,VickLa00,rec,1,,,,,
player,201010240nor,cle,VickLa00,rec_yds,4,,,,,
player,201010240nor,cle,VickLa00,rec_td,0,,,,,
player,201010240nor,cle,VickLa00,rec_long,4,,,,,
player,201010240nor,cle,VickLa00,fumbles,0,,,,,
player,201010240nor,cle,VickLa00,fumbles_lost,,,,,,
player,201010240nor,cle,BellMi00,pass_cmp,0,,,,,
player,201010240nor,cle,BellMi00,pass_att,0,,,,,
player,201010240nor,cle,BellMi00,pass_yds,0,,,,,
player,201010240nor,cle,BellMi00,pass_td,0,,,,,
player,201010240nor,cle,BellMi00,pass_int,0,,,,,
player,201010240nor,cle,BellMi00,pass_sacked,,,,,,
player,201010240nor,cle,BellMi00,pass_sacked_yds,,,,,,
player,201010240nor,cle,BellMi00,pass_long,0,,,,,
player,201010240nor,cle,BellMi00,pass_rating,,,,,,
player,201010240nor,cle,BellMi00,rush_att,5,,,,,
player,201010240nor,cle,BellMi00,rush_yds,-3,,,,,
player,201010240nor,cle,BellMi00,rush_td,0,,,,,
player,201010240nor,cle,BellMi00,rush_long,5,,,,,
player,201010240nor,cle,BellMi00,targets,0,,,,,
player,201010240nor,cle,BellMi00,rec,0,,,,,
player,201010240nor,cle,BellMi00,rec_yds,0,,,,,
player,201010240nor,cle,BellMi00,rec_td,0,,,,,
player,201010240nor,cle,BellMi00,rec_long,0,,,,,
player,201010240nor,cle,BellMi00,fumbles,0,,,,,
player,201010240nor,cle,BellMi00,fumbles_lost,,,,,,
player,201010240nor,cle,FiguYa00,pass_cmp,0,,,,,
player,201010240nor,cle,FiguYa00,pass_att,0,,,,,
player,201010240nor,cle,FiguYa00,pass_yds,0,,,,,
player,201010240nor,cle,FiguYa00,pass_td,0,,,,,
player,201010240nor,cle,FiguYa00,pass_int,0,,,,,
player,201010240nor,cle,FiguYa00,pass_sacked,,,,,,
player,201010240nor,cle,FiguYa00,pass_sacked_yds,,,,,,
player,201010240nor,cle,FiguYa00,pass_long,0,,,,,
player,201010240nor,cle,FiguYa00,pass_rating,,,,,,
player,201010240nor,cle,FiguYa00,rush_att,1,,,,,
player,201010240nor,cle,FiguYa00,rush_yds,-4,,,,,
player,201010240nor,cle,FiguYa00,rush_td,0,,,,,
player,201010240nor,cle,FiguYa00,rush_long,-4,,,,,
player,201010240nor,cle,FiguYa00,targets,0,,,,,
player,201010240nor,cle,FiguYa00,rec,0,,,,,
player,201010240nor,cle,FiguYa00,rec_yds,0,,,,,
player,201010240nor,cle,FiguYa00,rec_td,0,,,,,
player,201010240nor,cle,FiguYa00,rec_long,0,,,,,
player,201010240nor,cle,FiguYa00,fumbles,0,,,,,
player,201010240nor,cle,FiguYa00,fumbles_lost,,,,,,
player,201010240nor,nor,BreeDr00,pass_cmp,37,,,,,
player,201010240nor,nor,BreeDr00,pass_att,56,,,,,
player,201010240nor,nor,BreeDr00,pass_yds,356,,,,,
player,201010240nor,nor,BreeDr00,pass_td,2,,,,,
player,201010240nor,nor,BreeDr00,pass_int,4,,,,,
player,201010240nor,nor,BreeDr00,pass_sacked,3,,,,,
player,201010240nor,nor,BreeDr00,pass_sacked_yds,20,,,,,
player,201010240nor,nor,BreeDr00,pass_long,29,,,,,
player,201010240nor,nor,BreeDr00,pass_rating,65.8,,,,,
player,201010240nor,nor,BreeDr00,rush_att,0,,,,,
player,201010240nor,nor,BreeDr00,rush_yds,0,,,,,
player,201010240nor,nor,BreeDr00,rush_td,0,,,,,
player,201010240nor,nor,BreeDr00,rush_long,0,,,,,
player,201010240nor,nor,BreeDr00,targets,0,,,,,
player,201010240nor,nor,BreeDr00,rec,0,,,,,
player,201010240nor,nor,BreeDr00,rec_yds,0,,,,,
player,201010240nor,nor,BreeDr00,rec_td,0,,,,,
player,201010240nor,nor,BreeDr00,rec_long,0,,,,,
player,201010240nor,nor,BreeDr00,fumbles,1,,,,,
player,201010240nor,nor,BreeDr00,fumbles_lost,0,,,,,
player,201010240nor,nor,IvorCh00,pass_cmp,0,,,,,
player,201010240nor,nor,IvorCh00,pass_att,0,,,,,
player,201010240nor,nor,IvorCh00,pass_yds,0,,,,,
player,201010240nor,nor,IvorCh00,pass_td,0,,,,,
player,201010240nor,nor,IvorCh00,pass_int,0,,,,,
player,201010240nor,nor,IvorCh00,pass_sacked,,,,,,
player,201010240nor,nor,IvorCh00,pass_sacked_yds,,,,,,
player,201010240nor,nor,IvorCh00,pass_long,0,,,,,
player,201010240nor,nor,IvorCh00,pass_rating,,,,,,
player,201010240nor,nor,IvorCh00,rush_att,15,,,,,
player,201010240nor,nor,IvorCh00,rush_yds,48,,,,,
player,201010240nor,nor,IvorCh00,rush_td,0,,,,,
player,201010240nor,nor,IvorCh00,rush_long,8,,,,,
player,201010240nor,nor,IvorCh00,targets,0,,,,,
player,201010240nor,nor,IvorCh00,rec,0,,,,,
player,201010240nor,nor,IvorCh00,rec_yds,0,,,,,
player,201010240nor,nor,IvorCh00,rec_td,0,,,,,
player,201010240nor,nor,IvorCh00,rec_long,0,,,,,
player,201010240nor,nor,IvorCh00,fumbles,0,,,,,
player,201010240nor,nor,IvorCh00,fumbles_lost,,,,,,
player,201010240nor,nor,JoneJu01,pass_cmp,0,,,,,
player,201010240nor,nor,JoneJu01,pass_att,0,,,,,
player,201010240nor,nor,JoneJu01,pass_yds,0,,,,,
player,201010240nor,nor,JoneJu01,pass_td,0,,,,,
player,201010240nor,nor,JoneJu01,pass_int,0,,,,,
