game,2010,17,20110102,201101020phi,dal,"Dallas Cowboys",14,phi,"Philadelphia Eagles",13
player,201101020phi,dal,GronCh00,fumbles_lost,,,,,,
player,201101020phi,dal,BarbMa01,pass_cmp,0,,,,,
player,201101020phi,dal,BarbMa01,pass_att,0,,,,,
player,201101020phi,dal,BarbMa01,pass_yds,0,,,,,
player,201101020phi,dal,BarbMa01,pass_td,0,,,,,
player,201101020phi,dal,BarbMa01,pass_int,0,,,,,
player,201101020phi,dal,BarbMa01,pass_sacked,0,,,,,
player,201101020phi,dal,BarbMa01,pass_sacked_yds,,,,,,
player,201101020phi,dal,BarbMa01,pass_long,0,,,,,
player,201101020phi,dal,BarbMa01,pass_rating,,,,,,
player,201101020phi,dal,BarbMa01,rush_att,3,,,,,
player,201101020phi,dal,BarbMa01,rush_yds,3,,,,,
player,201101020phi,dal,BarbMa01,rush_td,0,,,,,
player,201101020phi,dal,BarbMa01,rush_long,2,,,,,
player,201101020phi,dal,BarbMa01,targets,0,,,,,
player,201101020phi,dal,BarbMa01,rec,0,,,,,
player,201101020phi,dal,BarbMa01,rec_yds,0,,,,,
player,201101020phi,dal,BarbMa01,rec_td,0,,,,,
player,201101020phi,dal,BarbMa01,rec_long,0,,,,,
player,201101020phi,dal,BarbMa01,fumbles,0,,,,,
player,201101020phi,dal,BarbMa01,fumbles_lost,,,,,,
player,201101020phi,dal,WittJa00,pass_cmp,0,,,,,
player,201101020phi,dal,WittJa00,pass_att,0,,,,,
player,201101020phi,dal,WittJa00,pass_yds,0,,,,,
player,201101020phi,dal,WittJa00,pass_td,0,,,,,
player,201101020phi,dal,WittJa00,pass_int,0,,,,,
player,201101020phi,dal,WittJa00,pass_sacked,,,,,,
player,201101020phi,dal,WittJa00,pass_sacked_yds,,,,,,
player,201101020phi,dal,WittJa00,pass_long,0,,,,,
player,201101020phi,dal,WittJa00,pass_rating,,,,,,
player,201101020phi,dal,WittJa00,rush_att,0,,,,,
player,201101020phi,dal,WittJa00,rush_yds,0,,,,,
player,201101020phi,dal,WittJa00,rush_td,0,,,,,
player,201101020phi,dal,WittJa00,rush_long,0,,,,,
player,201101020phi,dal,WittJa00,targets,9,,,,,
player,201101020phi,dal,WittJa00,rec,4,,,,,
player,201101020phi,dal,WittJa00,rec_yds,46,,,,,
player,201101020phi,dal,WittJa00,rec_td,1,,,,,
player,201101020phi,dal,WittJa00,rec_long,33,,,,,
player,201101020phi,dal,WittJa00,fumbles,0,,,,,
player,201101020phi,dal,WittJa00,fumbles_lost,,,,,,
player,201101020phi,dal,BennMa00,pass_cmp,0,,,,,
player,201101020phi,dal,BennMa00,pass_att,0,,,,,
player,201101020phi,dal,BennMa00,pass_yds,0,,,,,
player,201101020phi,dal,BennMa00,pass_td,0,,,,,
player,201101020phi,dal,BennMa00,pass_int,0,,,,,
player,201101020phi,dal,BennMa00,pass_sacked,,,,,,
