game,2010,15,20101219,201012190nyg,phi,"Philadelphia Eagles",38,nyg,"New York Giants",31
team,201012190nyg,phi,First Downs,19,,,,,,
team,201012190nyg,nyg,First Downs,20,,,,,,
team,201012190nyg,phi,Rush-Yds-TDs,21-197-1,,,,,,
team,201012190nyg,nyg,Rush-Yds-TDs,31-100-0,,,,,,
team,201012190nyg,phi,Cmp-Att-Yd-TD-INT,21-35-242-3-1,,,,,,
team,201012190nyg,nyg,Cmp-Att-Yd-TD-INT,23-39-289-4-1,,,,,,
team,201012190nyg,phi,Sacked-Yards,3-21,,,,,,
team,201012190nyg,nyg,Sacked-Yards,2-25,,,,,,
team,201012190nyg,phi,Net Pass Yards,221,,,,,,
team,201012190nyg,nyg,Net Pass Yards,264,,,,,,
team,201012190nyg,phi,Total Yards,418,,,,,,
team,201012190nyg,nyg,Total Yards,364,,,,,,
team,201012190nyg,phi,Fumbles-Lost,3-2,,,,,,
team,201012190nyg,nyg,Fumbles-Lost,2-1,,,,,,
team,201012190nyg,phi,Turnovers,3,,,,,,
team,201012190nyg,nyg,Turnovers,2,,,,,,
team,201012190nyg,phi,Penalties-Yards,5-30,,,,,,
team,201012190nyg,nyg,Penalties-Yards,4-35,,,,,,
team,201012190nyg,phi,Third Down Conv.,4-11,,,,,,
team,201012190nyg,nyg,Third Down Conv.,8-17,,,,,,
team,201012190nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201012190nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201012190nyg,phi,Time of Possession,26:31,,,,,,
team,201012190nyg,nyg,Time of Possession,33:29,,,,,,
player,201012190nyg,phi,VickMi00,pass_cmp,21,,,,,
player,201012190nyg,phi,VickMi00,pass_att,35,,,,,
player,201012190nyg,phi,VickMi00,pass_yds,242,,,,,
player,201012190nyg,phi,VickMi00,pass_td,3,,,,,
player,201012190nyg,phi,VickMi00,pass_int,1,,,,,
player,201012190nyg,phi,VickMi00,pass_sacked,3,,,,,
player,201012190nyg,phi,VickMi00,pass_sacked_yds,21,,,,,
player,201012190nyg,phi,VickMi00,pass_long,65,,,,,
player,201012190nyg,phi,VickMi00,pass_rating,97.6,,,,,
player,201012190nyg,phi,VickMi00,rush_att,10,,,,,
