game,2010,12,20101128,201011280clt,sdg,"San Diego Chargers",36,clt,"Indianapolis Colts",14
team,201011280clt,sdg,First Downs,18,,,,,,
team,201011280clt,clt,First Downs,16,,,,,,
team,201011280clt,sdg,Rush-Yds-TDs,34-129-1,,,,,,
team,201011280clt,clt,Rush-Yds-TDs,13-24-0,,,,,,
team,201011280clt,sdg,Cmp-Att-Yd-TD-INT,19-23-185-0-0,,,,,,
team,201011280clt,clt,Cmp-Att-Yd-TD-INT,31-48-285-2-4,,,,,,
team,201011280clt,sdg,Sacked-Yards,2-13,,,,,,
team,201011280clt,clt,Sacked-Yards,1-6,,,,,,
team,201011280clt,sdg,Net Pass Yards,172,,,,,,
team,201011280clt,clt,Net Pass Yards,279,,,,,,
team,201011280clt,sdg,Total Yards,301,,,,,,
team,201011280clt,clt,Total Yards,303,,,,,,
team,201011280clt,sdg,Fumbles-Lost,0-0,,,,,,
team,201011280clt,clt,Fumbles-Lost,1-1,,,,,,
team,201011280clt,sdg,Turnovers,0,,,,,,
team,201011280clt,clt,Turnovers,5,,,,,,
team,201011280clt,sdg,Penalties-Yards,4-40,,,,,,
team,201011280clt,clt,Penalties-Yards,1-15,,,,,,
team,201011280clt,sdg,Third Down Conv.,0-8,,,,,,
team,201011280clt,clt,Third Down Conv.,3-12,,,,,,
team,201011280clt,sdg,Fourth Down Conv.,0-0,,,,,,
team,201011280clt,clt,Fourth Down Conv.,1-2,,,,,,
team,201011280clt,sdg,Time of Possession,35:38,,,,,,
team,201011280clt,clt,Time of Possession,24:22,,,,,,
player,201011280clt,sdg,RivePh00,pass_cmp,19,,,,,
player,201011280clt,sdg,RivePh00,pass_att,23,,,,,
player,201011280clt,sdg,RivePh00,pass_yds,185,,,,,
player,201011280clt,sdg,RivePh00,pass_td,0,,,,,
player,201011280clt,sdg,RivePh00,pass_int,0,,,,,
player,201011280clt,sdg,RivePh00,pass_sacked,2,,,,,
player,201011280clt,sdg,RivePh00,pass_sacked_yds,13,,,,,
player,201011280clt,sdg,RivePh00,pass_long,20,,,,,
