game,2010,9,20101107,201011070min,crd,"Arizona Cardinals",24,min,"Minnesota Vikings",27
team,201011070min,crd,First Downs,13,,,,,,
team,201011070min,min,First Downs,28,,,,,,
team,201011070min,crd,Rush-Yds-TDs,21-53-0,,,,,,
team,201011070min,min,Rush-Yds-TDs,20-80-1,,,,,,
team,201011070min,crd,Cmp-Att-Yd-TD-INT,16-27-196-1-0,,,,,,
team,201011070min,min,Cmp-Att-Yd-TD-INT,36-47-446-2-2,,,,,,
team,201011070min,crd,Sacked-Yards,6-24,,,,,,
team,201011070min,min,Sacked-Yards,3-19,,,,,,
team,201011070min,crd,Net Pass Yards,172,,,,,,
team,201011070min,min,Net Pass Yards,427,,,,,,
team,201011070min,crd,Total Yards,225,,,,,,
team,201011070min,min,Total Yards,507,,,,,,
team,201011070min,crd,Fumbles-Lost,1-1,,,,,,
team,201011070min,min,Fumbles-Lost,1-1,,,,,,
team,201011070min,crd,Turnovers,1,,,,,,
team,201011070min,min,Turnovers,3,,,,,,
team,201011070min,crd,Penalties-Yards,7-39,,,,,,
team,201011070min,min,Penalties-Yards,11-65,,,,,,
team,201011070min,crd,Third Down Conv.,3-13,,,,,,
team,201011070min,min,Third Down Conv.,3-12,,,,,,
team,201011070min,crd,Fourth Down Conv.,0-0,,,,,,
team,201011070min,min,Fourth Down Conv.,1-2,,,,,,
team,201011070min,crd,Time of Possession,27:13,,,,,,
team,201011070min,min,Time of Possession,38:05,,,,,,
player,201011070min,crd,AndeDe00,pass_cmp,15,,,,,
player,201011070min,crd,AndeDe00,pass_att,26,,,,,
player,201011070min,crd,AndeDe00,pass_yds,179,,,,,
player,201011070min,crd,AndeDe00,pass_td,1,,,,,
player,201011070min,crd,AndeDe00,pass_int,0,,,,,
player,201011070min,crd,AndeDe00,pass_sacked,6,,,,,
player,201011070min,crd,AndeDe00,pass_sacked_yds,24,,,,,
player,201011070min,crd,AndeDe00,pass_long,30,,,,,
player,201011070min,crd,AndeDe00,pass_rating,91.7,,,,,
player,201011070min,crd,AndeDe00,rush_att,3,,,,,
player,201011070min,crd,AndeDe00,rush_yds,16,,,,,
player,201011070min,crd,AndeDe00,rush_td,0,,,,,
player,201011070min,crd,AndeDe00,rush_long,11,,,,,
player,201011070min,crd,AndeDe00,targets,0,,,,,
player,201011070min,crd,AndeDe00,rec,0,,,,,
player,201011070min,crd,AndeDe00,rec_yds,0,,,,,
player,201011070min,crd,AndeDe00,rec_td,0,,,,,
player,201011070min,crd,AndeDe00,rec_long,0,,,,,
player,201011070min,crd,AndeDe00,fumbles,0,,,,,
player,201011070min,crd,AndeDe00,fumbles_lost,,,,,,
player,201011070min,crd,BreaSt00,pass_cmp,1,,,,,
player,201011070min,crd,BreaSt00,pass_att,1,,,,,
player,201011070min,crd,BreaSt00,pass_yds,17,,,,,
player,201011070min,crd,BreaSt00,pass_td,0,,,,,
player,201011070min,crd,BreaSt00,pass_int,0,,,,,
player,201011070min,crd,BreaSt00,pass_sacked,0,,,,,
player,201011070min,crd,BreaSt00,pass_sacked_yds,0,,,,,
player,201011070min,crd,BreaSt00,pass_long,17,,,,,
player,201011070min,crd,BreaSt00,pass_rating,118.7,,,,,
player,201011070min,crd,BreaSt00,rush_att,0,,,,,
player,201011070min,crd,BreaSt00,rush_yds,0,,,,,
player,201011070min,crd,BreaSt00,rush_td,0,,,,,
player,201011070min,crd,BreaSt00,rush_long,0,,,,,
player,201011070min,crd,BreaSt00,targets,6,,,,,
player,201011070min,crd,BreaSt00,rec,3,,,,,
player,201011070min,crd,BreaSt00,rec_yds,28,,,,,
player,201011070min,crd,BreaSt00,rec_td,0,,,,,
player,201011070min,crd,BreaSt00,rec_long,16,,,,,
player,201011070min,crd,BreaSt00,fumbles,0,,,,,
player,201011070min,crd,BreaSt00,fumbles_lost,,,,,,
player,201011070min,crd,HighTi00,pass_cmp,0,,,,,
player,201011070min,crd,HighTi00,pass_att,0,,,,,
player,201011070min,crd,HighTi00,pass_yds,0,,,,,
player,201011070min,crd,HighTi00,pass_td,0,,,,,
player,201011070min,crd,HighTi00,pass_int,0,,,,,
player,201011070min,crd,HighTi00,pass_sacked,0,,,,,
player,201011070min,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201011070min,crd,HighTi00,pass_long,0,,,,,
player,201011070min,crd,HighTi00,pass_rating,,,,,,
player,201011070min,crd,HighTi00,rush_att,13,,,,,
player,201011070min,crd,HighTi00,rush_yds,39,,,,,
player,201011070min,crd,HighTi00,rush_td,0,,,,,
player,201011070min,crd,HighTi00,rush_long,11,,,,,
player,201011070min,crd,HighTi00,targets,1,,,,,
player,201011070min,crd,HighTi00,rec,0,,,,,
player,201011070min,crd,HighTi00,rec_yds,0,,,,,
player,201011070min,crd,HighTi00,rec_td,0,,,,,
player,201011070min,crd,HighTi00,rec_long,0,,,,,
player,201011070min,crd,HighTi00,fumbles,0,,,,,
player,201011070min,crd,HighTi00,fumbles_lost,,,,,,
player,201011070min,crd,FitzLa00,pass_cmp,0,,,,,
player,201011070min,crd,FitzLa00,pass_att,0,,,,,
player,201011070min,crd,FitzLa00,pass_yds,0,,,,,
player,201011070min,crd,FitzLa00,pass_td,0,,,,,
player,201011070min,crd,FitzLa00,pass_int,0,,,,,
player,201011070min,crd,FitzLa00,pass_sacked,0,,,,,
player,201011070min,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201011070min,crd,FitzLa00,pass_long,0,,,,,
player,201011070min,crd,FitzLa00,pass_rating,,,,,,
player,201011070min,crd,FitzLa00,rush_att,0,,,,,
player,201011070min,crd,FitzLa00,rush_yds,0,,,,,
player,201011070min,crd,FitzLa00,rush_td,0,,,,,
player,201011070min,crd,FitzLa00,rush_long,0,,,,,
player,201011070min,crd,FitzLa00,targets,10,,,,,
player,201011070min,crd,FitzLa00,rec,7,,,,,
player,201011070min,crd,FitzLa00,rec_yds,107,,,,,
player,201011070min,crd,FitzLa00,rec_td,0,,,,,
player,201011070min,crd,FitzLa00,rec_long,30,,,,,
player,201011070min,crd,FitzLa00,fumbles,0,,,,,
player,201011070min,crd,FitzLa00,fumbles_lost,,,,,,
player,201011070min,crd,RobeAn00,pass_cmp,0,,,,,
player,201011070min,crd,RobeAn00,pass_att,0,,,,,
player,201011070min,crd,RobeAn00,pass_yds,0,,,,,
player,201011070min,crd,RobeAn00,pass_td,0,,,,,
player,201011070min,crd,RobeAn00,pass_int,0,,,,,
player,201011070min,crd,RobeAn00,pass_sacked,0,,,,,
player,201011070min,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201011070min,crd,RobeAn00,pass_long,0,,,,,
player,201011070min,crd,RobeAn00,pass_rating,,,,,,
player,201011070min,crd,RobeAn00,rush_att,0,,,,,
player,201011070min,crd,RobeAn00,rush_yds,0,,,,,
player,201011070min,crd,RobeAn00,rush_td,0,,,,,
player,201011070min,crd,RobeAn00,rush_long,0,,,,,
player,201011070min,crd,RobeAn00,targets,2,,,,,
player,201011070min,crd,RobeAn00,rec,2,,,,,
player,201011070min,crd,RobeAn00,rec_yds,29,,,,,
player,201011070min,crd,RobeAn00,rec_td,1,,,,,
player,201011070min,crd,RobeAn00,rec_long,30,,,,,
player,201011070min,crd,RobeAn00,fumbles,0,,,,,
player,201011070min,crd,RobeAn00,fumbles_lost,,,,,,
player,201011070min,crd,DrayJi00,pass_cmp,0,,,,,
player,201011070min,crd,DrayJi00,pass_att,0,,,,,
player,201011070min,crd,DrayJi00,pass_yds,0,,,,,
player,201011070min,crd,DrayJi00,pass_td,0,,,,,
player,201011070min,crd,DrayJi00,pass_int,0,,,,,
player,201011070min,crd,DrayJi00,pass_sacked,0,,,,,
player,201011070min,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201011070min,crd,DrayJi00,pass_long,0,,,,,
player,201011070min,crd,DrayJi00,pass_rating,,,,,,
player,201011070min,crd,DrayJi00,rush_att,0,,,,,
player,201011070min,crd,DrayJi00,rush_yds,0,,,,,
player,201011070min,crd,DrayJi00,rush_td,0,,,,,
player,201011070min,crd,DrayJi00,rush_long,0,,,,,
player,201011070min,crd,DrayJi00,targets,1,,,,,
player,201011070min,crd,DrayJi00,rec,1,,,,,
player,201011070min,crd,DrayJi00,rec_yds,17,,,,,
player,201011070min,crd,DrayJi00,rec_td,0,,,,,
player,201011070min,crd,DrayJi00,rec_long,17,,,,,
player,201011070min,crd,DrayJi00,fumbles,0,,,,,
player,201011070min,crd,DrayJi00,fumbles_lost,,,,,,
player,201011070min,crd,StepLa00,pass_cmp,0,,,,,
player,201011070min,crd,StepLa00,pass_att,0,,,,,
player,201011070min,crd,StepLa00,pass_yds,0,,,,,
player,201011070min,crd,StepLa00,pass_td,0,,,,,
player,201011070min,crd,StepLa00,pass_int,0,,,,,
player,201011070min,crd,StepLa00,pass_sacked,0,,,,,
player,201011070min,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201011070min,crd,StepLa00,pass_long,0,,,,,
player,201011070min,crd,StepLa00,pass_rating,,,,,,
player,201011070min,crd,StepLa00,rush_att,4,,,,,
player,201011070min,crd,StepLa00,rush_yds,0,,,,,
player,201011070min,crd,StepLa00,rush_td,0,,,,,
player,201011070min,crd,StepLa00,rush_long,1,,,,,
player,201011070min,crd,StepLa00,targets,2,,,,,
player,201011070min,crd,StepLa00,rec,1,,,,,
player,201011070min,crd,StepLa00,rec_yds,9,,,,,
player,201011070min,crd,StepLa00,rec_td,0,,,,,
player,201011070min,crd,StepLa00,rec_long,9,,,,,
player,201011070min,crd,StepLa00,fumbles,0,,,,,
player,201011070min,crd,StepLa00,fumbles_lost,,,,,,
player,201011070min,crd,SpacSt00,pass_cmp,0,,,,,
player,201011070min,crd,SpacSt00,pass_att,0,,,,,
player,201011070min,crd,SpacSt00,pass_yds,0,,,,,
player,201011070min,crd,SpacSt00,pass_td,0,,,,,
player,201011070min,crd,SpacSt00,pass_int,0,,,,,
player,201011070min,crd,SpacSt00,pass_sacked,0,,,,,
player,201011070min,crd,SpacSt00,pass_sacked_yds,0,,,,,
player,201011070min,crd,SpacSt00,pass_long,0,,,,,
player,201011070min,crd,SpacSt00,pass_rating,,,,,,
player,201011070min,crd,SpacSt00,rush_att,0,,,,,
player,201011070min,crd,SpacSt00,rush_yds,0,,,,,
player,201011070min,crd,SpacSt00,rush_td,0,,,,,
player,201011070min,crd,SpacSt00,rush_long,0,,,,,
player,201011070min,crd,SpacSt00,targets,1,,,,,
player,201011070min,crd,SpacSt00,rec,1,,,,,
player,201011070min,crd,SpacSt00,rec_yds,4,,,,,
player,201011070min,crd,SpacSt00,rec_td,0,,,,,
player,201011070min,crd,SpacSt00,rec_long,4,,,,,
player,201011070min,crd,SpacSt00,fumbles,0,,,,,
player,201011070min,crd,SpacSt00,fumbles_lost,,,,,,
player,201011070min,crd,DoucEa00,pass_cmp,0,,,,,
player,201011070min,crd,DoucEa00,pass_att,0,,,,,
player,201011070min,crd,DoucEa00,pass_yds,0,,,,,
player,201011070min,crd,DoucEa00,pass_td,0,,,,,
player,201011070min,crd,DoucEa00,pass_int,0,,,,,
player,201011070min,crd,DoucEa00,pass_sacked,0,,,,,
player,201011070min,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201011070min,crd,DoucEa00,pass_long,0,,,,,
player,201011070min,crd,DoucEa00,pass_rating,,,,,,
player,201011070min,crd,DoucEa00,rush_att,0,,,,,
player,201011070min,crd,DoucEa00,rush_yds,0,,,,,
player,201011070min,crd,DoucEa00,rush_td,0,,,,,
player,201011070min,crd,DoucEa00,rush_long,0,,,,,
player,201011070min,crd,DoucEa00,targets,3,,,,,
player,201011070min,crd,DoucEa00,rec,1,,,,,
player,201011070min,crd,DoucEa00,rec_yds,2,,,,,
player,201011070min,crd,DoucEa00,rec_td,0,,,,,
player,201011070min,crd,DoucEa00,rec_long,2,,,,,
player,201011070min,crd,DoucEa00,fumbles,0,,,,,
player,201011070min,crd,DoucEa00,fumbles_lost,,,,,,
player,201011070min,crd,WrigJa01,pass_cmp,0,,,,,
player,201011070min,crd,WrigJa01,pass_att,0,,,,,
player,201011070min,crd,WrigJa01,pass_yds,0,,,,,
player,201011070min,crd,WrigJa01,pass_td,0,,,,,
player,201011070min,crd,WrigJa01,pass_int,0,,,,,
player,201011070min,crd,WrigJa01,pass_sacked,0,,,,,
player,201011070min,crd,WrigJa01,pass_sacked_yds,0,,,,,
player,201011070min,crd,WrigJa01,pass_long,0,,,,,
player,201011070min,crd,WrigJa01,pass_rating,,,,,,
player,201011070min,crd,WrigJa01,rush_att,0,,,,,
player,201011070min,crd,WrigJa01,rush_yds,0,,,,,
player,201011070min,crd,WrigJa01,rush_td,0,,,,,
player,201011070min,crd,WrigJa01,rush_long,0,,,,,
player,201011070min,crd,WrigJa01,targets,1,,,,,
player,201011070min,crd,WrigJa01,rec,0,,,,,
player,201011070min,crd,WrigJa01,rec_yds,0,,,,,
player,201011070min,crd,WrigJa01,rec_td,0,,,,,
player,201011070min,crd,WrigJa01,rec_long,0,,,,,
player,201011070min,crd,WrigJa01,fumbles,0,,,,,
player,201011070min,crd,WrigJa01,fumbles_lost,,,,,,
player,201011070min,crd,WellCh00,pass_cmp,0,,,,,
player,201011070min,crd,WellCh00,pass_att,0,,,,,
player,201011070min,crd,WellCh00,pass_yds,0,,,,,
player,201011070min,crd,WellCh00,pass_td,0,,,,,
player,201011070min,crd,WellCh00,pass_int,0,,,,,
player,201011070min,crd,WellCh00,pass_sacked,0,,,,,
player,201011070min,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201011070min,crd,WellCh00,pass_long,0,,,,,
player,201011070min,crd,WellCh00,pass_rating,,,,,,
player,201011070min,crd,WellCh00,rush_att,1,,,,,
player,201011070min,crd,WellCh00,rush_yds,-2,,,,,
player,201011070min,crd,WellCh00,rush_td,0,,,,,
player,201011070min,crd,WellCh00,rush_long,-2,,,,,
player,201011070min,crd,WellCh00,targets,0,,,,,
player,201011070min,crd,WellCh00,rec,0,,,,,
player,201011070min,crd,WellCh00,rec_yds,0,,,,,
player,201011070min,crd,WellCh00,rec_td,0,,,,,
player,201011070min,crd,WellCh00,rec_long,0,,,,,
player,201011070min,crd,WellCh00,fumbles,0,,,,,
player,201011070min,crd,WellCh00,fumbles_lost,,,,,,
player,201011070min,min,FavrBr00,pass_cmp,36,,,,,
player,201011070min,min,FavrBr00,pass_att,47,,,,,
player,201011070min,min,FavrBr00,pass_yds,446,,,,,
player,201011070min,min,FavrBr00,pass_td,2,,,,,
player,201011070min,min,FavrBr00,pass_int,2,,,,,
player,201011070min,min,FavrBr00,pass_sacked,3,,,,,
player,201011070min,min,FavrBr00,pass_sacked_yds,19,,,,,
player,201011070min,min,FavrBr00,pass_long,33,,,,,
player,201011070min,min,FavrBr00,pass_rating,101.9,,,,,
player,201011070min,min,FavrBr00,rush_att,2,,,,,
player,201011070min,min,FavrBr00,rush_yds,1,,,,,
player,201011070min,min,FavrBr00,rush_td,0,,,,,
player,201011070min,min,FavrBr00,rush_long,2,,,,,
player,201011070min,min,FavrBr00,targets,0,,,,,
player,201011070min,min,FavrBr00,rec,0,,,,,
player,201011070min,min,FavrBr00,rec_yds,0,,,,,
player,201011070min,min,FavrBr00,rec_td,0,,,,,
player,201011070min,min,FavrBr00,rec_long,0,,,,,
player,201011070min,min,FavrBr00,fumbles,0,,,,,
player,201011070min,min,FavrBr00,fumbles_lost,,,,,,
player,201011070min,min,PeteAd01,pass_cmp,0,,,,,
player,201011070min,min,PeteAd01,pass_att,0,,,,,
player,201011070min,min,PeteAd01,pass_yds,0,,,,,
player,201011070min,min,PeteAd01,pass_td,0,,,,,
player,201011070min,min,PeteAd01,pass_int,0,,,,,
player,201011070min,min,PeteAd01,pass_sacked,,,,,,
player,201011070min,min,PeteAd01,pass_sacked_yds,,,,,,
player,201011070min,min,PeteAd01,pass_long,0,,,,,
player,201011070min,min,PeteAd01,pass_rating,,,,,,
player,201011070min,min,PeteAd01,rush_att,15,,,,,
player,201011070min,min,PeteAd01,rush_yds,81,,,,,
player,201011070min,min,PeteAd01,rush_td,1,,,,,
player,201011070min,min,PeteAd01,rush_long,30,,,,,
player,201011070min,min,PeteAd01,targets,4,,,,,
player,201011070min,min,PeteAd01,rec,4,,,,,
player,201011070min,min,PeteAd01,rec_yds,63,,,,,
player,201011070min,min,PeteAd01,rec_td,1,,,,,
player,201011070min,min,PeteAd01,rec_long,33,,,,,
player,201011070min,min,PeteAd01,fumbles,0,,,,,
player,201011070min,min,PeteAd01,fumbles_lost,,,,,,
player,201011070min,min,GerhTo00,pass_cmp,0,,,,,
player,201011070min,min,GerhTo00,pass_att,0,,,,,
player,201011070min,min,GerhTo00,pass_yds,0,,,,,
player,201011070min,min,GerhTo00,pass_td,0,,,,,
player,201011070min,min,GerhTo00,pass_int,0,,,,,
player,201011070min,min,GerhTo00,pass_sacked,,,,,,
player,201011070min,min,GerhTo00,pass_sacked_yds,,,,,,
player,201011070min,min,GerhTo00,pass_long,0,,,,,
player,201011070min,min,GerhTo00,pass_rating,,,,,,
player,201011070min,min,GerhTo00,rush_att,2,,,,,
player,201011070min,min,GerhTo00,rush_yds,6,,,,,
player,201011070min,min,GerhTo00,rush_td,0,,,,,
player,201011070min,min,GerhTo00,rush_long,6,,,,,
player,201011070min,min,GerhTo00,targets,1,,,,,
player,201011070min,min,GerhTo00,rec,1,,,,,
player,201011070min,min,GerhTo00,rec_yds,3,,,,,
player,201011070min,min,GerhTo00,rec_td,0,,,,,
player,201011070min,min,GerhTo00,rec_long,3,,,,,
player,201011070min,min,GerhTo00,fumbles,0,,,,,
player,201011070min,min,GerhTo00,fumbles_lost,,,,,,
player,201011070min,min,HarvPe00,pass_cmp,0,,,,,
player,201011070min,min,HarvPe00,pass_att,0,,,,,
player,201011070min,min,HarvPe00,pass_yds,0,,,,,
