game,2010,12,20101128,201011280was,min,"Minnesota Vikings",17,was,"Washington Redskins",13
player,201011280was,min,HarvPe00,rush_long,8,,,,,
player,201011280was,min,HarvPe00,targets,5,,,,,
player,201011280was,min,HarvPe00,rec,5,,,,,
player,201011280was,min,HarvPe00,rec_yds,32,,,,,
player,201011280was,min,HarvPe00,rec_td,0,,,,,
player,201011280was,min,HarvPe00,rec_long,9,,,,,
player,201011280was,min,HarvPe00,fumbles,0,,,,,
player,201011280was,min,HarvPe00,fumbles_lost,,,,,,
player,201011280was,min,DugaJe00,pass_cmp,0,,,,,
player,201011280was,min,DugaJe00,pass_att,0,,,,,
player,201011280was,min,DugaJe00,pass_yds,0,,,,,
player,201011280was,min,DugaJe00,pass_td,0,,,,,
player,201011280was,min,DugaJe00,pass_int,0,,,,,
player,201011280was,min,DugaJe00,pass_sacked,,,,,,
player,201011280was,min,DugaJe00,pass_sacked_yds,,,,,,
player,201011280was,min,DugaJe00,pass_long,0,,,,,
player,201011280was,min,DugaJe00,pass_rating,,,,,,
player,201011280was,min,DugaJe00,rush_att,2,,,,,
player,201011280was,min,DugaJe00,rush_yds,2,,,,,
player,201011280was,min,DugaJe00,rush_td,0,,,,,
player,201011280was,min,DugaJe00,rush_long,2,,,,,
player,201011280was,min,DugaJe00,targets,0,,,,,
player,201011280was,min,DugaJe00,rec,0,,,,,
player,201011280was,min,DugaJe00,rec_yds,0,,,,,
player,201011280was,min,DugaJe00,rec_td,0,,,,,
player,201011280was,min,DugaJe00,rec_long,0,,,,,
player,201011280was,min,DugaJe00,fumbles,0,,,,,
player,201011280was,min,DugaJe00,fumbles_lost,,,,,,
player,201011280was,min,ShiaVi00,pass_cmp,0,,,,,
player,201011280was,min,ShiaVi00,pass_att,0,,,,,
player,201011280was,min,ShiaVi00,pass_yds,0,,,,,
player,201011280was,min,ShiaVi00,pass_td,0,,,,,
player,201011280was,min,ShiaVi00,pass_int,0,,,,,
player,201011280was,min,ShiaVi00,pass_sacked,,,,,,
player,201011280was,min,ShiaVi00,pass_sacked_yds,,,,,,
player,201011280was,min,ShiaVi00,pass_long,0,,,,,
player,201011280was,min,ShiaVi00,pass_rating,,,,,,
player,201011280was,min,ShiaVi00,rush_att,0,,,,,
player,201011280was,min,ShiaVi00,rush_yds,0,,,,,
player,201011280was,min,ShiaVi00,rush_td,0,,,,,
player,201011280was,min,ShiaVi00,rush_long,0,,,,,
player,201011280was,min,ShiaVi00,targets,6,,,,,
player,201011280was,min,ShiaVi00,rec,3,,,,,
player,201011280was,min,ShiaVi00,rec_yds,54,,,,,
player,201011280was,min,ShiaVi00,rec_td,0,,,,,
player,201011280was,min,ShiaVi00,rec_long,29,,,,,
player,201011280was,min,ShiaVi00,fumbles,0,,,,,
player,201011280was,min,ShiaVi00,fumbles_lost,,,,,,
player,201011280was,min,RiceSi01,pass_cmp,0,,,,,
player,201011280was,min,RiceSi01,pass_att,0,,,,,
player,201011280was,min,RiceSi01,pass_yds,0,,,,,
player,201011280was,min,RiceSi01,pass_td,0,,,,,
player,201011280was,min,RiceSi01,pass_int,0,,,,,
player,201011280was,min,RiceSi01,pass_sacked,,,,,,
player,201011280was,min,RiceSi01,pass_sacked_yds,,,,,,
player,201011280was,min,RiceSi01,pass_long,0,,,,,
player,201011280was,min,RiceSi01,pass_rating,,,,,,
player,201011280was,min,RiceSi01,rush_att,0,,,,,
player,201011280was,min,RiceSi01,rush_yds,0,,,,,
player,201011280was,min,RiceSi01,rush_td,0,,,,,
player,201011280was,min,RiceSi01,rush_long,0,,,,,
player,201011280was,min,RiceSi01,targets,4,,,,,
player,201011280was,min,RiceSi01,rec,1,,,,,
player,201011280was,min,RiceSi01,rec_yds,20,,,,,
player,201011280was,min,RiceSi01,rec_td,0,,,,,
player,201011280was,min,RiceSi01,rec_long,20,,,,,
player,201011280was,min,RiceSi01,fumbles,0,,,,,
player,201011280was,min,RiceSi01,fumbles_lost,,,,,,
player,201011280was,min,CamaGr00,pass_cmp,0,,,,,
player,201011280was,min,CamaGr00,pass_att,0,,,,,
player,201011280was,min,CamaGr00,pass_yds,0,,,,,
player,201011280was,min,CamaGr00,pass_td,0,,,,,
player,201011280was,min,CamaGr00,pass_int,0,,,,,
player,201011280was,min,CamaGr00,pass_sacked,,,,,,
player,201011280was,min,CamaGr00,pass_sacked_yds,,,,,,
player,201011280was,min,CamaGr00,pass_long,0,,,,,
player,201011280was,min,CamaGr00,pass_rating,,,,,,
player,201011280was,min,CamaGr00,rush_att,0,,,,,
player,201011280was,min,CamaGr00,rush_yds,0,,,,,
player,201011280was,min,CamaGr00,rush_td,0,,,,,
player,201011280was,min,CamaGr00,rush_long,0,,,,,
player,201011280was,min,CamaGr00,targets,2,,,,,
player,201011280was,min,CamaGr00,rec,1,,,,,
player,201011280was,min,CamaGr00,rec_yds,12,,,,,
player,201011280was,min,CamaGr00,rec_td,0,,,,,
player,201011280was,min,CamaGr00,rec_long,12,,,,,
player,201011280was,min,CamaGr00,fumbles,0,,,,,
player,201011280was,min,CamaGr00,fumbles_lost,,,,,,
player,201011280was,min,LewiGr01,pass_cmp,0,,,,,
player,201011280was,min,LewiGr01,pass_att,0,,,,,
player,201011280was,min,LewiGr01,pass_yds,0,,,,,
player,201011280was,min,LewiGr01,pass_td,0,,,,,
player,201011280was,min,LewiGr01,pass_int,0,,,,,
player,201011280was,min,LewiGr01,pass_sacked,,,,,,
player,201011280was,min,LewiGr01,pass_sacked_yds,,,,,,
player,201011280was,min,LewiGr01,pass_long,0,,,,,
player,201011280was,min,LewiGr01,pass_rating,,,,,,
player,201011280was,min,LewiGr01,rush_att,0,,,,,
player,201011280was,min,LewiGr01,rush_yds,0,,,,,
player,201011280was,min,LewiGr01,rush_td,0,,,,,
player,201011280was,min,LewiGr01,rush_long,0,,,,,
player,201011280was,min,LewiGr01,targets,2,,,,,
player,201011280was,min,LewiGr01,rec,1,,,,,
player,201011280was,min,LewiGr01,rec_yds,8,,,,,
player,201011280was,min,LewiGr01,rec_td,0,,,,,
player,201011280was,min,LewiGr01,rec_long,8,,,,,
player,201011280was,min,LewiGr01,fumbles,0,,,,,
player,201011280was,min,LewiGr01,fumbles_lost,,,,,,
player,201011280was,min,TahiNa00,pass_cmp,0,,,,,
player,201011280was,min,TahiNa00,pass_att,0,,,,,
player,201011280was,min,TahiNa00,pass_yds,0,,,,,
player,201011280was,min,TahiNa00,pass_td,0,,,,,
player,201011280was,min,TahiNa00,pass_int,0,,,,,
player,201011280was,min,TahiNa00,pass_sacked,,,,,,
player,201011280was,min,TahiNa00,pass_sacked_yds,,,,,,
player,201011280was,min,TahiNa00,pass_long,0,,,,,
player,201011280was,min,TahiNa00,pass_rating,,,,,,
player,201011280was,min,TahiNa00,rush_att,0,,,,,
player,201011280was,min,TahiNa00,rush_yds,0,,,,,
player,201011280was,min,TahiNa00,rush_td,0,,,,,
player,201011280was,min,TahiNa00,rush_long,0,,,,,
player,201011280was,min,TahiNa00,targets,1,,,,,
player,201011280was,min,TahiNa00,rec,1,,,,,
player,201011280was,min,TahiNa00,rec_yds,7,,,,,
player,201011280was,min,TahiNa00,rec_td,0,,,,,
player,201011280was,min,TahiNa00,rec_long,7,,,,,
player,201011280was,min,TahiNa00,fumbles,0,,,,,
player,201011280was,min,TahiNa00,fumbles_lost,,,,,,
player,201011280was,was,McNaDo00,pass_cmp,21,,,,,
player,201011280was,was,McNaDo00,pass_att,35,,,,,
player,201011280was,was,McNaDo00,pass_yds,211,,,,,
player,201011280was,was,McNaDo00,pass_td,1,,,,,
player,201011280was,was,McNaDo00,pass_int,1,,,,,
player,201011280was,was,McNaDo00,pass_sacked,4,,,,,
player,201011280was,was,McNaDo00,pass_sacked_yds,24,,,,,
player,201011280was,was,McNaDo00,pass_long,45,,,,,
player,201011280was,was,McNaDo00,pass_rating,74.8,,,,,
player,201011280was,was,McNaDo00,rush_att,2,,,,,
player,201011280was,was,McNaDo00,rush_yds,7,,,,,
player,201011280was,was,McNaDo00,rush_td,0,,,,,
player,201011280was,was,McNaDo00,rush_long,4,,,,,
player,201011280was,was,McNaDo00,targets,0,,,,,
player,201011280was,was,McNaDo00,rec,0,,,,,
player,201011280was,was,McNaDo00,rec_yds,0,,,,,
player,201011280was,was,McNaDo00,rec_td,0,,,,,
player,201011280was,was,McNaDo00,rec_long,0,,,,,
player,201011280was,was,McNaDo00,fumbles,1,,,,,
player,201011280was,was,McNaDo00,fumbles_lost,0,,,,,
player,201011280was,was,DaviJa03,pass_cmp,0,,,,,
player,201011280was,was,DaviJa03,pass_att,0,,,,,
player,201011280was,was,DaviJa03,pass_yds,0,,,,,
player,201011280was,was,DaviJa03,pass_td,0,,,,,
player,201011280was,was,DaviJa03,pass_int,0,,,,,
player,201011280was,was,DaviJa03,pass_sacked,,,,,,
player,201011280was,was,DaviJa03,pass_sacked_yds,,,,,,
player,201011280was,was,DaviJa03,pass_long,0,,,,,
player,201011280was,was,DaviJa03,pass_rating,,,,,,
player,201011280was,was,DaviJa03,rush_att,6,,,,,
player,201011280was,was,DaviJa03,rush_yds,11,,,,,
player,201011280was,was,DaviJa03,rush_td,0,,,,,
player,201011280was,was,DaviJa03,rush_long,4,,,,,
player,201011280was,was,DaviJa03,targets,2,,,,,
player,201011280was,was,DaviJa03,rec,1,,,,,
player,201011280was,was,DaviJa03,rec_yds,4,,,,,
player,201011280was,was,DaviJa03,rec_td,0,,,,,
player,201011280was,was,DaviJa03,rec_long,4,,,,,
player,201011280was,was,DaviJa03,fumbles,0,,,,,
player,201011280was,was,DaviJa03,fumbles_lost,,,,,,
player,201011280was,was,BankBr00,pass_cmp,0,,,,,
player,201011280was,was,BankBr00,pass_att,0,,,,,
player,201011280was,was,BankBr00,pass_yds,0,,,,,
player,201011280was,was,BankBr00,pass_td,0,,,,,
player,201011280was,was,BankBr00,pass_int,0,,,,,
player,201011280was,was,BankBr00,pass_sacked,,,,,,
player,201011280was,was,BankBr00,pass_sacked_yds,,,,,,
player,201011280was,was,BankBr00,pass_long,0,,,,,
player,201011280was,was,BankBr00,pass_rating,,,,,,
player,201011280was,was,BankBr00,rush_att,2,,,,,
player,201011280was,was,BankBr00,rush_yds,6,,,,,
player,201011280was,was,BankBr00,rush_td,0,,,,,
player,201011280was,was,BankBr00,rush_long,3,,,,,
player,201011280was,was,BankBr00,targets,1,,,,,
player,201011280was,was,BankBr00,rec,0,,,,,
player,201011280was,was,BankBr00,rec_yds,0,,,,,
player,201011280was,was,BankBr00,rec_td,0,,,,,
player,201011280was,was,BankBr00,rec_long,0,,,,,
player,201011280was,was,BankBr00,fumbles,0,,,,,
player,201011280was,was,BankBr00,fumbles_lost,0,,,,,
player,201011280was,was,WillKe03,pass_cmp,0,,,,,
player,201011280was,was,WillKe03,pass_att,0,,,,,
player,201011280was,was,WillKe03,pass_yds,0,,,,,
player,201011280was,was,WillKe03,pass_td,0,,,,,
player,201011280was,was,WillKe03,pass_int,0,,,,,
player,201011280was,was,WillKe03,pass_sacked,,,,,,
player,201011280was,was,WillKe03,pass_sacked_yds,,,,,,
player,201011280was,was,WillKe03,pass_long,0,,,,,
player,201011280was,was,WillKe03,pass_rating,,,,,,
player,201011280was,was,WillKe03,rush_att,3,,,,,
player,201011280was,was,WillKe03,rush_yds,5,,,,,
player,201011280was,was,WillKe03,rush_td,0,,,,,
player,201011280was,was,WillKe03,rush_long,4,,,,,
player,201011280was,was,WillKe03,targets,6,,,,,
player,201011280was,was,WillKe03,rec,4,,,,,
player,201011280was,was,WillKe03,rec_yds,21,,,,,
player,201011280was,was,WillKe03,rec_td,0,,,,,
player,201011280was,was,WillKe03,rec_long,10,,,,,
player,201011280was,was,WillKe03,fumbles,0,,,,,
player,201011280was,was,WillKe03,fumbles_lost,,,,,,
player,201011280was,was,ArmsAn00,pass_cmp,0,,,,,
player,201011280was,was,ArmsAn00,pass_att,0,,,,,
player,201011280was,was,ArmsAn00,pass_yds,0,,,,,
player,201011280was,was,ArmsAn00,pass_td,0,,,,,
player,201011280was,was,ArmsAn00,pass_int,0,,,,,
player,201011280was,was,ArmsAn00,pass_sacked,,,,,,
player,201011280was,was,ArmsAn00,pass_sacked_yds,,,,,,
player,201011280was,was,ArmsAn00,pass_long,0,,,,,
player,201011280was,was,ArmsAn00,pass_rating,,,,,,
player,201011280was,was,ArmsAn00,rush_att,0,,,,,
player,201011280was,was,ArmsAn00,rush_yds,0,,,,,
player,201011280was,was,ArmsAn00,rush_td,0,,,,,
player,201011280was,was,ArmsAn00,rush_long,0,,,,,
player,201011280was,was,ArmsAn00,targets,7,,,,,
player,201011280was,was,ArmsAn00,rec,2,,,,,
player,201011280was,was,ArmsAn00,rec_yds,53,,,,,
player,201011280was,was,ArmsAn00,rec_td,0,,,,,
player,201011280was,was,ArmsAn00,rec_long,45,,,,,
player,201011280was,was,ArmsAn00,fumbles,0,,,,,
player,201011280was,was,ArmsAn00,fumbles_lost,,,,,,
player,201011280was,was,CoolCh00,pass_cmp,0,,,,,
player,201011280was,was,CoolCh00,pass_att,0,,,,,
player,201011280was,was,CoolCh00,pass_yds,0,,,,,
player,201011280was,was,CoolCh00,pass_td,0,,,,,
player,201011280was,was,CoolCh00,pass_int,0,,,,,
player,201011280was,was,CoolCh00,pass_sacked,,,,,,
player,201011280was,was,CoolCh00,pass_sacked_yds,,,,,,
player,201011280was,was,CoolCh00,pass_long,0,,,,,
player,201011280was,was,CoolCh00,pass_rating,,,,,,
