game,2010,10,20101114,201011140nyg,dal,"Dallas Cowboys",33,nyg,"New York Giants",20
team,201011140nyg,dal,First Downs,15,,,,,,
team,201011140nyg,nyg,First Downs,25,,,,,,
team,201011140nyg,dal,Rush-Yds-TDs,28-100-0,,,,,,
team,201011140nyg,nyg,Rush-Yds-TDs,28-107-0,,,,,,
team,201011140nyg,dal,Cmp-Att-Yd-TD-INT,13-22-327-3-1,,,,,,
team,201011140nyg,nyg,Cmp-Att-Yd-TD-INT,33-48-373-2-2,,,,,,
team,201011140nyg,dal,Sacked-Yards,0-0,,,,,,
team,201011140nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201011140nyg,dal,Net Pass Yards,327,,,,,,
team,201011140nyg,nyg,Net Pass Yards,373,,,,,,
team,201011140nyg,dal,Total Yards,427,,,,,,
team,201011140nyg,nyg,Total Yards,480,,,,,,
team,201011140nyg,dal,Fumbles-Lost,0-0,,,,,,
team,201011140nyg,nyg,Fumbles-Lost,2-1,,,,,,
team,201011140nyg,dal,Turnovers,1,,,,,,
team,201011140nyg,nyg,Turnovers,3,,,,,,
team,201011140nyg,dal,Penalties-Yards,5-60,,,,,,
team,201011140nyg,nyg,Penalties-Yards,8-69,,,,,,
team,201011140nyg,dal,Third Down Conv.,3-11,,,,,,
team,201011140nyg,nyg,Third Down Conv.,6-15,,,,,,
team,201011140nyg,dal,Fourth Down Conv.,0-1,,,,,,
team,201011140nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201011140nyg,dal,Time of Possession,22:09,,,,,,
team,201011140nyg,nyg,Time of Possession,37:51,,,,,,
player,201011140nyg,dal,KitnJo00,pass_cmp,13,,,,,
player,201011140nyg,dal,KitnJo00,pass_att,22,,,,,
player,201011140nyg,dal,KitnJo00,pass_yds,327,,,,,
player,201011140nyg,dal,KitnJo00,pass_td,3,,,,,
player,201011140nyg,dal,KitnJo00,pass_int,1,,,,,
player,201011140nyg,dal,KitnJo00,pass_sacked,0,,,,,
player,201011140nyg,dal,KitnJo00,pass_sacked_yds,0,,,,,
player,201011140nyg,dal,KitnJo00,pass_long,71,,,,,
player,201011140nyg,dal,KitnJo00,pass_rating,124.1,,,,,
player,201011140nyg,dal,KitnJo00,rush_att,5,,,,,
player,201011140nyg,dal,KitnJo00,rush_yds,2,,,,,
player,201011140nyg,dal,KitnJo00,rush_td,0,,,,,
player,201011140nyg,dal,KitnJo00,rush_long,5,,,,,
player,201011140nyg,dal,KitnJo00,targets,0,,,,,
player,201011140nyg,dal,KitnJo00,rec,0,,,,,
player,201011140nyg,dal,KitnJo00,rec_yds,0,,,,,
player,201011140nyg,dal,KitnJo00,rec_td,0,,,,,
player,201011140nyg,dal,KitnJo00,rec_long,0,,,,,
player,201011140nyg,dal,KitnJo00,fumbles,0,,,,,
player,201011140nyg,dal,KitnJo00,fumbles_lost,,,,,,
player,201011140nyg,dal,JoneFe00,pass_cmp,0,,,,,
player,201011140nyg,dal,JoneFe00,pass_att,0,,,,,
