game,2010,3,20100926,201009260sea,sdg,"San Diego Chargers",20,sea,"Seattle Seahawks",27
player,201009260sea,sdg,GateAn00,fumbles,0,,,,,
player,201009260sea,sdg,GateAn00,fumbles_lost,,,,,,
player,201009260sea,sdg,FloyMa00,pass_cmp,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_att,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_yds,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_td,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_int,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_sacked,,,,,,
player,201009260sea,sdg,FloyMa00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,FloyMa00,pass_long,0,,,,,
player,201009260sea,sdg,FloyMa00,pass_rating,,,,,,
player,201009260sea,sdg,FloyMa00,rush_att,0,,,,,
player,201009260sea,sdg,FloyMa00,rush_yds,0,,,,,
player,201009260sea,sdg,FloyMa00,rush_td,0,,,,,
player,201009260sea,sdg,FloyMa00,rush_long,0,,,,,
player,201009260sea,sdg,FloyMa00,targets,10,,,,,
player,201009260sea,sdg,FloyMa00,rec,6,,,,,
player,201009260sea,sdg,FloyMa00,rec_yds,97,,,,,
player,201009260sea,sdg,FloyMa00,rec_td,1,,,,,
player,201009260sea,sdg,FloyMa00,rec_long,25,,,,,
player,201009260sea,sdg,FloyMa00,fumbles,0,,,,,
player,201009260sea,sdg,FloyMa00,fumbles_lost,,,,,,
player,201009260sea,sdg,DaviCr00,pass_cmp,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_att,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_yds,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_td,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_int,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_sacked,,,,,,
player,201009260sea,sdg,DaviCr00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,DaviCr00,pass_long,0,,,,,
player,201009260sea,sdg,DaviCr00,pass_rating,,,,,,
player,201009260sea,sdg,DaviCr00,rush_att,0,,,,,
player,201009260sea,sdg,DaviCr00,rush_yds,0,,,,,
player,201009260sea,sdg,DaviCr00,rush_td,0,,,,,
player,201009260sea,sdg,DaviCr00,rush_long,0,,,,,
player,201009260sea,sdg,DaviCr00,targets,3,,,,,
player,201009260sea,sdg,DaviCr00,rec,3,,,,,
player,201009260sea,sdg,DaviCr00,rec_yds,82,,,,,
player,201009260sea,sdg,DaviCr00,rec_td,0,,,,,
player,201009260sea,sdg,DaviCr00,rec_long,49,,,,,
player,201009260sea,sdg,DaviCr00,fumbles,0,,,,,
player,201009260sea,sdg,DaviCr00,fumbles_lost,,,,,,
player,201009260sea,sdg,CrayPa00,pass_cmp,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_att,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_yds,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_td,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_int,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_sacked,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,CrayPa00,pass_long,0,,,,,
player,201009260sea,sdg,CrayPa00,pass_rating,,,,,,
player,201009260sea,sdg,CrayPa00,rush_att,0,,,,,
player,201009260sea,sdg,CrayPa00,rush_yds,0,,,,,
player,201009260sea,sdg,CrayPa00,rush_td,0,,,,,
player,201009260sea,sdg,CrayPa00,rush_long,0,,,,,
player,201009260sea,sdg,CrayPa00,targets,4,,,,,
player,201009260sea,sdg,CrayPa00,rec,3,,,,,
player,201009260sea,sdg,CrayPa00,rec_yds,57,,,,,
player,201009260sea,sdg,CrayPa00,rec_td,0,,,,,
player,201009260sea,sdg,CrayPa00,rec_long,23,,,,,
player,201009260sea,sdg,CrayPa00,fumbles,0,,,,,
player,201009260sea,sdg,CrayPa00,fumbles_lost,,,,,,
player,201009260sea,sdg,McMiRa01,pass_cmp,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_att,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_yds,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_td,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_int,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_sacked,,,,,,
player,201009260sea,sdg,McMiRa01,pass_sacked_yds,,,,,,
player,201009260sea,sdg,McMiRa01,pass_long,0,,,,,
player,201009260sea,sdg,McMiRa01,pass_rating,,,,,,
player,201009260sea,sdg,McMiRa01,rush_att,0,,,,,
player,201009260sea,sdg,McMiRa01,rush_yds,0,,,,,
player,201009260sea,sdg,McMiRa01,rush_td,0,,,,,
player,201009260sea,sdg,McMiRa01,rush_long,0,,,,,
player,201009260sea,sdg,McMiRa01,targets,1,,,,,
player,201009260sea,sdg,McMiRa01,rec,1,,,,,
player,201009260sea,sdg,McMiRa01,rec_yds,28,,,,,
player,201009260sea,sdg,McMiRa01,rec_td,0,,,,,
player,201009260sea,sdg,McMiRa01,rec_long,28,,,,,
player,201009260sea,sdg,McMiRa01,fumbles,0,,,,,
player,201009260sea,sdg,McMiRa01,fumbles_lost,,,,,,
player,201009260sea,sdg,HestJa00,pass_cmp,0,,,,,
player,201009260sea,sdg,HestJa00,pass_att,0,,,,,
player,201009260sea,sdg,HestJa00,pass_yds,0,,,,,
player,201009260sea,sdg,HestJa00,pass_td,0,,,,,
player,201009260sea,sdg,HestJa00,pass_int,0,,,,,
player,201009260sea,sdg,HestJa00,pass_sacked,,,,,,
player,201009260sea,sdg,HestJa00,pass_sacked_yds,,,,,,
player,201009260sea,sdg,HestJa00,pass_long,0,,,,,
player,201009260sea,sdg,HestJa00,pass_rating,,,,,,
player,201009260sea,sdg,HestJa00,rush_att,0,,,,,
player,201009260sea,sdg,HestJa00,rush_yds,0,,,,,
player,201009260sea,sdg,HestJa00,rush_td,0,,,,,
player,201009260sea,sdg,HestJa00,rush_long,0,,,,,
player,201009260sea,sdg,HestJa00,targets,3,,,,,
player,201009260sea,sdg,HestJa00,rec,1,,,,,
player,201009260sea,sdg,HestJa00,rec_yds,2,,,,,
player,201009260sea,sdg,HestJa00,rec_td,0,,,,,
player,201009260sea,sdg,HestJa00,rec_long,2,,,,,
player,201009260sea,sdg,HestJa00,fumbles,0,,,,,
player,201009260sea,sdg,HestJa00,fumbles_lost,,,,,,
player,201009260sea,sdg,NaanLe00,pass_cmp,0,,,,,
