game,2010,16,20101223,201012230pit,car,"Carolina Panthers",3,pit,"Pittsburgh Steelers",27
team,201012230pit,car,First Downs,7,,,,,,
team,201012230pit,pit,First Downs,22,,,,,,
team,201012230pit,car,Rush-Yds-TDs,22-74-0,,,,,,
team,201012230pit,pit,Rush-Yds-TDs,33-115-2,,,,,,
team,201012230pit,car,Cmp-Att-Yd-TD-INT,10-23-72-0-1,,,,,,
team,201012230pit,pit,Cmp-Att-Yd-TD-INT,22-32-320-1-0,,,,,,
team,201012230pit,car,Sacked-Yards,4-27,,,,,,
team,201012230pit,pit,Sacked-Yards,3-27,,,,,,
team,201012230pit,car,Net Pass Yards,45,,,,,,
team,201012230pit,pit,Net Pass Yards,293,,,,,,
team,201012230pit,car,Total Yards,119,,,,,,
team,201012230pit,pit,Total Yards,408,,,,,,
team,201012230pit,car,Fumbles-Lost,1-1,,,,,,
team,201012230pit,pit,Fumbles-Lost,2-2,,,,,,
team,201012230pit,car,Turnovers,2,,,,,,
team,201012230pit,pit,Turnovers,2,,,,,,
team,201012230pit,car,Penalties-Yards,6-62,,,,,,
team,201012230pit,pit,Penalties-Yards,4-40,,,,,,
team,201012230pit,car,Third Down Conv.,3-13,,,,,,
team,201012230pit,pit,Third Down Conv.,4-12,,,,,,
team,201012230pit,car,Fourth Down Conv.,0-1,,,,,,
team,201012230pit,pit,Fourth Down Conv.,0-1,,,,,,
team,201012230pit,car,Time of Possession,24:36,,,,,,
team,201012230pit,pit,Time of Possession,35:24,,,,,,
player,201012230pit,car,ClauJi00,pass_cmp,10,,,,,
player,201012230pit,car,ClauJi00,pass_att,23,,,,,
player,201012230pit,car,ClauJi00,pass_yds,72,,,,,
player,201012230pit,car,ClauJi00,pass_td,0,,,,,
player,201012230pit,car,ClauJi00,pass_int,1,,,,,
player,201012230pit,car,ClauJi00,pass_sacked,4,,,,,
player,201012230pit,car,ClauJi00,pass_sacked_yds,27,,,,,
player,201012230pit,car,ClauJi00,pass_long,15,,,,,
player,201012230pit,car,ClauJi00,pass_rating,33.2,,,,,
player,201012230pit,car,ClauJi00,rush_att,0,,,,,
player,201012230pit,car,ClauJi00,rush_yds,0,,,,,
player,201012230pit,car,ClauJi00,rush_td,0,,,,,
player,201012230pit,car,ClauJi00,rush_long,0,,,,,
player,201012230pit,car,ClauJi00,targets,0,,,,,
player,201012230pit,car,ClauJi00,rec,0,,,,,
player,201012230pit,car,ClauJi00,rec_yds,0,,,,,
player,201012230pit,car,ClauJi00,rec_td,0,,,,,
player,201012230pit,car,ClauJi00,rec_long,0,,,,,
player,201012230pit,car,ClauJi00,fumbles,0,,,,,
player,201012230pit,car,ClauJi00,fumbles_lost,,,,,,
player,201012230pit,car,StewJo00,pass_cmp,0,,,,,
player,201012230pit,car,StewJo00,pass_att,0,,,,,
player,201012230pit,car,StewJo00,pass_yds,0,,,,,
player,201012230pit,car,StewJo00,pass_td,0,,,,,
player,201012230pit,car,StewJo00,pass_int,0,,,,,
player,201012230pit,car,StewJo00,pass_sacked,,,,,,
player,201012230pit,car,StewJo00,pass_sacked_yds,,,,,,
player,201012230pit,car,StewJo00,pass_long,0,,,,,
player,201012230pit,car,StewJo00,pass_rating,,,,,,
player,201012230pit,car,StewJo00,rush_att,18,,,,,
player,201012230pit,car,StewJo00,rush_yds,71,,,,,
player,201012230pit,car,StewJo00,rush_td,0,,,,,
player,201012230pit,car,StewJo00,rush_long,12,,,,,
player,201012230pit,car,StewJo00,targets,1,,,,,
player,201012230pit,car,StewJo00,rec,1,,,,,
player,201012230pit,car,StewJo00,rec_yds,9,,,,,
player,201012230pit,car,StewJo00,rec_td,0,,,,,
player,201012230pit,car,StewJo00,rec_long,9,,,,,
player,201012230pit,car,StewJo00,fumbles,0,,,,,
player,201012230pit,car,StewJo00,fumbles_lost,,,,,,
player,201012230pit,car,GoodMi00,pass_cmp,0,,,,,
player,201012230pit,car,GoodMi00,pass_att,0,,,,,
player,201012230pit,car,GoodMi00,pass_yds,0,,,,,
player,201012230pit,car,GoodMi00,pass_td,0,,,,,
player,201012230pit,car,GoodMi00,pass_int,0,,,,,
player,201012230pit,car,GoodMi00,pass_sacked,,,,,,
player,201012230pit,car,GoodMi00,pass_sacked_yds,,,,,,
player,201012230pit,car,GoodMi00,pass_long,0,,,,,
player,201012230pit,car,GoodMi00,pass_rating,,,,,,
player,201012230pit,car,GoodMi00,rush_att,4,,,,,
player,201012230pit,car,GoodMi00,rush_yds,3,,,,,
player,201012230pit,car,GoodMi00,rush_td,0,,,,,
player,201012230pit,car,GoodMi00,rush_long,4,,,,,
player,201012230pit,car,GoodMi00,targets,2,,,,,
player,201012230pit,car,GoodMi00,rec,2,,,,,
player,201012230pit,car,GoodMi00,rec_yds,23,,,,,
player,201012230pit,car,GoodMi00,rec_td,0,,,,,
player,201012230pit,car,GoodMi00,rec_long,15,,,,,
player,201012230pit,car,GoodMi00,fumbles,1,,,,,
player,201012230pit,car,GoodMi00,fumbles_lost,1,,,,,
player,201012230pit,car,SmitSt01,pass_cmp,0,,,,,
player,201012230pit,car,SmitSt01,pass_att,0,,,,,
player,201012230pit,car,SmitSt01,pass_yds,0,,,,,
player,201012230pit,car,SmitSt01,pass_td,0,,,,,
player,201012230pit,car,SmitSt01,pass_int,0,,,,,
player,201012230pit,car,SmitSt01,pass_sacked,,,,,,
player,201012230pit,car,SmitSt01,pass_sacked_yds,,,,,,
player,201012230pit,car,SmitSt01,pass_long,0,,,,,
player,201012230pit,car,SmitSt01,pass_rating,,,,,,
player,201012230pit,car,SmitSt01,rush_att,0,,,,,
player,201012230pit,car,SmitSt01,rush_yds,0,,,,,
player,201012230pit,car,SmitSt01,rush_td,0,,,,,
player,201012230pit,car,SmitSt01,rush_long,0,,,,,
player,201012230pit,car,SmitSt01,targets,8,,,,,
player,201012230pit,car,SmitSt01,rec,3,,,,,
player,201012230pit,car,SmitSt01,rec_yds,17,,,,,
player,201012230pit,car,SmitSt01,rec_td,0,,,,,
player,201012230pit,car,SmitSt01,rec_long,7,,,,,
player,201012230pit,car,SmitSt01,fumbles,0,,,,,
player,201012230pit,car,SmitSt01,fumbles_lost,,,,,,
player,201012230pit,car,KingJe00,pass_cmp,0,,,,,
player,201012230pit,car,KingJe00,pass_att,0,,,,,
player,201012230pit,car,KingJe00,pass_yds,0,,,,,
player,201012230pit,car,KingJe00,pass_td,0,,,,,
player,201012230pit,car,KingJe00,pass_int,0,,,,,
player,201012230pit,car,KingJe00,pass_sacked,,,,,,
player,201012230pit,car,KingJe00,pass_sacked_yds,,,,,,
player,201012230pit,car,KingJe00,pass_long,0,,,,,
player,201012230pit,car,KingJe00,pass_rating,,,,,,
player,201012230pit,car,KingJe00,rush_att,0,,,,,
player,201012230pit,car,KingJe00,rush_yds,0,,,,,
player,201012230pit,car,KingJe00,rush_td,0,,,,,
player,201012230pit,car,KingJe00,rush_long,0,,,,,
player,201012230pit,car,KingJe00,targets,2,,,,,
player,201012230pit,car,KingJe00,rec,2,,,,,
player,201012230pit,car,KingJe00,rec_yds,15,,,,,
player,201012230pit,car,KingJe00,rec_td,0,,,,,
