game,2010,8,20101031,201010310ram,car,"Carolina Panthers",10,ram,"St. Louis Rams",20
team,201010310ram,car,First Downs,14,,,,,,
team,201010310ram,ram,First Downs,15,,,,,,
team,201010310ram,car,Rush-Yds-TDs,17-25-0,,,,,,
team,201010310ram,ram,Rush-Yds-TDs,29-62-0,,,,,,
team,201010310ram,car,Cmp-Att-Yd-TD-INT,23-37-194-1-3,,,,,,
team,201010310ram,ram,Cmp-Att-Yd-TD-INT,25-32-191-2-0,,,,,,
team,201010310ram,car,Sacked-Yards,3-18,,,,,,
team,201010310ram,ram,Sacked-Yards,2-7,,,,,,
team,201010310ram,car,Net Pass Yards,176,,,,,,
team,201010310ram,ram,Net Pass Yards,184,,,,,,
team,201010310ram,car,Total Yards,201,,,,,,
team,201010310ram,ram,Total Yards,246,,,,,,
team,201010310ram,car,Fumbles-Lost,2-1,,,,,,
team,201010310ram,ram,Fumbles-Lost,1-0,,,,,,
team,201010310ram,car,Turnovers,4,,,,,,
team,201010310ram,ram,Turnovers,0,,,,,,
team,201010310ram,car,Penalties-Yards,6-30,,,,,,
team,201010310ram,ram,Penalties-Yards,7-65,,,,,,
team,201010310ram,car,Third Down Conv.,7-14,,,,,,
team,201010310ram,ram,Third Down Conv.,6-15,,,,,,
team,201010310ram,car,Fourth Down Conv.,0-0,,,,,,
team,201010310ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201010310ram,car,Time of Possession,23:32,,,,,,
team,201010310ram,ram,Time of Possession,36:28,,,,,,
player,201010310ram,car,MoorMa01,pass_cmp,23,,,,,
player,201010310ram,car,MoorMa01,pass_att,37,,,,,
player,201010310ram,car,MoorMa01,pass_yds,194,,,,,
player,201010310ram,car,MoorMa01,pass_td,1,,,,,
player,201010310ram,car,MoorMa01,pass_int,3,,,,,
player,201010310ram,car,MoorMa01,pass_sacked,3,,,,,
player,201010310ram,car,MoorMa01,pass_sacked_yds,18,,,,,
player,201010310ram,car,MoorMa01,pass_long,20,,,,,
player,201010310ram,car,MoorMa01,pass_rating,51.0,,,,,
player,201010310ram,car,MoorMa01,rush_att,1,,,,,
player,201010310ram,car,MoorMa01,rush_yds,5,,,,,
player,201010310ram,car,MoorMa01,rush_td,0,,,,,
player,201010310ram,car,MoorMa01,rush_long,5,,,,,
player,201010310ram,car,MoorMa01,targets,0,,,,,
player,201010310ram,car,MoorMa01,rec,0,,,,,
player,201010310ram,car,MoorMa01,rec_yds,0,,,,,
player,201010310ram,car,MoorMa01,rec_td,0,,,,,
player,201010310ram,car,MoorMa01,rec_long,0,,,,,
player,201010310ram,car,MoorMa01,fumbles,1,,,,,
player,201010310ram,car,MoorMa01,fumbles_lost,0,,,,,
player,201010310ram,car,StewJo00,pass_cmp,0,,,,,
player,201010310ram,car,StewJo00,pass_att,0,,,,,
player,201010310ram,car,StewJo00,pass_yds,0,,,,,
player,201010310ram,car,StewJo00,pass_td,0,,,,,
player,201010310ram,car,StewJo00,pass_int,0,,,,,
player,201010310ram,car,StewJo00,pass_sacked,,,,,,
player,201010310ram,car,StewJo00,pass_sacked_yds,,,,,,
player,201010310ram,car,StewJo00,pass_long,0,,,,,
player,201010310ram,car,StewJo00,pass_rating,,,,,,
player,201010310ram,car,StewJo00,rush_att,14,,,,,
player,201010310ram,car,StewJo00,rush_yds,30,,,,,
player,201010310ram,car,StewJo00,rush_td,0,,,,,
player,201010310ram,car,StewJo00,rush_long,8,,,,,
