game,2010,11,20101118,201011180mia,chi,"Chicago Bears",16,mia,"Miami Dolphins",0
player,201011180mia,chi,TaylCh01,rec_yds,0,,,,,
player,201011180mia,chi,TaylCh01,rec_td,0,,,,,
player,201011180mia,chi,TaylCh01,rec_long,0,,,,,
player,201011180mia,chi,TaylCh01,fumbles,0,,,,,
player,201011180mia,chi,TaylCh01,fumbles_lost,,,,,,
player,201011180mia,chi,KnoxJo00,pass_cmp,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_att,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_yds,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_td,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_int,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_sacked,,,,,,
player,201011180mia,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201011180mia,chi,KnoxJo00,pass_long,0,,,,,
player,201011180mia,chi,KnoxJo00,pass_rating,,,,,,
player,201011180mia,chi,KnoxJo00,rush_att,0,,,,,
player,201011180mia,chi,KnoxJo00,rush_yds,0,,,,,
player,201011180mia,chi,KnoxJo00,rush_td,0,,,,,
player,201011180mia,chi,KnoxJo00,rush_long,0,,,,,
player,201011180mia,chi,KnoxJo00,targets,8,,,,,
player,201011180mia,chi,KnoxJo00,rec,5,,,,,
player,201011180mia,chi,KnoxJo00,rec_yds,55,,,,,
player,201011180mia,chi,KnoxJo00,rec_td,0,,,,,
player,201011180mia,chi,KnoxJo00,rec_long,16,,,,,
player,201011180mia,chi,KnoxJo00,fumbles,0,,,,,
player,201011180mia,chi,KnoxJo00,fumbles_lost,,,,,,
player,201011180mia,chi,HestDe99,pass_cmp,0,,,,,
player,201011180mia,chi,HestDe99,pass_att,0,,,,,
player,201011180mia,chi,HestDe99,pass_yds,0,,,,,
player,201011180mia,chi,HestDe99,pass_td,0,,,,,
player,201011180mia,chi,HestDe99,pass_int,0,,,,,
player,201011180mia,chi,HestDe99,pass_sacked,,,,,,
player,201011180mia,chi,HestDe99,pass_sacked_yds,,,,,,
player,201011180mia,chi,HestDe99,pass_long,0,,,,,
player,201011180mia,chi,HestDe99,pass_rating,,,,,,
player,201011180mia,chi,HestDe99,rush_att,0,,,,,
player,201011180mia,chi,HestDe99,rush_yds,0,,,,,
player,201011180mia,chi,HestDe99,rush_td,0,,,,,
player,201011180mia,chi,HestDe99,rush_long,0,,,,,
player,201011180mia,chi,HestDe99,targets,5,,,,,
player,201011180mia,chi,HestDe99,rec,4,,,,,
player,201011180mia,chi,HestDe99,rec_yds,41,,,,,
player,201011180mia,chi,HestDe99,rec_td,0,,,,,
player,201011180mia,chi,HestDe99,rec_long,14,,,,,
player,201011180mia,chi,HestDe99,fumbles,0,,,,,
player,201011180mia,chi,HestDe99,fumbles_lost,,,,,,
player,201011180mia,chi,OlseGr00,pass_cmp,0,,,,,
player,201011180mia,chi,OlseGr00,pass_att,0,,,,,
player,201011180mia,chi,OlseGr00,pass_yds,0,,,,,
player,201011180mia,chi,OlseGr00,pass_td,0,,,,,
player,201011180mia,chi,OlseGr00,pass_int,0,,,,,
player,201011180mia,chi,OlseGr00,pass_sacked,,,,,,
player,201011180mia,chi,OlseGr00,pass_sacked_yds,,,,,,
player,201011180mia,chi,OlseGr00,pass_long,0,,,,,
player,201011180mia,chi,OlseGr00,pass_rating,,,,,,
player,201011180mia,chi,OlseGr00,rush_att,0,,,,,
player,201011180mia,chi,OlseGr00,rush_yds,0,,,,,
player,201011180mia,chi,OlseGr00,rush_td,0,,,,,
player,201011180mia,chi,OlseGr00,rush_long,0,,,,,
player,201011180mia,chi,OlseGr00,targets,6,,,,,
player,201011180mia,chi,OlseGr00,rec,4,,,,,
