game,2010,17,20110102,201101020rav,cin,"Cincinnati Bengals",7,rav,"Baltimore Ravens",13
team,201101020rav,cin,First Downs,20,,,,,,
team,201101020rav,rav,First Downs,10,,,,,,
team,201101020rav,cin,Rush-Yds-TDs,31-90-0,,,,,,
team,201101020rav,rav,Rush-Yds-TDs,27-98-1,,,,,,
team,201101020rav,cin,Cmp-Att-Yd-TD-INT,32-45-305-1-2,,,,,,
team,201101020rav,rav,Cmp-Att-Yd-TD-INT,14-19-125-0-1,,,,,,
team,201101020rav,cin,Sacked-Yards,0-0,,,,,,
team,201101020rav,rav,Sacked-Yards,4-24,,,,,,
team,201101020rav,cin,Net Pass Yards,305,,,,,,
team,201101020rav,rav,Net Pass Yards,101,,,,,,
team,201101020rav,cin,Total Yards,395,,,,,,
team,201101020rav,rav,Total Yards,199,,,,,,
team,201101020rav,cin,Fumbles-Lost,4-3,,,,,,
team,201101020rav,rav,Fumbles-Lost,1-1,,,,,,
team,201101020rav,cin,Turnovers,5,,,,,,
team,201101020rav,rav,Turnovers,2,,,,,,
team,201101020rav,cin,Penalties-Yards,4-49,,,,,,
team,201101020rav,rav,Penalties-Yards,7-45,,,,,,
team,201101020rav,cin,Third Down Conv.,7-17,,,,,,
team,201101020rav,rav,Third Down Conv.,2-11,,,,,,
team,201101020rav,cin,Fourth Down Conv.,0-2,,,,,,
team,201101020rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201101020rav,cin,Time of Possession,34:42,,,,,,
team,201101020rav,rav,Time of Possession,25:18,,,,,,
player,201101020rav,cin,PalmCa00,pass_cmp,32,,,,,
player,201101020rav,cin,PalmCa00,pass_att,45,,,,,
player,201101020rav,cin,PalmCa00,pass_yds,305,,,,,
player,201101020rav,cin,PalmCa00,pass_td,1,,,,,
player,201101020rav,cin,PalmCa00,pass_int,2,,,,,
player,201101020rav,cin,PalmCa00,pass_sacked,0,,,,,
player,201101020rav,cin,PalmCa00,pass_sacked_yds,0,,,,,
player,201101020rav,cin,PalmCa00,pass_long,39,,,,,
player,201101020rav,cin,PalmCa00,pass_rating,78.5,,,,,
player,201101020rav,cin,PalmCa00,rush_att,2,,,,,
player,201101020rav,cin,PalmCa00,rush_yds,3,,,,,
player,201101020rav,cin,PalmCa00,rush_td,0,,,,,
player,201101020rav,cin,PalmCa00,rush_long,3,,,,,
player,201101020rav,cin,PalmCa00,targets,0,,,,,
player,201101020rav,cin,PalmCa00,rec,0,,,,,
player,201101020rav,cin,PalmCa00,rec_yds,0,,,,,
