game,2010,10,20101111,201011110atl,rav,"Baltimore Ravens",21,atl,"Atlanta Falcons",26
team,201011110atl,rav,First Downs,20,,,,,,
team,201011110atl,atl,First Downs,23,,,,,,
team,201011110atl,rav,Rush-Yds-TDs,21-116-0,,,,,,
team,201011110atl,atl,Rush-Yds-TDs,23-60-0,,,,,,
team,201011110atl,rav,Cmp-Att-Yd-TD-INT,22-34-215-3-1,,,,,,
team,201011110atl,atl,Cmp-Att-Yd-TD-INT,32-50-316-3-0,,,,,,
team,201011110atl,rav,Sacked-Yards,2-11,,,,,,
team,201011110atl,atl,Sacked-Yards,2-14,,,,,,
team,201011110atl,rav,Net Pass Yards,204,,,,,,
team,201011110atl,atl,Net Pass Yards,302,,,,,,
team,201011110atl,rav,Total Yards,320,,,,,,
team,201011110atl,atl,Total Yards,362,,,,,,
team,201011110atl,rav,Fumbles-Lost,2-1,,,,,,
team,201011110atl,atl,Fumbles-Lost,0-0,,,,,,
team,201011110atl,rav,Turnovers,2,,,,,,
team,201011110atl,atl,Turnovers,0,,,,,,
team,201011110atl,rav,Penalties-Yards,6-51,,,,,,
team,201011110atl,atl,Penalties-Yards,1-5,,,,,,
team,201011110atl,rav,Third Down Conv.,6-11,,,,,,
team,201011110atl,atl,Third Down Conv.,12-20,,,,,,
team,201011110atl,rav,Fourth Down Conv.,0-0,,,,,,
team,201011110atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201011110atl,rav,Time of Possession,24:51,,,,,,
team,201011110atl,atl,Time of Possession,35:09,,,,,,
player,201011110atl,rav,FlacJo00,pass_cmp,22,,,,,
player,201011110atl,rav,FlacJo00,pass_att,34,,,,,
player,201011110atl,rav,FlacJo00,pass_yds,215,,,,,
player,201011110atl,rav,FlacJo00,pass_td,3,,,,,
player,201011110atl,rav,FlacJo00,pass_int,1,,,,,
player,201011110atl,rav,FlacJo00,pass_sacked,2,,,,,
player,201011110atl,rav,FlacJo00,pass_sacked_yds,11,,,,,
player,201011110atl,rav,FlacJo00,pass_long,24,,,,,
player,201011110atl,rav,FlacJo00,pass_rating,99.5,,,,,
player,201011110atl,rav,FlacJo00,rush_att,3,,,,,
player,201011110atl,rav,FlacJo00,rush_yds,13,,,,,
player,201011110atl,rav,FlacJo00,rush_td,0,,,,,
player,201011110atl,rav,FlacJo00,rush_long,13,,,,,
player,201011110atl,rav,FlacJo00,targets,0,,,,,
player,201011110atl,rav,FlacJo00,rec,0,,,,,
player,201011110atl,rav,FlacJo00,rec_yds,0,,,,,
player,201011110atl,rav,FlacJo00,rec_td,0,,,,,
player,201011110atl,rav,FlacJo00,rec_long,0,,,,,
player,201011110atl,rav,FlacJo00,fumbles,0,,,,,
player,201011110atl,rav,FlacJo00,fumbles_lost,,,,,,
player,201011110atl,rav,RiceRa00,pass_cmp,0,,,,,
player,201011110atl,rav,RiceRa00,pass_att,0,,,,,
player,201011110atl,rav,RiceRa00,pass_yds,0,,,,,
player,201011110atl,rav,RiceRa00,pass_td,0,,,,,
player,201011110atl,rav,RiceRa00,pass_int,0,,,,,
player,201011110atl,rav,RiceRa00,pass_sacked,,,,,,
player,201011110atl,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201011110atl,rav,RiceRa00,pass_long,0,,,,,
player,201011110atl,rav,RiceRa00,pass_rating,,,,,,
player,201011110atl,rav,RiceRa00,rush_att,12,,,,,
player,201011110atl,rav,RiceRa00,rush_yds,59,,,,,
player,201011110atl,rav,RiceRa00,rush_td,0,,,,,
player,201011110atl,rav,RiceRa00,rush_long,13,,,,,
player,201011110atl,rav,RiceRa00,targets,5,,,,,
player,201011110atl,rav,RiceRa00,rec,3,,,,,
player,201011110atl,rav,RiceRa00,rec_yds,43,,,,,
player,201011110atl,rav,RiceRa00,rec_td,0,,,,,
player,201011110atl,rav,RiceRa00,rec_long,24,,,,,
player,201011110atl,rav,RiceRa00,fumbles,0,,,,,
player,201011110atl,rav,RiceRa00,fumbles_lost,,,,,,
player,201011110atl,rav,StalDo00,pass_cmp,0,,,,,
player,201011110atl,rav,StalDo00,pass_att,0,,,,,
player,201011110atl,rav,StalDo00,pass_yds,0,,,,,
player,201011110atl,rav,StalDo00,pass_td,0,,,,,
player,201011110atl,rav,StalDo00,pass_int,0,,,,,
player,201011110atl,rav,StalDo00,pass_sacked,,,,,,
player,201011110atl,rav,StalDo00,pass_sacked_yds,,,,,,
player,201011110atl,rav,StalDo00,pass_long,0,,,,,
player,201011110atl,rav,StalDo00,pass_rating,,,,,,
player,201011110atl,rav,StalDo00,rush_att,2,,,,,
player,201011110atl,rav,StalDo00,rush_yds,34,,,,,
player,201011110atl,rav,StalDo00,rush_td,0,,,,,
player,201011110atl,rav,StalDo00,rush_long,19,,,,,
player,201011110atl,rav,StalDo00,targets,0,,,,,
player,201011110atl,rav,StalDo00,rec,0,,,,,
player,201011110atl,rav,StalDo00,rec_yds,0,,,,,
player,201011110atl,rav,StalDo00,rec_td,0,,,,,
player,201011110atl,rav,StalDo00,rec_long,0,,,,,
player,201011110atl,rav,StalDo00,fumbles,0,,,,,
player,201011110atl,rav,StalDo00,fumbles_lost,,,,,,
player,201011110atl,rav,McGaWi00,pass_cmp,0,,,,,
player,201011110atl,rav,McGaWi00,pass_att,0,,,,,
player,201011110atl,rav,McGaWi00,pass_yds,0,,,,,
player,201011110atl,rav,McGaWi00,pass_td,0,,,,,
player,201011110atl,rav,McGaWi00,pass_int,0,,,,,
player,201011110atl,rav,McGaWi00,pass_sacked,,,,,,
player,201011110atl,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201011110atl,rav,McGaWi00,pass_long,0,,,,,
player,201011110atl,rav,McGaWi00,pass_rating,,,,,,
player,201011110atl,rav,McGaWi00,rush_att,3,,,,,
player,201011110atl,rav,McGaWi00,rush_yds,8,,,,,
player,201011110atl,rav,McGaWi00,rush_td,0,,,,,
player,201011110atl,rav,McGaWi00,rush_long,5,,,,,
player,201011110atl,rav,McGaWi00,targets,1,,,,,
player,201011110atl,rav,McGaWi00,rec,1,,,,,
player,201011110atl,rav,McGaWi00,rec_yds,-4,,,,,
player,201011110atl,rav,McGaWi00,rec_td,0,,,,,
player,201011110atl,rav,McGaWi00,rec_long,-4,,,,,
player,201011110atl,rav,McGaWi00,fumbles,0,,,,,
player,201011110atl,rav,McGaWi00,fumbles_lost,,,,,,
player,201011110atl,rav,McClLe00,pass_cmp,0,,,,,
player,201011110atl,rav,McClLe00,pass_att,0,,,,,
player,201011110atl,rav,McClLe00,pass_yds,0,,,,,
player,201011110atl,rav,McClLe00,pass_td,0,,,,,
player,201011110atl,rav,McClLe00,pass_int,0,,,,,
player,201011110atl,rav,McClLe00,pass_sacked,,,,,,
player,201011110atl,rav,McClLe00,pass_sacked_yds,,,,,,
player,201011110atl,rav,McClLe00,pass_long,0,,,,,
player,201011110atl,rav,McClLe00,pass_rating,,,,,,
player,201011110atl,rav,McClLe00,rush_att,1,,,,,
player,201011110atl,rav,McClLe00,rush_yds,2,,,,,
player,201011110atl,rav,McClLe00,rush_td,0,,,,,
player,201011110atl,rav,McClLe00,rush_long,2,,,,,
player,201011110atl,rav,McClLe00,targets,2,,,,,
player,201011110atl,rav,McClLe00,rec,2,,,,,
player,201011110atl,rav,McClLe00,rec_yds,3,,,,,
player,201011110atl,rav,McClLe00,rec_td,0,,,,,
player,201011110atl,rav,McClLe00,rec_long,4,,,,,
player,201011110atl,rav,McClLe00,fumbles,0,,,,,
player,201011110atl,rav,McClLe00,fumbles_lost,,,,,,
player,201011110atl,rav,HeapTo00,pass_cmp,0,,,,,
player,201011110atl,rav,HeapTo00,pass_att,0,,,,,
player,201011110atl,rav,HeapTo00,pass_yds,0,,,,,
player,201011110atl,rav,HeapTo00,pass_td,0,,,,,
player,201011110atl,rav,HeapTo00,pass_int,0,,,,,
player,201011110atl,rav,HeapTo00,pass_sacked,,,,,,
player,201011110atl,rav,HeapTo00,pass_sacked_yds,,,,,,
player,201011110atl,rav,HeapTo00,pass_long,0,,,,,
player,201011110atl,rav,HeapTo00,pass_rating,,,,,,
player,201011110atl,rav,HeapTo00,rush_att,0,,,,,
player,201011110atl,rav,HeapTo00,rush_yds,0,,,,,
player,201011110atl,rav,HeapTo00,rush_td,0,,,,,
player,201011110atl,rav,HeapTo00,rush_long,0,,,,,
player,201011110atl,rav,HeapTo00,targets,6,,,,,
player,201011110atl,rav,HeapTo00,rec,4,,,,,
player,201011110atl,rav,HeapTo00,rec_yds,57,,,,,
player,201011110atl,rav,HeapTo00,rec_td,1,,,,,
player,201011110atl,rav,HeapTo00,rec_long,18,,,,,
player,201011110atl,rav,HeapTo00,fumbles,0,,,,,
player,201011110atl,rav,HeapTo00,fumbles_lost,,,,,,
player,201011110atl,rav,BoldAn00,pass_cmp,0,,,,,
player,201011110atl,rav,BoldAn00,pass_att,0,,,,,
player,201011110atl,rav,BoldAn00,pass_yds,0,,,,,
player,201011110atl,rav,BoldAn00,pass_td,0,,,,,
player,201011110atl,rav,BoldAn00,pass_int,0,,,,,
player,201011110atl,rav,BoldAn00,pass_sacked,0,,,,,
player,201011110atl,rav,BoldAn00,pass_sacked_yds,,,,,,
player,201011110atl,rav,BoldAn00,pass_long,0,,,,,
player,201011110atl,rav,BoldAn00,pass_rating,,,,,,
player,201011110atl,rav,BoldAn00,rush_att,0,,,,,
player,201011110atl,rav,BoldAn00,rush_yds,0,,,,,
player,201011110atl,rav,BoldAn00,rush_td,0,,,,,
player,201011110atl,rav,BoldAn00,rush_long,0,,,,,
player,201011110atl,rav,BoldAn00,targets,7,,,,,
player,201011110atl,rav,BoldAn00,rec,5,,,,,
player,201011110atl,rav,BoldAn00,rec_yds,50,,,,,
player,201011110atl,rav,BoldAn00,rec_td,1,,,,,
player,201011110atl,rav,BoldAn00,rec_long,16,,,,,
player,201011110atl,rav,BoldAn00,fumbles,0,,,,,
player,201011110atl,rav,BoldAn00,fumbles_lost,,,,,,
player,201011110atl,rav,MasoDe00,pass_cmp,0,,,,,
player,201011110atl,rav,MasoDe00,pass_att,0,,,,,
player,201011110atl,rav,MasoDe00,pass_yds,0,,,,,
player,201011110atl,rav,MasoDe00,pass_td,0,,,,,
player,201011110atl,rav,MasoDe00,pass_int,0,,,,,
player,201011110atl,rav,MasoDe00,pass_sacked,,,,,,
player,201011110atl,rav,MasoDe00,pass_sacked_yds,,,,,,
player,201011110atl,rav,MasoDe00,pass_long,0,,,,,
player,201011110atl,rav,MasoDe00,pass_rating,,,,,,
player,201011110atl,rav,MasoDe00,rush_att,0,,,,,
player,201011110atl,rav,MasoDe00,rush_yds,0,,,,,
player,201011110atl,rav,MasoDe00,rush_td,0,,,,,
player,201011110atl,rav,MasoDe00,rush_long,0,,,,,
player,201011110atl,rav,MasoDe00,targets,6,,,,,
player,201011110atl,rav,MasoDe00,rec,4,,,,,
player,201011110atl,rav,MasoDe00,rec_yds,48,,,,,
player,201011110atl,rav,MasoDe00,rec_td,1,,,,,
player,201011110atl,rav,MasoDe00,rec_long,22,,,,,
player,201011110atl,rav,MasoDe00,fumbles,0,,,,,
player,201011110atl,rav,MasoDe00,fumbles_lost,,,,,,
player,201011110atl,rav,HousTJ00,pass_cmp,0,,,,,
