game,2010,2,20100919,201009190min,mia,"Miami Dolphins",14,min,"Minnesota Vikings",10
team,201009190min,mia,First Downs,12,,,,,,
team,201009190min,min,First Downs,22,,,,,,
team,201009190min,mia,Rush-Yds-TDs,29-120-0,,,,,,
team,201009190min,min,Rush-Yds-TDs,33-156-1,,,,,,
team,201009190min,mia,Cmp-Att-Yd-TD-INT,9-15-114-1-0,,,,,,
team,201009190min,min,Cmp-Att-Yd-TD-INT,22-36-225-0-3,,,,,,
team,201009190min,mia,Sacked-Yards,2-8,,,,,,
team,201009190min,min,Sacked-Yards,3-17,,,,,,
team,201009190min,mia,Net Pass Yards,106,,,,,,
team,201009190min,min,Net Pass Yards,208,,,,,,
team,201009190min,mia,Total Yards,226,,,,,,
team,201009190min,min,Total Yards,364,,,,,,
team,201009190min,mia,Fumbles-Lost,2-2,,,,,,
team,201009190min,min,Fumbles-Lost,2-1,,,,,,
team,201009190min,mia,Turnovers,2,,,,,,
team,201009190min,min,Turnovers,4,,,,,,
team,201009190min,mia,Penalties-Yards,2-15,,,,,,
team,201009190min,min,Penalties-Yards,7-44,,,,,,
team,201009190min,mia,Third Down Conv.,5-11,,,,,,
team,201009190min,min,Third Down Conv.,5-14,,,,,,
team,201009190min,mia,Fourth Down Conv.,0-0,,,,,,
team,201009190min,min,Fourth Down Conv.,1-4,,,,,,
team,201009190min,mia,Time of Possession,24:12,,,,,,
team,201009190min,min,Time of Possession,35:48,,,,,,
player,201009190min,mia,HennCh01,pass_cmp,9,,,,,
player,201009190min,mia,HennCh01,pass_att,15,,,,,
player,201009190min,mia,HennCh01,pass_yds,114,,,,,
player,201009190min,mia,HennCh01,pass_td,1,,,,,
player,201009190min,mia,HennCh01,pass_int,0,,,,,
player,201009190min,mia,HennCh01,pass_sacked,2,,,,,
player,201009190min,mia,HennCh01,pass_sacked_yds,8,,,,,
player,201009190min,mia,HennCh01,pass_long,46,,,,,
player,201009190min,mia,HennCh01,pass_rating,106.0,,,,,
player,201009190min,mia,HennCh01,rush_att,2,,,,,
player,201009190min,mia,HennCh01,rush_yds,0,,,,,
player,201009190min,mia,HennCh01,rush_td,0,,,,,
player,201009190min,mia,HennCh01,rush_long,1,,,,,
player,201009190min,mia,HennCh01,targets,0,,,,,
player,201009190min,mia,HennCh01,rec,0,,,,,
player,201009190min,mia,HennCh01,rec_yds,0,,,,,
player,201009190min,mia,HennCh01,rec_td,0,,,,,
player,201009190min,mia,HennCh01,rec_long,0,,,,,
player,201009190min,mia,HennCh01,fumbles,0,,,,,
player,201009190min,mia,HennCh01,fumbles_lost,,,,,,
player,201009190min,mia,BrowRo05,pass_cmp,0,,,,,
player,201009190min,mia,BrowRo05,pass_att,0,,,,,
player,201009190min,mia,BrowRo05,pass_yds,0,,,,,
player,201009190min,mia,BrowRo05,pass_td,0,,,,,
player,201009190min,mia,BrowRo05,pass_int,0,,,,,
player,201009190min,mia,BrowRo05,pass_sacked,0,,,,,
player,201009190min,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201009190min,mia,BrowRo05,pass_long,0,,,,,
player,201009190min,mia,BrowRo05,pass_rating,,,,,,
player,201009190min,mia,BrowRo05,rush_att,13,,,,,
player,201009190min,mia,BrowRo05,rush_yds,80,,,,,
player,201009190min,mia,BrowRo05,rush_td,0,,,,,
player,201009190min,mia,BrowRo05,rush_long,51,,,,,
player,201009190min,mia,BrowRo05,targets,1,,,,,
player,201009190min,mia,BrowRo05,rec,1,,,,,
player,201009190min,mia,BrowRo05,rec_yds,3,,,,,
player,201009190min,mia,BrowRo05,rec_td,0,,,,,
player,201009190min,mia,BrowRo05,rec_long,3,,,,,
player,201009190min,mia,BrowRo05,fumbles,1,,,,,
player,201009190min,mia,BrowRo05,fumbles_lost,1,,,,,
player,201009190min,mia,WillRi00,pass_cmp,0,,,,,
player,201009190min,mia,WillRi00,pass_att,0,,,,,
player,201009190min,mia,WillRi00,pass_yds,0,,,,,
player,201009190min,mia,WillRi00,pass_td,0,,,,,
player,201009190min,mia,WillRi00,pass_int,0,,,,,
player,201009190min,mia,WillRi00,pass_sacked,,,,,,
player,201009190min,mia,WillRi00,pass_sacked_yds,,,,,,
player,201009190min,mia,WillRi00,pass_long,0,,,,,
player,201009190min,mia,WillRi00,pass_rating,,,,,,
player,201009190min,mia,WillRi00,rush_att,10,,,,,
player,201009190min,mia,WillRi00,rush_yds,30,,,,,
player,201009190min,mia,WillRi00,rush_td,0,,,,,
player,201009190min,mia,WillRi00,rush_long,8,,,,,
player,201009190min,mia,WillRi00,targets,0,,,,,
player,201009190min,mia,WillRi00,rec,0,,,,,
player,201009190min,mia,WillRi00,rec_yds,0,,,,,
player,201009190min,mia,WillRi00,rec_td,0,,,,,
player,201009190min,mia,WillRi00,rec_long,0,,,,,
player,201009190min,mia,WillRi00,fumbles,1,,,,,
player,201009190min,mia,WillRi00,fumbles_lost,1,,,,,
player,201009190min,mia,PoliLo00,pass_cmp,0,,,,,
player,201009190min,mia,PoliLo00,pass_att,0,,,,,
player,201009190min,mia,PoliLo00,pass_yds,0,,,,,
player,201009190min,mia,PoliLo00,pass_td,0,,,,,
player,201009190min,mia,PoliLo00,pass_int,0,,,,,
player,201009190min,mia,PoliLo00,pass_sacked,,,,,,
player,201009190min,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201009190min,mia,PoliLo00,pass_long,0,,,,,
player,201009190min,mia,PoliLo00,pass_rating,,,,,,
player,201009190min,mia,PoliLo00,rush_att,4,,,,,
player,201009190min,mia,PoliLo00,rush_yds,10,,,,,
