game,2010,1,20100912,201009120was,dal,"Dallas Cowboys",7,was,"Washington Redskins",13
team,201009120was,dal,First Downs,24,,,,,,
team,201009120was,was,First Downs,17,,,,,,
team,201009120was,dal,Rush-Yds-TDs,22-103-0,,,,,,
team,201009120was,was,Rush-Yds-TDs,23-89-0,,,,,,
team,201009120was,dal,Cmp-Att-Yd-TD-INT,31-48-282-1-0,,,,,,
team,201009120was,was,Cmp-Att-Yd-TD-INT,15-32-171-0-0,,,,,,
team,201009120was,dal,Sacked-Yards,1-5,,,,,,
team,201009120was,was,Sacked-Yards,1-10,,,,,,
team,201009120was,dal,Net Pass Yards,277,,,,,,
team,201009120was,was,Net Pass Yards,161,,,,,,
team,201009120was,dal,Total Yards,380,,,,,,
team,201009120was,was,Total Yards,250,,,,,,
team,201009120was,dal,Fumbles-Lost,1-1,,,,,,
team,201009120was,was,Fumbles-Lost,2-0,,,,,,
team,201009120was,dal,Turnovers,1,,,,,,
team,201009120was,was,Turnovers,0,,,,,,
team,201009120was,dal,Penalties-Yards,12-81,,,,,,
team,201009120was,was,Penalties-Yards,5-42,,,,,,
team,201009120was,dal,Third Down Conv.,5-13,,,,,,
team,201009120was,was,Third Down Conv.,3-13,,,,,,
team,201009120was,dal,Fourth Down Conv.,1-1,,,,,,
team,201009120was,was,Fourth Down Conv.,0-1,,,,,,
team,201009120was,dal,Time of Possession,34:03,,,,,,
team,201009120was,was,Time of Possession,25:57,,,,,,
player,201009120was,dal,RomoTo00,pass_cmp,31,,,,,
player,201009120was,dal,RomoTo00,pass_att,47,,,,,
player,201009120was,dal,RomoTo00,pass_yds,282,,,,,
player,201009120was,dal,RomoTo00,pass_td,1,,,,,
player,201009120was,dal,RomoTo00,pass_int,0,,,,,
player,201009120was,dal,RomoTo00,pass_sacked,1,,,,,
player,201009120was,dal,RomoTo00,pass_sacked_yds,5,,,,,
player,201009120was,dal,RomoTo00,pass_long,30,,,,,
player,201009120was,dal,RomoTo00,pass_rating,89.1,,,,,
player,201009120was,dal,RomoTo00,rush_att,0,,,,,
player,201009120was,dal,RomoTo00,rush_yds,0,,,,,
player,201009120was,dal,RomoTo00,rush_td,0,,,,,
player,201009120was,dal,RomoTo00,rush_long,0,,,,,
player,201009120was,dal,RomoTo00,targets,0,,,,,
player,201009120was,dal,RomoTo00,rec,0,,,,,
player,201009120was,dal,RomoTo00,rec_yds,0,,,,,
player,201009120was,dal,RomoTo00,rec_td,0,,,,,
player,201009120was,dal,RomoTo00,rec_long,0,,,,,
player,201009120was,dal,RomoTo00,fumbles,0,,,,,
player,201009120was,dal,RomoTo00,fumbles_lost,,,,,,
player,201009120was,dal,BarbMa01,pass_cmp,0,,,,,
player,201009120was,dal,BarbMa01,pass_att,1,,,,,
player,201009120was,dal,BarbMa01,pass_yds,0,,,,,
player,201009120was,dal,BarbMa01,pass_td,0,,,,,
player,201009120was,dal,BarbMa01,pass_int,0,,,,,
player,201009120was,dal,BarbMa01,pass_sacked,0,,,,,
