game,2010,13,20101202,201012020phi,htx,"Houston Texans",24,phi,"Philadelphia Eagles",34
team,201012020phi,htx,First Downs,27,,,,,,
team,201012020phi,phi,First Downs,22,,,,,,
team,201012020phi,htx,Rush-Yds-TDs,26-108-1,,,,,,
team,201012020phi,phi,Rush-Yds-TDs,29-115-2,,,,,,
team,201012020phi,htx,Cmp-Att-Yd-TD-INT,22-36-337-2-1,,,,,,
team,201012020phi,phi,Cmp-Att-Yd-TD-INT,22-33-302-2-1,,,,,,
team,201012020phi,htx,Sacked-Yards,2-14,,,,,,
team,201012020phi,phi,Sacked-Yards,1-1,,,,,,
team,201012020phi,htx,Net Pass Yards,323,,,,,,
team,201012020phi,phi,Net Pass Yards,301,,,,,,
team,201012020phi,htx,Total Yards,431,,,,,,
team,201012020phi,phi,Total Yards,416,,,,,,
team,201012020phi,htx,Fumbles-Lost,1-1,,,,,,
team,201012020phi,phi,Fumbles-Lost,2-0,,,,,,
team,201012020phi,htx,Turnovers,2,,,,,,
team,201012020phi,phi,Turnovers,1,,,,,,
team,201012020phi,htx,Penalties-Yards,4-25,,,,,,
team,201012020phi,phi,Penalties-Yards,11-85,,,,,,
team,201012020phi,htx,Third Down Conv.,6-10,,,,,,
team,201012020phi,phi,Third Down Conv.,6-12,,,,,,
team,201012020phi,htx,Fourth Down Conv.,0-1,,,,,,
team,201012020phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201012020phi,htx,Time of Possession,28:11,,,,,,
team,201012020phi,phi,Time of Possession,31:49,,,,,,
player,201012020phi,htx,SchaMa00,pass_cmp,22,,,,,
player,201012020phi,htx,SchaMa00,pass_att,36,,,,,
player,201012020phi,htx,SchaMa00,pass_yds,337,,,,,
player,201012020phi,htx,SchaMa00,pass_td,2,,,,,
player,201012020phi,htx,SchaMa00,pass_int,1,,,,,
player,201012020phi,htx,SchaMa00,pass_sacked,2,,,,,
player,201012020phi,htx,SchaMa00,pass_sacked_yds,14,,,,,
player,201012020phi,htx,SchaMa00,pass_long,42,,,,,
player,201012020phi,htx,SchaMa00,pass_rating,99.0,,,,,
player,201012020phi,htx,SchaMa00,rush_att,0,,,,,
player,201012020phi,htx,SchaMa00,rush_yds,0,,,,,
player,201012020phi,htx,SchaMa00,rush_td,0,,,,,
player,201012020phi,htx,SchaMa00,rush_long,0,,,,,
player,201012020phi,htx,SchaMa00,targets,0,,,,,
player,201012020phi,htx,SchaMa00,rec,0,,,,,
player,201012020phi,htx,SchaMa00,rec_yds,0,,,,,
player,201012020phi,htx,SchaMa00,rec_td,0,,,,,
player,201012020phi,htx,SchaMa00,rec_long,0,,,,,
player,201012020phi,htx,SchaMa00,fumbles,1,,,,,
player,201012020phi,htx,SchaMa00,fumbles_lost,1,,,,,
player,201012020phi,htx,FostAr00,pass_cmp,0,,,,,
player,201012020phi,htx,FostAr00,pass_att,0,,,,,
player,201012020phi,htx,FostAr00,pass_yds,0,,,,,
player,201012020phi,htx,FostAr00,pass_td,0,,,,,
player,201012020phi,htx,FostAr00,pass_int,0,,,,,
player,201012020phi,htx,FostAr00,pass_sacked,,,,,,
player,201012020phi,htx,FostAr00,pass_sacked_yds,,,,,,
player,201012020phi,htx,FostAr00,pass_long,0,,,,,
player,201012020phi,htx,FostAr00,pass_rating,,,,,,
player,201012020phi,htx,FostAr00,rush_att,22,,,,,
player,201012020phi,htx,FostAr00,rush_yds,83,,,,,
player,201012020phi,htx,FostAr00,rush_td,1,,,,,
player,201012020phi,htx,FostAr00,rush_long,29,,,,,
