game,2010,11,20101121,201011210nor,sea,"Seattle Seahawks",19,nor,"New Orleans Saints",34
player,201011210nor,sea,ObomBe00,pass_cmp,0,,,,,
player,201011210nor,sea,ObomBe00,pass_att,0,,,,,
player,201011210nor,sea,ObomBe00,pass_yds,0,,,,,
player,201011210nor,sea,ObomBe00,pass_td,0,,,,,
player,201011210nor,sea,ObomBe00,pass_int,0,,,,,
player,201011210nor,sea,ObomBe00,pass_sacked,,,,,,
player,201011210nor,sea,ObomBe00,pass_sacked_yds,,,,,,
player,201011210nor,sea,ObomBe00,pass_long,0,,,,,
player,201011210nor,sea,ObomBe00,pass_rating,,,,,,
player,201011210nor,sea,ObomBe00,rush_att,0,,,,,
player,201011210nor,sea,ObomBe00,rush_yds,0,,,,,
player,201011210nor,sea,ObomBe00,rush_td,0,,,,,
player,201011210nor,sea,ObomBe00,rush_long,0,,,,,
player,201011210nor,sea,ObomBe00,targets,6,,,,,
player,201011210nor,sea,ObomBe00,rec,5,,,,,
player,201011210nor,sea,ObomBe00,rec_yds,87,,,,,
player,201011210nor,sea,ObomBe00,rec_td,1,,,,,
player,201011210nor,sea,ObomBe00,rec_long,42,,,,,
player,201011210nor,sea,ObomBe00,fumbles,0,,,,,
player,201011210nor,sea,ObomBe00,fumbles_lost,,,,,,
player,201011210nor,sea,StokBr00,pass_cmp,0,,,,,
player,201011210nor,sea,StokBr00,pass_att,0,,,,,
player,201011210nor,sea,StokBr00,pass_yds,0,,,,,
player,201011210nor,sea,StokBr00,pass_td,0,,,,,
player,201011210nor,sea,StokBr00,pass_int,0,,,,,
player,201011210nor,sea,StokBr00,pass_sacked,,,,,,
player,201011210nor,sea,StokBr00,pass_sacked_yds,,,,,,
player,201011210nor,sea,StokBr00,pass_long,0,,,,,
player,201011210nor,sea,StokBr00,pass_rating,,,,,,
player,201011210nor,sea,StokBr00,rush_att,0,,,,,
player,201011210nor,sea,StokBr00,rush_yds,0,,,,,
player,201011210nor,sea,StokBr00,rush_td,0,,,,,
player,201011210nor,sea,StokBr00,rush_long,0,,,,,
player,201011210nor,sea,StokBr00,targets,6,,,,,
player,201011210nor,sea,StokBr00,rec,6,,,,,
player,201011210nor,sea,StokBr00,rec_yds,76,,,,,
player,201011210nor,sea,StokBr00,rec_td,0,,,,,
player,201011210nor,sea,StokBr00,rec_long,18,,,,,
player,201011210nor,sea,StokBr00,fumbles,0,,,,,
player,201011210nor,sea,StokBr00,fumbles_lost,,,,,,
player,201011210nor,sea,ButlDe00,pass_cmp,0,,,,,
player,201011210nor,sea,ButlDe00,pass_att,0,,,,,
player,201011210nor,sea,ButlDe00,pass_yds,0,,,,,
player,201011210nor,sea,ButlDe00,pass_td,0,,,,,
player,201011210nor,sea,ButlDe00,pass_int,0,,,,,
player,201011210nor,sea,ButlDe00,pass_sacked,,,,,,
player,201011210nor,sea,ButlDe00,pass_sacked_yds,,,,,,
player,201011210nor,sea,ButlDe00,pass_long,0,,,,,
player,201011210nor,sea,ButlDe00,pass_rating,,,,,,
player,201011210nor,sea,ButlDe00,rush_att,0,,,,,
player,201011210nor,sea,ButlDe00,rush_yds,0,,,,,
player,201011210nor,sea,ButlDe00,rush_td,0,,,,,
player,201011210nor,sea,ButlDe00,rush_long,0,,,,,
player,201011210nor,sea,ButlDe00,targets,4,,,,,
player,201011210nor,sea,ButlDe00,rec,2,,,,,
player,201011210nor,sea,ButlDe00,rec_yds,19,,,,,
player,201011210nor,sea,ButlDe00,rec_td,0,,,,,
player,201011210nor,sea,ButlDe00,rec_long,11,,,,,
player,201011210nor,sea,ButlDe00,fumbles,0,,,,,
player,201011210nor,sea,ButlDe00,fumbles_lost,,,,,,
player,201011210nor,sea,CarlJo00,pass_cmp,0,,,,,
player,201011210nor,sea,CarlJo00,pass_att,0,,,,,
player,201011210nor,sea,CarlJo00,pass_yds,0,,,,,
player,201011210nor,sea,CarlJo00,pass_td,0,,,,,
player,201011210nor,sea,CarlJo00,pass_int,0,,,,,
player,201011210nor,sea,CarlJo00,pass_sacked,,,,,,
player,201011210nor,sea,CarlJo00,pass_sacked_yds,,,,,,
player,201011210nor,sea,CarlJo00,pass_long,0,,,,,
player,201011210nor,sea,CarlJo00,pass_rating,,,,,,
player,201011210nor,sea,CarlJo00,rush_att,0,,,,,
player,201011210nor,sea,CarlJo00,rush_yds,0,,,,,
player,201011210nor,sea,CarlJo00,rush_td,0,,,,,
player,201011210nor,sea,CarlJo00,rush_long,0,,,,,
player,201011210nor,sea,CarlJo00,targets,4,,,,,
player,201011210nor,sea,CarlJo00,rec,3,,,,,
player,201011210nor,sea,CarlJo00,rec_yds,14,,,,,
player,201011210nor,sea,CarlJo00,rec_td,0,,,,,
player,201011210nor,sea,CarlJo00,rec_long,7,,,,,
player,201011210nor,sea,CarlJo00,fumbles,0,,,,,
