game,2010,6,20101017,201010170was,clt,"Indianapolis Colts",27,was,"Washington Redskins",24
team,201010170was,clt,First Downs,22,,,,,,
team,201010170was,was,First Downs,23,,,,,,
team,201010170was,clt,Rush-Yds-TDs,29-170-1,,,,,,
team,201010170was,was,Rush-Yds-TDs,24-113-2,,,,,,
team,201010170was,clt,Cmp-Att-Yd-TD-INT,25-38-307-2-0,,,,,,
team,201010170was,was,Cmp-Att-Yd-TD-INT,29-45-246-1-2,,,,,,
team,201010170was,clt,Sacked-Yards,1-8,,,,,,
team,201010170was,was,Sacked-Yards,3-24,,,,,,
team,201010170was,clt,Net Pass Yards,299,,,,,,
team,201010170was,was,Net Pass Yards,222,,,,,,
team,201010170was,clt,Total Yards,469,,,,,,
team,201010170was,was,Total Yards,335,,,,,,
team,201010170was,clt,Fumbles-Lost,4-3,,,,,,
team,201010170was,was,Fumbles-Lost,0-0,,,,,,
team,201010170was,clt,Turnovers,3,,,,,,
team,201010170was,was,Turnovers,2,,,,,,
team,201010170was,clt,Penalties-Yards,3-15,,,,,,
team,201010170was,was,Penalties-Yards,7-53,,,,,,
team,201010170was,clt,Third Down Conv.,3-10,,,,,,
team,201010170was,was,Third Down Conv.,4-13,,,,,,
team,201010170was,clt,Fourth Down Conv.,0-0,,,,,,
team,201010170was,was,Fourth Down Conv.,0-1,,,,,,
team,201010170was,clt,Time of Possession,27:30,,,,,,
team,201010170was,was,Time of Possession,32:30,,,,,,
player,201010170was,clt,MannPe00,pass_cmp,25,,,,,
player,201010170was,clt,MannPe00,pass_att,38,,,,,
player,201010170was,clt,MannPe00,pass_yds,307,,,,,
player,201010170was,clt,MannPe00,pass_td,2,,,,,
player,201010170was,clt,MannPe00,pass_int,0,,,,,
player,201010170was,clt,MannPe00,pass_sacked,1,,,,,
player,201010170was,clt,MannPe00,pass_sacked_yds,8,,,,,
player,201010170was,clt,MannPe00,pass_long,57,,,,,
player,201010170was,clt,MannPe00,pass_rating,108.1,,,,,
player,201010170was,clt,MannPe00,rush_att,1,,,,,
player,201010170was,clt,MannPe00,rush_yds,-1,,,,,
player,201010170was,clt,MannPe00,rush_td,0,,,,,
player,201010170was,clt,MannPe00,rush_long,-1,,,,,
player,201010170was,clt,MannPe00,targets,0,,,,,
player,201010170was,clt,MannPe00,rec,0,,,,,
player,201010170was,clt,MannPe00,rec_yds,0,,,,,
player,201010170was,clt,MannPe00,rec_td,0,,,,,
player,201010170was,clt,MannPe00,rec_long,0,,,,,
player,201010170was,clt,MannPe00,fumbles,1,,,,,
player,201010170was,clt,MannPe00,fumbles_lost,1,,,,,
player,201010170was,clt,AddaJo00,pass_cmp,0,,,,,
player,201010170was,clt,AddaJo00,pass_att,0,,,,,
player,201010170was,clt,AddaJo00,pass_yds,0,,,,,
player,201010170was,clt,AddaJo00,pass_td,0,,,,,
player,201010170was,clt,AddaJo00,pass_int,0,,,,,
player,201010170was,clt,AddaJo00,pass_sacked,,,,,,
player,201010170was,clt,AddaJo00,pass_sacked_yds,,,,,,
player,201010170was,clt,AddaJo00,pass_long,0,,,,,
player,201010170was,clt,AddaJo00,pass_rating,,,,,,
player,201010170was,clt,AddaJo00,rush_att,17,,,,,
player,201010170was,clt,AddaJo00,rush_yds,128,,,,,
player,201010170was,clt,AddaJo00,rush_td,1,,,,,
player,201010170was,clt,AddaJo00,rush_long,46,,,,,
player,201010170was,clt,AddaJo00,targets,2,,,,,
player,201010170was,clt,AddaJo00,rec,0,,,,,
player,201010170was,clt,AddaJo00,rec_yds,0,,,,,
player,201010170was,clt,AddaJo00,rec_td,0,,,,,
player,201010170was,clt,AddaJo00,rec_long,0,,,,,
player,201010170was,clt,AddaJo00,fumbles,1,,,,,
player,201010170was,clt,AddaJo00,fumbles_lost,1,,,,,
player,201010170was,clt,HartMi00,pass_cmp,0,,,,,
player,201010170was,clt,HartMi00,pass_att,0,,,,,
player,201010170was,clt,HartMi00,pass_yds,0,,,,,
player,201010170was,clt,HartMi00,pass_td,0,,,,,
player,201010170was,clt,HartMi00,pass_int,0,,,,,
player,201010170was,clt,HartMi00,pass_sacked,,,,,,
player,201010170was,clt,HartMi00,pass_sacked_yds,,,,,,
player,201010170was,clt,HartMi00,pass_long,0,,,,,
player,201010170was,clt,HartMi00,pass_rating,,,,,,
player,201010170was,clt,HartMi00,rush_att,11,,,,,
player,201010170was,clt,HartMi00,rush_yds,43,,,,,
player,201010170was,clt,HartMi00,rush_td,0,,,,,
player,201010170was,clt,HartMi00,rush_long,9,,,,,
player,201010170was,clt,HartMi00,targets,0,,,,,
player,201010170was,clt,HartMi00,rec,0,,,,,
player,201010170was,clt,HartMi00,rec_yds,0,,,,,
player,201010170was,clt,HartMi00,rec_td,0,,,,,
player,201010170was,clt,HartMi00,rec_long,0,,,,,
player,201010170was,clt,HartMi00,fumbles,0,,,,,
player,201010170was,clt,HartMi00,fumbles_lost,,,,,,
player,201010170was,clt,GarcPi00,pass_cmp,0,,,,,
player,201010170was,clt,GarcPi00,pass_att,0,,,,,
player,201010170was,clt,GarcPi00,pass_yds,0,,,,,
player,201010170was,clt,GarcPi00,pass_td,0,,,,,
player,201010170was,clt,GarcPi00,pass_int,0,,,,,
player,201010170was,clt,GarcPi00,pass_sacked,,,,,,
player,201010170was,clt,GarcPi00,pass_sacked_yds,,,,,,
player,201010170was,clt,GarcPi00,pass_long,0,,,,,
player,201010170was,clt,GarcPi00,pass_rating,,,,,,
player,201010170was,clt,GarcPi00,rush_att,0,,,,,
player,201010170was,clt,GarcPi00,rush_yds,0,,,,,
player,201010170was,clt,GarcPi00,rush_td,0,,,,,
player,201010170was,clt,GarcPi00,rush_long,0,,,,,
player,201010170was,clt,GarcPi00,targets,7,,,,,
player,201010170was,clt,GarcPi00,rec,4,,,,,
player,201010170was,clt,GarcPi00,rec_yds,103,,,,,
player,201010170was,clt,GarcPi00,rec_td,1,,,,,
player,201010170was,clt,GarcPi00,rec_long,57,,,,,
player,201010170was,clt,GarcPi00,fumbles,0,,,,,
player,201010170was,clt,GarcPi00,fumbles_lost,,,,,,
player,201010170was,clt,WaynRe00,pass_cmp,0,,,,,
player,201010170was,clt,WaynRe00,pass_att,0,,,,,
player,201010170was,clt,WaynRe00,pass_yds,0,,,,,
player,201010170was,clt,WaynRe00,pass_td,0,,,,,
player,201010170was,clt,WaynRe00,pass_int,0,,,,,
player,201010170was,clt,WaynRe00,pass_sacked,,,,,,
player,201010170was,clt,WaynRe00,pass_sacked_yds,,,,,,
player,201010170was,clt,WaynRe00,pass_long,0,,,,,
player,201010170was,clt,WaynRe00,pass_rating,,,,,,
player,201010170was,clt,WaynRe00,rush_att,0,,,,,
player,201010170was,clt,WaynRe00,rush_yds,0,,,,,
player,201010170was,clt,WaynRe00,rush_td,0,,,,,
player,201010170was,clt,WaynRe00,rush_long,0,,,,,
player,201010170was,clt,WaynRe00,targets,9,,,,,
player,201010170was,clt,WaynRe00,rec,6,,,,,
player,201010170was,clt,WaynRe00,rec_yds,71,,,,,
player,201010170was,clt,WaynRe00,rec_td,0,,,,,
player,201010170was,clt,WaynRe00,rec_long,19,,,,,
player,201010170was,clt,WaynRe00,fumbles,0,,,,,
player,201010170was,clt,WaynRe00,fumbles_lost,,,,,,
player,201010170was,clt,CollAu00,pass_cmp,0,,,,,
player,201010170was,clt,CollAu00,pass_att,0,,,,,
player,201010170was,clt,CollAu00,pass_yds,0,,,,,
player,201010170was,clt,CollAu00,pass_td,0,,,,,
player,201010170was,clt,CollAu00,pass_int,0,,,,,
player,201010170was,clt,CollAu00,pass_sacked,,,,,,
player,201010170was,clt,CollAu00,pass_sacked_yds,,,,,,
player,201010170was,clt,CollAu00,pass_long,0,,,,,
player,201010170was,clt,CollAu00,pass_rating,,,,,,
player,201010170was,clt,CollAu00,rush_att,0,,,,,
player,201010170was,clt,CollAu00,rush_yds,0,,,,,
player,201010170was,clt,CollAu00,rush_td,0,,,,,
player,201010170was,clt,CollAu00,rush_long,0,,,,,
player,201010170was,clt,CollAu00,targets,9,,,,,
player,201010170was,clt,CollAu00,rec,7,,,,,
player,201010170was,clt,CollAu00,rec_yds,57,,,,,
player,201010170was,clt,CollAu00,rec_td,1,,,,,
