game,2010,7,20101024,201010240rav,buf,"Buffalo Bills",34,rav,"Baltimore Ravens",37
team,201010240rav,buf,First Downs,27,,,,,,
team,201010240rav,rav,First Downs,21,,,,,,
team,201010240rav,buf,Rush-Yds-TDs,35-132-0,,,,,,
team,201010240rav,rav,Rush-Yds-TDs,29-135-1,,,,,,
team,201010240rav,buf,Cmp-Att-Yd-TD-INT,29-43-382-4-2,,,,,,
team,201010240rav,rav,Cmp-Att-Yd-TD-INT,16-31-250-3-0,,,,,,
team,201010240rav,buf,Sacked-Yards,1-0,,,,,,
team,201010240rav,rav,Sacked-Yards,2-21,,,,,,
team,201010240rav,buf,Net Pass Yards,382,,,,,,
team,201010240rav,rav,Net Pass Yards,229,,,,,,
team,201010240rav,buf,Total Yards,514,,,,,,
team,201010240rav,rav,Total Yards,364,,,,,,
team,201010240rav,buf,Fumbles-Lost,3-2,,,,,,
team,201010240rav,rav,Fumbles-Lost,2-2,,,,,,
team,201010240rav,buf,Turnovers,4,,,,,,
team,201010240rav,rav,Turnovers,2,,,,,,
team,201010240rav,buf,Penalties-Yards,6-78,,,,,,
team,201010240rav,rav,Penalties-Yards,4-18,,,,,,
team,201010240rav,buf,Third Down Conv.,11-17,,,,,,
team,201010240rav,rav,Third Down Conv.,2-11,,,,,,
team,201010240rav,buf,Fourth Down Conv.,1-2,,,,,,
team,201010240rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201010240rav,buf,Time of Possession,38:36,,,,,,
team,201010240rav,rav,Time of Possession,25:30,,,,,,
player,201010240rav,buf,FitzRy00,pass_cmp,29,,,,,
player,201010240rav,buf,FitzRy00,pass_att,43,,,,,
player,201010240rav,buf,FitzRy00,pass_yds,382,,,,,
player,201010240rav,buf,FitzRy00,pass_td,4,,,,,
player,201010240rav,buf,FitzRy00,pass_int,2,,,,,
player,201010240rav,buf,FitzRy00,pass_sacked,1,,,,,
player,201010240rav,buf,FitzRy00,pass_sacked_yds,0,,,,,
player,201010240rav,buf,FitzRy00,pass_long,43,,,,,
player,201010240rav,buf,FitzRy00,pass_rating,106.9,,,,,
player,201010240rav,buf,FitzRy00,rush_att,4,,,,,
player,201010240rav,buf,FitzRy00,rush_yds,20,,,,,
player,201010240rav,buf,FitzRy00,rush_td,0,,,,,
player,201010240rav,buf,FitzRy00,rush_long,11,,,,,
player,201010240rav,buf,FitzRy00,targets,0,,,,,
player,201010240rav,buf,FitzRy00,rec,0,,,,,
player,201010240rav,buf,FitzRy00,rec_yds,0,,,,,
player,201010240rav,buf,FitzRy00,rec_td,0,,,,,
player,201010240rav,buf,FitzRy00,rec_long,0,,,,,
player,201010240rav,buf,FitzRy00,fumbles,0,,,,,
player,201010240rav,buf,FitzRy00,fumbles_lost,,,,,,
player,201010240rav,buf,JackFr02,pass_cmp,0,,,,,
player,201010240rav,buf,JackFr02,pass_att,0,,,,,
player,201010240rav,buf,JackFr02,pass_yds,0,,,,,
player,201010240rav,buf,JackFr02,pass_td,0,,,,,
player,201010240rav,buf,JackFr02,pass_int,0,,,,,
player,201010240rav,buf,JackFr02,pass_sacked,,,,,,
player,201010240rav,buf,JackFr02,pass_sacked_yds,,,,,,
player,201010240rav,buf,JackFr02,pass_long,0,,,,,
player,201010240rav,buf,JackFr02,pass_rating,,,,,,
player,201010240rav,buf,JackFr02,rush_att,23,,,,,
player,201010240rav,buf,JackFr02,rush_yds,73,,,,,
player,201010240rav,buf,JackFr02,rush_td,0,,,,,
player,201010240rav,buf,JackFr02,rush_long,18,,,,,
player,201010240rav,buf,JackFr02,targets,2,,,,,
player,201010240rav,buf,JackFr02,rec,1,,,,,
player,201010240rav,buf,JackFr02,rec_yds,4,,,,,
player,201010240rav,buf,JackFr02,rec_td,0,,,,,
player,201010240rav,buf,JackFr02,rec_long,4,,,,,
player,201010240rav,buf,JackFr02,fumbles,0,,,,,
player,201010240rav,buf,JackFr02,fumbles_lost,,,,,,
player,201010240rav,buf,SpilC.00,pass_cmp,0,,,,,
player,201010240rav,buf,SpilC.00,pass_att,0,,,,,
player,201010240rav,buf,SpilC.00,pass_yds,0,,,,,
player,201010240rav,buf,SpilC.00,pass_td,0,,,,,
player,201010240rav,buf,SpilC.00,pass_int,0,,,,,
player,201010240rav,buf,SpilC.00,pass_sacked,,,,,,
player,201010240rav,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201010240rav,buf,SpilC.00,pass_long,0,,,,,
player,201010240rav,buf,SpilC.00,pass_rating,,,,,,
player,201010240rav,buf,SpilC.00,rush_att,7,,,,,
player,201010240rav,buf,SpilC.00,rush_yds,33,,,,,
player,201010240rav,buf,SpilC.00,rush_td,0,,,,,
player,201010240rav,buf,SpilC.00,rush_long,13,,,,,
player,201010240rav,buf,SpilC.00,targets,0,,,,,
player,201010240rav,buf,SpilC.00,rec,0,,,,,
player,201010240rav,buf,SpilC.00,rec_yds,0,,,,,
player,201010240rav,buf,SpilC.00,rec_td,0,,,,,
player,201010240rav,buf,SpilC.00,rec_long,0,,,,,
player,201010240rav,buf,SpilC.00,fumbles,1,,,,,
player,201010240rav,buf,SpilC.00,fumbles_lost,1,,,,,
player,201010240rav,buf,ParrRo00,pass_cmp,0,,,,,
player,201010240rav,buf,ParrRo00,pass_att,0,,,,,
player,201010240rav,buf,ParrRo00,pass_yds,0,,,,,
player,201010240rav,buf,ParrRo00,pass_td,0,,,,,
