game,2010,6,20101017,201010170den,nyj,"New York Jets",24,den,"Denver Broncos",20
team,201010170den,nyj,First Downs,17,,,,,,
team,201010170den,den,First Downs,21,,,,,,
team,201010170den,nyj,Rush-Yds-TDs,30-129-2,,,,,,
team,201010170den,den,Rush-Yds-TDs,37-145-1,,,,,,
team,201010170den,nyj,Cmp-Att-Yd-TD-INT,17-30-198-1-2,,,,,,
team,201010170den,den,Cmp-Att-Yd-TD-INT,14-34-209-1-0,,,,,,
team,201010170den,nyj,Sacked-Yards,2-8,,,,,,
team,201010170den,den,Sacked-Yards,1-8,,,,,,
team,201010170den,nyj,Net Pass Yards,190,,,,,,
team,201010170den,den,Net Pass Yards,201,,,,,,
team,201010170den,nyj,Total Yards,319,,,,,,
team,201010170den,den,Total Yards,346,,,,,,
team,201010170den,nyj,Fumbles-Lost,1-1,,,,,,
team,201010170den,den,Fumbles-Lost,3-2,,,,,,
team,201010170den,nyj,Turnovers,3,,,,,,
team,201010170den,den,Turnovers,2,,,,,,
team,201010170den,nyj,Penalties-Yards,6-74,,,,,,
team,201010170den,den,Penalties-Yards,5-81,,,,,,
team,201010170den,nyj,Third Down Conv.,5-13,,,,,,
team,201010170den,den,Third Down Conv.,7-18,,,,,,
team,201010170den,nyj,Fourth Down Conv.,0-0,,,,,,
team,201010170den,den,Fourth Down Conv.,0-1,,,,,,
team,201010170den,nyj,Time of Possession,29:37,,,,,,
team,201010170den,den,Time of Possession,30:23,,,,,,
player,201010170den,nyj,SancMa00,pass_cmp,17,,,,,
player,201010170den,nyj,SancMa00,pass_att,30,,,,,
player,201010170den,nyj,SancMa00,pass_yds,198,,,,,
player,201010170den,nyj,SancMa00,pass_td,1,,,,,
player,201010170den,nyj,SancMa00,pass_int,2,,,,,
player,201010170den,nyj,SancMa00,pass_sacked,2,,,,,
player,201010170den,nyj,SancMa00,pass_sacked_yds,8,,,,,
player,201010170den,nyj,SancMa00,pass_long,41,,,,,
player,201010170den,nyj,SancMa00,pass_rating,60.1,,,,,
player,201010170den,nyj,SancMa00,rush_att,1,,,,,
player,201010170den,nyj,SancMa00,rush_yds,-1,,,,,
player,201010170den,nyj,SancMa00,rush_td,0,,,,,
player,201010170den,nyj,SancMa00,rush_long,-1,,,,,
player,201010170den,nyj,SancMa00,targets,0,,,,,
player,201010170den,nyj,SancMa00,rec,0,,,,,
player,201010170den,nyj,SancMa00,rec_yds,0,,,,,
player,201010170den,nyj,SancMa00,rec_td,0,,,,,
player,201010170den,nyj,SancMa00,rec_long,0,,,,,
player,201010170den,nyj,SancMa00,fumbles,0,,,,,
player,201010170den,nyj,SancMa00,fumbles_lost,,,,,,
player,201010170den,nyj,TomlLa00,pass_cmp,0,,,,,
player,201010170den,nyj,TomlLa00,pass_att,0,,,,,
player,201010170den,nyj,TomlLa00,pass_yds,0,,,,,
player,201010170den,nyj,TomlLa00,pass_td,0,,,,,
player,201010170den,nyj,TomlLa00,pass_int,0,,,,,
player,201010170den,nyj,TomlLa00,pass_sacked,,,,,,
player,201010170den,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201010170den,nyj,TomlLa00,pass_long,0,,,,,
player,201010170den,nyj,TomlLa00,pass_rating,,,,,,
player,201010170den,nyj,TomlLa00,rush_att,16,,,,,
player,201010170den,nyj,TomlLa00,rush_yds,55,,,,,
player,201010170den,nyj,TomlLa00,rush_td,2,,,,,
player,201010170den,nyj,TomlLa00,rush_long,20,,,,,
player,201010170den,nyj,TomlLa00,targets,2,,,,,
player,201010170den,nyj,TomlLa00,rec,2,,,,,
player,201010170den,nyj,TomlLa00,rec_yds,12,,,,,
player,201010170den,nyj,TomlLa00,rec_td,0,,,,,
player,201010170den,nyj,TomlLa00,rec_long,8,,,,,
player,201010170den,nyj,TomlLa00,fumbles,0,,,,,
player,201010170den,nyj,TomlLa00,fumbles_lost,,,,,,
player,201010170den,nyj,GreeSh00,pass_cmp,0,,,,,
player,201010170den,nyj,GreeSh00,pass_att,0,,,,,
player,201010170den,nyj,GreeSh00,pass_yds,0,,,,,
player,201010170den,nyj,GreeSh00,pass_td,0,,,,,
player,201010170den,nyj,GreeSh00,pass_int,0,,,,,
player,201010170den,nyj,GreeSh00,pass_sacked,,,,,,
player,201010170den,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201010170den,nyj,GreeSh00,pass_long,0,,,,,
player,201010170den,nyj,GreeSh00,pass_rating,,,,,,
player,201010170den,nyj,GreeSh00,rush_att,9,,,,,
player,201010170den,nyj,GreeSh00,rush_yds,43,,,,,
player,201010170den,nyj,GreeSh00,rush_td,0,,,,,
player,201010170den,nyj,GreeSh00,rush_long,8,,,,,
player,201010170den,nyj,GreeSh00,targets,1,,,,,
player,201010170den,nyj,GreeSh00,rec,0,,,,,
player,201010170den,nyj,GreeSh00,rec_yds,0,,,,,
player,201010170den,nyj,GreeSh00,rec_td,0,,,,,
player,201010170den,nyj,GreeSh00,rec_long,0,,,,,
player,201010170den,nyj,GreeSh00,fumbles,0,,,,,
player,201010170den,nyj,GreeSh00,fumbles_lost,,,,,,
player,201010170den,nyj,SmitBr01,pass_cmp,0,,,,,
player,201010170den,nyj,SmitBr01,pass_att,0,,,,,
player,201010170den,nyj,SmitBr01,pass_yds,0,,,,,
player,201010170den,nyj,SmitBr01,pass_td,0,,,,,
player,201010170den,nyj,SmitBr01,pass_int,0,,,,,
player,201010170den,nyj,SmitBr01,pass_sacked,0,,,,,
player,201010170den,nyj,SmitBr01,pass_sacked_yds,,,,,,
player,201010170den,nyj,SmitBr01,pass_long,0,,,,,
player,201010170den,nyj,SmitBr01,pass_rating,,,,,,
player,201010170den,nyj,SmitBr01,rush_att,3,,,,,
player,201010170den,nyj,SmitBr01,rush_yds,18,,,,,
player,201010170den,nyj,SmitBr01,rush_td,0,,,,,
player,201010170den,nyj,SmitBr01,rush_long,8,,,,,
player,201010170den,nyj,SmitBr01,targets,0,,,,,
player,201010170den,nyj,SmitBr01,rec,0,,,,,
player,201010170den,nyj,SmitBr01,rec_yds,0,,,,,
player,201010170den,nyj,SmitBr01,rec_td,0,,,,,
player,201010170den,nyj,SmitBr01,rec_long,0,,,,,
player,201010170den,nyj,SmitBr01,fumbles,0,,,,,
player,201010170den,nyj,SmitBr01,fumbles_lost,,,,,,
player,201010170den,nyj,HolmSa00,pass_cmp,0,,,,,
player,201010170den,nyj,HolmSa00,pass_att,0,,,,,
player,201010170den,nyj,HolmSa00,pass_yds,0,,,,,
player,201010170den,nyj,HolmSa00,pass_td,0,,,,,
player,201010170den,nyj,HolmSa00,pass_int,0,,,,,
player,201010170den,nyj,HolmSa00,pass_sacked,,,,,,
player,201010170den,nyj,HolmSa00,pass_sacked_yds,,,,,,
player,201010170den,nyj,HolmSa00,pass_long,0,,,,,
player,201010170den,nyj,HolmSa00,pass_rating,,,,,,
player,201010170den,nyj,HolmSa00,rush_att,1,,,,,
player,201010170den,nyj,HolmSa00,rush_yds,14,,,,,
player,201010170den,nyj,HolmSa00,rush_td,0,,,,,
player,201010170den,nyj,HolmSa00,rush_long,14,,,,,
player,201010170den,nyj,HolmSa00,targets,5,,,,,
player,201010170den,nyj,HolmSa00,rec,4,,,,,
player,201010170den,nyj,HolmSa00,rec_yds,47,,,,,
player,201010170den,nyj,HolmSa00,rec_td,0,,,,,
player,201010170den,nyj,HolmSa00,rec_long,22,,,,,
player,201010170den,nyj,HolmSa00,fumbles,1,,,,,
player,201010170den,nyj,HolmSa00,fumbles_lost,1,,,,,
player,201010170den,nyj,KellDu00,pass_cmp,0,,,,,
player,201010170den,nyj,KellDu00,pass_att,0,,,,,
player,201010170den,nyj,KellDu00,pass_yds,0,,,,,
player,201010170den,nyj,KellDu00,pass_td,0,,,,,
player,201010170den,nyj,KellDu00,pass_int,0,,,,,
player,201010170den,nyj,KellDu00,pass_sacked,,,,,,
player,201010170den,nyj,KellDu00,pass_sacked_yds,,,,,,
player,201010170den,nyj,KellDu00,pass_long,0,,,,,
player,201010170den,nyj,KellDu00,pass_rating,,,,,,
player,201010170den,nyj,KellDu00,rush_att,0,,,,,
player,201010170den,nyj,KellDu00,rush_yds,0,,,,,
player,201010170den,nyj,KellDu00,rush_td,0,,,,,
player,201010170den,nyj,KellDu00,rush_long,0,,,,,
player,201010170den,nyj,KellDu00,targets,6,,,,,
player,201010170den,nyj,KellDu00,rec,3,,,,,
player,201010170den,nyj,KellDu00,rec_yds,75,,,,,
player,201010170den,nyj,KellDu00,rec_td,0,,,,,
player,201010170den,nyj,KellDu00,rec_long,41,,,,,
player,201010170den,nyj,KellDu00,fumbles,0,,,,,
player,201010170den,nyj,KellDu00,fumbles_lost,,,,,,
player,201010170den,nyj,EdwaBr00,pass_cmp,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_att,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_yds,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_td,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_int,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_sacked,,,,,,
player,201010170den,nyj,EdwaBr00,pass_sacked_yds,,,,,,
player,201010170den,nyj,EdwaBr00,pass_long,0,,,,,
player,201010170den,nyj,EdwaBr00,pass_rating,,,,,,
player,201010170den,nyj,EdwaBr00,rush_att,0,,,,,
player,201010170den,nyj,EdwaBr00,rush_yds,0,,,,,
player,201010170den,nyj,EdwaBr00,rush_td,0,,,,,
player,201010170den,nyj,EdwaBr00,rush_long,0,,,,,
player,201010170den,nyj,EdwaBr00,targets,8,,,,,
player,201010170den,nyj,EdwaBr00,rec,4,,,,,
player,201010170den,nyj,EdwaBr00,rec_yds,46,,,,,
player,201010170den,nyj,EdwaBr00,rec_td,1,,,,,
player,201010170den,nyj,EdwaBr00,rec_long,32,,,,,
player,201010170den,nyj,EdwaBr00,fumbles,0,,,,,
player,201010170den,nyj,EdwaBr00,fumbles_lost,,,,,,
player,201010170den,nyj,CotcJe00,pass_cmp,0,,,,,
player,201010170den,nyj,CotcJe00,pass_att,0,,,,,
player,201010170den,nyj,CotcJe00,pass_yds,0,,,,,
player,201010170den,nyj,CotcJe00,pass_td,0,,,,,
player,201010170den,nyj,CotcJe00,pass_int,0,,,,,
player,201010170den,nyj,CotcJe00,pass_sacked,,,,,,
player,201010170den,nyj,CotcJe00,pass_sacked_yds,,,,,,
player,201010170den,nyj,CotcJe00,pass_long,0,,,,,
player,201010170den,nyj,CotcJe00,pass_rating,,,,,,
player,201010170den,nyj,CotcJe00,rush_att,0,,,,,
player,201010170den,nyj,CotcJe00,rush_yds,0,,,,,
player,201010170den,nyj,CotcJe00,rush_td,0,,,,,
player,201010170den,nyj,CotcJe00,rush_long,0,,,,,
player,201010170den,nyj,CotcJe00,targets,7,,,,,
player,201010170den,nyj,CotcJe00,rec,4,,,,,
player,201010170den,nyj,CotcJe00,rec_yds,18,,,,,
player,201010170den,nyj,CotcJe00,rec_td,0,,,,,
player,201010170den,nyj,CotcJe00,rec_long,8,,,,,
player,201010170den,nyj,CotcJe00,fumbles,0,,,,,
player,201010170den,nyj,CotcJe00,fumbles_lost,,,,,,
player,201010170den,nyj,ConnJo00,pass_cmp,,,,,,
player,201010170den,nyj,ConnJo00,pass_att,,,,,,
player,201010170den,nyj,ConnJo00,pass_yds,,,,,,
player,201010170den,nyj,ConnJo00,pass_td,,,,,,
player,201010170den,nyj,ConnJo00,pass_int,,,,,,
player,201010170den,nyj,ConnJo00,pass_sacked,,,,,,
player,201010170den,nyj,ConnJo00,pass_sacked_yds,,,,,,
player,201010170den,nyj,ConnJo00,pass_long,,,,,,
player,201010170den,nyj,ConnJo00,pass_rating,,,,,,
player,201010170den,nyj,ConnJo00,rush_att,,,,,,
player,201010170den,nyj,ConnJo00,rush_yds,,,,,,
player,201010170den,nyj,ConnJo00,rush_td,,,,,,
player,201010170den,nyj,ConnJo00,rush_long,,,,,,
player,201010170den,nyj,ConnJo00,targets,1,,,,,
player,201010170den,nyj,ConnJo00,rec,0,,,,,
player,201010170den,nyj,ConnJo00,rec_yds,0,,,,,
player,201010170den,nyj,ConnJo00,rec_td,0,,,,,
player,201010170den,nyj,ConnJo00,rec_long,,,,,,
player,201010170den,nyj,ConnJo00,fumbles,,,,,,
player,201010170den,nyj,ConnJo00,fumbles_lost,,,,,,
player,201010170den,den,OrtoKy00,pass_cmp,14,,,,,
player,201010170den,den,OrtoKy00,pass_att,34,,,,,
player,201010170den,den,OrtoKy00,pass_yds,209,,,,,
player,201010170den,den,OrtoKy00,pass_td,1,,,,,
player,201010170den,den,OrtoKy00,pass_int,0,,,,,
player,201010170den,den,OrtoKy00,pass_sacked,1,,,,,
player,201010170den,den,OrtoKy00,pass_sacked_yds,8,,,,,
player,201010170den,den,OrtoKy00,pass_long,29,,,,,
player,201010170den,den,OrtoKy00,pass_rating,71.8,,,,,
player,201010170den,den,OrtoKy00,rush_att,3,,,,,
player,201010170den,den,OrtoKy00,rush_yds,22,,,,,
player,201010170den,den,OrtoKy00,rush_td,0,,,,,
player,201010170den,den,OrtoKy00,rush_long,13,,,,,
player,201010170den,den,OrtoKy00,targets,0,,,,,
player,201010170den,den,OrtoKy00,rec,0,,,,,
player,201010170den,den,OrtoKy00,rec_yds,0,,,,,
player,201010170den,den,OrtoKy00,rec_td,0,,,,,
player,201010170den,den,OrtoKy00,rec_long,0,,,,,
player,201010170den,den,OrtoKy00,fumbles,0,,,,,
player,201010170den,den,OrtoKy00,fumbles_lost,1,,,,,
player,201010170den,den,MoreKn00,pass_cmp,0,,,,,
player,201010170den,den,MoreKn00,pass_att,0,,,,,
player,201010170den,den,MoreKn00,pass_yds,0,,,,,
player,201010170den,den,MoreKn00,pass_td,0,,,,,
player,201010170den,den,MoreKn00,pass_int,0,,,,,
player,201010170den,den,MoreKn00,pass_sacked,,,,,,
player,201010170den,den,MoreKn00,pass_sacked_yds,,,,,,
player,201010170den,den,MoreKn00,pass_long,0,,,,,
player,201010170den,den,MoreKn00,pass_rating,,,,,,
player,201010170den,den,MoreKn00,rush_att,12,,,,,
player,201010170den,den,MoreKn00,rush_yds,48,,,,,
player,201010170den,den,MoreKn00,rush_td,0,,,,,
player,201010170den,den,MoreKn00,rush_long,14,,,,,
player,201010170den,den,MoreKn00,targets,0,,,,,
player,201010170den,den,MoreKn00,rec,0,,,,,
player,201010170den,den,MoreKn00,rec_yds,0,,,,,
player,201010170den,den,MoreKn00,rec_td,0,,,,,
player,201010170den,den,MoreKn00,rec_long,0,,,,,
player,201010170den,den,MoreKn00,fumbles,1,,,,,
player,201010170den,den,MoreKn00,fumbles_lost,1,,,,,
player,201010170den,den,TeboTi00,pass_cmp,0,,,,,
player,201010170den,den,TeboTi00,pass_att,0,,,,,
player,201010170den,den,TeboTi00,pass_yds,0,,,,,
player,201010170den,den,TeboTi00,pass_td,0,,,,,
player,201010170den,den,TeboTi00,pass_int,0,,,,,
player,201010170den,den,TeboTi00,pass_sacked,0,,,,,
player,201010170den,den,TeboTi00,pass_sacked_yds,,,,,,
player,201010170den,den,TeboTi00,pass_long,0,,,,,
player,201010170den,den,TeboTi00,pass_rating,,,,,,
player,201010170den,den,TeboTi00,rush_att,6,,,,,
player,201010170den,den,TeboTi00,rush_yds,23,,,,,
player,201010170den,den,TeboTi00,rush_td,1,,,,,
player,201010170den,den,TeboTi00,rush_long,6,,,,,
player,201010170den,den,TeboTi00,targets,0,,,,,
player,201010170den,den,TeboTi00,rec,0,,,,,
player,201010170den,den,TeboTi00,rec_yds,0,,,,,
player,201010170den,den,TeboTi00,rec_td,0,,,,,
player,201010170den,den,TeboTi00,rec_long,0,,,,,
