game,2010,12,20101128,201011280sea,kan,"Kansas City Chiefs",42,sea,"Seattle Seahawks",24
team,201011280sea,kan,First Downs,28,,,,,,
team,201011280sea,sea,First Downs,13,,,,,,
team,201011280sea,kan,Rush-Yds-TDs,48-270-2,,,,,,
team,201011280sea,sea,Rush-Yds-TDs,12-20-0,,,,,,
team,201011280sea,kan,Cmp-Att-Yd-TD-INT,22-32-233-4-0,,,,,,
team,201011280sea,sea,Cmp-Att-Yd-TD-INT,20-37-282-2-2,,,,,,
team,201011280sea,kan,Sacked-Yards,0-0,,,,,,
team,201011280sea,sea,Sacked-Yards,2-14,,,,,,
team,201011280sea,kan,Net Pass Yards,233,,,,,,
team,201011280sea,sea,Net Pass Yards,268,,,,,,
team,201011280sea,kan,Total Yards,503,,,,,,
team,201011280sea,sea,Total Yards,288,,,,,,
team,201011280sea,kan,Fumbles-Lost,1-1,,,,,,
team,201011280sea,sea,Fumbles-Lost,2-1,,,,,,
team,201011280sea,kan,Turnovers,1,,,,,,
team,201011280sea,sea,Turnovers,3,,,,,,
team,201011280sea,kan,Penalties-Yards,5-50,,,,,,
team,201011280sea,sea,Penalties-Yards,3-26,,,,,,
team,201011280sea,kan,Third Down Conv.,11-17,,,,,,
team,201011280sea,sea,Third Down Conv.,3-12,,,,,,
team,201011280sea,kan,Fourth Down Conv.,0-0,,,,,,
team,201011280sea,sea,Fourth Down Conv.,0-2,,,,,,
team,201011280sea,kan,Time of Possession,41:03,,,,,,
team,201011280sea,sea,Time of Possession,18:57,,,,,,
player,201011280sea,kan,CassMa00,pass_cmp,22,,,,,
player,201011280sea,kan,CassMa00,pass_att,32,,,,,
player,201011280sea,kan,CassMa00,pass_yds,233,,,,,
player,201011280sea,kan,CassMa00,pass_td,4,,,,,
player,201011280sea,kan,CassMa00,pass_int,0,,,,,
player,201011280sea,kan,CassMa00,pass_sacked,0,,,,,
player,201011280sea,kan,CassMa00,pass_sacked_yds,0,,,,,
player,201011280sea,kan,CassMa00,pass_long,36,,,,,
player,201011280sea,kan,CassMa00,pass_rating,129.3,,,,,
player,201011280sea,kan,CassMa00,rush_att,5,,,,,
player,201011280sea,kan,CassMa00,rush_yds,28,,,,,
player,201011280sea,kan,CassMa00,rush_td,0,,,,,
player,201011280sea,kan,CassMa00,rush_long,23,,,,,
player,201011280sea,kan,CassMa00,targets,0,,,,,
player,201011280sea,kan,CassMa00,rec,0,,,,,
