game,2010,14,20101212,201012120det,gnb,"Green Bay Packers",3,det,"Detroit Lions",7
team,201012120det,gnb,First Downs,13,,,,,,
team,201012120det,det,First Downs,15,,,,,,
team,201012120det,gnb,Rush-Yds-TDs,20-66-0,,,,,,
team,201012120det,det,Rush-Yds-TDs,41-190-0,,,,,,
team,201012120det,gnb,Cmp-Att-Yd-TD-INT,22-37-223-0-2,,,,,,
team,201012120det,det,Cmp-Att-Yd-TD-INT,10-22-117-1-2,,,,,,
team,201012120det,gnb,Sacked-Yards,4-31,,,,,,
team,201012120det,det,Sacked-Yards,2-21,,,,,,
team,201012120det,gnb,Net Pass Yards,192,,,,,,
team,201012120det,det,Net Pass Yards,96,,,,,,
team,201012120det,gnb,Total Yards,258,,,,,,
team,201012120det,det,Total Yards,286,,,,,,
team,201012120det,gnb,Fumbles-Lost,1-1,,,,,,
team,201012120det,det,Fumbles-Lost,0-0,,,,,,
team,201012120det,gnb,Turnovers,3,,,,,,
team,201012120det,det,Turnovers,2,,,,,,
team,201012120det,gnb,Penalties-Yards,3-20,,,,,,
team,201012120det,det,Penalties-Yards,6-35,,,,,,
team,201012120det,gnb,Third Down Conv.,2-12,,,,,,
team,201012120det,det,Third Down Conv.,3-15,,,,,,
team,201012120det,gnb,Fourth Down Conv.,0-1,,,,,,
team,201012120det,det,Fourth Down Conv.,0-1,,,,,,
team,201012120det,gnb,Time of Possession,29:12,,,,,,
team,201012120det,det,Time of Possession,30:48,,,,,,
player,201012120det,gnb,FlynMa00,pass_cmp,15,,,,,
player,201012120det,gnb,FlynMa00,pass_att,26,,,,,
player,201012120det,gnb,FlynMa00,pass_yds,177,,,,,
player,201012120det,gnb,FlynMa00,pass_td,0,,,,,
player,201012120det,gnb,FlynMa00,pass_int,1,,,,,
player,201012120det,gnb,FlynMa00,pass_sacked,2,,,,,
player,201012120det,gnb,FlynMa00,pass_sacked_yds,13,,,,,
player,201012120det,gnb,FlynMa00,pass_long,32,,,,,
player,201012120det,gnb,FlynMa00,pass_rating,62.5,,,,,
player,201012120det,gnb,FlynMa00,rush_att,3,,,,,
player,201012120det,gnb,FlynMa00,rush_yds,10,,,,,
player,201012120det,gnb,FlynMa00,rush_td,0,,,,,
player,201012120det,gnb,FlynMa00,rush_long,12,,,,,
player,201012120det,gnb,FlynMa00,targets,0,,,,,
player,201012120det,gnb,FlynMa00,rec,0,,,,,
player,201012120det,gnb,FlynMa00,rec_yds,0,,,,,
player,201012120det,gnb,FlynMa00,rec_td,0,,,,,
player,201012120det,gnb,FlynMa00,rec_long,0,,,,,
player,201012120det,gnb,FlynMa00,fumbles,0,,,,,
player,201012120det,gnb,FlynMa00,fumbles_lost,,,,,,
player,201012120det,gnb,RodgAa00,pass_cmp,7,,,,,
player,201012120det,gnb,RodgAa00,pass_att,11,,,,,
player,201012120det,gnb,RodgAa00,pass_yds,46,,,,,
player,201012120det,gnb,RodgAa00,pass_td,0,,,,,
player,201012120det,gnb,RodgAa00,pass_int,1,,,,,
player,201012120det,gnb,RodgAa00,pass_sacked,2,,,,,
player,201012120det,gnb,RodgAa00,pass_sacked_yds,18,,,,,
player,201012120det,gnb,RodgAa00,pass_long,12,,,,,
player,201012120det,gnb,RodgAa00,pass_rating,34.7,,,,,
player,201012120det,gnb,RodgAa00,rush_att,2,,,,,
player,201012120det,gnb,RodgAa00,rush_yds,25,,,,,
player,201012120det,gnb,RodgAa00,rush_td,0,,,,,
player,201012120det,gnb,RodgAa00,rush_long,18,,,,,
player,201012120det,gnb,RodgAa00,targets,0,,,,,
player,201012120det,gnb,RodgAa00,rec,0,,,,,
player,201012120det,gnb,RodgAa00,rec_yds,0,,,,,
player,201012120det,gnb,RodgAa00,rec_td,0,,,,,
player,201012120det,gnb,RodgAa00,rec_long,0,,,,,
player,201012120det,gnb,RodgAa00,fumbles,0,,,,,
player,201012120det,gnb,RodgAa00,fumbles_lost,,,,,,
player,201012120det,gnb,JackBr00,pass_cmp,0,,,,,
player,201012120det,gnb,JackBr00,pass_att,0,,,,,
player,201012120det,gnb,JackBr00,pass_yds,0,,,,,
player,201012120det,gnb,JackBr00,pass_td,0,,,,,
player,201012120det,gnb,JackBr00,pass_int,0,,,,,
player,201012120det,gnb,JackBr00,pass_sacked,,,,,,
player,201012120det,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201012120det,gnb,JackBr00,pass_long,0,,,,,
player,201012120det,gnb,JackBr00,pass_rating,,,,,,
player,201012120det,gnb,JackBr00,rush_att,7,,,,,
player,201012120det,gnb,JackBr00,rush_yds,19,,,,,
player,201012120det,gnb,JackBr00,rush_td,0,,,,,
player,201012120det,gnb,JackBr00,rush_long,9,,,,,
player,201012120det,gnb,JackBr00,targets,4,,,,,
player,201012120det,gnb,JackBr00,rec,3,,,,,
player,201012120det,gnb,JackBr00,rec_yds,9,,,,,
player,201012120det,gnb,JackBr00,rec_td,0,,,,,
player,201012120det,gnb,JackBr00,rec_long,5,,,,,
player,201012120det,gnb,JackBr00,fumbles,0,,,,,
player,201012120det,gnb,JackBr00,fumbles_lost,,,,,,
player,201012120det,gnb,StarJa00,pass_cmp,0,,,,,
player,201012120det,gnb,StarJa00,pass_att,0,,,,,
player,201012120det,gnb,StarJa00,pass_yds,0,,,,,
player,201012120det,gnb,StarJa00,pass_td,0,,,,,
player,201012120det,gnb,StarJa00,pass_int,0,,,,,
player,201012120det,gnb,StarJa00,pass_sacked,,,,,,
player,201012120det,gnb,StarJa00,pass_sacked_yds,,,,,,
player,201012120det,gnb,StarJa00,pass_long,0,,,,,
player,201012120det,gnb,StarJa00,pass_rating,,,,,,
player,201012120det,gnb,StarJa00,rush_att,6,,,,,
player,201012120det,gnb,StarJa00,rush_yds,8,,,,,
player,201012120det,gnb,StarJa00,rush_td,0,,,,,
player,201012120det,gnb,StarJa00,rush_long,7,,,,,
player,201012120det,gnb,StarJa00,targets,1,,,,,
player,201012120det,gnb,StarJa00,rec,0,,,,,
player,201012120det,gnb,StarJa00,rec_yds,0,,,,,
player,201012120det,gnb,StarJa00,rec_td,0,,,,,
player,201012120det,gnb,StarJa00,rec_long,0,,,,,
player,201012120det,gnb,StarJa00,fumbles,0,,,,,
player,201012120det,gnb,StarJa00,fumbles_lost,,,,,,
player,201012120det,gnb,NancDi00,pass_cmp,0,,,,,
player,201012120det,gnb,NancDi00,pass_att,0,,,,,
player,201012120det,gnb,NancDi00,pass_yds,0,,,,,
player,201012120det,gnb,NancDi00,pass_td,0,,,,,
player,201012120det,gnb,NancDi00,pass_int,0,,,,,
