game,2010,5,20101010,201010100cle,atl,"Atlanta Falcons",20,cle,"Cleveland Browns",10
team,201010100cle,atl,First Downs,17,,,,,,
team,201010100cle,cle,First Downs,18,,,,,,
team,201010100cle,atl,Rush-Yds-TDs,31-165-0,,,,,,
team,201010100cle,cle,Rush-Yds-TDs,20-48-0,,,,,,
team,201010100cle,atl,Cmp-Att-Yd-TD-INT,16-28-187-1-0,,,,,,
team,201010100cle,cle,Cmp-Att-Yd-TD-INT,25-39-246-1-2,,,,,,
team,201010100cle,atl,Sacked-Yards,2-14,,,,,,
team,201010100cle,cle,Sacked-Yards,3-25,,,,,,
team,201010100cle,atl,Net Pass Yards,173,,,,,,
team,201010100cle,cle,Net Pass Yards,221,,,,,,
team,201010100cle,atl,Total Yards,338,,,,,,
team,201010100cle,cle,Total Yards,269,,,,,,
team,201010100cle,atl,Fumbles-Lost,1-1,,,,,,
team,201010100cle,cle,Fumbles-Lost,3-1,,,,,,
team,201010100cle,atl,Turnovers,1,,,,,,
team,201010100cle,cle,Turnovers,3,,,,,,
team,201010100cle,atl,Penalties-Yards,6-60,,,,,,
team,201010100cle,cle,Penalties-Yards,7-58,,,,,,
team,201010100cle,atl,Third Down Conv.,6-15,,,,,,
team,201010100cle,cle,Third Down Conv.,7-15,,,,,,
team,201010100cle,atl,Fourth Down Conv.,0-0,,,,,,
team,201010100cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201010100cle,atl,Time of Possession,30:06,,,,,,
team,201010100cle,cle,Time of Possession,29:54,,,,,,
player,201010100cle,atl,RyanMa00,pass_cmp,16,,,,,
player,201010100cle,atl,RyanMa00,pass_att,28,,,,,
player,201010100cle,atl,RyanMa00,pass_yds,187,,,,,
player,201010100cle,atl,RyanMa00,pass_td,1,,,,,
player,201010100cle,atl,RyanMa00,pass_int,0,,,,,
player,201010100cle,atl,RyanMa00,pass_sacked,2,,,,,
player,201010100cle,atl,RyanMa00,pass_sacked_yds,14,,,,,
player,201010100cle,atl,RyanMa00,pass_long,45,,,,,
player,201010100cle,atl,RyanMa00,pass_rating,89.4,,,,,
player,201010100cle,atl,RyanMa00,rush_att,5,,,,,
player,201010100cle,atl,RyanMa00,rush_yds,5,,,,,
player,201010100cle,atl,RyanMa00,rush_td,0,,,,,
player,201010100cle,atl,RyanMa00,rush_long,7,,,,,
player,201010100cle,atl,RyanMa00,targets,0,,,,,
player,201010100cle,atl,RyanMa00,rec,0,,,,,
player,201010100cle,atl,RyanMa00,rec_yds,0,,,,,
player,201010100cle,atl,RyanMa00,rec_td,0,,,,,
player,201010100cle,atl,RyanMa00,rec_long,0,,,,,
player,201010100cle,atl,RyanMa00,fumbles,1,,,,,
player,201010100cle,atl,RyanMa00,fumbles_lost,1,,,,,
player,201010100cle,atl,TurnMi00,pass_cmp,0,,,,,
