game,2010,11,20101122,201011220sdg,den,"Denver Broncos",14,sdg,"San Diego Chargers",35
team,201011220sdg,den,First Downs,16,,,,,,
team,201011220sdg,sdg,First Downs,21,,,,,,
team,201011220sdg,den,Rush-Yds-TDs,15-63-1,,,,,,
team,201011220sdg,sdg,Rush-Yds-TDs,38-147-1,,,,,,
team,201011220sdg,den,Cmp-Att-Yd-TD-INT,24-38-217-1-1,,,,,,
team,201011220sdg,sdg,Cmp-Att-Yd-TD-INT,16-26-261-4-1,,,,,,
team,201011220sdg,den,Sacked-Yards,5-45,,,,,,
team,201011220sdg,sdg,Sacked-Yards,1-8,,,,,,
team,201011220sdg,den,Net Pass Yards,172,,,,,,
team,201011220sdg,sdg,Net Pass Yards,253,,,,,,
team,201011220sdg,den,Total Yards,235,,,,,,
team,201011220sdg,sdg,Total Yards,400,,,,,,
team,201011220sdg,den,Fumbles-Lost,0-0,,,,,,
team,201011220sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201011220sdg,den,Turnovers,1,,,,,,
team,201011220sdg,sdg,Turnovers,1,,,,,,
team,201011220sdg,den,Penalties-Yards,8-56,,,,,,
team,201011220sdg,sdg,Penalties-Yards,5-40,,,,,,
team,201011220sdg,den,Third Down Conv.,1-12,,,,,,
team,201011220sdg,sdg,Third Down Conv.,7-14,,,,,,
team,201011220sdg,den,Fourth Down Conv.,1-1,,,,,,
team,201011220sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201011220sdg,den,Time of Possession,25:41,,,,,,
team,201011220sdg,sdg,Time of Possession,34:19,,,,,,
player,201011220sdg,den,OrtoKy00,pass_cmp,24,,,,,
player,201011220sdg,den,OrtoKy00,pass_att,38,,,,,
player,201011220sdg,den,OrtoKy00,pass_yds,217,,,,,
player,201011220sdg,den,OrtoKy00,pass_td,1,,,,,
player,201011220sdg,den,OrtoKy00,pass_int,1,,,,,
player,201011220sdg,den,OrtoKy00,pass_sacked,5,,,,,
player,201011220sdg,den,OrtoKy00,pass_sacked_yds,45,,,,,
player,201011220sdg,den,OrtoKy00,pass_long,21,,,,,
player,201011220sdg,den,OrtoKy00,pass_rating,76.3,,,,,
player,201011220sdg,den,OrtoKy00,rush_att,1,,,,,
player,201011220sdg,den,OrtoKy00,rush_yds,4,,,,,
player,201011220sdg,den,OrtoKy00,rush_td,0,,,,,
