game,2010,5,20101010,201010100buf,jax,"Jacksonville Jaguars",36,buf,"Buffalo Bills",26
team,201010100buf,jax,First Downs,21,,,,,,
team,201010100buf,buf,First Downs,17,,,,,,
team,201010100buf,jax,Rush-Yds-TDs,40-216-0,,,,,,
team,201010100buf,buf,Rush-Yds-TDs,21-110-0,,,,,,
team,201010100buf,jax,Cmp-Att-Yd-TD-INT,16-20-178-3-1,,,,,,
team,201010100buf,buf,Cmp-Att-Yd-TD-INT,20-30-220-3-0,,,,,,
team,201010100buf,jax,Sacked-Yards,2-13,,,,,,
team,201010100buf,buf,Sacked-Yards,3-24,,,,,,
team,201010100buf,jax,Net Pass Yards,165,,,,,,
team,201010100buf,buf,Net Pass Yards,196,,,,,,
team,201010100buf,jax,Total Yards,381,,,,,,
team,201010100buf,buf,Total Yards,306,,,,,,
team,201010100buf,jax,Fumbles-Lost,3-2,,,,,,
team,201010100buf,buf,Fumbles-Lost,2-0,,,,,,
team,201010100buf,jax,Turnovers,3,,,,,,
team,201010100buf,buf,Turnovers,0,,,,,,
team,201010100buf,jax,Penalties-Yards,5-38,,,,,,
team,201010100buf,buf,Penalties-Yards,5-35,,,,,,
team,201010100buf,jax,Third Down Conv.,4-11,,,,,,
team,201010100buf,buf,Third Down Conv.,3-11,,,,,,
team,201010100buf,jax,Fourth Down Conv.,0-1,,,,,,
team,201010100buf,buf,Fourth Down Conv.,0-2,,,,,,
team,201010100buf,jax,Time of Possession,34:21,,,,,,
team,201010100buf,buf,Time of Possession,25:39,,,,,,
player,201010100buf,jax,GarrDa00,pass_cmp,16,,,,,
player,201010100buf,jax,GarrDa00,pass_att,20,,,,,
player,201010100buf,jax,GarrDa00,pass_yds,178,,,,,
player,201010100buf,jax,GarrDa00,pass_td,3,,,,,
player,201010100buf,jax,GarrDa00,pass_int,1,,,,,
player,201010100buf,jax,GarrDa00,pass_sacked,2,,,,,
player,201010100buf,jax,GarrDa00,pass_sacked_yds,13,,,,,
player,201010100buf,jax,GarrDa00,pass_long,27,,,,,
player,201010100buf,jax,GarrDa00,pass_rating,122.5,,,,,
player,201010100buf,jax,GarrDa00,rush_att,3,,,,,
player,201010100buf,jax,GarrDa00,rush_yds,9,,,,,
player,201010100buf,jax,GarrDa00,rush_td,0,,,,,
player,201010100buf,jax,GarrDa00,rush_long,7,,,,,
player,201010100buf,jax,GarrDa00,targets,0,,,,,
player,201010100buf,jax,GarrDa00,rec,0,,,,,
player,201010100buf,jax,GarrDa00,rec_yds,0,,,,,
player,201010100buf,jax,GarrDa00,rec_td,0,,,,,
player,201010100buf,jax,GarrDa00,rec_long,0,,,,,
player,201010100buf,jax,GarrDa00,fumbles,1,,,,,
player,201010100buf,jax,GarrDa00,fumbles_lost,1,,,,,
player,201010100buf,jax,DrewMa00,pass_cmp,0,,,,,
player,201010100buf,jax,DrewMa00,pass_att,0,,,,,
player,201010100buf,jax,DrewMa00,pass_yds,0,,,,,
player,201010100buf,jax,DrewMa00,pass_td,0,,,,,
player,201010100buf,jax,DrewMa00,pass_int,0,,,,,
player,201010100buf,jax,DrewMa00,pass_sacked,0,,,,,
player,201010100buf,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201010100buf,jax,DrewMa00,pass_long,0,,,,,
player,201010100buf,jax,DrewMa00,pass_rating,,,,,,
player,201010100buf,jax,DrewMa00,rush_att,19,,,,,
player,201010100buf,jax,DrewMa00,rush_yds,84,,,,,
player,201010100buf,jax,DrewMa00,rush_td,0,,,,,
player,201010100buf,jax,DrewMa00,rush_long,23,,,,,
player,201010100buf,jax,DrewMa00,targets,4,,,,,
player,201010100buf,jax,DrewMa00,rec,2,,,,,
player,201010100buf,jax,DrewMa00,rec_yds,9,,,,,
player,201010100buf,jax,DrewMa00,rec_td,0,,,,,
player,201010100buf,jax,DrewMa00,rec_long,6,,,,,
player,201010100buf,jax,DrewMa00,fumbles,0,,,,,
player,201010100buf,jax,DrewMa00,fumbles_lost,,,,,,
player,201010100buf,jax,KariDe00,pass_cmp,0,,,,,
player,201010100buf,jax,KariDe00,pass_att,0,,,,,
player,201010100buf,jax,KariDe00,pass_yds,0,,,,,
player,201010100buf,jax,KariDe00,pass_td,0,,,,,
player,201010100buf,jax,KariDe00,pass_int,0,,,,,
player,201010100buf,jax,KariDe00,pass_sacked,,,,,,
player,201010100buf,jax,KariDe00,pass_sacked_yds,,,,,,
player,201010100buf,jax,KariDe00,pass_long,0,,,,,
player,201010100buf,jax,KariDe00,pass_rating,,,,,,
player,201010100buf,jax,KariDe00,rush_att,15,,,,,
player,201010100buf,jax,KariDe00,rush_yds,70,,,,,
player,201010100buf,jax,KariDe00,rush_td,0,,,,,
player,201010100buf,jax,KariDe00,rush_long,15,,,,,
player,201010100buf,jax,KariDe00,targets,0,,,,,
player,201010100buf,jax,KariDe00,rec,0,,,,,
player,201010100buf,jax,KariDe00,rec_yds,0,,,,,
player,201010100buf,jax,KariDe00,rec_td,0,,,,,
player,201010100buf,jax,KariDe00,rec_long,0,,,,,
player,201010100buf,jax,KariDe00,fumbles,1,,,,,
player,201010100buf,jax,KariDe00,fumbles_lost,0,,,,,
player,201010100buf,jax,ThomMi01,pass_cmp,0,,,,,
player,201010100buf,jax,ThomMi01,pass_att,0,,,,,
player,201010100buf,jax,ThomMi01,pass_yds,0,,,,,
player,201010100buf,jax,ThomMi01,pass_td,0,,,,,
player,201010100buf,jax,ThomMi01,pass_int,0,,,,,
player,201010100buf,jax,ThomMi01,pass_sacked,,,,,,
player,201010100buf,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201010100buf,jax,ThomMi01,pass_long,0,,,,,
player,201010100buf,jax,ThomMi01,pass_rating,,,,,,
player,201010100buf,jax,ThomMi01,rush_att,3,,,,,
player,201010100buf,jax,ThomMi01,rush_yds,53,,,,,
player,201010100buf,jax,ThomMi01,rush_td,0,,,,,
player,201010100buf,jax,ThomMi01,rush_long,33,,,,,
player,201010100buf,jax,ThomMi01,targets,4,,,,,
player,201010100buf,jax,ThomMi01,rec,4,,,,,
player,201010100buf,jax,ThomMi01,rec_yds,51,,,,,
player,201010100buf,jax,ThomMi01,rec_td,0,,,,,
player,201010100buf,jax,ThomMi01,rec_long,25,,,,,
player,201010100buf,jax,ThomMi01,fumbles,1,,,,,
player,201010100buf,jax,ThomMi01,fumbles_lost,0,,,,,
player,201010100buf,jax,LewiMa00,pass_cmp,0,,,,,
player,201010100buf,jax,LewiMa00,pass_att,0,,,,,
player,201010100buf,jax,LewiMa00,pass_yds,0,,,,,
player,201010100buf,jax,LewiMa00,pass_td,0,,,,,
player,201010100buf,jax,LewiMa00,pass_int,0,,,,,
player,201010100buf,jax,LewiMa00,pass_sacked,,,,,,
player,201010100buf,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201010100buf,jax,LewiMa00,pass_long,0,,,,,
player,201010100buf,jax,LewiMa00,pass_rating,,,,,,
player,201010100buf,jax,LewiMa00,rush_att,0,,,,,
player,201010100buf,jax,LewiMa00,rush_yds,0,,,,,
player,201010100buf,jax,LewiMa00,rush_td,0,,,,,
player,201010100buf,jax,LewiMa00,rush_long,0,,,,,
player,201010100buf,jax,LewiMa00,targets,5,,,,,
player,201010100buf,jax,LewiMa00,rec,4,,,,,
player,201010100buf,jax,LewiMa00,rec_yds,54,,,,,
player,201010100buf,jax,LewiMa00,rec_td,2,,,,,
player,201010100buf,jax,LewiMa00,rec_long,27,,,,,
player,201010100buf,jax,LewiMa00,fumbles,0,,,,,
player,201010100buf,jax,LewiMa00,fumbles_lost,,,,,,
player,201010100buf,jax,WalkMi01,pass_cmp,0,,,,,
player,201010100buf,jax,WalkMi01,pass_att,0,,,,,
player,201010100buf,jax,WalkMi01,pass_yds,0,,,,,
player,201010100buf,jax,WalkMi01,pass_td,0,,,,,
player,201010100buf,jax,WalkMi01,pass_int,0,,,,,
player,201010100buf,jax,WalkMi01,pass_sacked,,,,,,
player,201010100buf,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201010100buf,jax,WalkMi01,pass_long,0,,,,,
player,201010100buf,jax,WalkMi01,pass_rating,,,,,,
player,201010100buf,jax,WalkMi01,rush_att,0,,,,,
player,201010100buf,jax,WalkMi01,rush_yds,0,,,,,
player,201010100buf,jax,WalkMi01,rush_td,0,,,,,
player,201010100buf,jax,WalkMi01,rush_long,0,,,,,
player,201010100buf,jax,WalkMi01,targets,5,,,,,
player,201010100buf,jax,WalkMi01,rec,4,,,,,
player,201010100buf,jax,WalkMi01,rec_yds,46,,,,,
player,201010100buf,jax,WalkMi01,rec_td,1,,,,,
player,201010100buf,jax,WalkMi01,rec_long,22,,,,,
player,201010100buf,jax,WalkMi01,fumbles,0,,,,,
player,201010100buf,jax,WalkMi01,fumbles_lost,,,,,,
player,201010100buf,jax,MillZa02,pass_cmp,0,,,,,
player,201010100buf,jax,MillZa02,pass_att,0,,,,,
player,201010100buf,jax,MillZa02,pass_yds,0,,,,,
player,201010100buf,jax,MillZa02,pass_td,0,,,,,
player,201010100buf,jax,MillZa02,pass_int,0,,,,,
player,201010100buf,jax,MillZa02,pass_sacked,,,,,,
player,201010100buf,jax,MillZa02,pass_sacked_yds,,,,,,
player,201010100buf,jax,MillZa02,pass_long,0,,,,,
player,201010100buf,jax,MillZa02,pass_rating,,,,,,
player,201010100buf,jax,MillZa02,rush_att,0,,,,,
player,201010100buf,jax,MillZa02,rush_yds,0,,,,,
player,201010100buf,jax,MillZa02,rush_td,0,,,,,
player,201010100buf,jax,MillZa02,rush_long,0,,,,,
player,201010100buf,jax,MillZa02,targets,2,,,,,
player,201010100buf,jax,MillZa02,rec,2,,,,,
player,201010100buf,jax,MillZa02,rec_yds,18,,,,,
player,201010100buf,jax,MillZa02,rec_td,0,,,,,
player,201010100buf,jax,MillZa02,rec_long,11,,,,,
player,201010100buf,jax,MillZa02,fumbles,0,,,,,
player,201010100buf,jax,MillZa02,fumbles_lost,,,,,,
player,201010100buf,buf,FitzRy00,pass_cmp,20,,,,,
player,201010100buf,buf,FitzRy00,pass_att,30,,,,,
player,201010100buf,buf,FitzRy00,pass_yds,220,,,,,
player,201010100buf,buf,FitzRy00,pass_td,3,,,,,
player,201010100buf,buf,FitzRy00,pass_int,0,,,,,
player,201010100buf,buf,FitzRy00,pass_sacked,3,,,,,
player,201010100buf,buf,FitzRy00,pass_sacked_yds,24,,,,,
player,201010100buf,buf,FitzRy00,pass_long,45,,,,,
player,201010100buf,buf,FitzRy00,pass_rating,121.5,,,,,
player,201010100buf,buf,FitzRy00,rush_att,2,,,,,
player,201010100buf,buf,FitzRy00,rush_yds,4,,,,,
player,201010100buf,buf,FitzRy00,rush_td,0,,,,,
player,201010100buf,buf,FitzRy00,rush_long,4,,,,,
