game,2010,8,20101031,201010310kan,buf,"Buffalo Bills",10,kan,"Kansas City Chiefs",13
team,201010310kan,buf,First Downs,23,,,,,,
team,201010310kan,kan,First Downs,24,,,,,,
team,201010310kan,buf,Rush-Yds-TDs,33-137-0,,,,,,
team,201010310kan,kan,Rush-Yds-TDs,45-274-0,,,,,,
team,201010310kan,buf,Cmp-Att-Yd-TD-INT,24-48-223-1-1,,,,,,
team,201010310kan,kan,Cmp-Att-Yd-TD-INT,14-26-152-1-0,,,,,,
team,201010310kan,buf,Sacked-Yards,3-32,,,,,,
team,201010310kan,kan,Sacked-Yards,3-12,,,,,,
team,201010310kan,buf,Net Pass Yards,191,,,,,,
team,201010310kan,kan,Net Pass Yards,140,,,,,,
team,201010310kan,buf,Total Yards,328,,,,,,
team,201010310kan,kan,Total Yards,414,,,,,,
team,201010310kan,buf,Fumbles-Lost,3-0,,,,,,
team,201010310kan,kan,Fumbles-Lost,0-0,,,,,,
team,201010310kan,buf,Turnovers,1,,,,,,
team,201010310kan,kan,Turnovers,0,,,,,,
team,201010310kan,buf,Penalties-Yards,5-35,,,,,,
team,201010310kan,kan,Penalties-Yards,5-50,,,,,,
team,201010310kan,buf,Third Down Conv.,11-23,,,,,,
team,201010310kan,kan,Third Down Conv.,4-15,,,,,,
team,201010310kan,buf,Fourth Down Conv.,1-2,,,,,,
team,201010310kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201010310kan,buf,Time of Possession,39:22,,,,,,
team,201010310kan,kan,Time of Possession,35:38,,,,,,
player,201010310kan,buf,FitzRy00,pass_cmp,24,,,,,
player,201010310kan,buf,FitzRy00,pass_att,48,,,,,
player,201010310kan,buf,FitzRy00,pass_yds,223,,,,,
player,201010310kan,buf,FitzRy00,pass_td,1,,,,,
player,201010310kan,buf,FitzRy00,pass_int,1,,,,,
player,201010310kan,buf,FitzRy00,pass_sacked,3,,,,,
player,201010310kan,buf,FitzRy00,pass_sacked_yds,32,,,,,
player,201010310kan,buf,FitzRy00,pass_long,37,,,,,
player,201010310kan,buf,FitzRy00,pass_rating,61.4,,,,,
player,201010310kan,buf,FitzRy00,rush_att,6,,,,,
player,201010310kan,buf,FitzRy00,rush_yds,43,,,,,
player,201010310kan,buf,FitzRy00,rush_td,0,,,,,
player,201010310kan,buf,FitzRy00,rush_long,14,,,,,
player,201010310kan,buf,FitzRy00,targets,0,,,,,
player,201010310kan,buf,FitzRy00,rec,0,,,,,
player,201010310kan,buf,FitzRy00,rec_yds,0,,,,,
player,201010310kan,buf,FitzRy00,rec_td,0,,,,,
player,201010310kan,buf,FitzRy00,rec_long,0,,,,,
player,201010310kan,buf,FitzRy00,fumbles,1,,,,,
player,201010310kan,buf,FitzRy00,fumbles_lost,0,,,,,
player,201010310kan,buf,JackFr02,pass_cmp,0,,,,,
player,201010310kan,buf,JackFr02,pass_att,0,,,,,
player,201010310kan,buf,JackFr02,pass_yds,0,,,,,
player,201010310kan,buf,JackFr02,pass_td,0,,,,,
player,201010310kan,buf,JackFr02,pass_int,0,,,,,
player,201010310kan,buf,JackFr02,pass_sacked,,,,,,
player,201010310kan,buf,JackFr02,pass_sacked_yds,,,,,,
player,201010310kan,buf,JackFr02,pass_long,0,,,,,
player,201010310kan,buf,JackFr02,pass_rating,,,,,,
player,201010310kan,buf,JackFr02,rush_att,20,,,,,
player,201010310kan,buf,JackFr02,rush_yds,64,,,,,
player,201010310kan,buf,JackFr02,rush_td,0,,,,,
player,201010310kan,buf,JackFr02,rush_long,9,,,,,
player,201010310kan,buf,JackFr02,targets,8,,,,,
player,201010310kan,buf,JackFr02,rec,3,,,,,
player,201010310kan,buf,JackFr02,rec_yds,11,,,,,
player,201010310kan,buf,JackFr02,rec_td,0,,,,,
player,201010310kan,buf,JackFr02,rec_long,5,,,,,
player,201010310kan,buf,JackFr02,fumbles,0,,,,,
player,201010310kan,buf,JackFr02,fumbles_lost,,,,,,
player,201010310kan,buf,SpilC.00,pass_cmp,0,,,,,
player,201010310kan,buf,SpilC.00,pass_att,0,,,,,
player,201010310kan,buf,SpilC.00,pass_yds,0,,,,,
player,201010310kan,buf,SpilC.00,pass_td,0,,,,,
player,201010310kan,buf,SpilC.00,pass_int,0,,,,,
player,201010310kan,buf,SpilC.00,pass_sacked,,,,,,
player,201010310kan,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201010310kan,buf,SpilC.00,pass_long,0,,,,,
player,201010310kan,buf,SpilC.00,pass_rating,,,,,,
player,201010310kan,buf,SpilC.00,rush_att,6,,,,,
player,201010310kan,buf,SpilC.00,rush_yds,17,,,,,
player,201010310kan,buf,SpilC.00,rush_td,0,,,,,
player,201010310kan,buf,SpilC.00,rush_long,6,,,,,
player,201010310kan,buf,SpilC.00,targets,6,,,,,
player,201010310kan,buf,SpilC.00,rec,4,,,,,
player,201010310kan,buf,SpilC.00,rec_yds,28,,,,,
player,201010310kan,buf,SpilC.00,rec_td,0,,,,,
player,201010310kan,buf,SpilC.00,rec_long,14,,,,,
player,201010310kan,buf,SpilC.00,fumbles,1,,,,,
player,201010310kan,buf,SpilC.00,fumbles_lost,0,,,,,
player,201010310kan,buf,ParrRo00,pass_cmp,0,,,,,
player,201010310kan,buf,ParrRo00,pass_att,0,,,,,
player,201010310kan,buf,ParrRo00,pass_yds,0,,,,,
player,201010310kan,buf,ParrRo00,pass_td,0,,,,,
player,201010310kan,buf,ParrRo00,pass_int,0,,,,,
player,201010310kan,buf,ParrRo00,pass_sacked,,,,,,
player,201010310kan,buf,ParrRo00,pass_sacked_yds,,,,,,
player,201010310kan,buf,ParrRo00,pass_long,0,,,,,
player,201010310kan,buf,ParrRo00,pass_rating,,,,,,
player,201010310kan,buf,ParrRo00,rush_att,1,,,,,
player,201010310kan,buf,ParrRo00,rush_yds,13,,,,,
player,201010310kan,buf,ParrRo00,rush_td,0,,,,,
player,201010310kan,buf,ParrRo00,rush_long,13,,,,,
player,201010310kan,buf,ParrRo00,targets,8,,,,,
player,201010310kan,buf,ParrRo00,rec,4,,,,,
player,201010310kan,buf,ParrRo00,rec_yds,66,,,,,
player,201010310kan,buf,ParrRo00,rec_td,0,,,,,
player,201010310kan,buf,ParrRo00,rec_long,37,,,,,
player,201010310kan,buf,ParrRo00,fumbles,0,,,,,
player,201010310kan,buf,ParrRo00,fumbles_lost,,,,,,
player,201010310kan,buf,EvanLe00,pass_cmp,0,,,,,
player,201010310kan,buf,EvanLe00,pass_att,0,,,,,
player,201010310kan,buf,EvanLe00,pass_yds,0,,,,,
player,201010310kan,buf,EvanLe00,pass_td,0,,,,,
player,201010310kan,buf,EvanLe00,pass_int,0,,,,,
player,201010310kan,buf,EvanLe00,pass_sacked,,,,,,
player,201010310kan,buf,EvanLe00,pass_sacked_yds,,,,,,
player,201010310kan,buf,EvanLe00,pass_long,0,,,,,
player,201010310kan,buf,EvanLe00,pass_rating,,,,,,
player,201010310kan,buf,EvanLe00,rush_att,0,,,,,
player,201010310kan,buf,EvanLe00,rush_yds,0,,,,,
player,201010310kan,buf,EvanLe00,rush_td,0,,,,,
player,201010310kan,buf,EvanLe00,rush_long,0,,,,,
player,201010310kan,buf,EvanLe00,targets,9,,,,,
player,201010310kan,buf,EvanLe00,rec,5,,,,,
player,201010310kan,buf,EvanLe00,rec_yds,56,,,,,
player,201010310kan,buf,EvanLe00,rec_td,0,,,,,
player,201010310kan,buf,EvanLe00,rec_long,21,,,,,
player,201010310kan,buf,EvanLe00,fumbles,1,,,,,
player,201010310kan,buf,EvanLe00,fumbles_lost,0,,,,,
player,201010310kan,buf,JohnSt00,pass_cmp,0,,,,,
player,201010310kan,buf,JohnSt00,pass_att,0,,,,,
player,201010310kan,buf,JohnSt00,pass_yds,0,,,,,
player,201010310kan,buf,JohnSt00,pass_td,0,,,,,
player,201010310kan,buf,JohnSt00,pass_int,0,,,,,
player,201010310kan,buf,JohnSt00,pass_sacked,,,,,,
player,201010310kan,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201010310kan,buf,JohnSt00,pass_long,0,,,,,
player,201010310kan,buf,JohnSt00,pass_rating,,,,,,
player,201010310kan,buf,JohnSt00,rush_att,0,,,,,
player,201010310kan,buf,JohnSt00,rush_yds,0,,,,,
player,201010310kan,buf,JohnSt00,rush_td,0,,,,,
