game,2010,1,20100909,201009090nor,min,"Minnesota Vikings",9,nor,"New Orleans Saints",14
team,201009090nor,min,First Downs,12,,,,,,
team,201009090nor,nor,First Downs,18,,,,,,
team,201009090nor,min,Rush-Yds-TDs,23-91-0,,,,,,
team,201009090nor,nor,Rush-Yds-TDs,25-79-1,,,,,,
team,201009090nor,min,Cmp-Att-Yd-TD-INT,15-27-171-1-1,,,,,,
team,201009090nor,nor,Cmp-Att-Yd-TD-INT,27-36-237-1-0,,,,,,
team,201009090nor,min,Sacked-Yards,1-9,,,,,,
team,201009090nor,nor,Sacked-Yards,1-8,,,,,,
team,201009090nor,min,Net Pass Yards,162,,,,,,
team,201009090nor,nor,Net Pass Yards,229,,,,,,
team,201009090nor,min,Total Yards,253,,,,,,
team,201009090nor,nor,Total Yards,308,,,,,,
team,201009090nor,min,Fumbles-Lost,1-0,,,,,,
team,201009090nor,nor,Fumbles-Lost,1-0,,,,,,
team,201009090nor,min,Turnovers,1,,,,,,
team,201009090nor,nor,Turnovers,0,,,,,,
team,201009090nor,min,Penalties-Yards,6-60,,,,,,
team,201009090nor,nor,Penalties-Yards,3-20,,,,,,
team,201009090nor,min,Third Down Conv.,5-13,,,,,,
team,201009090nor,nor,Third Down Conv.,3-11,,,,,,
team,201009090nor,min,Fourth Down Conv.,0-0,,,,,,
team,201009090nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201009090nor,min,Time of Possession,26:17,,,,,,
team,201009090nor,nor,Time of Possession,33:43,,,,,,
player,201009090nor,min,FavrBr00,pass_cmp,15,,,,,
player,201009090nor,min,FavrBr00,pass_att,27,,,,,
player,201009090nor,min,FavrBr00,pass_yds,171,,,,,
player,201009090nor,min,FavrBr00,pass_td,1,,,,,
player,201009090nor,min,FavrBr00,pass_int,1,,,,,
player,201009090nor,min,FavrBr00,pass_sacked,1,,,,,
player,201009090nor,min,FavrBr00,pass_sacked_yds,9,,,,,
player,201009090nor,min,FavrBr00,pass_long,33,,,,,
player,201009090nor,min,FavrBr00,pass_rating,71.7,,,,,
player,201009090nor,min,FavrBr00,rush_att,0,,,,,
player,201009090nor,min,FavrBr00,rush_yds,0,,,,,
player,201009090nor,min,FavrBr00,rush_td,0,,,,,
player,201009090nor,min,FavrBr00,rush_long,0,,,,,
player,201009090nor,min,FavrBr00,targets,0,,,,,
player,201009090nor,min,FavrBr00,rec,0,,,,,
player,201009090nor,min,FavrBr00,rec_yds,0,,,,,
player,201009090nor,min,FavrBr00,rec_td,0,,,,,
player,201009090nor,min,FavrBr00,rec_long,0,,,,,
player,201009090nor,min,FavrBr00,fumbles,0,,,,,
player,201009090nor,min,FavrBr00,fumbles_lost,,,,,,
player,201009090nor,min,PeteAd01,pass_cmp,0,,,,,
player,201009090nor,min,PeteAd01,pass_att,0,,,,,
player,201009090nor,min,PeteAd01,pass_yds,0,,,,,
player,201009090nor,min,PeteAd01,pass_td,0,,,,,
player,201009090nor,min,PeteAd01,pass_int,0,,,,,
player,201009090nor,min,PeteAd01,pass_sacked,,,,,,
player,201009090nor,min,PeteAd01,pass_sacked_yds,,,,,,
player,201009090nor,min,PeteAd01,pass_long,0,,,,,
player,201009090nor,min,PeteAd01,pass_rating,,,,,,
player,201009090nor,min,PeteAd01,rush_att,19,,,,,
player,201009090nor,min,PeteAd01,rush_yds,87,,,,,
player,201009090nor,min,PeteAd01,rush_td,0,,,,,
player,201009090nor,min,PeteAd01,rush_long,14,,,,,
player,201009090nor,min,PeteAd01,targets,3,,,,,
player,201009090nor,min,PeteAd01,rec,3,,,,,
player,201009090nor,min,PeteAd01,rec_yds,14,,,,,
player,201009090nor,min,PeteAd01,rec_td,0,,,,,
player,201009090nor,min,PeteAd01,rec_long,11,,,,,
player,201009090nor,min,PeteAd01,fumbles,0,,,,,
player,201009090nor,min,PeteAd01,fumbles_lost,,,,,,
player,201009090nor,min,HarvPe00,pass_cmp,0,,,,,
player,201009090nor,min,HarvPe00,pass_att,0,,,,,
player,201009090nor,min,HarvPe00,pass_yds,0,,,,,
player,201009090nor,min,HarvPe00,pass_td,0,,,,,
player,201009090nor,min,HarvPe00,pass_int,0,,,,,
player,201009090nor,min,HarvPe00,pass_sacked,,,,,,
player,201009090nor,min,HarvPe00,pass_sacked_yds,,,,,,
player,201009090nor,min,HarvPe00,pass_long,0,,,,,
player,201009090nor,min,HarvPe00,pass_rating,,,,,,
player,201009090nor,min,HarvPe00,rush_att,1,,,,,
player,201009090nor,min,HarvPe00,rush_yds,2,,,,,
player,201009090nor,min,HarvPe00,rush_td,0,,,,,
player,201009090nor,min,HarvPe00,rush_long,2,,,,,
player,201009090nor,min,HarvPe00,targets,5,,,,,
player,201009090nor,min,HarvPe00,rec,1,,,,,
player,201009090nor,min,HarvPe00,rec_yds,12,,,,,
player,201009090nor,min,HarvPe00,rec_td,0,,,,,
player,201009090nor,min,HarvPe00,rec_long,12,,,,,
player,201009090nor,min,HarvPe00,fumbles,0,,,,,
player,201009090nor,min,HarvPe00,fumbles_lost,,,,,,
player,201009090nor,min,YounAl01,pass_cmp,0,,,,,
player,201009090nor,min,YounAl01,pass_att,0,,,,,
player,201009090nor,min,YounAl01,pass_yds,0,,,,,
player,201009090nor,min,YounAl01,pass_td,0,,,,,
player,201009090nor,min,YounAl01,pass_int,0,,,,,
player,201009090nor,min,YounAl01,pass_sacked,,,,,,
player,201009090nor,min,YounAl01,pass_sacked_yds,,,,,,
player,201009090nor,min,YounAl01,pass_long,0,,,,,
player,201009090nor,min,YounAl01,pass_rating,,,,,,
player,201009090nor,min,YounAl01,rush_att,3,,,,,
player,201009090nor,min,YounAl01,rush_yds,2,,,,,
player,201009090nor,min,YounAl01,rush_td,0,,,,,
player,201009090nor,min,YounAl01,rush_long,2,,,,,
player,201009090nor,min,YounAl01,targets,2,,,,,
player,201009090nor,min,YounAl01,rec,2,,,,,
player,201009090nor,min,YounAl01,rec_yds,11,,,,,
player,201009090nor,min,YounAl01,rec_td,0,,,,,
player,201009090nor,min,YounAl01,rec_long,13,,,,,
player,201009090nor,min,YounAl01,fumbles,0,,,,,
player,201009090nor,min,YounAl01,fumbles_lost,,,,,,
player,201009090nor,min,ShiaVi00,pass_cmp,0,,,,,
player,201009090nor,min,ShiaVi00,pass_att,0,,,,,
player,201009090nor,min,ShiaVi00,pass_yds,0,,,,,
player,201009090nor,min,ShiaVi00,pass_td,0,,,,,
player,201009090nor,min,ShiaVi00,pass_int,0,,,,,
player,201009090nor,min,ShiaVi00,pass_sacked,,,,,,
player,201009090nor,min,ShiaVi00,pass_sacked_yds,,,,,,
player,201009090nor,min,ShiaVi00,pass_long,0,,,,,
player,201009090nor,min,ShiaVi00,pass_rating,,,,,,
player,201009090nor,min,ShiaVi00,rush_att,0,,,,,
player,201009090nor,min,ShiaVi00,rush_yds,0,,,,,
player,201009090nor,min,ShiaVi00,rush_td,0,,,,,
player,201009090nor,min,ShiaVi00,rush_long,0,,,,,
player,201009090nor,min,ShiaVi00,targets,7,,,,,
player,201009090nor,min,ShiaVi00,rec,4,,,,,
player,201009090nor,min,ShiaVi00,rec_yds,76,,,,,
player,201009090nor,min,ShiaVi00,rec_td,1,,,,,
player,201009090nor,min,ShiaVi00,rec_long,33,,,,,
player,201009090nor,min,ShiaVi00,fumbles,0,,,,,
player,201009090nor,min,ShiaVi00,fumbles_lost,,,,,,
player,201009090nor,min,CamaGr00,pass_cmp,0,,,,,
player,201009090nor,min,CamaGr00,pass_att,0,,,,,
player,201009090nor,min,CamaGr00,pass_yds,0,,,,,
player,201009090nor,min,CamaGr00,pass_td,0,,,,,
player,201009090nor,min,CamaGr00,pass_int,0,,,,,
player,201009090nor,min,CamaGr00,pass_sacked,,,,,,
player,201009090nor,min,CamaGr00,pass_sacked_yds,,,,,,
player,201009090nor,min,CamaGr00,pass_long,0,,,,,
player,201009090nor,min,CamaGr00,pass_rating,,,,,,
