game,2010,6,20101017,201010170tam,nor,"New Orleans Saints",31,tam,"Tampa Bay Buccaneers",6
team,201010170tam,nor,First Downs,27,,,,,,
team,201010170tam,tam,First Downs,21,,,,,,
team,201010170tam,nor,Rush-Yds-TDs,32-212-1,,,,,,
team,201010170tam,tam,Rush-Yds-TDs,18-42-0,,,,,,
team,201010170tam,nor,Cmp-Att-Yd-TD-INT,21-32-263-3-1,,,,,,
team,201010170tam,tam,Cmp-Att-Yd-TD-INT,27-47-236-1-0,,,,,,
team,201010170tam,nor,Sacked-Yards,0-0,,,,,,
team,201010170tam,tam,Sacked-Yards,1-1,,,,,,
team,201010170tam,nor,Net Pass Yards,263,,,,,,
team,201010170tam,tam,Net Pass Yards,235,,,,,,
team,201010170tam,nor,Total Yards,475,,,,,,
team,201010170tam,tam,Total Yards,277,,,,,,
team,201010170tam,nor,Fumbles-Lost,2-0,,,,,,
team,201010170tam,tam,Fumbles-Lost,3-1,,,,,,
team,201010170tam,nor,Turnovers,1,,,,,,
team,201010170tam,tam,Turnovers,1,,,,,,
team,201010170tam,nor,Penalties-Yards,9-80,,,,,,
team,201010170tam,tam,Penalties-Yards,5-30,,,,,,
team,201010170tam,nor,Third Down Conv.,9-12,,,,,,
team,201010170tam,tam,Third Down Conv.,6-15,,,,,,
team,201010170tam,nor,Fourth Down Conv.,0-0,,,,,,
team,201010170tam,tam,Fourth Down Conv.,2-3,,,,,,
team,201010170tam,nor,Time of Possession,31:29,,,,,,
team,201010170tam,tam,Time of Possession,28:31,,,,,,
player,201010170tam,nor,BreeDr00,pass_cmp,21,,,,,
player,201010170tam,nor,BreeDr00,pass_att,32,,,,,
player,201010170tam,nor,BreeDr00,pass_yds,263,,,,,
player,201010170tam,nor,BreeDr00,pass_td,3,,,,,
player,201010170tam,nor,BreeDr00,pass_int,1,,,,,
player,201010170tam,nor,BreeDr00,pass_sacked,0,,,,,
player,201010170tam,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201010170tam,nor,BreeDr00,pass_long,42,,,,,
player,201010170tam,nor,BreeDr00,pass_rating,109.2,,,,,
player,201010170tam,nor,BreeDr00,rush_att,2,,,,,
player,201010170tam,nor,BreeDr00,rush_yds,2,,,,,
player,201010170tam,nor,BreeDr00,rush_td,0,,,,,
player,201010170tam,nor,BreeDr00,rush_long,3,,,,,
player,201010170tam,nor,BreeDr00,targets,0,,,,,
player,201010170tam,nor,BreeDr00,rec,0,,,,,
player,201010170tam,nor,BreeDr00,rec_yds,0,,,,,
player,201010170tam,nor,BreeDr00,rec_td,0,,,,,
player,201010170tam,nor,BreeDr00,rec_long,0,,,,,
player,201010170tam,nor,BreeDr00,fumbles,0,,,,,
player,201010170tam,nor,BreeDr00,fumbles_lost,,,,,,
player,201010170tam,nor,IvorCh00,pass_cmp,0,,,,,
player,201010170tam,nor,IvorCh00,pass_att,0,,,,,
player,201010170tam,nor,IvorCh00,pass_yds,0,,,,,
player,201010170tam,nor,IvorCh00,pass_td,0,,,,,
player,201010170tam,nor,IvorCh00,pass_int,0,,,,,
player,201010170tam,nor,IvorCh00,pass_sacked,,,,,,
player,201010170tam,nor,IvorCh00,pass_sacked_yds,,,,,,
player,201010170tam,nor,IvorCh00,pass_long,0,,,,,
player,201010170tam,nor,IvorCh00,pass_rating,,,,,,
player,201010170tam,nor,IvorCh00,rush_att,15,,,,,
player,201010170tam,nor,IvorCh00,rush_yds,158,,,,,
player,201010170tam,nor,IvorCh00,rush_td,0,,,,,
player,201010170tam,nor,IvorCh00,rush_long,33,,,,,
player,201010170tam,nor,IvorCh00,targets,1,,,,,
player,201010170tam,nor,IvorCh00,rec,1,,,,,
player,201010170tam,nor,IvorCh00,rec_yds,17,,,,,
player,201010170tam,nor,IvorCh00,rec_td,0,,,,,
player,201010170tam,nor,IvorCh00,rec_long,17,,,,,
player,201010170tam,nor,IvorCh00,fumbles,1,,,,,
player,201010170tam,nor,IvorCh00,fumbles_lost,0,,,,,
player,201010170tam,nor,JoneJu01,pass_cmp,0,,,,,
player,201010170tam,nor,JoneJu01,pass_att,0,,,,,
player,201010170tam,nor,JoneJu01,pass_yds,0,,,,,
player,201010170tam,nor,JoneJu01,pass_td,0,,,,,
player,201010170tam,nor,JoneJu01,pass_int,0,,,,,
player,201010170tam,nor,JoneJu01,pass_sacked,,,,,,
player,201010170tam,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201010170tam,nor,JoneJu01,pass_long,0,,,,,
player,201010170tam,nor,JoneJu01,pass_rating,,,,,,
player,201010170tam,nor,JoneJu01,rush_att,9,,,,,
player,201010170tam,nor,JoneJu01,rush_yds,32,,,,,
player,201010170tam,nor,JoneJu01,rush_td,0,,,,,
player,201010170tam,nor,JoneJu01,rush_long,16,,,,,
player,201010170tam,nor,JoneJu01,targets,2,,,,,
player,201010170tam,nor,JoneJu01,rec,1,,,,,
player,201010170tam,nor,JoneJu01,rec_yds,6,,,,,
player,201010170tam,nor,JoneJu01,rec_td,0,,,,,
player,201010170tam,nor,JoneJu01,rec_long,6,,,,,
player,201010170tam,nor,JoneJu01,fumbles,0,,,,,
player,201010170tam,nor,JoneJu01,fumbles_lost,,,,,,
