game,2010,8,20101031,201010310sfo,den,"Denver Broncos",16,sfo,"San Francisco 49ers",24
team,201010310sfo,den,First Downs,22,,,,,,
team,201010310sfo,sfo,First Downs,16,,,,,,
team,201010310sfo,den,Rush-Yds-TDs,17-59-1,,,,,,
team,201010310sfo,sfo,Rush-Yds-TDs,42-143-2,,,,,,
team,201010310sfo,den,Cmp-Att-Yd-TD-INT,28-40-370-1-1,,,,,,
team,201010310sfo,sfo,Cmp-Att-Yd-TD-INT,12-19-196-1-0,,,,,,
team,201010310sfo,den,Sacked-Yards,4-31,,,,,,
team,201010310sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201010310sfo,den,Net Pass Yards,339,,,,,,
team,201010310sfo,sfo,Net Pass Yards,196,,,,,,
team,201010310sfo,den,Total Yards,398,,,,,,
team,201010310sfo,sfo,Total Yards,339,,,,,,
team,201010310sfo,den,Fumbles-Lost,2-1,,,,,,
team,201010310sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201010310sfo,den,Turnovers,2,,,,,,
team,201010310sfo,sfo,Turnovers,0,,,,,,
team,201010310sfo,den,Penalties-Yards,8-60,,,,,,
team,201010310sfo,sfo,Penalties-Yards,6-67,,,,,,
team,201010310sfo,den,Third Down Conv.,2-10,,,,,,
team,201010310sfo,sfo,Third Down Conv.,5-13,,,,,,
team,201010310sfo,den,Fourth Down Conv.,0-0,,,,,,
team,201010310sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201010310sfo,den,Time of Possession,26:26,,,,,,
team,201010310sfo,sfo,Time of Possession,33:34,,,,,,
player,201010310sfo,den,OrtoKy00,pass_cmp,28,,,,,
player,201010310sfo,den,OrtoKy00,pass_att,40,,,,,
player,201010310sfo,den,OrtoKy00,pass_yds,370,,,,,
player,201010310sfo,den,OrtoKy00,pass_td,1,,,,,
player,201010310sfo,den,OrtoKy00,pass_int,1,,,,,
player,201010310sfo,den,OrtoKy00,pass_sacked,4,,,,,
player,201010310sfo,den,OrtoKy00,pass_sacked_yds,31,,,,,
player,201010310sfo,den,OrtoKy00,pass_long,71,,,,,
