game,2010,12,20101128,201011280nyg,jax,"Jacksonville Jaguars",20,nyg,"New York Giants",24
team,201011280nyg,jax,First Downs,26,,,,,,
team,201011280nyg,nyg,First Downs,17,,,,,,
team,201011280nyg,jax,Rush-Yds-TDs,34-207-2,,,,,,
team,201011280nyg,nyg,Rush-Yds-TDs,26-135-0,,,,,,
team,201011280nyg,jax,Cmp-Att-Yd-TD-INT,20-35-162-0-1,,,,,,
team,201011280nyg,nyg,Cmp-Att-Yd-TD-INT,14-24-226-2-0,,,,,,
team,201011280nyg,jax,Sacked-Yards,4-41,,,,,,
team,201011280nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201011280nyg,jax,Net Pass Yards,121,,,,,,
team,201011280nyg,nyg,Net Pass Yards,226,,,,,,
team,201011280nyg,jax,Total Yards,328,,,,,,
team,201011280nyg,nyg,Total Yards,361,,,,,,
team,201011280nyg,jax,Fumbles-Lost,3-1,,,,,,
team,201011280nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201011280nyg,jax,Turnovers,2,,,,,,
team,201011280nyg,nyg,Turnovers,0,,,,,,
team,201011280nyg,jax,Penalties-Yards,3-20,,,,,,
team,201011280nyg,nyg,Penalties-Yards,4-25,,,,,,
team,201011280nyg,jax,Third Down Conv.,10-16,,,,,,
team,201011280nyg,nyg,Third Down Conv.,3-10,,,,,,
team,201011280nyg,jax,Fourth Down Conv.,0-0,,,,,,
team,201011280nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201011280nyg,jax,Time of Possession,35:27,,,,,,
team,201011280nyg,nyg,Time of Possession,24:33,,,,,,
player,201011280nyg,jax,GarrDa00,pass_cmp,20,,,,,
player,201011280nyg,jax,GarrDa00,pass_att,35,,,,,
player,201011280nyg,jax,GarrDa00,pass_yds,162,,,,,
player,201011280nyg,jax,GarrDa00,pass_td,0,,,,,
player,201011280nyg,jax,GarrDa00,pass_int,1,,,,,
player,201011280nyg,jax,GarrDa00,pass_sacked,4,,,,,
player,201011280nyg,jax,GarrDa00,pass_sacked_yds,41,,,,,
player,201011280nyg,jax,GarrDa00,pass_long,21,,,,,
player,201011280nyg,jax,GarrDa00,pass_rating,57.1,,,,,
player,201011280nyg,jax,GarrDa00,rush_att,6,,,,,
player,201011280nyg,jax,GarrDa00,rush_yds,41,,,,,
player,201011280nyg,jax,GarrDa00,rush_td,1,,,,,
player,201011280nyg,jax,GarrDa00,rush_long,11,,,,,
player,201011280nyg,jax,GarrDa00,targets,0,,,,,
player,201011280nyg,jax,GarrDa00,rec,0,,,,,
player,201011280nyg,jax,GarrDa00,rec_yds,0,,,,,
player,201011280nyg,jax,GarrDa00,rec_td,0,,,,,
player,201011280nyg,jax,GarrDa00,rec_long,0,,,,,
player,201011280nyg,jax,GarrDa00,fumbles,3,,,,,
player,201011280nyg,jax,GarrDa00,fumbles_lost,1,,,,,
player,201011280nyg,jax,DrewMa00,pass_cmp,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_att,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_yds,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_td,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_int,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_sacked,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201011280nyg,jax,DrewMa00,pass_long,0,,,,,
player,201011280nyg,jax,DrewMa00,pass_rating,,,,,,
player,201011280nyg,jax,DrewMa00,rush_att,21,,,,,
player,201011280nyg,jax,DrewMa00,rush_yds,113,,,,,
player,201011280nyg,jax,DrewMa00,rush_td,0,,,,,
player,201011280nyg,jax,DrewMa00,rush_long,23,,,,,
player,201011280nyg,jax,DrewMa00,targets,4,,,,,
player,201011280nyg,jax,DrewMa00,rec,4,,,,,
player,201011280nyg,jax,DrewMa00,rec_yds,9,,,,,
player,201011280nyg,jax,DrewMa00,rec_td,0,,,,,
player,201011280nyg,jax,DrewMa00,rec_long,6,,,,,
player,201011280nyg,jax,DrewMa00,fumbles,0,,,,,
player,201011280nyg,jax,DrewMa00,fumbles_lost,,,,,,
player,201011280nyg,jax,JennRa00,pass_cmp,0,,,,,
player,201011280nyg,jax,JennRa00,pass_att,0,,,,,
player,201011280nyg,jax,JennRa00,pass_yds,0,,,,,
player,201011280nyg,jax,JennRa00,pass_td,0,,,,,
player,201011280nyg,jax,JennRa00,pass_int,0,,,,,
player,201011280nyg,jax,JennRa00,pass_sacked,,,,,,
player,201011280nyg,jax,JennRa00,pass_sacked_yds,,,,,,
player,201011280nyg,jax,JennRa00,pass_long,0,,,,,
player,201011280nyg,jax,JennRa00,pass_rating,,,,,,
player,201011280nyg,jax,JennRa00,rush_att,7,,,,,
player,201011280nyg,jax,JennRa00,rush_yds,53,,,,,
player,201011280nyg,jax,JennRa00,rush_td,1,,,,,
player,201011280nyg,jax,JennRa00,rush_long,19,,,,,
player,201011280nyg,jax,JennRa00,targets,0,,,,,
player,201011280nyg,jax,JennRa00,rec,0,,,,,
player,201011280nyg,jax,JennRa00,rec_yds,0,,,,,
